Date,GRADE,GPS,TFX,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2018-06-26,60.027916593600985,P,267.5630798339844,269.76337280273435,271.36993103027345,269.60282135009766,262.89797943115235,256.24837539672853,251.4528147125244
2018-06-27,59.26114574037164,P,261.1989440917969,268.19561157226565,269.8953155517578,269.715837097168,262.91512603759764,256.3147721862793,251.61442733764648
2018-06-28,58.41991854155409,P,261.3348083496094,266.2184692382813,268.4614501953125,269.82352142333986,262.91677459716794,256.51750564575195,251.77575302124023
2018-06-29,57.042529352136974,P,260.1997985839844,263.5991149902344,267.1148986816406,269.7818099975586,262.86878875732424,256.67395904541013,251.90864723205567
2018-07-02,56.226281621118744,P,259.60809326171875,261.98094482421874,265.92552490234374,269.55819549560545,262.79598541259764,256.800789642334,252.03476623535155
2018-07-03,55.724693593347325,P,261.9169616699219,260.8517211914062,265.3075469970703,269.21331176757815,262.9307748413086,256.9531280517578,252.18102951049804
2018-07-04,56.04307454416159,P,261.9169616699219,260.9953247070313,264.59546813964846,268.78499908447264,263.04386444091796,257.047315826416,252.32511878967284
2018-07-05,56.20260253152159,P,262.9938049316406,261.3271240234375,263.7727966308594,268.4731018066406,263.0887698364258,257.1072795104981,252.47816749572755
2018-07-06,56.80791725312588,P,266.0885009765625,262.50486450195314,263.05198974609374,268.03654022216796,263.1645657348633,257.1761293029785,252.63953910827638
2018-07-09,57.90872308967493,P,269.99810791015625,264.58286743164064,263.2819061279297,267.76587066650393,263.37358612060547,257.2840751647949,252.8071720123291
2018-07-10,58.50178107423821,P,269.978759765625,266.1952270507812,263.5234741210937,267.4467025756836,263.5337747192383,257.3804100036621,252.97697906494142
2018-07-11,58.95617453158241,P,267.90264892578125,267.3923645019531,264.1938446044922,267.044580078125,263.66774993896485,257.4469853210449,253.12756401062012
2018-07-12,59.93110825112253,A,269.7944641113281,268.75249633789065,265.03981018066406,266.7506301879883,263.90622161865235,257.7314123535156,253.28596534729004
2018-07-13,60.32110892314406,A,267.4466247558594,269.02412109375,265.7644927978516,266.43969573974607,264.00200897216797,257.93595123291016,253.43441505432128
2018-07-16,59.7786090669886,A,264.5072631835937,267.92595214843743,266.25440979003906,266.08996734619143,264.0138186645508,258.10151733398436,253.57990844726564
2018-07-17,60.00278617331231,A,269.32867431640625,267.7959350585937,266.9955810546875,266.1515640258789,264.2127456665039,258.33987380981443,253.76496963500978
2018-07-18,60.30493954222366,A,268.07720947265625,267.8308471679687,267.6116058349609,266.10353698730466,264.3986575317383,258.6033543395996,253.94633415222168
2018-07-19,60.18859436545629,P,269.11529541015625,267.69501342773435,268.2237548828125,265.99827575683594,264.577038269043,258.9432942199707,254.13221267700195
2018-07-20,60.28304659433757,P,267.252685546875,267.6562255859375,268.3401733398438,265.6960815429687,264.77378326416016,259.23612243652343,254.31515563964842
2018-07-23,61.098239318942554,A,270.279541015625,268.81068115234376,268.3683166503906,265.82511138916016,265.03203338623047,259.5117433166504,254.51168716430664
2018-07-24,60.79350509328284,A,266.98095703125,268.3411376953125,268.06853637695315,265.79600524902344,265.340146484375,259.7174641418457,254.68336685180665
2018-07-25,61.00513019808488,A,270.3959045410156,268.80487670898435,268.31786193847654,266.2558532714844,265.7208279418945,259.9250698852539,254.8727011871338
2018-07-26,61.023324980743205,A,270.570556640625,269.09592895507814,268.3954711914063,266.71764068603517,266.0976284790039,260.0979914855957,255.05638641357422
2018-07-27,60.81235913210688,A,266.9324951171875,269.0318908691406,268.34405822753905,267.0542755126953,266.30717498779296,260.1584745788574,255.21671165466307
