Date,GRADE,GPS,DUK,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1996-04-12,56.04416787680665,P,11.469212532043455,11.469210815429687,11.748435688018798,11.913567733764648,11.959892253875733,11.607463054656982,10.789070324897766
1996-04-15,56.189555013715875,P,11.619333267211914,11.487226104736326,11.691390323638917,11.906061887741089,11.955603065490722,11.616319751739502,10.798991022109986
1996-04-16,56.27289638010178,P,11.619333267211914,11.499236297607421,11.640349388122559,11.897054862976074,11.947151355743408,11.624879083633424,10.809056854248047
1996-04-17,56.44620041544078,P,11.619333267211914,11.541269683837891,11.59831600189209,11.87603816986084,11.936320972442626,11.632843780517579,10.818977551460266
1996-04-18,56.63554345981374,P,11.619333267211914,11.589309120178223,11.571294021606445,11.855021476745605,11.924301242828369,11.642295169830323,10.828753180503845
1996-04-19,56.616162962708096,P,11.469212532043455,11.589309120178223,11.529259967803956,11.824997520446777,11.909279098510742,11.649056005477906,10.837923274040222
1996-04-22,56.37702642687907,P,11.319089889526367,11.529260444641114,11.50824327468872,11.773956537246704,11.886497211456298,11.651936922073364,10.846923198699951
1996-04-23,56.11766140400479,P,11.25904369354248,11.457202529907226,11.478219413757325,11.725918054580688,11.861325130462646,11.654217376708985,10.855187582969666
1996-04-24,55.901709832428715,P,11.270298957824709,11.387395668029786,11.464332675933838,11.676941013336181,11.840533313751221,11.656313037872314,10.863798432350158
1996-04-25,55.60979037553906,P,11.168967247009276,11.297322463989257,11.443315792083741,11.628902244567872,11.816514110565185,11.657990112304688,10.871612434387208
1996-04-26,55.48194971757683,P,11.198992729187012,11.243278503417969,11.416293811798095,11.582364749908447,11.794896850585937,11.660264749526977,10.880156989097594
1996-04-29,55.481708870492334,P,11.198992729187012,11.219259071350098,11.374259757995606,11.532825040817261,11.77327959060669,11.661944694519043,10.888701543807983
1996-04-30,55.6028613186568,P,11.289057731628418,11.225261878967284,11.341232204437256,11.490790796279907,11.758867950439454,11.66422794342041,10.897115998268127
1996-05-01,55.76424107899259,P,11.40916633605957,11.253035354614259,11.320215511322022,11.459265756607056,11.746257934570313,11.668307008743286,10.906276116371155
1996-05-02,55.936292462440896,P,11.289057731628418,11.277053451538086,11.287187957763672,11.42924098968506,11.731846294403077,11.671184988021851,10.914690570831299
1996-05-03,55.96366802017743,P,11.108919143676758,11.259038734436036,11.251158618927002,11.390209293365478,11.713831882476807,11.671964197158813,10.922494521141052
1996-05-06,56.02854877996963,P,11.108919143676758,11.241024017333984,11.230141544342041,11.369192409515382,11.696417846679687,11.6718514919281,10.929863147735595
1996-05-07,56.03546768809773,P,11.198992729187012,11.223011016845703,11.224136447906494,11.35117793083191,11.677202339172362,11.671152830123901,10.938262586593629
1996-05-08,56.098995479647925,P,11.40916633605957,11.223011016845703,11.23802318572998,11.35117793083191,11.666994247436524,11.672853298187256,10.947567772865295
1996-05-09,56.285503597830825,P,11.469212532043455,11.25904197692871,11.268047714233399,11.355681753158569,11.661589946746826,11.674559421539307,10.95731831073761
1996-05-10,56.64534451346236,A,11.58930492401123,11.355119132995606,11.30707893371582,11.361686372756958,11.65678602218628,11.678061275482177,10.967234001159667
1996-05-13,57.03622126617904,A,11.73942756652832,11.481220817565918,11.361122417449952,11.367691087722779,11.653183155059814,11.68306435585022,10.97790030479431
1996-05-14,57.48533356878815,A,11.919570922851562,11.625336456298829,11.424173736572266,11.382702970504761,11.653183155059814,11.689868869781494,10.98946732521057
1996-05-15,57.7351983339164,A,11.891664505004885,11.72183609008789,11.472423553466797,11.39631953239441,11.65262502670288,11.696096925735473,11.001185002326965
1996-05-16,57.80808965436447,A,11.73998737335205,11.775991058349609,11.51751651763916,11.402352237701416,11.647231979370117,11.70051079750061,11.012289414405823
1996-05-17,57.881262391751875,A,11.77031707763672,11.812193489074707,11.583656311035156,11.417407464981078,11.651452674865723,11.705525379180909,11.02412591934204
1996-05-20,57.9154027391412,A,11.861327171325684,11.83657341003418,11.658897113800048,11.444519329071046,11.656893119812011,11.711450061798097,11.035691909790039
1996-05-21,57.825769593205386,A,11.8309907913208,11.818857383728027,11.722096920013428,11.473116683959962,11.664128684997559,11.716179351806641,11.04754156589508
1996-05-22,57.828767471220566,A,11.952338218688965,11.830992126464844,11.776414108276366,11.507218647003175,11.670188388824464,11.722122116088867,11.05954532623291
1996-05-23,57.955087424947344,A,11.952338218688965,11.873462295532226,11.824726676940918,11.546387195587158,11.675046977996827,11.728956909179688,11.071549086570739
1996-05-24,58.05651267932541,A,12.073683738708496,11.934135627746581,11.873164558410645,11.590121746063232,11.684734554290772,11.736410474777221,11.084012656211852
1996-05-27,58.079947439578774,A,12.073683738708496,11.976606941223144,11.906590175628661,11.633856296539307,11.69081922531128,11.743269405364991,11.096623144149781
1996-05-28,58.0833491622385,A,12.013006210327148,12.013010025024414,11.91593370437622,11.670053720474243,11.695089874267579,11.749595823287963,11.108783326148988
1996-05-29,57.98002103396553,A,11.952338218688965,12.013010025024414,11.922001075744628,11.697212314605713,11.693343296051026,11.756430616378784,11.120640168190002
1996-05-30,57.83839305374314,A,11.891664505004885,12.000875282287598,11.937168788909911,11.727342653274537,11.690383243560792,11.761469354629517,11.132781448364257
1996-05-31,57.52168513734247,A,11.709647178649902,11.92806797027588,11.93110179901123,11.757379055023193,11.683182353973388,11.765877237319947,11.143277893066406
1996-06-03,57.18693227865774,A,11.648971557617188,11.843125534057616,11.909866237640381,11.784381675720216,11.669363594055175,11.769678363800049,11.153617901802063
1996-06-04,56.9752550337578,P,11.73998737335205,11.788521766662598,11.900765895843506,11.811431407928467,11.65976707458496,11.773200330734253,11.164412989616395
1996-06-05,56.887727156461864,P,11.861327171325684,11.770319557189941,11.891664791107178,11.834039449691772,11.651996822357178,11.777638359069824,11.175961694717408
1996-06-06,56.84325960724113,P,11.891664505004885,11.770319557189943,11.885597419738769,11.855162048339844,11.647235260009765,11.782379760742188,11.187662086486817
1996-06-07,56.88034313328751,P,11.80065631866455,11.78852138519287,11.858294677734374,11.86572961807251,11.640653533935547,11.78740032196045,11.198907437324523
1996-06-10,56.92716220900053,P,11.709647178649902,11.800656509399413,11.821891021728515,11.864240598678588,11.63105073928833,11.792105598449707,11.209697742462158
1996-06-11,56.90548817352439,A,11.73998737335205,11.800656509399413,11.794589138031006,11.855261421203613,11.623255634307862,11.796222200393677,11.220639748573303
1996-06-12,56.79721421100223,A,11.709647178649902,11.770320510864257,11.7703200340271,11.846160554885865,11.616655235290528,11.797656764984131,11.231430053710938
1996-06-13,56.741347752745405,P,11.80065631866455,11.752118873596192,11.761219215393066,11.849194002151489,11.614877300262451,11.800596055984498,11.242675404548645
1996-06-14,56.79623455996435,P,11.891664505004885,11.770320510864257,11.779420948028564,11.855261373519898,11.614919528961181,11.802958841323852,11.254228878021241
1996-06-17,56.889426039545036,P,11.80065631866455,11.788522338867187,11.794589424133301,11.852227830886841,11.620347518920898,11.802924880981445,11.265327310562133
