Date,GRADE,GPS,BRK-B,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2003-06-20,51.26277342056202,A,49.880001068115234,49.74000015258789,48.991999816894534,48.62949981689453,48.38839996337891,46.11029998779297,46.9360000038147
2003-06-23,51.25725551774235,A,50.02000045776367,49.88400039672852,49.202000045776366,48.66549987792969,48.439199981689455,46.15729999542236,46.93620000839233
2003-06-24,51.23516452220807,A,50.040000915527344,49.95200042724609,49.4060001373291,48.70749988555908,48.49559997558594,46.21650001525879,46.93620000839233
2003-06-25,50.97900849703677,A,49.27999877929688,49.80800018310547,49.53400001525879,48.743499755859375,48.53719993591309,46.261300010681154,46.93360000610352
2003-06-26,50.81223738761531,A,49.13999938964844,49.672000122070315,49.61800003051758,48.807499694824216,48.56279991149902,46.319900016784665,46.93760000228882
2003-06-27,50.5861291285201,A,48.720001220703125,49.44000015258789,49.59000015258789,48.86949977874756,48.579999923706055,46.38050003051758,46.941200008392336
2003-06-30,50.363479699545564,A,48.59999847412109,49.155999755859376,49.52000007629395,48.91849975585937,48.589399871826174,46.44530002593994,46.94860000610352
2003-07-01,49.99907384878842,P,48.400001525878906,48.827999877929685,49.39000015258789,48.920999908447264,48.58099990844727,46.504700050354,46.949600009918214
2003-07-02,49.88783959852689,P,48.560001373291016,48.684000396728514,49.24600028991699,48.93199996948242,48.58179992675781,46.570700073242186,46.95260002136231
2003-07-03,49.70397929126639,P,48.13999938964844,48.48400039672852,49.07800025939942,48.93899993896484,48.58499992370606,46.640300064086915,46.95280002593994
2003-07-04,49.646845556540484,P,48.13999938964844,48.36800003051758,48.90400009155273,48.94799995422363,48.60419990539551,46.714700050354004,46.949600028991696
2003-07-07,49.58303636158758,P,48.0,48.24800033569336,48.702000045776366,48.952000045776366,48.62419990539551,46.78770004272461,46.9431000328064
2003-07-08,49.52706300261311,P,47.41999816894531,48.05199966430664,48.43999977111817,48.922999954223634,48.633799896240234,46.84310001373291,46.93720003128052
2003-07-09,49.58616229686108,P,48.29999923706055,47.99999923706055,48.34199981689453,48.93799991607666,48.666999893188475,46.8975,46.939700031280516
2003-07-10,49.820151023870665,P,48.81999969482422,48.135999298095705,48.30999984741211,48.96399993896485,48.71059989929199,46.96770000457764,46.9426000213623
2003-07-11,49.98006215125499,P,48.79999923706055,48.267999267578126,48.31799964904785,48.95399990081787,48.7465998840332,47.0345000076294,46.94280002593994
2003-07-14,50.29132843220321,A,49.459999084472656,48.55999908447266,48.403999710083006,48.96199989318848,48.764199829101564,47.10610000610352,46.951100025177
2003-07-15,50.587347797369,P,48.560001373291016,48.7879997253418,48.41999969482422,48.90499992370606,48.74979988098144,47.17170001983643,46.96090003967285
2003-07-16,50.52515347446416,A,48.0,48.72799987792969,48.36399955749512,48.804999923706056,48.725399856567385,47.23270000457764,46.97450004577637
2003-07-17,50.31194687737601,A,47.91999816894531,48.54799957275391,48.3419994354248,48.70999984741211,48.71299980163574,47.2929999923706,46.98790002822876
2003-07-18,50.08752623178166,P,47.77999877929688,48.34399948120117,48.30599937438965,48.604999732971194,48.70299980163574,47.357799987792966,46.991900024414065
2003-07-21,49.57157018698971,P,47.36000061035156,47.92399978637695,48.2419994354248,48.47199974060059,48.66339981079101,47.40939998626709,46.99300003051758
2003-07-22,49.24966705788907,P,47.45000076293945,47.70199966430664,48.244999694824216,48.34249973297119,48.627999801635745,47.45729999542236,46.98655002593994
2003-07-23,49.2355884213569,P,47.959999084472656,47.693999481201175,48.21099967956543,48.27649974822998,48.60679977416992,47.51649997711181,46.98545001983643
2003-07-24,49.17760031987792,B,47.900001525878906,47.69000015258789,48.1189998626709,48.2144998550415,48.58399978637695,47.57309997558594,46.979350032806394
2003-07-25,49.137475069899345,B,47.7400016784668,47.682000732421876,48.013000106811525,48.16549987792969,48.555199813842776,47.62329998016357,46.97165004730225
2003-07-28,49.285462633971015,B,48.0,47.810000610351565,47.86700019836426,48.13549995422363,48.535599822998044,47.65149997711182,46.96885004043579
2003-07-29,49.47073521303468,B,48.27999877929688,47.976000213623045,47.83899993896485,48.12949981689453,48.52279983520508,47.68629997253418,46.96405002593994
2003-07-30,49.461375406704434,B,48.119998931884766,48.008000183105466,47.85099983215332,48.10749969482422,48.51439979553223,47.71669994354248,46.958750019073484
2003-07-31,49.487784719192014,B,48.060001373291016,48.04000015258789,47.86500015258789,48.103499794006346,48.497199859619144,47.740299949645994,46.953150024414064
2003-08-01,49.52100587973865,B,47.86000061035156,48.06399993896484,47.87300033569336,48.0894998550415,48.46839988708496,47.76489994049072,46.947950019836426
2003-08-04,49.576012049003786,C,48.060001373291016,48.07600021362305,47.943000411987306,48.09249992370606,48.44359992980957,47.78749996185303,46.943250026702884
2003-08-05,49.49598085001379,B,47.7599983215332,47.97200012207031,47.97400016784668,48.10949993133545,48.41479988098145,47.81249996185303,46.93905002593994
2003-08-06,49.44135412273703,B,47.900001525878906,47.92800064086914,47.968000411987305,48.08950004577637,48.4015998840332,47.83149997711182,46.93555004119873
2003-08-07,49.4232214584848,B,48.040000915527344,47.9240005493164,47.98200035095215,48.050500106811526,48.40519989013672,47.85169998168945,46.92975004196167
2003-08-08,49.509564591418346,B,48.29999923706055,48.012000274658206,48.03800010681152,48.02550010681152,48.421599884033206,47.87489997863769,46.925450038909915
2003-08-11,49.86675900345788,A,49.880001068115234,48.376000213623044,48.226000213623045,48.04650020599365,48.466799926757815,47.928899993896486,46.928450050354
2003-08-12,50.385858911943274,A,50.36000061035156,48.896000671386716,48.434000396728514,48.13650016784668,48.50699996948242,47.989500007629395,46.934150047302246
2003-08-13,50.894353049484074,A,50.13999938964844,49.344000244140624,48.63600044250488,48.2435001373291,48.54299995422363,48.05130001068115,46.937450046539304
2003-08-14,51.41695164763229,A,50.22999954223633,49.78199996948242,48.853000259399415,48.35900020599365,48.58759994506836,48.11659999847412,46.94280004501343
2003-08-15,51.84113834539474,A,50.20000076293945,50.162000274658205,49.0870002746582,48.48000030517578,48.63239997863769,48.184200019836425,46.94480005264282
2003-08-18,51.92526502457915,A,50.36000061035156,50.258000183105466,49.317000198364255,48.630000305175784,48.68120002746582,48.260400009155276,46.94980005264282
2003-08-19,51.90231029570629,A,50.56999969482422,50.3,49.59800033569336,48.78600025177002,48.7326000213623,48.328500022888186,46.95965005874634
2003-08-20,51.868766516844495,A,50.7400016784668,50.42000045776367,49.88200035095215,48.92500038146973,48.78740005493164,48.37190002441406,46.970350074768064
2003-08-21,51.80766003179992,A,50.84000015258789,50.54200057983398,50.162000274658205,49.07200031280517,48.838200073242184,48.42170001983643,46.97955007553101
2003-08-22,51.73587731807212,A,50.880001068115234,50.67800064086914,50.42000045776367,49.2290002822876,48.87580009460449,48.46870002746582,46.987650089263916
2003-08-25,51.48150036834977,A,50.27999877929688,50.662000274658205,50.46000022888184,49.34300022125244,48.89540008544922,48.508500022888185,46.99415008544922
2003-08-26,51.203142395329536,A,50.52000045776367,50.652000427246094,50.476000213623045,49.45500030517578,48.9118000793457,48.55110004425049,47.0000500869751
2003-08-27,50.96212140425661,A,50.47999954223633,50.6,50.510000228881836,49.57300033569336,48.92140007019043,48.59030002593994,47.010250091552734
2003-08-28,50.73190092533623,A,50.58000183105469,50.54800033569336,50.54500045776367,49.69900035858154,48.93660011291504,48.63050003051758,47.02155010223389
2003-08-29,50.53607543376239,A,50.59999847412109,50.491999816894534,50.58500022888184,49.83600025177002,48.95100006103516,48.66970001220703,47.03385009765625
2003-09-01,50.57693860142425,A,50.59999847412109,50.555999755859375,50.609000015258786,49.96300010681152,48.962600021362306,48.70090000152588,47.05115009307861
2003-09-02,50.62584580482605,A,50.61000061035156,50.57399978637695,50.613000106811526,50.10550022125244,48.97400001525879,48.734799995422364,47.06970008850098
2003-09-03,50.669648223209926,A,50.59999847412109,50.597999572753906,50.59899978637695,50.24050006866455,49.00040000915527,48.76879997253418,47.08570007324219
2003-09-04,50.63662562109266,A,50.45000076293945,50.57199935913086,50.55999984741211,50.361000061035156,49.02660003662109,48.79469997406006,47.10095006942749
2003-09-05,50.54950216000028,A,50.31999969482422,50.51599960327148,50.50399971008301,50.46200008392334,49.05860000610352,48.819299964904786,47.111450061798095
2003-09-08,50.41129283670295,P,50.310001373291016,50.45800018310547,50.50699996948242,50.48350009918213,49.092800064086916,48.841099967956545,47.12190006256103
2003-09-09,50.277212113627975,P,50.459999084472656,50.427999877929686,50.50099983215332,50.48850002288818,49.13400001525879,48.85749996185303,47.135500049591066
2003-09-10,50.17601181486307,P,50.47999954223633,50.40400009155273,50.50099983215332,50.50550003051758,49.17239997863769,48.877099952697755,47.152100048065186
2003-09-11,50.12418784183314,P,50.29999923706055,50.373999786376956,50.472999572753906,50.50900001525879,49.21559997558594,48.900299949646,47.168800048828125
2003-09-12,50.12102400483234,P,50.15999984741211,50.34199981689453,50.428999710083005,50.50699996948242,49.25599998474121,48.930099945068356,47.18610004425049
2003-09-15,50.05794319118899,P,49.63999938964844,50.20799942016602,50.332999801635744,50.47099990844727,49.28879997253418,48.956499938964846,47.20420003890991
2003-09-16,50.129719014512204,P,50.41999816894531,50.199999237060545,50.313999557495116,50.46349983215332,49.34879997253418,48.99129993438721,47.22120002746582
2003-09-17,50.01894771647335,P,49.79999923706055,50.06399917602539,50.23399963378906,50.41649971008301,49.37879997253418,49.02289993286133,47.233300018310544
2003-09-18,49.953417102134104,P,50.0,50.00399932861328,50.188999557495116,50.37449970245361,49.402399978637696,49.05649993896484,47.24480001449585
2003-09-19,50.04407784056635,P,50.7400016784668,50.119999694824216,50.23099975585937,50.36749973297119,49.44120002746582,49.093899955749514,47.26080001831055
2003-09-22,50.18266408316012,P,50.5,50.29199981689453,50.249999618530275,50.378499794006345,49.462000045776364,49.11309993743897,47.27770002365112
2003-09-23,50.10423679036688,P,50.47999954223633,50.30400009155274,50.25199966430664,50.37649974822998,49.50040000915527,49.12509994506836,47.290100021362306
2003-09-24,50.18779333243645,P,50.2400016784668,50.39200057983398,50.22799987792969,50.3644998550415,49.54520004272461,49.135299949646,47.302500038146974
2003-09-25,50.24849790028091,A,50.20000076293945,50.432000732421876,50.21800003051758,50.34549980163574,49.59080009460449,49.15189994812012,47.317500038146974
2003-09-26,50.075250796153114,P,50.0,50.284000396728516,50.202000045776366,50.31549987792969,49.635200119018556,49.169099960327145,47.33070003509521
2003-09-29,49.99304112453084,P,50.09999847412109,50.204000091552736,50.24799995422363,50.29049987792969,49.69000007629395,49.17669994354248,47.346000022888184
