Date,GRADE,GPS,HLT,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2018-12-14,49.52755551592634,B,70.60423278808594,71.12104034423828,72.5741958618164,72.64837837219238,71.14248275756836,73.70929374694825,76.47794586181641
2018-12-17,49.25316668070632,B,69.04200744628906,70.64942626953125,71.8176513671875,72.60269088745117,71.05354614257813,73.6434577178955,76.42690872192382
2018-12-18,48.96289776011492,B,69.2581787109375,70.27410278320312,71.35979461669922,72.55356483459472,70.96344146728515,73.56627883911133,76.37636631011964
2018-12-19,48.39296283444333,B,68.44268035888672,69.6610092163086,70.82038803100586,72.4106071472168,70.89291366577149,73.482119140625,76.32179527282715
2018-12-20,47.36569611134709,B,66.3204116821289,68.73350219726562,70.02552337646485,72.16153602600097,70.78582351684571,73.37771545410156,76.25343818664551
2018-12-21,45.97976614505194,B,65.30842590332031,67.6743408203125,69.39769058227539,71.83484535217285,70.64829620361328,73.26573616027832,76.18187713623047
2018-12-24,45.25513613393897,B,65.34773254394531,66.93548583984375,68.7924560546875,71.41334228515625,70.5239094543457,73.15463943481446,76.1115383529663
2018-12-25,44.26032437178711,B,65.34773254394531,66.15339660644531,68.21374969482422,70.9879093170166,70.36736190795898,73.04872924804687,76.04095520019531
2018-12-26,44.470497194192724,B,68.29530334472656,66.12392120361328,67.89246520996093,70.62241058349609,70.27192306518555,72.97924285888672,75.98271675109864
2018-12-27,46.033312952295034,B,69.1009750366211,66.68003387451172,67.70676803588867,70.32126693725586,70.24103454589844,72.92359794616699,75.93534439086915
2018-12-28,48.23380732854253,B,69.71013641357422,67.5603759765625,67.6173583984375,70.09577713012695,70.24958740234375,72.87894714355468,75.90210475921631
2018-12-31,50.54330915301103,B,70.54528045654297,68.59988555908203,67.76768569946289,69.7926685333252,70.28464828491211,72.84598159790039,75.864200630188
2019-01-01,53.074376429893164,B,70.54528045654297,69.63939514160157,67.89639587402344,69.62809524536132,70.34500610351563,72.80095573425292,75.83210857391357
2019-01-02,54.38530555282362,C,69.70030975341797,69.92039642333984,68.02215881347657,69.42127342224121,70.48749542236328,72.7506177520752,75.79813606262206
2019-01-03,53.69944438458378,C,66.1239242553711,69.32498626708984,68.00251007080078,69.0140167236328,70.48531158447265,72.65451469421387,75.74408367156983
2019-01-04,53.44633235529852,C,68.7177963256836,69.12651824951172,68.34344711303712,68.87056884765624,70.52088592529297,72.5847428894043,75.70300064086913
2019-01-07,53.19730980545199,C,69.50379180908203,68.91822052001953,68.75905303955078,68.77575454711913,70.56570892333984,72.53175346374512,75.67410182952881
2019-01-08,53.11874603485567,B,70.60423278808594,68.93001098632813,69.28470306396484,68.74922637939453,70.63057968139648,72.4854541015625,75.64845851898194
2019-01-09,52.80639487889556,B,69.79856872558594,68.94966278076171,69.43502960205078,68.66374740600585,70.63090026855468,72.42649002075196,75.61634483337403
2019-01-10,54.37951734405011,C,70.81056213378906,69.88699035644531,69.60598831176758,68.65637817382813,70.62243774414063,72.38186180114747,75.58435813903809
2019-01-11,54.698244471130636,C,70.63371276855469,70.27017364501953,69.69834594726562,68.65785217285156,70.60710433959962,72.33213157653809,75.55895988464356
2019-01-14,54.46690651948622,C,69.74943542480469,70.31930236816406,69.6187614440918,68.69322357177734,70.58232162475586,72.2671851348877,75.53578262329101
2019-01-15,54.37235328159799,C,71.23303985595703,70.44506378173828,69.6875373840332,68.79196662902832,70.6227052307129,72.21991813659668,75.5255912399292
2019-01-16,54.57480948543681,C,70.78108215332031,70.64156646728516,69.79561462402344,68.90888671875,70.6073779296875,72.16117012023926,75.49067325592041
2019-01-17,54.462858219610155,C,70.74179077148438,70.62781219482422,70.25740127563476,69.12995567321778,70.60698516845703,72.10791213989258,75.45389820098877
2019-01-18,54.94169160338773,C,71.80292510986328,70.86165466308594,70.56591415405273,69.45468063354492,70.64471420288086,72.06487335205078,75.4240894317627
2019-01-21,55.777660337386514,C,71.80292510986328,71.27235260009766,70.79582748413085,69.77744026184082,70.70150451660156,72.02183456420899,75.38978729248046
2019-01-22,55.234306809129635,C,69.76908874511719,70.97956237792968,70.71231307983399,69.99850807189941,70.70445205688476,71.9629677581787,75.34223888397217
2019-01-23,54.79531719843731,C,69.4939956665039,70.7221450805664,70.68185577392578,70.05844268798828,70.69757446289063,71.91546936035157,75.28833324432372
2019-01-24,54.02275694565673,C,69.8182144165039,70.53742980957031,70.58262100219727,70.09430465698242,70.66161422729492,71.87150726318359,75.23702548980712
2019-01-25,53.03246732050227,C,70.5059814453125,70.27804107666016,70.56984786987304,70.13409690856933,70.63646179199219,71.82706901550293,75.18744724273682
2019-01-28,52.26663216505634,B,71.04638671875,70.1267333984375,70.69954299926758,70.15915222167969,70.65827438354492,71.7865640258789,75.14174312591553
2019-01-29,52.7436442697873,C,71.8717041015625,70.54725646972656,70.76340942382812,70.22547340393066,70.69089447021484,71.74627212524415,75.1004098892212
2019-01-30,53.69134013932776,C,72.83456420898438,71.21537017822266,70.96875762939453,70.38218612670899,70.72154907226563,71.71021575927735,75.06491661071777
2019-01-31,54.917303164875534,C,73.1784439086914,71.88741607666016,71.21242294311523,70.734912109375,70.75908126831055,71.66798950195313,75.03065425872802
2019-02-01,55.79893607062999,C,73.1195068359375,72.41012115478516,71.34408111572266,70.95499763488769,70.78462661743164,71.61419212341309,75.0046932220459
2019-02-04,56.40601801091216,C,73.42408752441406,72.88566131591797,71.50619735717774,71.1510124206543,70.77755249023437,71.57285362243653,74.98675102233886
2019-02-05,56.592993944613845,C,73.31600189208984,73.17452087402344,71.860888671875,71.28660087585449,70.7667446899414,71.52759071350097,74.9614306640625
2019-02-06,56.60400695326171,C,74.24940490722656,73.45748901367188,72.33642959594727,71.50914268493652,70.7396272277832,71.48146430969238,74.94463569641113
2019-02-07,56.003192228154596,C,73.37496948242188,73.49679412841797,72.69210510253906,71.63736305236816,70.70464965820312,71.4202205657959,74.92141723632812
2019-02-08,55.418755795681335,C,72.61842346191406,73.39657745361328,72.90334930419922,71.73659858703613,70.67261947631836,71.35258773803712,74.8881155014038
2019-02-11,54.88779775647208,C,73.099853515625,73.33173065185547,73.10869598388672,71.90411949157715,70.60246749877929,71.29761322021484,74.8562929534912
2019-02-12,54.386953571404284,C,73.02124786376953,73.27277984619141,73.22365036010743,71.99352989196777,70.58615753173828,71.24234313964844,74.8188026046753
2019-02-13,55.13284872530097,C,77.98300170898438,74.01949920654297,73.73849411010742,72.35362586975097,70.66908264160156,71.23129768371582,74.80406967163086
2019-02-14,56.52951391657743,C,78.75920867919922,75.09634704589844,74.2965705871582,72.75449676513672,70.75888565063477,71.21448348999023,74.79292415618896
2019-02-15,58.859574657124625,C,80.3214111328125,76.63694458007812,75.0167610168457,73.18042106628418,70.93357879638671,71.22564544677735,74.78591999053955
2019-02-18,61.17078958680535,C,80.3214111328125,78.08125610351563,75.70649337768555,73.60634536743164,71.11200546264648,71.26024162292481,74.7815580368042
2019-02-19,63.586965458432964,A,79.96770477294922,79.47054748535156,76.37166366577148,74.11627616882325,71.28866363525391,71.30414527893066,74.77518291473389
2019-02-20,64.60732471464304,A,81.88361358642578,80.25066986083985,77.13508453369141,74.73575706481934,71.49617294311524,71.3724047088623,74.77261363983155
2019-02-21,65.39851040199908,A,81.79518127441406,80.85786437988281,77.97710571289062,75.33460540771485,71.71291763305663,71.45095756530762,74.7740058517456
2019-02-22,65.98178638143182,A,83.54407501220703,81.50239715576171,79.06967086791992,75.98651008605957,71.97171447753907,71.5570986175537,74.78150035858154
2019-02-25,66.05305113947132,A,82.08995056152344,81.85610504150391,79.96868057250977,76.53868827819824,72.23267333984376,71.64310974121094,74.78133277893066
2019-02-26,66.07557128331099,A,82.03099060058594,82.26876220703124,80.86965484619141,77.04665260314941,72.48812957763671,71.72578552246094,74.7865461730957
2019-02-27,65.59994066175136,A,82.03099060058594,82.29823760986328,81.27445373535156,77.5064739227295,72.7598957824707,71.82640472412109,74.79386363983154
2019-02-28,65.07167108126016,A,81.7947769165039,82.29815673828125,81.57801055908203,77.93729057312012,73.0693830871582,71.92760330200196,74.80146793365479
