Date,GRADE,GPS,ALB,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2007-06-29,51.23122534021508,B,30.13455581665039,29.85768356323242,29.731766510009766,30.6296537399292,31.87121639251709,32.270040397644046,29.374641094207764
2007-07-02,51.3945186935974,B,30.37699317932129,30.03287467956543,29.75210018157959,30.521773052215575,31.791091232299806,32.25428457260132,29.418968477249145
2007-07-03,51.63301605641707,B,30.68202781677246,30.256556701660156,29.893661117553712,30.42953453063965,31.774164352416992,32.23683269500732,29.465461330413817
2007-07-04,51.80315946878266,C,30.68202781677246,30.398902130126952,30.04930019378662,30.359136486053465,31.720108299255372,32.2188360786438,29.511663122177126
2007-07-05,52.0839023428826,C,31.57363510131836,30.689847946166992,30.258906173706055,30.367249298095704,31.691216773986817,32.2117396736145,29.563448390960694
2007-07-06,52.37674031966358,C,31.542348861694336,30.971406555175783,30.4145450592041,30.376527976989745,31.66076332092285,32.202774391174316,29.61573702812195
2007-07-09,52.64985151142648,C,31.90992546081543,31.27799301147461,30.65543384552002,30.405355739593507,31.636725425720215,32.19748487472534,29.66945601463318
2007-07-10,52.77464575224059,C,31.76915168762207,31.49541778564453,30.875987243652343,30.459125137329103,31.609248275756837,32.18775310516357,29.723499555587768
2007-07-11,52.92846411274427,C,31.956863403320312,31.750384902954103,31.074643516540526,30.502141380310057,31.59082939147949,32.17235076904297,29.777724895477295
2007-07-12,52.993968711093714,C,32.63729476928711,31.96311683654785,31.326482391357423,30.581525230407713,31.579310836791993,32.16725414276123,29.833722438812256
2007-07-13,53.18076943973227,C,33.28644561767578,32.31193618774414,31.64167137145996,30.686718940734863,31.584675521850585,32.16779319763184,29.891937313079833
2007-07-16,53.206860394151356,C,32.61383056640625,32.4527172088623,31.86535511016846,30.808727645874022,31.58173614501953,32.16156711578369,29.94630401611328
2007-07-17,53.35716839366422,C,33.02051544189453,32.702989959716795,32.09920387268066,30.996432495117187,31.58693046569824,32.173763790130614,30.003131074905397
2007-07-18,53.51818720161225,A,33.130008697509766,32.937619018554685,32.3440019607544,31.19665107727051,31.585110244750975,32.18619951248169,30.06128173828125
2007-07-19,53.52500392340642,A,32.8719367980957,32.9845474243164,32.47383213043213,31.36636915206909,31.59903335571289,32.19609329223633,30.116104593276976
2007-07-20,53.4019017386372,A,32.93448638916016,32.91415557861328,32.613045883178714,31.513795471191408,31.60765525817871,32.20711847305298,30.17153127670288
2007-07-23,53.33259284359826,A,32.379207611083984,32.86723098754883,32.659974098205566,31.657703971862794,31.608447189331056,32.22146110534668,30.223405361175537
