Date,GRADE,GPS,GE,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2003-04-16,53.18537100406007,A,77.1990737915039,77.07148742675781,76.8994987487793,75.38630676269531,69.56114204406738,69.205954246521,72.02302360534668
2003-04-17,53.66926048808656,A,79.0299072265625,77.68730926513672,77.16025161743164,75.61377143859863,69.88188682556152,69.2547035598755,72.047262840271
2003-04-18,53.73064362685111,A,79.0299072265625,78.15332946777343,77.39881286621093,75.68173408508301,70.21308898925781,69.30427219390869,72.05454986572266
2003-04-21,53.689005806400424,A,78.11446380615234,78.37524108886718,77.50976867675782,75.88007049560547,70.52983467102051,69.34250133514405,72.06200630187988
2003-04-22,53.80959671148688,A,80.41687774658203,78.75804595947265,77.76774597167969,76.15885353088379,70.89978378295899,69.41604572296143,72.09046806335449
2003-04-23,55.093487906467594,A,81.52645874023438,79.62352294921875,78.34750518798828,76.5458209991455,71.3056851196289,69.50696781158447,72.11498447418212
2003-04-24,55.58883507355666,A,80.72203063964844,79.96194763183594,78.82462844848632,76.91475677490234,71.69990043640136,69.60951114654542,72.14293781280517
2003-04-25,56.453563596411215,A,80.7497329711914,80.30591278076172,79.22962112426758,77.34194450378418,72.07760780334473,69.70550342559814,72.18703227996826
2003-04-28,58.02513426063197,A,81.88704681396484,81.06042938232422,79.7178352355957,77.89950942993164,72.47806144714356,69.82789066314697,72.24847625732421
2003-04-29,58.46979570602917,A,81.55421447753906,81.28789672851562,80.02297134399414,78.35305290222168,72.84819122314452,69.93520488739014,72.3199189376831
2003-04-30,57.94425688009469,A,81.69290924072266,81.32118682861328,80.47235488891602,78.68592681884766,73.19687789916992,70.03817050933839,72.36859363555908
2003-05-01,57.30944590861524,A,80.72203063964844,81.32118682861328,80.64156723022461,78.90090942382812,73.52614700317383,70.13798244476318,72.41078662872314
2003-05-02,56.52424513176459,A,80.66654968261719,81.30455017089844,80.80523147583008,79.10202217102051,73.82953872680665,70.24816471099854,72.43710636138916
2003-05-05,54.674715905336825,A,79.9730224609375,80.92174530029297,80.9910873413086,79.2504280090332,74.13997482299804,70.32601055145264,72.42401996612548
2003-05-06,53.37317708269509,A,80.77748107910156,80.76639862060547,81.02714767456055,79.39744682312012,74.43567779541016,70.42364566802979,72.39936012268066
2003-05-07,52.19043688809058,A,80.02852630615234,80.4335220336914,80.87735443115234,79.61242980957032,74.73970291137695,70.52307781219483,72.36281845092773
2003-05-08,51.25544094757222,A,78.97441864013672,80.08399963378906,80.70259323120118,79.76361083984375,74.99324203491211,70.6190703201294,72.33185577392578
2003-05-09,50.8953005164956,P,80.44461059570312,80.03961181640625,80.67208099365234,79.95085105895996,75.26786331176758,70.71474216461182,72.334010887146
2003-05-12,51.03771678882287,P,80.36140441894531,80.1172882080078,80.51951675415039,80.11867599487304,75.54914215087891,70.81559116363525,72.3520240020752
2003-05-13,50.69546449491383,P,79.19632720947266,79.80105743408203,80.28372802734376,80.15334968566894,75.83485977172852,70.9157141494751,72.34590366363526
2003-05-14,50.60758678665147,P,79.36275482177734,79.66790313720703,80.05071258544922,80.26153373718262,76.10171371459961,71.01750141143799,72.32569751739501
2003-05-15,50.56748696932758,P,79.0021743774414,79.67345428466797,79.87872695922852,80.26014709472656,76.35303390502929,71.11650302886963,72.28741458892823
2003-05-16,49.35327112435997,P,77.25457000732422,79.03544616699219,79.53752899169922,80.17138023376465,76.54998397827148,71.20931140899658,72.23429088592529
2003-05-19,48.04699051872684,P,76.42237854003906,78.24764099121094,79.18246459960938,80.08677597045899,76.76912643432617,71.29930149078369,72.17904048919678
2003-05-20,47.4207289526146,P,76.92169952392578,77.79271545410157,78.7968864440918,79.91201705932617,77.01212432861328,71.39841297149658,72.14391681671142
2003-05-21,46.4618631932478,P,76.56108093261719,77.23238067626953,78.45014190673828,79.66374816894532,77.22294479370117,71.49391826629639,72.0941064453125
2003-05-22,45.6564340306135,P,76.92169952392578,76.8162857055664,78.24486999511718,79.47373161315917,77.36275238037109,71.56193225860596,72.04081024169922
2003-05-23,45.546439223528985,P,76.67204284667969,76.6997802734375,77.86761322021485,79.2698471069336,77.47315567016602,71.62965183258056,71.99630123138428
2003-05-26,45.31798971664631,P,76.67204284667969,76.74971313476563,77.49867706298828,79.00909690856933,77.54916152954101,71.67948337554931,71.93361991882324
2003-05-27,45.58171027639431,P,78.53059387207031,77.07149200439453,77.43210372924804,78.8579158782959,77.65512619018554,71.75202823638917,71.88891059875488
2003-05-28,46.03595797389074,P,78.41962432861328,77.44320068359374,77.33779067993164,78.69425163269042,77.7266943359375,71.83447101593018,71.8429683303833
2003-05-29,46.46316858940421,P,78.36416625976562,77.73169403076172,77.27398986816407,78.57635841369628,77.80436538696289,71.90535160064697,71.79132427215576
2003-05-30,47.375741752445116,P,79.61241149902344,78.31976776123047,77.50977401733398,78.52365150451661,77.84320053100586,71.99559467315675,71.75202404022217
2003-06-02,48.95891998949287,A,80.44461059570312,79.07428131103515,77.9119972229004,78.54723091125489,77.96913803100585,72.09443454742431,71.7193257522583
2003-06-03,49.6294681450997,A,80.58330535888672,79.48482360839844,78.27815780639648,78.53752212524414,78.08397979736328,72.19273509979249,71.68894847869873
2003-06-04,50.81535861566412,A,81.44324493408203,80.08954772949218,78.76637420654296,78.60825805664062,78.23710250854492,72.31394519805909,71.67168579101562
2003-06-05,52.49768671532551,A,82.60831451416016,80.9383773803711,79.33503570556641,78.78995285034179,78.4224024963379,72.45120960235596,71.67313175201416
2003-06-06,54.032772362892246,A,84.05076599121094,81.8260482788086,80.07290802001953,78.97026062011719,78.65929824829101,72.60702617645264,71.68450260162354
2003-06-09,54.90870394941305,A,83.60693359375,82.45851287841796,80.76639709472656,79.13253707885742,78.9167219543457,72.75840442657471,71.6936542892456
2003-06-10,56.43737434991484,A,84.85521697998047,83.31289520263672,81.39885940551758,79.41548156738281,79.16415939331054,72.94483173370361,71.73196659088134
2003-06-11,57.68914534122126,A,85.93704223632812,84.21165466308594,82.15060119628906,79.74419593811035,79.38219161987304,73.15611248016357,71.77243324279785
2003-06-12,58.40204301678481,A,86.18668365478516,84.92732849121094,82.93285293579102,80.10342140197754,79.57747772216797,73.35888164520264,71.82364112854003
2003-06-13,58.35286543956499,A,85.02164459228516,85.12150421142579,83.4737762451172,80.49177513122558,79.74502471923829,73.57449314117432,71.86495544433593
2003-06-16,59.05660169936396,A,86.9356689453125,85.78725128173828,84.12288208007813,81.01743965148925,79.94363998413085,73.809520072937,71.90933029174805
2003-06-17,59.01476232527299,A,86.54732513427734,86.12567291259765,84.71928405761719,81.49872093200683,80.11784439086914,74.03791160583496,71.94769481658936
2003-06-18,58.324738211439616,A,85.24354553222656,85.98697357177734,85.09931411743165,81.9328441619873,80.3081379699707,74.25656772613526,71.9806254196167
