Date,GRADE,GPS,WMB,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1997-08-20,54.04296846656397,P,6.406851291656494,6.388112258911133,6.463853168487549,6.454520130157471,6.2219932174682615,6.203222937583924,5.912139904499054
1997-08-21,53.9638654619197,P,6.300371170043945,6.358266448974609,6.426872873306275,6.451911449432373,6.235066471099853,6.205886311531067,5.919450855255127
1997-08-22,53.934742072943855,P,6.318115711212158,6.353144931793213,6.404019021987915,6.443131685256958,6.2460242366790775,6.20785011768341,5.926735076904297
1997-08-25,53.96995439936836,P,6.371359825134277,6.362201309204101,6.387371921539307,6.4387784719467165,6.257693920135498,6.208592238426209,5.934400970935822
1997-08-26,54.027978460895916,P,6.539961814880371,6.387331962585449,6.3964080810546875,6.440649795532226,6.274147300720215,6.210318756103516,5.94267894744873
1997-08-27,54.30561402700431,P,6.664192199707031,6.4388001441955565,6.413456201553345,6.45137939453125,6.294496974945068,6.211708931922913,5.951924481391907
1997-08-28,54.63679077574107,A,6.584327697753906,6.495591449737549,6.426928949356079,6.45767457485199,6.3097202110290525,6.2115988397598265,5.96082843542099
1997-08-29,55.0759563141556,A,6.628695487976074,6.557707405090332,6.455426168441773,6.473246812820435,6.324772024154663,6.215615954399109,5.969723281860351
1997-09-01,55.40982113322389,A,6.628695487976074,6.609174537658691,6.485687923431397,6.486613082885742,6.3401767539978025,6.2199838781356815,5.976597406864166
1997-09-02,55.84282859200987,A,6.983650207519531,6.697912216186523,6.542622089385986,6.5146390199661255,6.361268939971924,6.225621099472046,5.98495762348175
1997-09-03,55.926329536239486,A,6.877162933349609,6.740506362915039,6.589653253555298,6.526753211021424,6.381643018722534,6.2293164157867436,5.99318954706192
1997-09-04,56.09606940439303,A,6.806171417236328,6.784875106811524,6.640233278274536,6.5335530757904055,6.40024435043335,6.236160778999329,6.001066513061524
1997-09-05,56.24510745054718,A,6.921531200408936,6.8434422492980955,6.700574827194214,6.552296924591064,6.418329467773438,6.243281683921814,6.009751226902008
1997-09-08,56.377063203544246,A,6.886035919189453,6.8949103355407715,6.752042436599732,6.569707179069519,6.432528524398804,6.251275510787964,6.018200733661652
1997-09-09,56.00203677481884,A,6.815043449401856,6.861188983917236,6.77955060005188,6.587979340553284,6.445307731628418,6.258559412956238,6.026295278072357
1997-09-10,55.77086879044384,A,6.779551029205322,6.841666603088379,6.791086483001709,6.602271342277527,6.457553472518921,6.265312962532043,6.0335658740997316
1997-09-11,55.44856785064192,A,6.673066139221191,6.815045547485352,6.799960327148438,6.6134446382522585,6.465728406906128,6.270475449562073,6.040536587238312
1997-09-12,55.096747565621435,A,6.770676612854004,6.784874629974365,6.8141584396362305,6.634792304039001,6.475855550765991,6.276438622474671,6.048053483963013
1997-09-15,54.81744101117968,A,6.770676612854004,6.761802768707275,6.828356552124023,6.65702223777771,6.484924068450928,6.282401795387268,6.055570380687714
1997-09-16,54.81381459634011,A,6.886035919189453,6.776001262664795,6.818595123291016,6.680608606338501,6.4973583984375,6.289167747497559,6.063838496208191
1997-09-17,54.857925973535345,A,6.806171417236328,6.781325340270996,6.811495971679688,6.700574612617492,6.511724691390992,6.295485868453979,6.072230529785156
1997-09-18,55.150927912168925,A,6.886035919189453,6.823919296264648,6.819482421875,6.729857850074768,6.525923748016357,6.302602634429932,6.081312572956085
1997-09-19,55.32570817419511,A,6.912659645080566,6.852315902709961,6.818595266342163,6.759585046768189,6.541890411376953,6.309985637664795,6.090237047672272
1997-09-22,55.42730072453548,A,6.886035919189453,6.87538776397705,6.818595266342163,6.785318851470947,6.554501314163208,6.315874519348145,6.099202814102173
1997-09-23,55.38145178270901,A,6.850536346435547,6.868287849426269,6.822144556045532,6.800847578048706,6.565343465805054,6.322110042572022,6.10793294429779
