Date,GRADE,GPS,AES,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2006-06-05,61.26073364761272,A,12.742573738098145,12.65346450805664,12.444400024414062,12.37962555885315,11.856145210266114,11.829549827575683,11.329580392837524
2006-06-06,61.61589492286515,A,12.81112289428711,12.754911994934082,12.504720401763915,12.41081395149231,11.881781234741212,11.845178213119507,11.340067858695983
2006-06-07,61.52202694512247,A,12.77684497833252,12.787813949584962,12.573265838623048,12.440973615646362,11.904812469482422,11.858064708709717,11.350006923675537
2006-06-08,61.07523055711971,A,12.54379177093506,12.746686935424805,12.607538414001464,12.463936185836792,11.923730983734131,11.86231451034546,11.359431910514832
2006-06-09,60.50360573325903,A,12.54379177093506,12.683625030517579,12.628102493286132,12.468048763275148,11.940730266571045,11.866838521957398,11.369302430152892
2006-06-12,60.16295279439155,A,12.557504653930664,12.646611213684082,12.650037860870361,12.470448064804078,11.963213233947753,11.871636743545531,11.379241514205933
2006-06-13,59.51510392421224,A,12.345012664794922,12.553389167785644,12.654150581359863,12.464964771270754,11.97527723312378,11.874652757644654,11.388495125770568
2006-06-14,58.893699306078524,A,12.24904727935791,12.447829627990723,12.617821788787841,12.462222862243653,11.987204093933105,11.880479116439819,11.396000847816467
2006-06-15,58.44079652182989,P,12.043411254882812,12.347753524780273,12.547220230102539,12.44542922973633,11.99721170425415,11.885277261734009,11.404843192100525
2006-06-16,58.07290185495744,P,11.99542999267578,12.238081169128417,12.460853099822998,12.433433771133423,12.01188039779663,11.889115800857544,11.412006187438966
2006-06-19,57.27147218470921,P,11.591012001037598,12.044782638549805,12.345696926116943,12.395048475265503,12.01297721862793,11.888498878479004,11.417181353569031
2006-06-20,56.93248404471934,P,11.803503036499023,11.936480712890624,12.244934940338135,12.374827671051026,12.020654315948486,11.889732694625854,11.423830242156983
2006-06-21,56.927313296302025,P,12.022849082946776,11.891241073608398,12.16953535079956,12.371400594711304,12.03628267288208,11.892405996322632,11.431678686141968
2006-06-22,57.06976777285268,P,12.002280235290527,11.88301486968994,12.115384197235107,12.361461305618286,12.048346576690674,11.895216293334961,11.438875932693481
2006-06-23,57.08020759198309,P,11.824067115783691,11.848742294311524,12.04341173171997,12.335757112503051,12.056846218109131,11.894736499786378,11.445901832580567
2006-06-26,57.697922544517375,P,11.98857307434082,11.928254508972168,11.986518573760986,12.318278217315674,12.066716709136962,11.896450109481812,11.454264345169067
2006-06-27,58.34115208524574,P,12.317591667175291,12.031072235107422,11.983776473999024,12.318963527679443,12.081522483825683,11.90186517715454,11.46557433128357
2006-06-28,58.714036341815415,P,12.379283905029297,12.102359199523926,11.996800136566161,12.307310962677002,12.101537666320802,11.907417345046998,11.476438760757446
2006-06-29,59.33438882563174,P,12.701446533203123,12.242192459106445,12.062603664398193,12.304911947250366,12.126351108551026,11.916739473342895,11.488742651939392
2006-06-30,60.12047188632322,A,12.646611213684082,12.406701278686523,12.127721786499023,12.29428744316101,12.151712837219238,11.925513248443604,11.501149363517762
2006-07-03,60.80124345279703,A,12.74942684173584,12.558872032165528,12.243563270568847,12.294630098342896,12.177760047912598,11.93682318687439,11.512562141418456
2006-07-04,61.06672714129579,A,12.74942684173584,12.645239067077636,12.33815565109253,12.291545295715332,12.205315265655518,11.948407335281372,11.523118114471435
2006-07-05,61.43784013276064,A,12.927648544311523,12.754911994934082,12.428635597229004,12.299085474014282,12.238902549743653,11.96040280342102,11.53316002368927
2006-07-06,61.51468643879991,A,13.016752243041992,12.817973136901855,12.53008279800415,12.322733497619629,12.271255893707275,11.970821676254273,11.54306480884552
2006-07-07,61.747264358420246,A,13.20867919921875,12.930386734008788,12.668544006347656,12.355977869033811,12.302786712646485,11.981514739990235,11.552798228263855
2006-07-10,61.89461083399399,A,13.338916778564451,13.048284721374511,12.80357837677002,12.3950484752655,12.33911569595337,11.993510179519653,11.561777658462525
2006-07-11,62.24580633603037,A,13.44858741760254,13.188116836547852,12.916677951812744,12.450227212905883,12.379283123016357,12.00811032295227,11.570414342880248
2006-07-12,62.29511718482209,A,13.201826095581056,13.242952346801758,12.99893217086792,12.49786615371704,12.415886325836182,12.020722618103028,11.579359526634216
2006-07-13,62.2577124679922,A,13.140135765075684,13.267629051208496,13.042801094055175,12.552702379226684,12.451255722045898,12.032855167388917,11.58895586490631
2006-07-14,62.13500396187252,A,13.35262393951416,13.296417999267579,13.113402366638184,12.620562076568604,12.48073013305664,12.045878772735596,11.598552203178405
