Date,GRADE,GPS,ANSS,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1997-01-07,,,3.21875,3.25625,3.28125,3.315625,3.0996875,3.075625,
1997-01-08,,,2.0,2.98125,3.15625,3.25625,3.0796875,3.066875,
1997-01-09,,,2.0,2.73125,3.03125,3.196875,3.0584375,3.0584375,
1997-01-10,,,2.03125,2.49375,2.9,3.1390625,3.0390625,3.0509375,
1997-01-13,,,2.21875,2.29375,2.790625,3.0921875,3.0228125,3.0459375,
1997-01-14,,,2.28125,2.10625,2.68125,3.0234375,3.0065625,3.04125,
1997-01-15,,,2.25,2.15625,2.56875,2.9546875,2.9890625,3.035625,
1997-01-16,,,2.25,2.20625,2.46875,2.8875,2.9715625,3.03,
1997-01-17,,,2.28125,2.25625,2.375,2.83125,2.9553125,3.024375,
1997-01-20,,,2.40625,2.29375,2.29375,2.7890625,2.9409375,3.02,
1997-01-21,,,2.4375,2.325,2.215625,2.7484375,2.9290625,3.016875,
1997-01-22,,,2.5,2.375,2.265625,2.7109375,2.918125,3.01375,
1997-01-23,,,2.5,2.425,2.315625,2.6734375,2.908125,3.0109375,
1997-01-24,,,2.3125,2.43125,2.34375,2.621875,2.894375,3.0071875,
1997-01-27,,,2.3125,2.4125,2.353125,2.571875,2.880625,3.0028125,
1997-01-28,,,2.375,2.4,2.3625,2.521875,2.869375,2.9996875,
1997-01-29,,,2.3125,2.3625,2.36875,2.46875,2.85625,2.995625,
1997-01-30,,,2.34375,2.33125,2.378125,2.4234375,2.845625,2.9925,
1997-01-31,,,2.375,2.34375,2.3875,2.38125,2.835625,2.98875,
1997-02-03,,,2.375,2.35625,2.384375,2.3390625,2.82625,2.9846875,
1997-02-04,,,2.3125,2.34375,2.371875,2.29375,2.815625,2.9771875,
1997-02-05,,,2.25,2.33125,2.346875,2.30625,2.8025,2.9696875,
1997-02-06,,,2.25,2.3125,2.321875,2.31875,2.789375,2.9621875,
1997-02-07,,,2.21875,2.28125,2.3125,2.328125,2.775625,2.954375,
1997-02-10,,,2.21875,2.25,2.303125,2.328125,2.761875,2.9475,
1997-02-11,,,2.1875,2.225,2.284375,2.3234375,2.7475,2.94125,
1997-02-12,,,2.3125,2.2375,2.284375,2.3265625,2.7375,2.93625,
1997-02-13,,,2.34375,2.25625,2.284375,2.33125,2.728125,2.93125,
1997-02-14,,,2.25,2.2625,2.271875,2.3296875,2.7175,2.924375,
1997-02-17,,,2.25,2.26875,2.259375,2.321875,2.7075,2.9178125,
1997-02-18,,,2.28125,2.2875,2.25625,2.3140625,2.695,2.911875,
1997-02-19,,,2.15625,2.25625,2.246875,2.296875,2.674375,2.9040625,
1997-02-20,,,2.15625,2.21875,2.2375,2.2796875,2.65375,2.8940625,
1997-02-21,,,2.03125,2.175,2.21875,2.265625,2.630625,2.8825,
1997-02-24,,,2.0,2.125,2.196875,2.25,2.6075,2.8696875,
1997-02-25,,,2.0625,2.08125,2.184375,2.234375,2.575625,2.8571875,
1997-02-26,,,2.09375,2.06875,2.1625,2.2234375,2.545,2.8453125,
1997-02-27,,,2.09375,2.05625,2.1375,2.2109375,2.515,2.83375,
1997-02-28,,,2.0625,2.0625,2.11875,2.1953125,2.488125,2.82,
1997-03-03,,,1.96875,2.05625,2.090625,2.175,2.4625,2.804375,
1997-03-04,,,1.96875,2.0375,2.059375,2.1578125,2.436875,2.7865625,
1997-03-05,,,2.0,2.01875,2.04375,2.1453125,2.411875,2.76890625,
1997-03-06,,,2.0,2.0,2.028125,2.1328125,2.386875,2.75046875,
1997-03-07,,,2.0,1.9875,2.025,2.121875,2.36,2.73265625,
1997-03-10,,,2.03125,2.0,2.028125,2.1125,2.334375,2.71578125,
1997-03-11,,,2.125,2.03125,2.034375,2.109375,2.309375,2.70265625,
1997-03-12,,,2.125,2.05625,2.0375,2.1,2.284375,2.69203125,
1997-03-13,,,2.1875,2.09375,2.046875,2.0921875,2.263125,2.68265625,
1997-03-14,,,2.15625,2.125,2.05625,2.0875,2.241875,2.67171875,
1997-03-17,,,2.1875,2.15625,2.078125,2.084375,2.22125,2.66078125,
1997-03-18,,,2.09375,2.15,2.090625,2.075,2.19875,2.64921875,
1997-03-19,,,2.0625,2.1375,2.096875,2.0703125,2.2,2.63984375,
1997-03-20,,,2.15625,2.13125,2.1125,2.0703125,2.203125,2.63078125,
1997-03-21,,,2.0,2.1,2.1125,2.06875,2.2025,2.62078125,
1997-03-24,,,1.96875,2.05625,2.10625,2.0671875,2.1975,2.61015625,
1997-03-25,,,1.9375,2.025,2.0875,2.0609375,2.190625,2.59859375,
1997-03-26,,,2.0,2.0125,2.075,2.05625,2.185625,2.58734375,2.84359375
1997-03-27,,,2.0625,1.99375,2.0625,2.0546875,2.181875,2.57671875,2.8390625
1997-03-28,,,2.0625,2.00625,2.053125,2.0546875,2.1775,2.56640625,2.834375
1997-03-31,,,2.03125,2.01875,2.0375,2.0578125,2.17,2.55546875,2.8284375
1997-04-01,,,1.78125,1.9875,2.00625,2.0484375,2.156875,2.54296875,2.8215625
1997-04-02,54.43753591697709,B,1.71875,1.93125,1.971875,2.034375,2.14125,2.5296875,2.814375
1997-04-03,54.40484220354816,B,1.78125,1.875,1.934375,2.0234375,2.126875,2.5175,2.80703125
1997-04-04,54.369586623830656,B,1.75,1.8125,1.909375,2.0109375,2.115625,2.505,2.799375
1997-04-07,54.33857180056964,B,1.71875,1.75,1.884375,1.9953125,2.10375,2.4921875,2.791875
1997-04-08,54.3412367995754,B,1.75,1.74375,1.865625,1.9765625,2.09125,2.4803125,2.784375
1997-04-09,54.35031612165633,B,1.71875,1.74375,1.8375,1.95625,2.079375,2.4678125,2.7759375
1997-04-10,54.352524343665145,B,1.71875,1.73125,1.803125,1.9328125,2.066875,2.45625,2.7675
1997-04-11,54.347107482135776,B,1.65625,1.7125,1.7625,1.9078125,2.0525,2.4440625,2.75953125
1997-04-14,54.33753874803895,B,1.59375,1.6875,1.71875,1.878125,2.036875,2.4315625,2.75109375
1997-04-15,54.33045107043933,B,1.625,1.6625,1.703125,1.8546875,2.023125,2.419375,2.742890625
1997-04-16,54.330553477999956,B,1.625,1.64375,1.69375,1.8328125,2.010625,2.4065625,2.734609375
1997-04-17,54.31839065578102,B,1.5,1.6,1.665625,1.8,1.995625,2.3925,2.726484375
1997-04-18,54.31765391135755,B,1.5,1.56875,1.640625,1.775,1.98125,2.3784375,2.718515625
1997-04-21,54.33119575768598,B,1.53125,1.55625,1.621875,1.753125,1.9675,2.3646875,2.711328125
1997-04-22,54.320788877271106,B,1.40625,1.5125,1.5875,1.7265625,1.951875,2.3496875,2.704765625
1997-04-23,54.30230201044754,B,1.40625,1.46875,1.55625,1.696875,1.93375,2.335625,2.696640625
