Date,GRADE,GPS,DGX,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2023-09-28,36.75868615876156,B,120.0537109375,120.51309509277344,121.1943862915039,122.83679237365723,128.03671615600587,130.34908401489258,134.3157851409912
2023-09-29,36.46166309960403,B,118.60352325439452,120.1977523803711,120.77003784179688,122.41536331176758,127.59854736328126,130.26925354003907,134.15913249969483
2023-10-02,35.38000780409303,B,117.6789093017578,119.53786926269531,120.29507904052734,121.9477035522461,127.14869842529296,130.16400634765625,133.99785678863526
2023-10-03,34.342766601628426,B,117.7957000732422,118.84684295654297,119.8532112121582,121.64550094604492,126.68366668701172,130.0777438354492,133.83251277923583
2023-10-04,35.07554415701523,B,119.30428314208984,118.68722534179688,119.61670532226563,121.4235939025879,126.41776718139648,129.9911710357666,133.67840461730958
2023-10-05,36.03328148365029,B,120.40070343017578,118.75662384033203,119.63485946655274,121.25796775817871,126.21039184570313,129.92747268676757,133.52843570709229
2023-10-06,37.98467225984057,B,121.65375518798828,119.36667022705078,119.78221130371094,121.15937385559081,126.02554672241212,129.8707852935791,133.38641067504884
2023-10-09,40.57617485219345,B,122.20196533203124,120.27128143310547,119.90457534790039,121.10327606201172,125.83765060424804,129.8183213043213,133.2471266937256
2023-10-10,42.626322815166205,C,121.16427612304688,120.9449966430664,119.89591979980469,120.96998863220215,125.64087448120117,129.76061256408693,133.10586753845215
2023-10-11,43.18401183178623,C,120.14617919921876,121.11337585449219,119.90030059814453,120.74199867248535,125.42062240600586,129.68352409362794,132.96522521972656
2023-10-12,42.25244368326879,C,118.08059692382812,120.64935455322265,119.70298919677734,120.44868774414063,125.12149002075195,129.57948570251466,132.814638671875
2023-10-13,41.36818555388546,C,119.9210205078125,120.3028076171875,119.83473892211914,120.30238838195801,124.87941055297851,129.48339363098145,132.66778686523438
2023-10-16,40.45763508787096,B,120.2244873046875,119.90731201171874,120.08929672241212,120.19218788146972,124.62471298217774,129.39033622741698,132.5354497528076
2023-10-17,40.24097205126115,B,120.69438934326172,119.81333465576172,120.37916564941406,120.11618843078614,124.41231048583984,129.3009127807617,132.407332572937
2023-10-18,40.39748864425059,B,120.20491790771484,119.82508239746093,120.46922912597657,120.0429672241211,124.18194320678711,129.21850486755372,132.2753291320801
2023-10-19,41.831270773102474,B,120.24407196044922,120.25777740478516,120.45356597900391,120.04421272277833,123.97610717773438,129.12293197631837,132.16615879058838
2023-10-20,42.590162617565746,C,121.12512969970705,120.49859924316407,120.40070343017578,120.09145736694336,123.77056747436524,129.02154838562012,132.06225692749024
