Date,GRADE,GPS,ROP,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2022-01-21,35.977281587479226,B,430.9998168945313,435.66270141601564,442.4120147705078,456.960710144043,464.39250549316404,463.31070037841795,459.4002862548828
2022-01-24,34.63082822172954,B,427.5651550292969,433.0350280761719,440.5244201660156,454.3562377929687,463.3976971435547,462.81353637695315,459.4523992919922
2022-01-25,32.72794692911443,B,421.0598449707031,429.5727905273437,437.3318328857422,451.2264892578125,462.14186584472657,462.34437683105466,459.4666416931152
2022-01-26,30.990811472943218,B,420.0560302734375,426.49042358398435,433.6215759277344,448.100114440918,460.8956408691406,461.80903076171876,459.46066818237307
2022-01-27,29.61160585918211,B,416.7689514160156,423.2899597167969,430.4467010498047,444.8998077392578,459.6646612548828,461.27566101074217,459.4310041809082
2022-01-28,29.694728156863395,B,428.5689697265625,422.8037902832031,429.2332458496094,442.1568206787109,458.43831726074217,460.9088818359375,459.44519241333006
2022-01-31,31.055944298708,B,430.232177734375,423.3371948242187,428.1861114501953,440.32701263427737,457.3547283935547,460.57925079345705,459.4767657470703
2022-02-01,34.57046474824552,B,434.9855346679688,426.12233276367186,427.8475616455078,438.9712509155273,456.5081311035156,460.32807373046876,459.4659745788574
2022-02-02,39.889871885101634,B,445.1519165039063,431.1415100097656,428.815966796875,438.3022003173828,455.87999755859374,460.11887817382814,459.52327117919924
2022-02-03,46.47089872129546,C,454.1470642089844,438.61713256835935,430.95354614257815,437.83866424560546,455.43176696777346,460.0102362060547,459.6083363342285
2022-02-04,49.47409925888275,C,440.8511962890625,441.0735778808594,431.9386840820313,437.1753494262695,454.9043634033203,459.8380352783203,459.62402984619143
2022-02-07,51.173877158744325,C,436.1961364746094,442.26636962890626,432.8017822265625,436.66310119628906,454.16375122070315,459.669739074707,459.62316436767577
2022-02-08,52.281026565227926,C,438.7254028320313,443.01434326171875,434.56833801269534,435.95008544921876,453.8143835449219,459.55677215576173,459.61871856689453
2022-02-09,52.45674273653708,C,446.8742065429688,443.3588012695312,437.2501556396484,435.4358657836914,453.7178271484375,459.50055725097656,459.6463398742676
2022-02-10,49.5294185743114,C,435.3005676269531,439.589501953125,439.1033172607422,434.77500915527344,453.2386315917969,459.3113296508789,459.63545684814454
2022-02-11,48.17784743412099,B,430.8915100097656,437.5975646972656,439.3355712890625,434.28440856933594,452.69484436035157,459.0459130859375,459.61105880737307
2022-02-14,47.97078180713053,B,435.1824340820313,437.39482421875,439.8305969238281,434.0083541870117,452.1169677734375,458.8653204345703,459.6084094238281
2022-02-15,47.213645657320335,B,434.9462585449219,436.6389953613281,439.82666931152346,433.8371154785156,451.5390850830078,458.76894409179687,459.62418807983397
2022-02-16,45.72133844481084,B,437.9479064941406,434.8537353515625,439.10626831054685,433.96111755371095,451.0226098632813,458.676767578125,459.70899780273436
2022-02-17,45.4208788497676,B,431.245849609375,434.04279174804685,436.81614685058594,433.88484649658204,450.4515100097656,458.60994110107424,459.7207850646973
2022-02-18,46.20397043668357,B,433.3518981933594,434.5348693847656,436.06621704101565,434.00245056152346,449.81245056152346,458.54994201660156,459.73864151000976
2022-02-21,46.388159119149975,B,433.3518981933594,434.16876220703125,435.78179321289065,434.2917877197266,449.1232641601562,458.5104583740234,459.7825288391113
2022-02-22,46.676661107512615,B,432.2497253417969,433.62945556640625,435.1342254638672,434.8512817382813,448.60231689453127,458.44056121826173,459.8220329284668
2022-02-23,45.05181834925111,B,422.3688049316406,430.5136352539063,432.6836853027344,434.96692047119143,447.6287969970703,458.203840637207,459.81963287353517
2022-02-24,46.55146226728945,B,437.0228271484375,431.6690307617188,432.8559112548828,435.9796142578125,446.7971942138672,458.1182794189453,459.86001083374026
2022-02-25,47.79808996643658,B,441.313720703125,433.2613952636719,433.89813232421875,436.6168518066406,446.2760919189453,458.0929260253906,459.910470123291
2022-02-28,48.80876822185738,C,441.1168823242188,434.81439208984375,434.4915771484375,437.1610870361328,445.9185321044922,458.059216003418,459.93729705810546
2022-03-01,49.373385699425505,C,439.18792724609375,436.2020324707031,434.9157440185547,437.37120666503904,445.4197808837891,458.0069033813477,459.9474687194824
2022-03-02,52.3741684953368,C,441.9632568359375,440.1209228515625,435.31727905273436,437.21177368164064,444.96199096679686,457.9403762817383,459.9785760498047
2022-03-03,52.14839841961305,C,442.7801208496094,441.2723815917969,436.4707061767578,436.6434265136719,444.41498046875,457.81960662841794,459.9987669372559
2022-03-04,51.92676947854849,C,447.3760681152344,442.48485107421874,437.8731231689453,436.9696701049805,443.95988891601564,457.7025335693359,460.02958389282225
2022-03-07,50.50577930057412,C,438.1152038574219,441.8845153808594,438.3494537353516,437.0656234741211,443.12910095214846,457.478698425293,460.0140965270996
2022-03-08,48.54054435845453,C,431.5804138183594,440.3630126953125,438.2825225830078,436.7083740234375,442.0876129150391,457.1344760131836,459.97372970581057
2022-03-09,46.80438780737801,B,436.2650451660156,439.22337036132814,439.6721466064453,436.1779159545898,441.1612432861328,456.8291381835937,459.9526684570312
2022-03-10,44.52933975406589,B,429.474365234375,436.5622192382813,438.91730041503905,435.88660583496096,440.1352288818359,456.39397399902344,459.9082421875
2022-03-11,40.71988672563648,B,425.458984375,432.1788024902344,437.3318267822266,435.61497955322267,438.97583435058596,455.86007720947265,459.82437545776367
2022-03-14,39.23638356467324,B,428.2047729492188,430.19671630859375,436.0406158447266,435.266096496582,438.2033630371094,455.3465615844727,459.7751698303223
2022-03-15,40.52484900786738,B,438.7351989746094,431.62767333984374,435.99534301757814,435.4555435180664,437.7360516357422,454.9344183349609,459.76435134887697
2022-03-16,41.96961162152516,B,446.2738952636719,433.629443359375,436.42640686035156,435.871842956543,437.49087097167967,454.6677407836914,459.7850495910645
2022-03-17,46.00546751402185,C,454.6588439941406,438.6663391113281,437.61427917480466,437.04249267578126,437.31569213867186,454.4321328735352,459.83433837890624
2022-03-18,51.92629364640325,C,461.1148376464844,445.797509765625,438.9881561279297,438.4306396484375,437.45563903808596,454.24820922851563,459.8886013793945
2022-03-21,56.41493426496694,C,455.3378601074219,451.2241271972656,440.7104217529297,439.5299377441406,437.63357421875,454.0918280029297,459.8892720031738
