Date,GRADE,GPS,EG,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2020-06-02,52.10790288459818,C,187.67800903320312,183.22400512695313,183.94959259033203,170.06451263427735,169.0276266479492,201.12928390502927,218.11716499328614
2020-06-03,53.001016200136405,C,194.2451171875,185.08211364746094,185.36424865722657,172.34294509887695,169.75169647216796,200.59737182617184,218.0255318450928
2020-06-04,53.40114303814042,C,197.7700653076172,187.38106384277344,186.51850433349608,174.37456817626952,170.17563659667968,200.0837365722656,217.94983688354492
2020-06-05,56.21082794902454,C,205.98585510253903,192.43439025878905,188.5241683959961,176.68273925781247,170.8730923461914,199.6294509887695,217.93301582336426
2020-06-08,60.23308122024162,C,210.4671630859375,199.22924194335937,190.97796325683595,179.11599044799803,171.49384216308593,199.2199784851074,217.9386013031006
2020-06-09,62.227778304646726,C,207.17904663085935,203.12944946289062,193.17672729492188,181.70032119750974,172.1585726928711,198.77735473632808,217.89564910888672
2020-06-10,62.504932554030155,C,201.9234771728516,204.66512145996094,194.87361755371094,184.37397079467772,172.9203204345703,198.27319564819334,217.80548233032226
2020-06-11,61.3622483500169,C,192.1866455078125,203.5484375,195.46475067138672,186.67377777099608,173.37108062744142,197.67238616943357,217.65600685119628
2020-06-12,59.10062550309478,C,195.7844390869141,201.508154296875,196.97127227783204,188.82713928222657,174.0682635498047,197.13961410522458,217.52335945129394
2020-06-15,55.981791398094934,C,197.54237365722656,198.9231964111328,199.0762191772461,190.55222778320314,174.58527893066406,196.6663583374023,217.38713623046874
2020-06-16,53.793096437787284,C,200.91246032714844,197.6698791503906,200.39966430664063,192.17462844848632,175.1458312988281,196.20471221923825,217.27111152648925
2020-06-17,51.37309877961173,C,196.66793823242188,196.6187713623047,200.6419464111328,193.0030975341797,175.50307220458984,195.70529052734372,217.1169004058838
2020-06-18,50.55974441290317,C,196.28543090820312,197.43852844238282,200.4934829711914,193.50599365234376,175.59051055908202,195.18174926757808,216.97470504760742
2020-06-19,48.90597547526398,C,196.4949188232422,197.58062438964845,199.5443893432617,194.0342788696289,175.682138671875,194.6630867004394,216.81262023925783
2020-06-22,47.08187421224019,B,194.3453521728516,196.94122009277345,197.9322082519531,194.45508575439453,175.91446258544923,194.09580871582028,216.6462159729004
2020-06-23,44.99132795428616,B,194.01742553710935,195.5622131347656,196.6160461425781,194.89638671875,176.1225112915039,193.54321151733396,216.45366386413573
2020-06-24,43.4403206864219,B,187.63243103027344,193.75511169433594,195.18694152832032,195.03027954101563,176.42143981933594,192.8754881286621,216.22333892822266
2020-06-25,42.5524465687736,B,188.78924560546875,192.25587463378906,194.84720153808593,195.15597610473634,176.81365295410157,192.24492599487306,215.99638732910157
2020-06-26,41.037194618207955,B,182.95985412597656,189.54886169433593,193.5647430419922,195.26800765991212,176.9229473876953,191.53694274902344,215.73042304992677
2020-06-29,40.30637849624391,B,184.47183227539065,187.57415771484375,192.2576889038086,195.66695404052734,177.16788482666016,190.81444488525392,215.46978675842286
2020-06-30,39.94602328545242,B,187.8146514892578,186.33360290527344,190.94790802001953,195.67378616333008,177.6771060180664,190.07365005493165,215.2180078125
2020-07-01,40.12791111865215,B,185.71060180664065,185.94923706054686,189.8521743774414,195.2470603942871,178.14822357177735,189.34737564086913,214.9722257232666
2020-07-02,39.17801894174949,B,183.03271484375,184.7979309082031,188.5269027709961,194.51019287109375,178.60718627929688,188.55750411987304,214.69832260131835
2020-07-03,39.47196105668872,B,183.03271484375,184.8125030517578,187.18068237304686,193.36253585815433,179.17968841552735,187.77131423950195,214.42611557006836
2020-07-06,39.85554853176447,B,187.62335205078125,185.44280700683595,186.50848236083985,192.2203453063965,179.75523223876954,187.03103073120118,214.17637077331543
2020-07-07,39.635607608420194,B,185.5557861328125,184.99103393554688,185.66231842041014,191.13918228149416,180.21837341308594,186.28426010131835,213.92628791809082
2020-07-08,39.82931235462414,B,186.18423461914065,185.08576049804688,185.5174987792969,190.35222015380862,180.60730163574217,185.53668045043946,213.70010536193848
2020-07-09,40.29672824947445,B,180.4003753662109,184.55929260253907,184.6786117553711,189.76290664672854,181.0852114868164,184.75505920410157,213.45210182189942
2020-07-10,41.93393892528032,B,188.35198974609372,185.6231475830078,185.21782531738282,189.3912841796875,181.86895874023438,184.03571319580078,213.23452606201172
2020-07-13,43.11338205341385,B,189.16265869140625,185.9310089111328,185.68690795898436,188.9722984313965,182.7085140991211,183.3856265258789,213.04350296020507
2020-07-14,45.12231933541323,C,192.58743286132807,187.33733825683592,186.1641860961914,188.55604705810543,183.52815673828124,182.81010864257811,212.88839767456054
2020-07-15,47.82937372015209,C,198.82662963867188,189.86581726074218,187.47578887939454,188.66398162841796,184.53115997314453,182.34475616455077,212.7643546295166
2020-07-16,51.839002422316014,C,203.2077789306641,194.42729797363282,189.49329528808593,189.010099029541,185.4525634765625,182.02576766967775,212.66659194946288
2020-07-17,54.2103593910766,C,202.7705535888672,197.3110107421875,191.46707916259766,189.32388076782226,186.31152587890625,181.8274984741211,212.56217918395996
2020-07-20,55.870683756204215,C,200.24755859375,199.52799072265626,192.72949981689453,189.61899108886718,187.08043426513672,181.5116844177246,212.44466026306154
2020-07-21,57.26548316432632,C,200.91246032714844,201.1929962158203,194.26516723632812,189.96374282836913,187.98883483886718,181.2449053955078,212.326314163208
2020-07-22,57.66586681797481,C,203.85446166992188,202.1985626220703,196.03218994140624,190.77484436035155,189.0969143676758,180.8643147277832,212.2174105834961
2020-07-23,57.18266297483984,C,203.1713409423828,202.19127502441407,198.30928649902344,191.49394912719725,190.23653106689454,180.58653961181642,212.11964431762695
2020-07-24,56.92579528808193,C,204.03662109375,202.44448852539062,199.87774963378905,192.54778747558595,191.26291931152343,180.35037353515625,212.01897277832032
2020-07-27,57.00371263747936,C,201.11285400390625,202.61754760742187,201.07276916503906,193.3798385620117,192.02436431884766,180.25325592041017,211.89502182006837
2020-07-28,55.95041020987932,C,197.0323028564453,201.84151611328124,201.5172561645508,193.8407211303711,192.59572143554686,180.0499754333496,211.77080139160157
2020-07-29,54.869439938204145,C,200.3294982910156,201.1365234375,201.66754302978515,194.57166595458983,193.0003402709961,179.99266357421874,211.65954010009764
2020-07-30,53.36177867944999,C,196.82278442382807,199.86681213378907,201.02904357910157,195.26116943359372,193.21224578857422,180.14553268432618,211.52909385681153
2020-07-31,52.10918183416077,C,199.28204345703125,198.9158966064453,200.68019256591796,196.0736358642578,193.47930236816407,180.2120767211914,211.4157650756836
2020-08-03,52.030493162729925,P,201.2585906982422,198.9450439453125,200.7812957763672,196.75539779663083,193.78588989257813,180.57391784667968,211.31932762145996
2020-08-04,52.262453100111436,P,197.79737854003903,199.09805908203126,200.46978759765625,197.36747741699216,194.0380093383789,180.76175369262694,211.16442474365235
2020-08-05,52.50903394055461,P,199.5826416015625,198.9486877441406,200.0426055908203,198.03739776611326,194.33057067871093,181.0516926574707,211.02599266052246
2020-08-06,53.936504962754036,A,203.71783447265625,200.32769775390625,200.09725494384764,199.20327072143553,194.67942108154296,181.39627166748048,210.89689765930177
2020-08-07,55.96974477824582,A,211.4873046875,202.76875,200.84232330322266,200.36003646850583,195.29478271484376,181.751561126709,210.7965609741211
2020-08-10,57.5177448390315,A,211.20492553710935,204.75801696777341,201.85153045654295,201.462149810791,195.9890231323242,182.30913803100586,210.6989193725586
2020-08-11,59.01479383770596,A,207.9168243408203,206.7819061279297,202.93998260498046,202.22861938476564,196.39379943847655,182.71071304321288,210.58148910522462
2020-08-12,59.93851837822583,A,207.41583251953125,208.34854431152343,203.64861602783202,202.6580795288086,196.6572137451172,183.20445510864258,210.4503936767578
2020-08-13,59.12086657928407,A,205.1751708984375,208.6400115966797,204.48385467529295,202.75644912719727,196.8053158569336,183.49047622680663,210.29956840515138
2020-08-14,57.00967488244578,A,205.1934051513672,207.38123168945313,205.07499084472656,202.87759170532226,196.78946685791016,183.83127960205078,210.1409775543213
2020-08-17,53.88551036084993,A,202.14210510253903,205.56866760253905,205.16334228515626,202.97231903076172,196.62296569824218,184.05840393066407,209.96128204345703
2020-08-18,51.61914378996505,A,201.0399932861328,204.19330139160155,205.48760375976562,202.97869567871095,196.50018463134765,184.32937866210938,209.76228157043457
2020-08-19,49.49152142120074,C,197.9340362548828,202.29694213867188,205.32274322509767,202.68267440795898,196.4203958129883,184.6703581237793,209.56042953491212
2020-08-20,48.1601749847269,B,197.06874084472656,200.6756561279297,204.65783386230467,202.37754440307617,196.51803771972655,184.944559173584,209.3471531677246
2020-08-21,46.806441999376865,B,194.74609375,198.58619384765626,202.98371276855468,201.91301803588868,196.4972708129883,185.28276718139648,209.1282009124756
2020-08-24,46.77381664227273,B,199.1363220214844,197.98503723144532,201.7768524169922,201.81419143676757,196.52914978027343,185.55721435546874,208.9299942779541
2020-08-25,46.76439252764436,B,199.32760620117188,197.64255981445314,200.91793060302734,201.9289566040039,196.4974526977539,185.82164199829103,208.7346192932129
