Date,GRADE,GPS,NEE,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2016-08-31,58.137417312130445,P,24.836620330810547,25.044446182250976,25.27793159484863,25.49449701309204,25.893050765991212,25.109264640808107,23.601612319946287
2016-09-01,57.91064447767649,P,24.84893798828125,24.936013793945314,25.17375316619873,25.437411403656007,25.885062522888184,25.122621669769288,23.626521253585814
2016-09-02,58.32553773635934,P,25.286357879638672,24.99803237915039,25.151655197143555,25.417083644866942,25.885863342285155,25.137761669158934,23.65312505722046
2016-09-05,58.476186233136836,P,25.286357879638672,25.03047904968262,25.130372619628908,25.39675588607788,25.87002384185791,25.152213401794434,23.679236583709717
2016-09-06,59.0218123526835,P,25.729942321777344,25.197643280029297,25.16915092468262,25.39779176712036,25.860690231323243,25.17043291091919,23.706852750778197
2016-09-07,59.69510394174625,P,25.682716369628903,25.366862487792968,25.205654335021972,25.393407249450682,25.853308067321777,25.193423328399657,23.736824674606325
2016-09-08,60.42032918300802,A,25.748430252075195,25.546760940551756,25.241387367248535,25.385680770874025,25.8364319229126,25.222334251403808,23.76870241165161
2016-09-09,60.08668934718469,A,24.82018280029297,25.453525924682616,25.225779151916505,25.33388729095459,25.803723564147948,25.238865432739257,23.79421097755432
2016-09-12,60.18416169813216,A,25.319223403930664,25.460099029541016,25.245289039611816,25.32203435897827,25.780996017456054,25.260326271057128,23.821782760620117
2016-09-13,59.668953865226975,A,24.959836959838867,25.30607795715332,25.25186061859131,25.30577344894409,25.746431121826173,25.276067657470705,23.84678409576416
2016-09-14,59.12726997696242,P,25.07484436035156,25.18450355529785,25.27568302154541,25.27680730819702,25.71408473968506,25.290185737609864,23.872943143844605
2016-09-15,58.65863177154498,P,25.2042179107666,25.07566108703613,25.311211013793944,25.242482089996336,25.694766998291016,25.30644781112671,23.90091437339783
2016-09-16,59.01720868059007,P,25.325389862060547,25.17670249938965,25.315114212036132,25.233384704589845,25.671347007751464,25.321674461364747,23.92968236923218
2016-09-19,59.13728953949137,P,25.617002487182617,25.23625831604004,25.348178672790528,25.239275646209716,25.654738121032715,25.338845500946046,23.959335775375365
2016-09-20,59.63532034259242,A,25.68476676940918,25.381244277954103,25.34366111755371,25.256406021118163,25.64910991668701,25.355965480804443,23.98858458518982
2016-09-21,60.36732761976446,A,26.25362205505371,25.61699981689453,25.400751686096193,25.30320301055908,25.65143283843994,25.37666862487793,24.015724964141846
2016-09-22,61.00712559837698,A,26.29264259338379,25.834684753417967,25.45517292022705,25.348280143737792,25.658329162597656,25.398996829986572,24.04330153465271
2016-09-23,61.464145047812885,A,26.02977752685547,25.975562286376952,25.576132392883302,25.400955772399904,25.65858150482178,25.419425201416015,24.07086979866028
2016-09-26,61.60622460824794,A,25.92298889160156,26.03675956726074,25.63650894165039,25.440898990631105,25.653965454101563,25.437975902557373,24.09771322250366
2016-09-27,61.78254399433889,A,26.037992477416992,26.107404708862305,25.744324493408204,25.498092555999754,25.65230209350586,25.456239318847658,24.124518852233887
2016-09-28,61.54262350515142,A,25.974334716796875,26.051547241210937,25.834273529052734,25.55497827529907,25.652954711914063,25.473683967590333,24.149931259155274
2016-09-29,60.857328460319486,A,25.403413772583008,25.87370147705078,25.854193115234374,25.58270206451416,25.637906379699707,25.482463817596436,24.17253930091858
2016-09-30,59.95095808866268,A,25.120023727416992,25.691750717163085,25.83365650177002,25.574385356903075,25.610868453979492,25.48919927597046,24.193730392456054
2016-10-03,59.083675356878764,A,24.87563705444336,25.482280349731447,25.759519958496092,25.553849315643312,25.58024787902832,25.492033271789552,24.21363928794861
2016-10-04,57.75727132301111,P,24.41767883300781,25.15821762084961,25.63281116485596,25.488236141204833,25.544791526794434,25.493729209899904,24.230595302581786
2016-10-05,56.516819966616374,P,24.3437442779541,24.832099533081056,25.441823387145995,25.421287536621094,25.512995376586915,25.498248710632325,24.24692050933838
2016-10-06,55.73059525323182,P,24.239011764526367,24.599219131469727,25.236460304260255,25.345816612243652,25.478085021972657,25.50093132019043,24.26374669075012
2016-10-07,55.817664769659615,P,25.00090980529785,24.5753963470459,25.133573532104492,25.354852962493897,25.454864311218262,25.509370498657226,24.284382362365722
2016-10-10,56.24990705762145,P,25.21448135375977,24.64316520690918,25.062722778320314,25.349615859985352,25.435058517456056,25.522658100128172,24.306407413482667
2016-10-11,56.88175307577188,P,24.879743576049805,24.73557815551758,24.946897888183592,25.3456111907959,25.41210620880127,25.528752002716065,24.325744104385375
2016-10-12,57.836452611644056,P,25.25555992126465,24.917941284179687,24.87502040863037,25.354646968841553,25.39479419708252,25.54020336151123,24.347301473617552
2016-10-13,59.048784530008504,A,25.594402313232425,25.189019393920898,24.894119262695312,25.374156188964843,25.38686923980713,25.551800594329833,24.370090913772582
2016-10-14,59.439453335095386,A,25.47119140625,25.283075714111327,24.929236030578615,25.381446266174315,25.38243480682373,25.56212495803833,24.391792154312135
2016-10-17,59.63248550598757,A,25.47734642028809,25.335648727416995,24.989406967163085,25.37446346282959,25.378123474121093,25.572510871887207,24.41311224937439
2016-10-18,60.21235854391537,A,25.69297981262207,25.498295974731448,25.11693706512451,25.374874114990234,25.37779857635498,25.584482135772706,24.435711450576783
2016-10-19,60.34624458276659,A,25.58414077758789,25.564012145996095,25.24097671508789,25.341400051116942,25.374073257446287,25.59530382156372,24.458529901504516
2016-10-20,60.074522673304706,A,25.491724014282227,25.543476486206053,25.366247940063477,25.301354122161865,25.365848541259766,25.60589466094971,24.479811391830445
2016-10-21,59.84069124469138,A,25.40547180175781,25.530332565307617,25.406704139709472,25.270138835906984,25.35683692932129,25.61156482696533,24.501093606948853
