Date,GRADE,GPS,HCA,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2019-04-05,52.33708415577771,C,127.70745086669922,125.77775268554687,124.81194458007812,125.6267879486084,129.3769807434082,126.80487113952637,124.17027759552002
2019-04-08,52.89155582787357,C,125.57388305664062,125.75107269287109,124.73384017944336,125.9101463317871,129.3863067626953,126.78006706237792,124.31062034606934
2019-04-09,53.56180321269287,C,125.9930191040039,126.06158142089843,124.97481536865234,126.07206687927246,129.28434951782228,126.76011795043945,124.44984588623046
2019-04-10,54.038502089749976,C,127.56459045410156,126.57972869873046,125.4748649597168,126.2201759338379,129.19426010131835,126.7585376739502,124.59692928314209
2019-04-11,53.6301006120874,C,123.94518280029295,126.15682525634766,125.6148780822754,126.14207191467285,129.0247540283203,126.72076332092286,124.72775817871094
2019-04-12,52.401764200518926,C,121.79261779785156,124.97385864257812,125.3758056640625,125.92871780395508,128.80687805175782,126.660326461792,124.8396036529541
2019-04-15,51.29537457498021,B,121.04967498779295,124.06901702880859,124.91004486083985,125.56392097473145,128.59218765258788,126.58696517944335,124.94537212371826
2019-04-16,48.14659505038721,B,108.94376373291016,120.65916595458984,123.36037368774414,124.50477142333985,128.1171453857422,126.3682903289795,124.99023307800293
2019-04-17,44.279109763922776,B,106.6864013671875,116.48352813720703,121.53162841796875,123.40609588623047,127.59106719970703,126.06725914001464,125.02513011932373
2019-04-18,41.60928007258139,B,109.76287841796876,113.64706726074219,119.90194625854492,122.37409133911133,127.11531219482421,125.79585624694825,125.0761181640625
2019-04-19,39.56525380169105,B,109.76287841796876,111.24111938476562,118.10748901367188,121.459716796875,126.66026062011719,125.5259725189209,125.12153133392334
2019-04-22,37.764177096920875,B,109.53427124023438,108.9380386352539,116.50352783203125,120.61868400573731,126.2171615600586,125.2319588470459,125.1644786453247
2019-04-23,39.37620969840558,B,114.4680633544922,110.04289855957032,115.35103225708008,120.16292381286621,125.84310668945312,125.02679176330567,125.22462993621826
2019-04-24,42.14478057711028,B,117.9541473388672,112.29644775390625,114.38998794555664,119.93242645263672,125.52604797363281,124.85648551940918,125.31081047058106
2019-04-25,44.46420612665429,B,118.63992309570312,114.07185668945313,113.85946197509766,119.73717002868652,125.19744171142578,124.70519401550293,125.39517559051514
2019-04-26,46.90963282271016,B,119.5828628540039,116.03585357666016,113.63848648071288,119.5071460723877,124.8489454650879,124.61072296142578,125.48283805847169
2019-04-29,49.26117044088073,B,119.45904541015624,118.02080841064453,113.47942352294922,119.19473419189453,124.49797286987305,124.53153884887695,125.56818054199219
2019-04-30,50.793517990081675,B,121.18303680419922,119.36380310058594,114.70335083007812,119.03186225891113,124.19420654296874,124.47177917480468,125.66308792114258
2019-05-01,50.99524730187441,C,118.19225311279295,119.41142425537109,115.85393600463867,118.69278221130371,123.85455734252929,124.37194969177246,125.69593765258789
2019-05-02,51.04194711047333,C,119.5542984008789,119.59429931640625,116.83307800292968,118.36751213073731,123.54822814941406,124.2728239440918,125.70644706726074
2019-05-03,50.91919718324393,C,119.64002227783205,119.60573120117188,117.82079238891602,117.96414070129394,123.20505477905273,124.26563461303711,125.71809375762939
2019-05-06,51.43436755494999,C,122.65937042236328,120.24579620361328,119.1333023071289,117.81841506958008,122.93708404541016,124.32292381286621,125.74530960083008
2019-05-07,50.740250914526115,C,120.49725341796876,120.10863952636718,119.73622131347656,117.54362678527832,122.63992553710938,124.33779289245605,125.76086448669433
2019-05-08,50.592754072711635,C,119.1447296142578,120.29913482666015,119.85527954101562,117.12263374328613,122.38618743896484,124.36819831848145,125.76800315856934
2019-05-09,50.47018287344418,A,118.67800903320312,120.123876953125,119.85908813476563,116.85927505493164,122.11111358642579,124.41673027038574,125.76950099945068
2019-05-10,50.119176493640346,A,117.86842346191406,119.76955718994141,119.68764419555664,116.66306533813477,121.83070526123046,124.45498191833497,125.74389507293701
2019-05-13,48.91981056324702,B,116.3635025024414,118.51038360595703,119.37808990478516,116.42875671386719,121.56534622192383,124.51569847106934,125.7171427154541
2019-05-14,48.748157505510726,B,116.43018341064452,117.69696960449218,118.90280456542969,116.8030776977539,121.31484588623047,124.57708183288574,125.68774726867676
