Date,GRADE,GPS,ALLE,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2023-09-05,64.25709593490966,A,109.04313659667967,111.46064453125,109.91045303344727,108.5089054107666,113.54457321166993,110.70561073303223,108.94531539916993
2023-09-06,61.93678197166943,A,106.42351531982422,110.45989074707032,109.7181526184082,108.38920745849609,113.35442962646485,110.75160713195801,108.92439266204833
2023-09-07,58.72967310910821,B,105.99180603027344,109.32570037841796,109.68381271362304,108.22977333068847,113.12778778076172,110.79318855285645,108.89931621551514
2023-09-08,55.308100392261714,B,106.06048583984376,108.02079315185547,109.51309585571289,108.06739540100098,112.89388565063477,110.84718551635743,108.87234477996826
2023-09-11,52.27108167189447,B,106.22728729248048,106.7492462158203,109.26388931274414,107.86871604919433,112.68824005126953,110.90138427734375,108.86323894500732
2023-09-12,50.80490069400617,B,104.74576568603516,105.8897720336914,108.6752082824707,107.74656448364257,112.4529640197754,110.95239875793457,108.85572792053223
2023-09-13,50.36060892737472,B,103.5684051513672,105.31875,107.88932037353516,107.63814888000488,112.23691833496093,110.9374925994873,108.84242740631103
2023-09-14,50.290088989595745,B,104.30426025390624,104.98124084472656,107.15347061157226,107.6597339630127,112.05815597534179,110.89133827209473,108.82448497772216
2023-09-15,50.20436401949423,B,104.12689971923828,104.59452362060547,106.30765838623047,107.58611106872559,111.84896316528321,110.8527931213379,108.81407428741456
2023-09-18,49.65357841640892,B,103.63424682617188,104.07591552734375,105.41258087158204,107.4971767425537,111.59518539428711,110.80736679077148,108.79575019836426
2023-09-19,49.59625566075243,B,104.28455352783205,103.98367309570312,104.93672256469726,107.42358779907227,111.29868530273437,110.77890151977539,108.77298908233642
2023-09-20,49.45920883770887,B,102.71792602539062,103.8135772705078,104.5661636352539,107.14215812683105,110.95221099853515,110.74112297058106,108.75241912841797
2023-09-21,49.231965009641755,B,102.32379913330078,103.41748504638672,104.19936294555664,106.94158782958985,110.58941650390625,110.71826675415039,108.74963520050049
2023-09-22,49.14122110791095,B,102.2942352294922,103.0509521484375,103.82273788452149,106.66791687011718,110.22681564331054,110.68475448608399,108.75570587158204
2023-09-25,49.369012277752034,B,102.46173858642578,102.81645050048829,103.44618301391601,106.35503616333008,109.83911178588868,110.65751106262206,108.75915908813477
2023-09-26,48.215872051274005,B,100.58966064453124,102.07747192382813,103.03057250976562,105.85289039611817,109.3862986755371,110.60929885864257,108.75368980407715
2023-09-27,47.972654371082406,B,101.77203369140624,101.88829345703125,102.85093536376954,105.37012786865235,108.95320831298828,110.56841438293458,108.74308628082275
2023-09-28,48.03505661605886,B,102.72776794433594,101.96908721923828,102.6932861328125,104.92337837219239,108.56238754272461,110.53161384582519,108.74490131378174
2023-09-29,48.07822332455282,B,102.66864776611328,102.0439697265625,102.5474609375,104.42755966186523,108.15919921875,110.49568817138672,108.74715065002441
2023-10-02,47.66225863839001,B,101.6143798828125,101.87449798583984,102.34547424316406,103.87902755737305,107.71216339111328,110.44276908874512,108.74412864685058
