Date,GRADE,GPS,BKNG,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2021-02-03,51.76732593824582,P,2012.8134765625,1997.96435546875,1998.1768188476562,2084.5542175292967,2094.226208496094,1939.6399829101563,1808.65654296875
2021-02-04,52.84175718056155,P,2068.055908203125,2007.662548828125,1995.4961303710938,2076.764776611328,2094.606276855469,1942.5761511230469,1811.6468713378906
2021-02-05,55.6481011397442,P,2081.439697265625,2037.863232421875,1998.4925903320313,2067.574920654297,2095.475026855469,1946.1915307617187,1814.8618829345703
2021-02-08,57.86013407452634,P,2084.55712890625,2059.527294921875,2006.547607421875,2061.5329040527345,2096.8870629882813,1950.6312756347656,1818.2686627197265
2021-02-09,58.71588761361642,A,2070.379150390625,2063.449072265625,2016.68662109375,2056.019561767578,2097.5346020507814,1954.714686279297,1821.7043353271483
2021-02-10,61.431902703451705,A,2126.45556640625,2086.177490234375,2042.0709228515625,2054.001080322266,2098.792346191406,1959.711622314453,1825.4913293457032
2021-02-11,63.06145371582158,A,2143.83056640625,2101.332421875,2054.4974853515623,2052.842913818359,2100.0359936523437,1964.7621728515626,1829.0425207519531
2021-02-12,64.09758442177036,A,2135.212646484375,2112.08701171875,2074.9751220703124,2054.3992126464846,2100.543342285156,1969.65505859375,1832.615555419922
2021-02-15,64.50968574357854,A,2135.212646484375,2122.218115234375,2090.872705078125,2055.9555114746095,2100.976223144531,1974.1246899414064,1836.28703125
2021-02-16,65.7578091806272,A,2168.552490234375,2141.852783203125,2102.650927734375,2057.0039489746096,2102.912487792969,1979.1999609375,1840.2497100830078
2021-02-17,66.1356167649006,A,2217.808349609375,2160.12333984375,2123.1504150390624,2060.6636169433596,2105.427585449219,1984.3934838867187,1844.5572100830077
2021-02-18,67.32368329261105,A,2243.642333984375,2180.085693359375,2140.7090576171877,2068.1025939941405,2108.5038452148438,1989.5246557617188,1848.912266845703
2021-02-19,69.02175477710705,A,2276.66455078125,2208.37607421875,2160.23154296875,2079.3620666503907,2112.551516113281,1995.3064428710939,1853.4234991455078
2021-02-22,71.7336172317559,A,2333.2275390625,2247.979052734375,2185.098583984375,2095.823095703125,2118.191125488281,2001.6927795410156,1857.3581311035157
2021-02-23,74.13564278837092,A,2342.5107421875,2282.770703125,2212.3117431640626,2114.4991821289063,2123.380183105469,2008.1429577636718,1861.3881762695312
2021-02-24,76.97911230937619,A,2426.039794921875,2324.4169921875,2242.270166015625,2142.170544433594,2130.226716308594,2014.940537109375,1865.5797607421875
2021-02-25,76.27570791580052,A,2256.95654296875,2327.079833984375,2253.582763671875,2154.0401245117187,2133.399284667969,2019.74982421875,1868.9431536865234
2021-02-26,75.75562318183562,A,2311.87109375,2334.121142578125,2271.2486083984377,2173.111865234375,2137.9437817382814,2024.8195361328126,1872.4042919921876
2021-03-01,73.93131850425577,A,2303.918701171875,2328.259375,2288.1192138671877,2189.495959472656,2142.9537329101563,2029.5405615234374,1875.825668334961
2021-03-02,71.0283658470126,A,2265.902099609375,2312.937646484375,2297.8541748046873,2200.252551269531,2147.5087475585938,2034.5171447753905,1878.4830426025392
2021-03-03,66.64669899709416,A,2258.74365234375,2279.47841796875,2301.947705078125,2212.5490600585936,2150.9668579101562,2039.9023876953124,1881.3438037109374
