Date,GRADE,GPS,ETN,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1986-02-24,38.08095603346493,A,1.6549372673034668,1.6102538585662842,1.5854299902915954,1.5448842227458954,1.4718253445625304,1.369317158460617,1.2740940290689469
1986-02-25,38.093572843575934,A,1.6632126569747925,1.6251484870910644,1.5986695885658264,1.5555034518241881,1.476906852722168,1.3743461406230926,1.2764566051959991
1986-02-26,38.12841680293238,A,1.7101025581359863,1.6560407638549806,1.6146673679351806,1.5687429487705231,1.48358412027359,1.3797895407676697,1.2790536308288574
1986-02-27,38.146308450887865,A,1.6963117122650146,1.6753484964370728,1.6276311039924622,1.5811549961566924,1.490095226764679,1.3851495134830474,1.281568170785904
1986-02-28,38.140038595488406,A,1.6714869737625122,1.6792102336883545,1.637009060382843,1.5899813055992127,1.495671193599701,1.390288473367691,1.2839856463670731
1986-03-03,38.13059744073515,A,1.6604543924331665,1.6803136587142944,1.6452837586402893,1.5966010510921478,1.501026508808136,1.3953171074390411,1.2863479590415954
1986-03-04,38.11725075547583,A,1.657695174217224,1.6792101621627809,1.6521793246269225,1.6019795715808869,1.5062169885635377,1.4001819586753845,1.2887100088596344
1986-03-05,38.08857411953674,A,1.6549372673034668,1.668177103996277,1.6621089339256288,1.608047652244568,1.511352310180664,1.4049647533893586,1.2911529833078383
1986-03-06,38.06602086157229,A,1.6549372673034668,1.6599022150039673,1.66762535572052,1.613977813720703,1.516597282886505,1.4096930813789368,1.2935688978433608
1986-03-07,38.05429408058135,A,1.6494208574295044,1.6554889917373656,1.6673496127128602,1.6203217208385468,1.5217319273948668,1.4143662452697754,1.29584898352623
1986-03-10,38.037377328741016,A,1.6108057498931885,1.64555926322937,1.6629364609718322,1.624183225631714,1.5258200979232788,1.418571536540985,1.2979224669933318
1986-03-11,38.03297965472358,A,1.6521782875061035,1.644455885887146,1.6618330240249635,1.630251306295395,1.530735719203949,1.4232450425624847,1.3001622170209886
1986-03-12,38.02704384479703,P,1.646662712097168,1.6428009748458863,1.6554890394210815,1.635078203678131,1.5355410289764404,1.4279450917243957,1.3024420434236526
1986-03-13,38.02309969694614,P,1.6494208574295044,1.6416976928710938,1.6507999539375304,1.6392155289649963,1.5404563665390014,1.4328361558914184,1.3046815359592439
1986-03-14,38.02692067436724,P,1.6714869737625122,1.6461109161376952,1.6507999539375304,1.6439045071601868,1.5456485080718994,1.4378934001922608,1.3070854836702346
1986-03-17,38.03865696451298,A,1.6521782875061035,1.6543854236602784,1.6499723434448241,1.6476280510425567,1.5503996706008911,1.4426486051082612,1.3093928879499435
1986-03-18,38.03092035720946,A,1.6273561716079712,1.6494210004806518,1.646938443183899,1.6495588839054107,1.5541060733795167,1.447133662700653,1.3115761816501617
