Date,GRADE,GPS,PLTR,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2024-02-07,52.334131237674455,A,23.600000381469727,19.108000183105467,17.827000045776366,17.312500095367433,17.44380001068115,17.402900047302246,16.13054998397827
2024-02-08,58.554001912713524,A,24.51000022888184,20.744000244140626,18.632000160217284,17.704000091552736,17.533000030517577,17.508000049591065,16.216199984550475
2024-02-09,63.897824233326155,A,24.3799991607666,22.21599998474121,19.435000038146974,18.085000038146973,17.615200004577638,17.610500040054323,16.30104998111725
2024-02-12,70.43440523641972,A,25.049999237060547,23.881999969482422,20.23099994659424,18.499499988555907,17.74819999694824,17.71880002975464,16.38759997844696
2024-02-13,71.18347851378998,A,24.01000022888184,24.30999984741211,20.957999992370606,18.873499965667726,17.86240001678467,17.81930003166199,16.459899978637694
2024-02-14,71.10566060694352,A,25.190000534057617,24.62799987792969,21.868000030517578,19.313500022888185,18.02360004425049,17.922700033187866,16.536149983406066
2024-02-15,70.13480081019206,A,25.40999984741211,24.80799980163574,22.776000022888184,19.764000034332277,18.18740005493164,18.01910002708435,16.613799982070923
2024-02-16,68.52889571148533,A,24.440000534057617,24.820000076293944,23.518000030517577,20.14700002670288,18.320800056457518,18.103500032424925,16.68849998474121
2024-02-19,66.13879361679938,A,24.440000534057617,24.698000335693358,24.29000015258789,20.489000034332275,18.4542000579834,18.189100036621095,16.76309998512268
2024-02-20,64.35923739514297,A,23.399999618530277,24.576000213623047,24.443000030517577,20.792500019073486,18.572200050354002,18.274100036621093,16.832749981880188
2024-02-21,60.813584279945196,A,22.739999771118164,24.086000061035158,24.356999969482423,21.092000007629395,18.6696000289917,18.34420003890991,16.89519998073578
2024-02-22,57.744294141426394,A,23.59000015258789,23.722000122070312,24.26499996185303,21.448500061035155,18.777200050354004,18.422000036239623,16.954449982643126
2024-02-23,55.27347750322125,A,22.96999931335449,23.427999877929686,24.123999977111815,21.779500007629395,18.872600021362306,18.485600023269654,17.010749979019167
2024-02-26,53.163279489692336,P,23.559999465942383,23.25199966430664,23.975,22.10299997329712,18.987000007629394,18.54510001182556,17.069349975585936
2024-02-27,53.322025236060774,P,24.530000686645508,23.477999877929687,24.02700004577637,22.492500019073486,19.118600006103517,18.61240002632141,17.128799977302553
2024-02-28,54.61989414013053,P,24.420000076293945,23.813999938964844,23.95,22.90900001525879,19.262000007629396,18.67740002632141,17.189749979972838
2024-02-29,55.76402333488144,A,25.07999992370605,24.111999893188475,23.917000007629394,23.34650001525879,19.41180000305176,18.748800020217896,17.25094997882843
2024-03-01,57.30725072749588,A,24.93000030517578,24.504000091552733,23.96599998474121,23.742000007629393,19.562200012207033,18.824500017166137,17.30734998226166
2024-03-04,57.91840055143967,A,24.040000915527344,24.600000381469727,23.926000022888182,24.108000087738038,19.694800033569337,18.891300020217894,17.359299988746642
2024-03-05,56.520351762946405,A,23.809999465942383,24.456000137329102,23.967000007629395,24.205000019073488,19.817400016784667,18.95100001335144,17.40479998588562
2024-03-06,56.839541831193195,A,26.15999984741211,24.804000091552734,24.30900001525879,24.332999992370606,19.99120002746582,19.04060000419617,17.462049984931944
2024-03-07,56.84874478939734,A,26.459999084472656,25.079999923706055,24.595999908447265,24.430499935150145,20.169200019836424,19.134600000381468,17.521649980545043
2024-03-08,56.7195007026393,A,26.040000915527344,25.302000045776367,24.90300006866455,24.513500022888184,20.346600036621094,19.233900003433227,17.57924998283386
2024-03-11,56.77100892283181,A,25.350000381469727,25.563999938964844,25.082000160217284,24.528500080108643,20.51020004272461,19.32539999961853,17.62979998588562
2024-03-12,57.32083485499902,A,24.700000762939453,25.74200019836426,25.09900016784668,24.563000106811522,20.67260005950928,19.40600001335144,17.67599998950958
