Date,GRADE,GPS,INTC,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1999-03-03,57.74265552525213,P,16.26645851135254,16.71500473022461,17.628054809570312,17.898867416381833,18.304059867858886,16.54361919403076,13.929687685966492
1999-03-04,56.3143553883452,P,16.080303192138672,16.307236099243163,17.418850898742676,17.780082225799557,18.27124168395996,16.584591274261474,13.958030977249145
1999-03-05,56.13775044736869,P,16.257596969604492,16.156538009643555,17.22826271057129,17.688333988189694,18.241969375610353,16.628487644195555,13.98872151851654
1999-03-08,56.89187683362636,P,16.966754913330078,16.229227828979493,17.041220664978027,17.600574684143062,18.235031967163085,16.6777042388916,14.025392546653748
1999-03-09,58.173093399032986,P,16.3551082611084,16.385244369506836,16.772624969482422,17.529658317565914,18.218874244689943,16.721424369812013,14.058120017051698
1999-03-10,59.003553205229345,P,16.576717376708984,16.447296142578125,16.581150436401366,17.44500141143799,18.21246524810791,16.7638178730011,14.094301695823669
1999-03-11,60.00064940998879,P,16.754005432128906,16.582036590576173,16.444636344909668,17.33774013519287,18.211373863220214,16.807541408538818,14.129776220321656
1999-03-12,60.8204012435012,P,16.771732330322266,16.684863662719728,16.42070083618164,17.279233932495117,18.21063701629639,16.85161940574646,14.164188389778138
1999-03-15,60.99367603017137,P,16.718551635742188,16.63522300720215,16.43222541809082,17.21806869506836,18.202457008361815,16.892774286270143,14.19868881225586
1999-03-16,61.86292843934155,P,17.073131561279297,16.778827667236328,16.582036018371582,17.175518798828126,18.194457473754884,16.939777727127076,14.234342403411866
1999-03-17,62.43185509739835,A,17.090862274169922,16.881656646728516,16.66447639465332,17.146265602111818,18.1690913772583,16.984257068634033,14.271235580444335
1999-03-18,62.92636973418382,A,17.277023315429688,16.986260223388673,16.78414840698242,17.10149965286255,18.148157119750977,17.029845266342164,14.309059562683105
1999-03-19,62.83556707827993,A,16.878110885620117,17.007535934448242,16.846199798583985,17.037231254577637,18.118004150390625,17.07224150657654,14.34497751235962
1999-03-22,62.164725105570106,A,16.328510284423828,16.92952766418457,16.78237533569336,16.911798000335693,18.048328132629393,17.105421905517577,14.379254121780395
1999-03-23,60.9426501882007,P,16.248733520507812,16.764648056030275,16.7717378616333,16.77218141555786,17.988929672241213,17.139752988815307,14.411051297187806
1999-03-24,60.35731016486125,P,16.913578033447266,16.72919120788574,16.805423927307128,16.69328718185425,17.93308166503906,17.174473371505737,14.44657111644745
1999-03-25,59.61231014548557,P,16.727418899536133,16.61927032470703,16.80276527404785,16.62370080947876,17.888396072387696,17.20848406791687,14.480850262641907
1999-03-26,59.22867827445606,P,16.550125122070312,16.55367317199707,16.780604553222656,16.60065269470215,17.835557136535645,17.238683938980103,14.51402159690857
1999-03-29,60.23040125566522,P,17.24156379699707,16.73628387451172,16.832905769348145,16.632565593719484,17.796546974182128,17.27500069618225,14.547905564308167
1999-03-30,61.22611753643645,A,17.24156379699707,16.93484992980957,16.84974899291992,16.71589250564575,17.746195182800292,17.309102363586426,14.580815653800965
1999-03-31,61.227991868894286,A,16.860383987426758,16.92421112060547,16.826701164245605,16.745588779449463,17.691409721374512,17.33070879936218,14.610314784049988
1999-04-01,61.6478477252759,A,17.144044876098633,17.007536315917967,16.8134033203125,16.79877586364746,17.655765495300294,17.356569442749024,14.642471671104431
1999-04-02,62.163966405619725,A,17.144044876098633,17.12632026672363,16.83999671936035,16.84309825897217,17.63323513031006,17.38092384338379,14.67409734249115
1999-04-05,62.545896549953,A,18.083690643310547,17.294745635986327,17.015514755249022,16.89894504547119,17.624535636901854,17.41024441719055,14.710819654464721
1999-04-06,63.24015465990675,A,18.50032997131348,17.54649887084961,17.24067440032959,17.006206130981447,17.606270561218263,17.441427717208864,14.750820407867431
1999-04-07,64.6608717762118,A,18.73966789245605,17.92235565185547,17.42328338623047,17.1143536567688,17.604665451049804,17.47305498123169,14.791265301704406
1999-04-08,65.51425183257571,A,18.588972091674805,18.211341094970702,17.609438705444337,17.206101989746095,17.587464256286623,17.498922119140627,14.832328991889954
1999-04-09,66.1945404837446,A,18.553512573242188,18.493234634399414,17.809777450561523,17.29519100189209,17.558921241760252,17.525586681365965,14.873215384483338
1999-04-12,65.21268870894373,A,17.374528884887695,18.351402282714844,17.823073959350587,17.327989864349366,17.51548210144043,17.538334789276124,14.908040828704834
1999-04-13,63.70965397664755,A,17.16176986694336,18.08369026184082,17.815094566345216,17.33242177963257,17.477002601623536,17.55338557243347,14.940640473365784
1999-04-14,61.255551126997,A,16.168949127197266,17.569546508789063,17.745951080322264,17.286326122283935,17.406972694396973,17.559482803344725,14.96601839542389
