Date,GRADE,GPS,IDXX,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2000-10-17,58.92315971610887,B,5.84375,5.70625,5.7265625,6.0453125,6.408125,6.1165625,5.970312504768372
2000-10-18,58.98182821186496,B,5.96875,5.8125,5.73125,6.0234375,6.399375,6.11421875,5.978281254768372
2000-10-19,59.08353658609547,B,6.53125,6.00625,5.775,6.0296875,6.4025,6.11828125,5.988750004768372
2000-10-20,59.19205675818828,A,6.734375,6.246875,5.8625,6.04453125,6.4034375,6.1221875,6.000312504768371
2000-10-23,59.227351495974766,A,6.671875,6.35,5.9890625,6.071875,6.4034375,6.12890625,6.011562504768372
2000-10-24,59.253390669551486,A,6.203125,6.421875,6.0640625,6.06875,6.3925,6.126875,6.021171879768372
2000-10-25,59.268006272989446,A,6.265625,6.48125,6.146875,6.06796875,6.3825,6.124375,6.031406254768371
2000-10-26,59.2273063479735,A,6.3125,6.4375,6.221875,6.03984375,6.3728125,6.12546875,6.042343754768371
2000-10-27,59.162669919399264,A,6.234375,6.3375,6.2921875,6.0171875,6.3609375,6.1265625,6.053046879768371
2000-10-30,59.0957487442692,P,6.109375,6.225,6.2875,6.0171875,6.345,6.13140625,6.063515629768371
2000-10-31,59.071914581893886,P,6.0,6.184375,6.303125,6.01484375,6.3275,6.13296875,6.074609379768372
2000-11-01,59.03864573630897,P,5.953125,6.121875,6.3015625,6.01640625,6.3075,6.13296875,6.084453129768372
2000-11-02,59.023862969058065,P,6.113280773162842,6.082031154632569,6.259765577316284,6.017382788658142,6.2925781154632565,6.134882807731628,6.095488283634186
2000-11-03,59.018443452508485,P,6.109375,6.057031154632568,6.197265577316284,6.029882788658142,6.279140615463257,6.137070307731628,6.106035158634186
2000-11-06,59.045906389387746,P,6.25,6.0851561546325685,6.1550780773162845,6.072070288658142,6.273203115463257,6.140820307731628,6.1184570336341855
2000-11-07,59.08819621737723,P,6.46875,6.1789061546325685,6.181640577316284,6.122851538658142,6.267890615463257,6.147851557731628,6.130488283634186
2000-11-08,59.13170630224095,A,6.390625,6.266406154632568,6.1941405773162845,6.170507788658142,6.2594531154632564,6.1533203077316285,6.1418945336341855
2000-11-09,59.16267764959779,A,6.28125,6.3,6.191015577316284,6.206445288658142,6.2544531154632566,6.160039057731629,6.151425783634186
2000-11-10,59.1895680716981,A,6.25,6.328125,6.192578077316284,6.2423827886581424,6.244453115463257,6.166445307731628,6.160566408634185
2000-11-13,59.19389884803556,A,6.40625,6.359375,6.222265577316284,6.254882788658142,6.237578115463257,6.172695307731629,6.1701757836341855
2000-11-14,59.13005108475303,A,5.796875,6.225,6.2019530773162845,6.252539038658142,6.226328115463257,6.174257807731628,6.175566408634186
2000-11-15,59.096035581489296,A,6.046875,6.15625,6.211328077316284,6.256445288658142,6.220078115463257,6.179882807731628,6.183378908634186
2000-11-16,59.03016142957625,P,5.578125,6.015625,6.1578125,6.208789038658142,6.201953115463257,6.1806640577316285,6.1887695336341855
2000-11-17,59.00469416040999,P,6.109375,5.9875,6.1578125,6.177539038658142,6.194765615463257,6.1845703077316285,6.19685546875
2000-11-20,58.94188628436523,P,5.734375,5.853125,6.10625,6.130664038658142,6.177265615463257,6.185039057731628,6.20263671875
2000-11-21,58.94153225217079,P,5.75,5.84375,6.034375,6.108007788658142,6.160390615463257,6.185664057731628,6.20873046875
2000-11-22,58.899838418458636,P,5.609375,5.75625,5.95625,6.075195288658142,6.138828115463257,6.187070307731628,6.21146484375
