Date,GRADE,GPS,CNP,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2013-07-22,77.08163311848891,A,16.354354858398438,16.358343505859374,16.246563816070555,15.901577997207642,15.727056674957275,15.641978626251221,14.436301083564759
2013-07-23,77.04531097836524,A,16.487424850463867,16.39427375793457,16.307776737213135,15.958465909957885,15.735706348419189,15.662657260894775,14.449433088302612
2013-07-24,76.61473109210884,A,16.26785659790039,16.392943572998046,16.335056114196778,15.996723842620849,15.736238613128663,15.682129659652709,14.460465164184571
2013-07-25,76.0442649994349,A,16.44084358215332,16.388950729370116,16.361670112609865,16.037310218811037,15.744355792999267,15.7038596534729,14.472556133270263
2013-07-26,75.74403286858357,A,16.514034271240234,16.41290283203125,16.389615058898926,16.081556129455567,15.751275424957276,15.725068244934082,14.485918173789978
2013-07-29,75.50976751504471,A,16.414234161376953,16.424878692626955,16.391611099243164,16.128131198883057,15.756598224639893,15.745080919265748,14.499330730438233
2013-07-30,75.32094189971112,A,16.52069091796875,16.43153190612793,16.41290283203125,16.174040651321413,15.762719516754151,15.766685848236085,14.513922071456909
2013-07-31,75.71595506442003,A,16.514034271240234,16.480767440795898,16.436855506896972,16.222611284255983,15.77709098815918,15.787564544677734,14.52822154045105
2013-08-01,76.12520334955838,A,16.74025535583496,16.540649795532225,16.46480026245117,16.28249297142029,15.794390182495118,15.810903348922729,14.542811646461487
2013-08-02,76.25049065665357,A,16.70698356628418,16.579239654541016,16.49607124328613,16.341376399993898,15.81501600265503,15.823553247451782,14.556944484710693
2013-08-05,76.0313351205386,A,16.354354858398438,16.567263793945312,16.49607124328613,16.371317529678343,15.828589248657227,15.834655752182007,14.569314179420472
2013-08-06,75.66408116653439,A,16.38096046447754,16.53931770324707,16.4854248046875,16.396600770950318,15.844424571990967,15.84694785118103,14.581816902160645
2013-08-07,75.10020949499192,A,16.321083068847656,16.500727462768555,16.490747451782227,16.4129017829895,15.86425205230713,15.857651662826537,14.593373699188232
2013-08-08,74.01163184402368,A,16.23458480834961,16.399593353271484,16.470121574401855,16.415895843505858,15.880220470428467,15.865379734039307,14.604271755218505
2013-08-09,72.97327937116417,P,16.134784698486328,16.285153579711913,16.432196617126465,16.410905838012695,15.894459018707275,15.87217574119568,14.61531729698181
2013-08-12,72.42215883878846,P,16.041637420654297,16.222610092163087,16.394936943054198,16.39327402114868,15.906568489074708,15.878172178268432,14.626446633338928
2013-08-13,71.77683116900738,P,15.988408088684082,16.144099617004393,16.341708660125732,16.37730574607849,15.918810958862304,15.881393613815307,14.636954259872436
2013-08-14,71.05900498734412,P,15.805187225341797,16.040920448303222,16.27082395553589,16.353839731216432,15.930848865509033,15.88331048965454,14.649293427467347
2013-08-15,70.34168994059131,P,15.630695343017578,15.920142555236817,16.15986795425415,16.312334108352662,15.935404834747315,15.881569528579712,14.661535940170289
2013-08-16,69.71521673144541,P,15.556870460510254,15.804559707641602,16.04485664367676,16.270463943481445,15.935290699005128,15.87909031867981,14.67418511390686
2013-08-19,69.00116704257812,P,15.389086723327637,15.674049568176269,15.948329830169678,16.222200536727904,15.932619171142578,15.875988721847534,14.685963068008423
2013-08-20,68.79628815723966,P,15.644116401672363,15.605191230773926,15.87464542388916,16.18003511428833,15.937842712402343,15.874381971359252,14.699662656784058
2013-08-21,68.59485119667765,P,15.43606948852539,15.531367683410645,15.786144065856934,16.13844575881958,15.939570770263671,15.872211971282958,14.713193955421447
2013-08-22,68.76635573017096,B,15.442777633666992,15.493784141540527,15.706963348388673,16.088542461395264,15.934114036560059,15.868723754882813,14.727934451103211
2013-08-23,69.13294113797654,B,15.55015468597412,15.492440986633301,15.648500347137452,16.040348482131957,15.92960720062256,15.866771030426026,14.7417422580719
2013-08-26,69.53242115971302,B,15.42935276031494,15.500494194030761,15.587271881103515,15.991104412078858,15.924946613311768,15.86229100227356,14.755599222183228
2013-08-27,69.48929729581882,B,15.46291160583496,15.464253234863282,15.534722232818604,15.938215446472167,15.919227199554443,15.859004125595092,14.769689288139343
2013-08-28,69.90090498524707,B,15.570290565490724,15.491097450256348,15.511232566833495,15.891028261184692,15.923373527526856,15.85573561668396,14.784512181282043
2013-08-29,70.22420813164602,B,15.469621658325195,15.496466255187988,15.495125198364258,15.827496576309205,15.933490695953369,15.850602931976319,14.798831729888915
2013-08-30,70.2617258814869,P,15.389086723327637,15.46425266265869,15.478346824645996,15.761601734161378,15.938404216766358,15.846050148010255,14.812879242897033
2013-09-02,70.55035724239973,P,15.389086723327637,15.456199455261231,15.478346824645996,15.713338327407836,15.945180778503419,15.844861421585083,14.825947041511535
2013-09-03,70.54975022666808,P,15.274993896484377,15.418615913391113,15.441434574127197,15.658039999008178,15.943687324523927,15.840289068222045,14.83824840068817
2013-09-04,70.3713243763991,P,15.389086723327637,15.382375144958496,15.436736297607421,15.611440181732178,15.941415100097656,15.83870463371277,14.850728359222412
2013-09-05,70.12440211311014,P,15.274993896484377,15.343449592590332,15.41995792388916,15.563460636138917,15.934332656860352,15.834857807159423,14.862572531700135
2013-09-06,70.04895231615664,B,15.308551788330078,15.32734260559082,15.395797634124756,15.522148990631104,15.927921371459961,15.828708086013794,14.874682464599609
2013-09-09,70.04967329824493,B,15.449490547180176,15.339423370361327,15.39781141281128,15.492541646957397,15.927256526947021,15.824759340286255,14.88739912033081
2013-09-10,70.51088229108902,B,15.509892463684082,15.38640308380127,15.402509498596192,15.468615865707397,15.92540433883667,15.820293188095093,14.900842356681824
2013-09-11,70.50213075618736,B,15.34210205078125,15.377006149291992,15.379690647125244,15.44546160697937,15.921393947601318,15.814149131774903,14.912499542236327
2013-09-12,70.75723969772304,B,15.348819732666016,15.39177131652832,15.367610454559326,15.431367826461791,15.917517910003662,15.807214756011962,14.924386281967163
2013-09-13,71.03543023023718,B,15.3622407913208,15.402509117126465,15.364925861358643,15.42163634300232,15.914176425933839,15.800810384750367,14.936405458450317
2013-09-16,70.90060229107861,B,15.348819732666016,15.382374954223632,15.36089916229248,15.419622993469238,15.906042175292969,15.792556715011596,14.948096232414246
2013-09-17,71.16634919738057,C,15.764918327331545,15.433380126953125,15.409891605377197,15.425663089752197,15.903834629058839,15.78740867614746,14.96199815273285
2013-09-18,72.60081464635927,C,16.315248489379883,15.628009414672851,15.502507781982422,15.469622039794922,15.910238342285156,15.790006675720214,14.97874966621399
2013-09-19,73.84077095964409,C,16.248130798339844,15.807871627807618,15.599821472167969,15.509889698028564,15.911706886291505,15.793252744674682,14.995230898857116
2013-09-20,74.69319386709121,C,16.053504943847656,15.946124458312989,15.674316787719727,15.535057210922242,15.908085289001464,15.793233308792114,15.011261539459229
2013-09-23,75.93966059421102,A,16.274980545043945,16.131356620788573,15.756865787506104,15.577338600158692,15.905699424743652,15.796484022140502,15.027844414710998
2013-09-24,76.26665050910835,A,16.12733268737793,16.20383949279785,15.818609809875488,15.61055965423584,15.902090606689454,15.796938982009888,15.043493075370789
2013-09-25,75.52906475631823,A,16.107196807861328,16.162229156494142,15.895119285583496,15.63740496635437,15.89874439239502,15.798247995376586,15.059628887176514
2013-09-26,74.98567876594134,A,16.167598724365234,16.14612274169922,15.976997184753419,15.672303819656372,15.892880210876465,15.801018590927123,15.076229996681214
2013-09-27,74.73605156044694,A,16.060226440429688,16.147467041015624,16.046795749664305,15.705860805511474,15.886199264526367,15.801923904418945,15.092980079650879
2013-09-30,74.19185866563171,A,16.087066650390625,16.10988426208496,16.120620441436767,15.740759801864623,15.88085350036621,15.803955087661743,15.110092940330505
2013-10-01,74.18314552345832,A,16.234712600708008,16.131360244750976,16.167599868774413,15.788745737075805,15.875799255371094,15.805752801895142,15.127944030761718
2013-10-02,74.43582498875524,A,16.382362365722656,16.186393356323244,16.174311256408693,15.838409519195556,15.878089370727539,15.8071639919281,15.147382450103759
2013-10-03,74.08548477680169,A,16.01995086669922,16.15686378479004,16.151493263244628,15.8756573677063,15.869671516418457,15.807013654708863,15.165270071029664
2013-10-04,74.08234845448095,A,16.194440841674805,16.18370666503906,16.165586853027342,15.919951820373536,15.863279647827149,15.807277536392212,15.18419343471527
2013-10-07,73.74488879745348,A,16.01995086669922,16.17028350830078,16.140083885192873,15.948474836349487,15.855393981933593,15.805996103286743,15.20142791748047
2013-10-08,73.20368274691003,B,16.006526947021484,16.124646377563476,16.128003311157226,15.973306560516358,15.84511070251465,15.8039151096344,15.218595280647278
2013-10-09,72.67919104303108,B,16.060226440429688,16.06021919250488,16.123306274414062,16.00921277999878,15.836034545898437,15.806562767028808,15.23482280254364
2013-10-10,73.09885633849078,P,16.33538055419922,16.123305130004884,16.14008445739746,16.05854082107544,15.827937049865723,15.81116361618042,15.252230162620544
2013-10-11,73.30532918755252,A,16.41592025756836,16.167601013183592,16.175653839111327,16.111224794387816,15.822115783691407,15.818565893173218,15.269583020210266
2013-10-14,73.9758265934619,A,16.382362365722656,16.240083312988283,16.20518341064453,16.16290192604065,15.82267593383789,15.825632591247558,15.287486553192139
2013-10-15,74.26893131055243,A,16.13404655456543,16.26558723449707,16.195116806030274,16.181358337402344,15.817737655639649,15.831081113815308,15.304573054313659
