Date,GRADE,GPS,SNA,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2001-10-26,45.5229103243938,C,15.573957443237305,15.036927223205566,14.730535697937011,14.260772800445556,13.98909164428711,14.266398735046387,15.288828048706055
2001-10-29,45.6603507251188,C,15.155635833740234,15.170336723327637,14.787630462646485,14.40577130317688,14.01068588256836,14.255718727111816,15.28505259513855
2001-10-30,45.689364048042535,C,15.093450546264648,15.231387329101562,14.831157779693603,14.503284883499145,14.032053966522216,14.24441686630249,15.282343802452088
2001-10-31,45.60711879421609,C,15.127381324768066,15.2166898727417,14.908604145050049,14.568860006332397,14.05398775100708,14.232950334548951,15.280321259498596
2001-11-01,45.607229275810276,C,15.376102447509766,15.265305519104004,15.023359298706055,14.63782615661621,14.079991321563721,14.226211023330688,15.279370131492614
2001-11-02,45.54438889213998,C,15.658757209777832,15.28226547241211,15.159596347808838,14.73449215888977,14.110856628417968,14.222802391052246,15.278971309661864
2001-11-05,45.63230481623496,C,15.84530258178711,15.420198822021485,15.29526777267456,14.836245918273926,14.144774417877198,14.230611419677734,15.279016165733337
2001-11-06,45.85393976918127,A,16.18447494506836,15.638403701782227,15.434895515441895,14.96004581451416,14.187510776519776,14.245508193969727,15.279847712516785
2001-11-07,46.10673524490415,A,16.438861846923828,15.900699806213378,15.558694839477539,15.065473699569703,14.23499568939209,14.263060884475708,15.280766501426697
2001-11-08,46.24040043945927,A,16.3088436126709,16.087248039245605,15.676276779174804,15.149703025817871,14.278297386169434,14.279257402420043,15.27951988697052
2001-11-09,46.291887177301284,A,16.28623390197754,16.21274337768555,15.747504425048827,15.23902006149292,14.316172275543213,14.298027877807618,15.276892857551575
2001-11-12,46.215419544106794,A,15.964015007019045,16.236485862731932,15.82834234237671,15.307986402511597,14.347602787017822,14.31671233177185,15.272682323455811
2001-11-13,46.07575488285077,A,16.139263153076172,16.227443504333497,15.932923603057862,15.382040691375732,14.373945732116699,14.33938928604126,15.269348030090333
2001-11-14,46.13635026952509,A,17.08330726623535,16.3563325881958,16.12851619720459,15.51856017112732,14.421430702209472,14.370666666030884,15.271891078948975
2001-11-15,46.293900713424506,A,17.23716163635254,16.541996192932128,16.314622116088866,15.66899070739746,14.473236522674561,14.404154577255248,15.275423803329467
2001-11-16,46.51634452897364,A,17.351123809814453,16.754974174499512,16.48385877609253,15.821727561950684,14.52969575881958,14.442366199493408,15.279388589859009
2001-11-19,46.808968229590135,A,17.419498443603516,17.046070861816407,16.64127836227417,15.968273067474366,14.592610130310058,14.480029544830323,15.28204216003418
2001-11-20,47.05680166046466,A,17.447994232177734,17.30781707763672,16.767630290985107,16.101262903213502,14.656094417572021,14.517361860275269,15.284617834091186
2001-11-21,47.00327198149097,A,17.356826782226562,17.36252098083496,16.85942678451538,16.20906081199646,14.71775535583496,14.553782501220702,15.287681741714477
2001-11-22,46.90719976932807,A,17.356826782226562,17.386454010009764,16.964225101470948,16.320250940322875,14.779416294097901,14.58992304801941,15.289912633895874
2001-11-23,46.849049644741974,A,17.68732261657715,17.453693771362303,17.10433397293091,16.425919198989867,14.847687149047852,14.629760646820069,15.295906343460082
2001-11-26,46.82102228552427,A,17.6417293548584,17.498139953613283,17.272105407714843,16.550223875045777,14.935396995544433,14.668078317642212,15.301672086715698
2001-11-27,46.79791969222416,A,17.607540130615234,17.530049133300782,17.41893310546875,16.675928354263306,15.012360706329346,14.708182077407837,15.30648941040039
2001-11-28,46.82066947934738,A,17.465087890625,17.55170135498047,17.457111167907716,16.79281368255615,15.097216110229493,14.745909309387207,15.312316083908081
2001-11-29,46.8808634231303,A,17.65313148498535,17.610962295532225,17.498708152770995,16.906665134429932,15.195668449401856,14.7807568359375,15.320415830612182
2001-11-30,46.89932345256108,A,17.835472106933594,17.640592193603517,17.54714298248291,17.01550087928772,15.307603931427002,14.816811695098878,15.329427280426025
2001-12-03,46.8082647234689,A,17.636030197143555,17.639452362060545,17.568796157836914,17.105037260055543,15.40401840209961,14.85227219581604,15.337302656173707
2001-12-04,46.810738511076515,A,18.034914016723636,17.724927139282226,17.627488136291504,17.197559213638307,15.507280006408692,14.888193521499634,15.347561240196228
2001-12-05,47.08986098638587,A,18.986513137817383,18.029212188720702,17.790456771850586,17.324941778182982,15.637261581420898,14.934022884368897,15.363910698890686
2001-12-06,47.350116805941575,A,19.134672164916992,18.325520324707032,17.96824131011963,17.466233205795287,15.76704065322876,14.979989748001099,15.38008460521698
2001-12-07,47.57826709586297,A,19.220144271850582,18.60245475769043,18.121523475646974,17.612928724288942,15.898981494903564,15.026755304336548,15.394880909919738
2001-12-10,47.81457364092654,A,18.80417823791504,18.836084365844727,18.237768363952636,17.75493688583374,16.02995174407959,15.071545276641846,15.40565366268158
2001-12-11,47.849756050978925,A,18.450889587402344,18.919279479980467,18.32210330963135,17.87051820755005,16.13610595703125,15.112858381271362,15.41341042995453
2001-12-12,47.53732010761177,A,18.445180892944336,18.81101303100586,18.42011260986328,17.938611888885497,16.228691997528077,15.1475062084198,15.420888743400575
2001-12-13,47.23624556989494,A,18.730100631713867,18.730098724365234,18.52780952453613,18.013258838653563,16.323358421325683,15.182931127548217,15.42915297985077
2001-12-14,46.96443412022966,A,18.81556701660156,18.64918327331543,18.62581901550293,18.08648099899292,16.425161018371583,15.218146648406982,15.439927144050598
2001-12-17,46.87484826322241,A,19.197359085083008,18.727819442749023,18.781951904296875,18.175374031066895,16.532903652191163,15.258412218093872,15.455387053489686
2001-12-18,46.95429248622452,A,19.31131935119629,18.899905395507812,18.90959243774414,18.26854028701782,16.644960498809816,15.30032145500183,15.472388648986817
2001-12-19,47.14465616167598,A,19.4936580657959,19.109600830078126,18.960306930541993,18.375381851196288,16.748227577209473,15.344950037002564,15.492106819152832
2001-12-20,47.2367394431785,A,19.3341121673584,19.23040313720703,18.980250930786134,18.474246120452882,16.84242467880249,15.388935174942016,15.50897246837616
2001-12-21,47.32253080678944,A,19.419586181640625,19.351206970214843,19.000195121765138,18.560859298706056,16.94081853866577,15.43511908531189,15.527320647239685
2001-12-24,47.26899607140003,A,19.36260032653809,19.38425521850586,19.05603733062744,18.64690284729004,17.036376781463623,15.482693157196046,15.544550886154175
2001-12-25,47.1860815338517,A,19.36260032653809,19.394511413574218,19.147208404541015,18.73465585708618,17.130465240478514,15.53088327407837,15.560281639099122
2001-12-26,47.11893505112929,A,19.29991149902344,19.355762100219728,19.232681465148925,18.826397037506105,17.22940511703491,15.581414613723755,15.577476100921631
2001-12-27,47.12768217663887,A,19.396791458129883,19.368297958374022,19.299350547790528,18.91358003616333,17.332769927978514,15.631458702087402,15.593627700805664
2001-12-28,47.09367579522357,A,19.3341121673584,19.351203155517577,19.35120506286621,18.98851203918457,17.433524436950684,15.67936393737793,15.609799127578736
2001-12-31,47.035100399884094,A,19.180259704589844,19.31473503112793,19.349495124816894,19.065723514556886,17.527357864379884,15.727018671035767,15.626228723526001
2002-01-01,46.94504771481843,A,19.180259704589844,19.27826690673828,19.33638916015625,19.122990798950195,17.61519910812378,15.774841442108155,15.642908215522766
2002-01-02,46.779890143505064,A,19.083383560180664,19.234961318969727,19.295361709594726,19.12783432006836,17.692849407196046,15.821863460540772,15.659991908073426
2002-01-03,46.542946291071765,P,18.79277610778809,19.11415824890137,19.241228103637695,19.110739517211915,17.766044445037842,15.864961862564087,15.675206036567689
2002-01-04,46.33237819143243,P,18.861156463623047,19.0195671081543,19.185385131835936,19.092790126800537,17.831788425445556,15.910440034866333,15.68865173816681
2002-01-07,46.19540410217536,P,18.80417823791504,18.944350814819337,19.129542922973634,19.092790126800537,17.904759273529052,15.957722578048706,15.702340111732482
2002-01-08,46.09200209823209,P,18.71870422363281,18.85203971862793,19.065153312683105,19.10618085861206,17.977264347076417,16.004659156799317,15.717544856071472
2002-01-09,46.04466989770839,P,18.661718368530277,18.767706680297852,19.00133399963379,19.117007732391357,18.04795108795166,16.05096941947937,15.730659775733947
2002-01-10,46.00129963137465,P,18.45657730102539,18.700466918945313,18.90731258392334,19.103331565856934,18.109560585021974,16.094775953292846,15.739777836799622
2002-01-11,45.952861784581636,P,18.40529441833496,18.609294509887697,18.814430809020998,19.082817935943602,18.164491329193115,16.13767397880554,15.75149953365326
2002-01-14,45.799070465200515,P,18.177370071411133,18.483932876586913,18.714141845703125,19.03181848526001,18.211132678985596,16.177953548431397,15.759610304832458
2002-01-15,45.59244381622639,P,18.006412506103516,18.341474533081055,18.59675712585449,18.96657314300537,18.2475714302063,16.217541103363036,15.76625536441803
2002-01-16,45.36963382015367,P,17.84686851501465,18.17850456237793,18.47310562133789,18.884233665466308,18.275731563568115,16.255363626480104,15.774962821006774
2002-01-17,45.25438901510722,P,17.93804168701172,18.074797439575196,18.387632179260255,18.814430141448973,18.308315525054933,16.293306455612182,15.781932473182678
2002-01-18,45.177940977143585,P,18.10327911376953,18.01439437866211,18.311844444274904,18.74861478805542,18.344656429290772,16.33041435241699,15.78972831249237
2002-01-21,45.20053202293875,P,18.10327911376953,17.99957618713379,18.24175453186035,18.685648727416993,18.38744171142578,16.367522249221803,15.79788513660431
2002-01-22,45.23251591108556,P,17.955141067504883,17.989321899414062,18.16539821624756,18.61527576446533,18.423759269714356,16.398852500915527,15.804690375328065
2002-01-23,45.26914074813096,P,17.955141067504883,18.01097640991211,18.09474048614502,18.548037242889404,18.441195945739747,16.43131332397461,15.808579983711242
2002-01-24,45.312474313422776,P,18.18306541442871,18.05998115539551,18.067389297485352,18.487350940704346,18.46011402130127,16.466675271987913,15.8141645860672
2002-01-25,45.36829069165602,P,18.35971069335937,18.111267471313475,18.062830924987793,18.438630867004395,18.48028575897217,16.504990758895875,15.821993060112
2002-01-28,45.4536945377398,P,18.54205322265625,18.19902229309082,18.099299240112305,18.406720542907713,18.502736854553223,16.54767349243164,15.830344471931458
2002-01-29,45.56899787214749,P,18.40529441833496,18.289052963256836,18.13918743133545,18.36797227859497,18.521882858276367,16.588988637924196,15.83956711292267
2002-01-30,45.822382666143,A,18.82126808166504,18.462278366088867,18.23662738800049,18.35486650466919,18.551171684265135,16.634463520050048,15.853146567344666
2002-01-31,45.96320885150059,A,18.57054901123047,18.539775085449218,18.299878120422363,18.343755149841307,18.575446128845215,16.677431211471557,15.864917063713074
2002-02-01,45.99098629251927,A,18.376802444458008,18.543193435668947,18.32723045349121,18.319537448883057,18.589235725402833,16.718461437225344,15.875274538993835
2002-02-04,45.903603046791225,A,18.006412506103516,18.4360652923584,18.31754379272461,18.27964916229248,18.596529388427733,16.765963191986085,15.884779715538025
2002-02-05,45.79441683750889,A,17.86396598815918,18.327799606323243,18.308426284790038,18.2369122505188,18.601657905578612,16.80700930595398,15.892573008537292
2002-02-06,45.580908036435005,P,17.932344436645508,18.150014877319336,18.3061466217041,18.20044355392456,18.611003036499024,16.85410957336426,15.900236144065858
2002-02-07,45.3816166783429,P,17.596153259277344,17.95513572692871,18.247455406188966,18.15742235183716,18.609863471984863,16.90276596069336,15.907634472846985
2002-02-08,45.298896180918355,P,17.767091751098633,17.833193588256837,18.18819351196289,18.125512218475343,18.608495864868164,16.958049898147582,15.914582409858703
2002-02-11,45.37925475729144,P,18.20586585998535,17.873084259033202,18.1545747756958,18.126937007904054,18.619892578125,17.011955490112303,15.923557667732238
2002-02-12,45.49945707405066,P,18.22295570373535,17.944882202148438,18.13634090423584,18.137764167785644,18.623653411865234,17.065466709136963,15.932562823295592
2002-02-13,45.64010388430836,P,18.50427627563477,18.05926856994629,18.104641723632813,18.17063455581665,18.614008674621584,17.12563512802124,15.944140782356262
