Date,GRADE,GPS,TSN,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1996-08-28,62.04164352431382,A,11.180830001831056,11.270601844787597,11.21900634765625,11.196000146865845,11.62554334640503,11.235164136886597,10.976066594123841
1996-08-29,61.72077639615963,P,10.901308059692385,11.150376892089843,11.20356388092041,11.179903078079224,11.6001198387146,11.244908933639527,10.979950766563416
1996-08-30,61.500765327830486,P,10.845403671264648,11.052471923828126,11.182530975341797,11.163802814483642,11.574695072174073,11.254094686508179,10.981886558532715
1996-09-02,61.3528872404538,P,10.845403671264648,10.988070869445801,11.155913639068604,11.147702550888061,11.547036743164062,11.263559303283692,10.982153472900391
1996-09-03,61.115583959095,P,10.733598709106444,10.901308822631837,11.106948566436767,11.120427989959717,11.519375877380371,11.270511655807494,10.98213948249817
1996-09-04,60.82383153605397,P,10.733598709106444,10.811862564086914,11.041232204437256,11.095945453643797,11.49171501159668,11.278579359054566,10.982337141036988
1996-09-05,60.79313770854023,P,10.845403671264648,10.800681686401367,10.975529289245605,11.079845190048216,11.46405668258667,11.285534400939941,10.983650832176208
1996-09-06,60.78852291952011,P,10.845403671264648,10.800681686401367,10.926576805114745,11.060952901840208,11.43639835357666,11.292489442825318,10.983850564956665
1996-09-09,60.765025164410254,P,10.78950023651123,10.789500999450684,10.888785934448242,11.042057466506957,11.40538854598999,11.298327713012695,10.98293529510498
1996-09-10,60.792566911192104,B,10.621785163879396,10.767138290405274,10.834223556518555,11.020360088348388,11.376608200073242,11.303604249954224,10.982016935348511
1996-09-11,60.850829692323316,B,10.677690505981444,10.755956649780273,10.783909606933594,11.00145797729492,11.350062656402589,11.308324422836304,10.98109959602356
1996-09-12,60.9374538064009,B,10.901308059692385,10.76713752746582,10.783909606933594,10.993736743927002,11.327989463806153,11.309703931808471,10.981578850746155
1996-09-13,61.352525482305104,P,11.488304138183594,10.89571762084961,10.848199653625489,11.015365314483642,11.325473384857178,11.318068780899047,10.984157600402831
1996-09-16,62.05457607803046,A,11.96347999572754,11.130513572692871,10.960007286071777,11.057960462570191,11.332460823059082,11.330627660751343,10.990226182937622
1996-09-17,62.54066541250385,A,11.516252517700195,11.309407043457032,11.038272666931153,11.072610616683962,11.326036701202392,11.334810476303101,10.994058628082275
1996-09-18,62.980765702006956,A,11.516252517700195,11.477119445800781,11.116538047790527,11.078885126113892,11.32296287536621,11.338435640335083,10.997055606842041
1996-09-19,63.54555763795781,A,12.019391059875488,11.700736045837402,11.233936786651611,11.104733037948609,11.331068534851074,11.349322919845582,11.00284677028656
1996-09-20,63.6873347808839,A,12.075297355651855,11.818134689331055,11.356926155090331,11.14175148010254,11.333591995239258,11.359653959274292,11.007803497314454
1996-09-23,63.33270518570219,A,11.683965682983398,11.762231826782227,11.446372699737548,11.167579317092898,11.332755661010742,11.36718698501587,11.01108208656311
1996-09-24,63.50160976845382,A,12.019391059875488,11.862859535217286,11.586133289337159,11.210178422927857,11.338627834320068,11.380304975509643,11.016037802696228
1996-09-25,63.544104241945064,A,11.795772552490234,11.918763542175293,11.697941493988036,11.240925550460815,11.33444393157959,11.39062912940979,11.019596905708314
1996-09-26,63.35449097251034,A,11.96347999572754,11.907581329345705,11.804158687591553,11.294034147262574,11.334731044769287,11.403188009262085,11.022045121192932
1996-09-27,63.22572186497488,A,12.075297355651855,11.907581329345703,11.862858009338378,11.355528831481934,11.337254505157471,11.416865062713622,11.024495429992676
1996-09-30,63.25250606969919,A,11.93553638458252,11.957895469665527,11.860063648223877,11.410035467147827,11.336982746124267,11.428586854934693,11.026246933937072
1996-10-01,63.06324757794198,A,12.019391059875488,11.957895469665527,11.910377502441406,11.47432508468628,11.338388080596923,11.44114719390869,11.028696193695069
1996-10-02,63.12122677421858,A,12.131199836730955,12.024980926513672,11.971872234344483,11.544205141067506,11.343146152496338,11.45594099998474,11.031147518157958
1996-10-03,63.02191854370895,A,12.019391059875488,12.036163139343262,11.971872234344483,11.602904510498048,11.345668048858643,11.467943696975707,11.033596777915955
1996-10-04,63.24068338414745,A,12.634337425231934,12.147971153259277,12.02777624130249,11.692351198196413,11.359372310638427,11.486653499603271,11.03856379032135
1996-10-07,63.46876404603568,A,12.354818344116213,12.231827545166016,12.094861507415771,11.770617103576662,11.369719505310059,11.502568111419677,11.042133207321166
1996-10-08,63.675959264001335,A,12.466626167297363,12.321274566650391,12.139585018157959,11.862859153747559,11.386769866943359,11.52015845298767,11.046540160179138
1996-10-09,63.83680835698106,A,12.466626167297363,12.388359832763673,12.206670379638672,11.952305936813357,11.416104354858398,11.537748794555664,11.051504106521607
1996-10-10,64.12107290397432,A,12.466626167297363,12.477806854248048,12.256984996795655,12.030571842193604,11.440971889495849,11.553666133880615,11.057581996917724
1996-10-11,64.12103154252296,A,12.746143341064451,12.50016803741455,12.324069595336914,12.093463802337647,11.472546577453613,11.574051647186279,11.06561448097229
1996-10-14,64.20511288033141,A,12.746143341064451,12.578433036804197,12.405130290985108,12.132596969604492,11.504121265411378,11.594437160491943,11.073507719039917
1996-10-15,64.18465698169176,A,12.634337425231934,12.611975288391111,12.466624927520751,12.188501214981079,11.53122621536255,11.611473903656005,11.08125964641571
1996-10-16,64.12244469709997,A,12.690244674682615,12.656698989868163,12.522529411315919,12.247200822830198,11.560566120147705,11.630610809326171,11.087341685295105
1996-10-17,64.0804211017351,A,12.690244674682615,12.701422691345213,12.589614772796631,12.280743503570555,11.591022834777831,11.648630981445313,11.09509467601776
