Date,GRADE,GPS,IQV,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2018-12-13,54.304682094543544,P,121.5,120.48800048828124,122.30400009155274,120.63250007629395,122.25280029296874,123.70710006713867,112.81424991607666
2018-12-14,54.30997460458446,P,118.0199966430664,120.49599914550781,121.59899978637695,120.56399993896484,122.05740020751954,123.68280006408692,112.87634990692139
2018-12-17,53.74097447914935,B,115.66000366210938,119.80399932861329,120.4270004272461,120.575,121.84180023193359,123.63020011901855,112.92499992370605
2018-12-18,52.49439016806364,B,115.45999908447266,118.59599914550782,119.65800018310547,120.55550003051758,121.6034002685547,123.56540008544921,112.97389991760254
2018-12-19,51.09444332649294,B,113.79000091552734,116.88600006103516,118.72200012207031,120.43450012207032,121.42300033569336,123.48270011901856,113.01864994049072
2018-12-20,49.05381524710693,B,110.1999969482422,114.6259994506836,117.55699996948242,120.13400001525879,121.17540023803711,123.34110008239746,113.04294994354248
2018-12-21,47.42563080344649,B,108.22000122070312,112.66600036621094,116.58099975585938,119.65849990844727,120.84400024414063,123.19190010070801,113.05559993743897
2018-12-24,45.91216335417429,B,105.6999969482422,110.6739990234375,115.23899917602539,118.96449966430664,120.47280014038085,123.02730003356933,113.06029991149903
2018-12-25,44.19813712028605,B,105.6999969482422,108.72199859619141,113.65899887084962,118.24599952697754,119.99460006713868,122.85569999694825,113.06474990844727
2018-12-26,43.876169705738086,B,111.19000244140624,108.20199890136719,112.54399948120117,117.59649963378907,119.63080001831055,122.74779998779297,113.10014991760254
2018-12-27,44.7953549285434,B,112.37999725341795,108.63799896240235,111.63199920654297,116.96799964904785,119.31,122.65459999084473,113.15264991760255
2018-12-28,46.485559707210115,B,113.91000366210938,109.7759994506836,111.22099990844727,116.40999984741211,119.05040008544921,122.58220001220702,113.22359992980957
2018-12-31,49.24288906904881,B,116.16999816894533,111.86999969482422,111.27199935913086,115.84949989318848,118.84480010986329,122.53589996337891,113.29614990234376
2019-01-01,52.519523998140166,B,116.16999816894533,113.96399993896485,111.34299926757812,115.5004997253418,118.71860000610351,122.48559997558594,113.37669990539551
2019-01-02,54.24873717330257,B,114.30999755859376,114.58799896240234,111.39499893188477,115.05849952697754,118.7,122.42669998168945,113.45514987945556
