Date,GRADE,GPS,RTX,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2010-04-21,64.81171237604292,A,34.20988464355469,33.19065628051758,33.00033187866211,32.962531089782715,31.846416091918947,31.256484775543214,29.075668687820436
2010-04-22,65.04101834375315,A,33.987545013427734,33.35252456665039,33.12173233032227,33.03279285430908,31.936665267944335,31.299179248809814,29.127836112976073
2010-04-23,65.50188980547976,A,34.005332946777344,33.59977493286133,33.23201637268066,33.09616203308106,32.03628360748291,31.33736801147461,29.180463399887085
2010-04-26,65.89986361911723,A,33.97418975830078,33.83456878662109,33.349413299560545,33.14952354431152,32.13527908325195,31.37285957336426,29.230381898880005
2010-04-27,65.85405459136993,A,33.04923248291016,33.84523696899414,33.38765411376953,33.153747367858884,32.210119819641115,31.401885108947752,29.277857761383057
2010-04-28,65.23552381537208,A,33.200439453125,33.643347930908206,33.41700210571289,33.1770938873291,32.27513313293457,31.436045703887938,29.327944469451904
2010-04-29,64.94253440255608,A,33.80521774291992,33.60688247680664,33.47970352172852,33.21911697387695,32.345482711791995,31.473956527709962,29.380487728118897
2010-04-30,64.40994166829636,A,33.32939529418945,33.47169494628906,33.53573493957519,33.23734893798828,32.402669486999514,31.500614109039308,29.433161334991453
2010-05-03,64.15939883715076,A,33.92083740234375,33.46102447509766,33.647796630859375,33.269144439697264,32.47275241851807,31.530932788848876,29.489054012298585
2010-05-04,64.01116338429932,A,32.97808837890625,33.44679565429688,33.64601631164551,33.257804489135744,32.52940544128418,31.550321769714355,29.539512825012206
2010-05-05,63.714817730069136,A,32.7246208190918,33.35163192749023,33.49748992919922,33.248910903930664,32.5736071395874,31.56717607498169,29.587045879364013
2010-05-06,62.698377249336055,P,31.67959976196289,32.92650833129883,33.26669540405273,33.1942138671875,32.596463966369626,31.576540355682372,29.627106189727783
2010-05-07,61.59038454796575,P,30.888063430786133,32.438241958618164,32.95496845245361,33.09349241256714,32.60366790771484,31.578519420623778,29.6626851272583
2010-05-10,60.83331583686007,P,32.480037689208984,32.15008201599121,32.80555324554443,33.07748327255249,32.63390670776367,31.59686014175415,29.704674644470217
2010-05-11,60.604052818891496,P,32.52005386352539,32.05847511291504,32.752635383605956,33.070144748687746,32.6639673614502,31.61564514160156,29.747715244293214
2010-05-12,60.725809034166105,P,32.719112396240234,32.057373428344725,32.70450267791748,33.060752391815186,32.69934314727783,31.635713901519775,29.792994985580446
2010-05-13,61.310079406246615,P,32.58940887451172,32.239335250854495,32.58292179107666,33.03131265640259,32.725276679992675,31.650729942321778,29.83579321861267
2010-05-14,62.07403592690645,P,32.016876220703125,32.46509780883789,32.45166988372803,32.99370241165161,32.73193290710449,31.660020656585694,29.87457223892212
2010-05-17,61.89544757359507,P,31.770856857299805,32.32326164245605,32.23667182922363,32.94223423004151,32.738027000427245,31.666409454345704,29.911466512680054
2010-05-18,61.46169223588075,P,31.614307403564453,32.14211235046387,32.100293731689455,32.87315502166748,32.73191822052002,31.671939640045167,29.947839879989623
2010-05-19,60.54561948015899,P,31.019426345825195,31.80217514038086,31.929774284362793,32.713632106781006,32.71382312774658,31.6706813621521,29.97600172996521
