Date,GRADE,GPS,ODFL,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2023-08-30,74.96521752094743,A,213.8845672607422,207.98858337402345,203.82233428955078,203.54522933959962,195.15918823242188,176.65098129272462,168.315926361084
2023-08-31,77.05769172350169,A,212.4232482910156,209.8445617675781,205.4725311279297,203.90136337280273,196.1180926513672,177.12329818725587,168.6424175262451
2023-09-01,80.77509355808998,A,216.6481475830078,212.5117218017578,207.57901763916016,204.61611709594726,197.20404205322265,177.6085757446289,168.9975621032715
2023-09-04,83.31716289016042,A,216.6481475830078,214.4482177734375,209.20734558105468,205.27495498657225,198.2113589477539,178.0831803894043,169.36674896240234
2023-09-05,81.5775672020717,A,210.66319274902344,214.05346069335937,210.1432357788086,205.64100494384766,198.85313690185546,178.48512786865234,169.6967237854004
2023-09-06,79.30866765514574,A,210.8721160888672,213.4509704589844,210.71977691650392,206.20787048339844,199.38954406738281,178.87620819091796,170.0016399383545
2023-09-07,78.17232548782052,A,215.29493713378903,214.02530822753906,211.9349349975586,206.88379287719727,199.9601300048828,179.3071482849121,170.33292991638183
2023-09-08,73.89080430902888,A,209.5736389160156,212.61040649414062,212.56106414794922,207.15361480712892,200.4759356689453,179.67114578247072,170.63075927734374
2023-09-11,70.69759694741047,A,211.95669555664065,211.6721160888672,213.06016693115234,207.4131072998047,201.05809173583984,180.03122436523438,170.97292251586913
2023-09-12,69.96285842530237,A,209.8721466064453,211.51390686035157,212.78368377685547,207.7261848449707,201.59855682373046,180.4452668762207,171.31046447753906
2023-09-13,69.3291772683923,A,206.8323974609375,210.70596313476562,212.078466796875,207.95040054321288,202.07961853027345,180.9969480895996,171.6339727783203
2023-09-14,66.31367586462075,P,202.47427368164065,208.14183044433594,211.0835693359375,208.2780502319336,202.49011932373048,181.46687377929686,171.93415351867677
2023-09-15,65.48339653242687,P,203.77772521972656,206.98264770507814,209.79652709960936,208.68777236938476,202.88811767578125,181.91419128417968,172.22855476379394
2023-09-18,63.71591069090898,P,203.89712524414065,205.37073364257813,208.52142486572265,208.86438522338867,203.24068817138672,182.37585769653322,172.49982734680177
2023-09-19,61.92146903560329,P,202.12600708007807,203.82150573730468,207.66770629882814,208.90547103881835,203.5264224243164,182.83058517456055,172.75517868041993
2023-09-20,60.60189892967414,P,202.9220123291016,203.0394287109375,206.87269592285156,208.79623641967774,203.84945037841797,183.2679556274414,173.00273399353028
