Date,GRADE,GPS,BIIB,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2020-01-27,51.75485423075907,P,281.1400146484375,283.756005859375,286.7980041503906,290.2405029296875,294.4910003662109,274.0056002807617,252.5207499694824
2020-01-28,51.36234433071391,P,281.95001220703125,282.7080078125,285.09600524902345,289.50150299072266,294.42140075683596,274.495100402832,252.77944999694824
2020-01-29,50.866989309885035,P,282.5199890136719,281.5920043945313,284.03900451660155,288.79100189208987,294.3638006591797,274.96070022583007,253.07004997253418
2020-01-30,50.27766240434658,P,277.5299987792969,280.256005859375,283.1780029296875,287.95550231933595,294.14520080566405,275.4129002380371,253.30824996948243
2020-01-31,49.52730480498702,P,268.8500061035156,278.39800415039065,281.51300354003905,286.8555023193359,293.54060119628906,275.73510025024416,253.49985000610351
2020-02-03,48.7703517026184,P,272.7300109863281,276.71600341796875,280.2360046386719,285.9510025024414,292.94300170898435,276.10120040893554,253.7166000366211
2020-02-04,48.92559431456496,P,283.2900085449219,276.9840026855469,279.84600524902345,285.61100311279296,292.5490020751953,276.54710052490236,253.98685005187988
2020-02-05,52.863083984484604,A,332.8699951171875,287.05400390625,284.3230041503906,287.6215026855469,293.13940185546875,277.52410049438475,254.5037000274658
2020-02-06,57.48957675937734,A,337.239990234375,298.9960021972656,289.6260040283203,289.7685028076172,293.81720153808595,278.5403004455566,255.0372999572754
2020-02-07,63.16276419928435,A,338.70001220703125,312.96600341796875,295.6820037841797,291.8780029296875,294.5950018310547,279.5394006347656,255.57490005493165
2020-02-10,68.59537282034171,A,338.92999267578125,326.20599975585935,301.46100158691405,294.12950286865237,295.5258013916016,280.52910049438475,256.08919998168943
2020-02-11,72.61813460816029,A,332.2900085449219,336.00599975585936,306.4950012207031,295.7955032348633,296.3576013183594,281.49000061035156,256.60555000305175
2020-02-12,72.03330542596011,A,331.760009765625,335.78400268554685,311.41900329589845,297.72900390625,297.20240173339846,282.44860076904297,257.1094500732422
2020-02-13,71.28183592852524,A,334.25,335.1860046386719,317.09100341796875,300.13450317382814,297.8996014404297,283.48890075683596,257.6383500671387
