Date,GRADE,GPS,CMCSA,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1998-10-20,55.959717214569345,A,5.69514799118042,5.444501876831055,5.2257428646087645,5.355144143104553,5.189727287292481,5.023886089324951,4.552285438776016
1998-10-21,56.87085423867351,A,5.82862663269043,5.595778942108154,5.282100963592529,5.3721999168396,5.196021099090576,5.042374179363251,4.562073183059693
1998-10-22,57.56788366359132,A,5.9695234298706055,5.736674499511719,5.40149154663086,5.39852511882782,5.205132846832275,5.061752483844757,4.57282447218895
1998-10-23,57.7196658307818,A,5.69514799118042,5.78116807937622,5.47490553855896,5.4133562564849855,5.2142413711547855,5.078535220623016,4.581685758829117
1998-10-26,57.32740851910037,A,5.5542521476745605,5.748539638519287,5.525331306457519,5.416322469711304,5.218605031967163,5.093760812282563,4.589842566251755
1998-10-27,57.00771512698369,A,5.620989799499512,5.733708000183105,5.58910493850708,5.417434763908386,5.224896383285523,5.110098416805267,4.598518110513687
1998-10-28,56.79963796433964,A,5.836043357849121,5.735191345214844,5.665485143661499,5.432636713981628,5.236081666946411,5.128141920566559,4.608453956842422
1998-10-29,56.257459638399006,A,5.821211814880371,5.705529022216797,5.721101760864258,5.456737208366394,5.245191631317138,5.147222878932953,4.618093603849411
1998-10-30,56.15608609828394,A,5.82862663269043,5.732224750518799,5.75669641494751,5.472309899330139,5.254005222320557,5.165933318138123,4.627548267841339
1998-11-02,56.386273683594986,A,5.821211814880371,5.785616683959961,5.767078161239624,5.484545588493347,5.264301013946533,5.185162491798401,4.637372962236404
1998-11-03,56.24019540271348,A,5.635823249816895,5.788583374023437,5.761145687103271,5.493444275856018,5.268220987319946,5.200388550758362,4.646751817464828
1998-11-04,55.5752721144486,A,5.443019390106201,5.7099785804748535,5.722584962844849,5.502342963218689,5.268581323623657,5.213390111923218,4.6560178411006925
1998-11-05,54.75705603487668,P,5.190890312194824,5.583914279937744,5.644721651077271,5.523106598854065,5.269086923599243,5.222239923477173,4.663172031641007
1998-11-06,54.12763626264541,P,5.3095383644104,5.480096626281738,5.606160688400268,5.540533113479614,5.2753746223449705,5.23071985244751,4.671326557397842
1998-11-09,53.8452268456576,P,5.487511157989502,5.413356494903565,5.599486589431763,5.5624089479446415,5.296190395355224,5.241275949478149,4.680333940982819
1998-11-10,53.91714752084986,P,5.532004356384277,5.392592716217041,5.590588045120239,5.58984649181366,5.316953907012939,5.2494607210159305,4.689785832166672
1998-11-11,54.459729791944476,P,5.69514799118042,5.443018436431885,5.576498508453369,5.620991826057434,5.336530990600586,5.258461704254151,4.700275495052337
1998-11-12,55.13415745378321,P,5.517172813415527,5.508274936676026,5.546094608306885,5.633598184585571,5.354031705856324,5.267832198143005,4.709912285804749
