Date,GRADE,GPS,PFE,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2005-03-28,40.37535130029547,B,11.315186500549316,11.218558502197265,11.212519550323487,11.364797925949096,11.03296838760376,11.27309006690979,12.321340222358703
2005-03-29,40.74108633234352,B,11.060670852661133,11.237538719177246,11.18447961807251,11.343875885009766,11.037525043487548,11.263850469589233,12.302775135040283
2005-03-30,41.082633516961685,B,11.341070175170898,11.259107398986817,11.194832515716552,11.336973810195923,11.051286392211914,11.259641332626343,12.285485043525696
2005-03-31,41.30433252936189,B,11.33244514465332,11.267735481262207,11.206048774719239,11.330071830749512,11.064018821716308,11.256716117858886,12.268469276428222
2005-04-01,41.4681528296241,B,11.280677795410156,11.266010093688966,11.219852828979493,11.3149733543396,11.079997577667235,11.251988706588746,12.2532901096344
2005-04-04,41.37912122817411,C,11.185772895812988,11.2401273727417,11.229342937469482,11.288011693954468,11.095962371826172,11.245584325790405,12.237128443717957
2005-04-05,42.15856894775856,C,11.604215621948242,11.348836326599121,11.293187522888184,11.291031312942504,11.117469940185547,11.244648981094361,12.222466354370118
2005-04-06,42.408730169396385,C,11.586962699890137,11.39801483154297,11.328561115264893,11.293619680404664,11.13863245010376,11.240672302246093,12.207844986915589
2005-04-07,42.68917903919947,C,11.604215621948242,11.452368927001952,11.36005220413208,11.296854972839355,11.159369316101074,11.237810096740724,12.194050693511963
2005-04-08,42.938218195046055,C,11.474803924560549,11.491194152832032,11.378602123260498,11.302031803131104,11.180343914031983,11.235965967178345,12.179588146209717
2005-04-11,43.28503089907966,C,11.414405822753906,11.536920738220214,11.388524055480957,11.300521802902221,11.201737575531006,11.234202890396118,12.164823608398438
2005-04-12,43.192928219906406,C,11.595588684082031,11.535195350646973,11.442015838623046,11.313247728347779,11.229323959350586,11.23497953414917,12.151113147735595
2005-04-13,43.46905711450973,C,11.768136024475098,11.571430015563966,11.484722423553468,11.33977746963501,11.258562984466552,11.23795268058777,12.13858292579651
2005-04-14,43.805855971600785,A,11.841473579406738,11.618881607055664,11.53562526702881,11.370837020874024,11.290638961791991,11.241659202575683,12.125953726768493
2005-04-15,44.3592886346064,A,11.953630447387695,11.714646911621093,11.602920532226562,11.411386680603027,11.32221773147583,11.24490303039551,12.113758339881898
2005-04-18,44.930029284926256,A,11.906179428100586,11.81300163269043,11.674961185455322,11.452152061462403,11.347024192810059,11.24694446563721,12.102129979133606
2005-04-19,44.99478590911358,A,11.828536987304688,11.859591293334962,11.697393321990967,11.495290422439576,11.364797286987304,11.246325473785403,12.088970460891723
2005-04-20,44.46308143240958,A,11.5438232421875,11.814728736877441,11.693079376220703,11.510820245742797,11.379550685882569,11.240889768600466,12.074704875946045
2005-04-21,44.08745125921761,C,11.755205154418944,11.797475051879882,11.708178329467774,11.534115266799926,11.398531723022462,11.236583013534549,12.064522895812988
2005-04-22,43.560834574085675,C,11.742259979248049,11.755200958251953,11.734923934936523,11.55676302909851,11.416391010284423,11.234587469100955,12.054699487686158
2005-04-25,43.02074223346235,C,11.660293579101562,11.706023788452148,11.75951271057129,11.574018383026123,11.42976390838623,11.234683866500857,12.045037732124328
2005-04-26,42.77203447605768,C,11.608530044555664,11.662022399902344,11.760806846618653,11.60141134262085,11.44434471130371,11.234305438995364,12.034651517868042
2005-04-27,42.9649144695345,C,11.612841606140137,11.675826072692871,11.745277404785156,11.614999914169312,11.461341247558593,11.232685565948488,12.024985337257386
2005-04-28,42.69592361842846,C,11.513628005981444,11.62751064300537,11.712492847442627,11.624059057235717,11.475404415130615,11.230630216598513,12.013743624687194
2005-04-29,42.56762812662307,B,11.72068691253662,11.623196029663086,11.68919849395752,11.646059513092041,11.478596630096435,11.231844320297244,12.003981704711913
2005-05-02,42.67811147004061,B,11.824222564697266,11.655981826782227,11.681002807617187,11.677981996536255,11.483859558105468,11.233794069290163,11.995922708511353
2005-05-03,42.78668066523799,A,11.863043785095217,11.706884574890136,11.68445348739624,11.690923404693603,11.491710739135742,11.235404148101809,11.98729588508606
2005-05-04,43.12554880326187,A,12.005403518676758,11.785396957397461,11.730611515045165,11.711845445632935,11.50482479095459,11.234198904037477,11.980396800041198
2005-05-05,43.61407310974502,C,12.014029502868652,11.885477256774902,11.756493949890137,11.732336139678955,11.517334899902345,11.230253906250002,11.972884712219239
2005-05-06,43.9339067583802,A,11.910496711730955,11.923439216613769,11.773317623138428,11.754120779037475,11.523805580139161,11.239103679656983,11.964791450500488
2005-05-09,44.33515003667773,A,12.0657958984375,11.971753883361817,11.813867855072022,11.786690282821656,11.538300094604493,11.255757808685303,11.956966729164124
2005-05-10,44.503634046740274,A,11.932065963745115,11.985558319091796,11.846221446990967,11.80351414680481,11.547359180450439,11.268163042068482,11.94794421672821
2005-05-11,44.399667620668176,A,12.010254859924316,11.986528587341308,11.885962772369385,11.81562008857727,11.55798204421997,11.277154092788697,11.939418439865113
2005-05-12,44.38514295823986,A,12.00156593322754,11.984035873413086,11.934756565093995,11.82362470626831,11.56860366821289,11.285544357299806,11.932436661720276
2005-05-13,44.452702826150244,A,12.101465225219728,12.02222957611084,11.972834396362305,11.831016445159912,11.578980026245118,11.294933614730835,11.9269491815567
2005-05-16,44.318233024848524,A,12.262182235717772,12.061506843566894,12.016630363464355,11.84881658554077,11.589723548889161,11.304088916778564,11.922222938537598
2005-05-17,44.46380249520727,A,12.24915599822998,12.124924850463866,12.055241584777832,11.869847536087036,11.60383020401001,11.311230001449585,11.916838974952698
2005-05-18,44.7435081253738,A,12.353402137756348,12.193554306030274,12.090041446685792,11.910326480865479,11.620194339752198,11.318043327331543,11.910997295379639
2005-05-19,45.121557623202584,A,12.475022315979004,12.288245582580567,12.136140727996827,11.946317338943482,11.638904590606689,11.32714334487915,11.906487250328064
2005-05-20,45.39488045299701,A,12.414214134216309,12.350795364379882,12.186512470245361,11.979915046691895,11.659763526916503,11.336149053573608,11.902269043922423
