Date,GRADE,GPS,DE,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2001-01-19,44.461297595577435,P,12.670387268066406,12.926951026916504,13.274299621582031,13.814110469818115,13.141898288726807,11.902509927749634,12.096246662139892
2001-01-22,44.476197613477176,P,12.630914688110352,12.871690940856933,13.149964523315429,13.736591863632203,13.165494766235351,11.92426637649536,12.09849645137787
2001-01-23,44.477899446187024,P,13.14404296875,12.848008728027343,13.071021842956544,13.669016981124878,13.197782402038575,11.949398498535157,12.102342071533203
2001-01-24,44.524171253925225,P,13.203252792358398,12.883533096313476,13.01181468963623,13.594020700454712,13.231254234313965,11.975317850112916,12.108520393371583
2001-01-25,44.6718663242499,P,13.479557037353516,13.025630950927734,12.999973773956299,13.53185305595398,13.276537475585938,12.004390363693238,12.115595273971557
2001-01-26,44.78698554106864,P,13.163780212402344,13.124309539794922,13.025630283355714,13.466724872589111,13.313540992736817,12.033035964965821,12.121091270446778
2001-01-29,44.91562610191397,P,13.284564018249512,13.255039405822753,13.063365173339843,13.4076358795166,13.353353080749512,12.059378290176392,12.127288208007812
2001-01-30,44.99561075606278,A,13.549811363220217,13.336193084716797,13.092100906372071,13.377597761154174,13.37922124862671,12.091103954315185,12.131513967514039
2001-01-31,45.05778011659449,A,13.552967071533203,13.406135940551758,13.144834518432617,13.35561170578003,13.403188343048095,12.119350051879882,12.137016286849976
2001-02-01,45.0210607718075,A,13.379294395446776,13.38608341217041,13.205857181549073,13.304219675064086,13.423681983947754,12.146444597244262,12.140486459732056
2001-02-02,45.03204039747922,A,13.42034912109375,13.43739719390869,13.280853366851806,13.27757649421692,13.443032627105714,12.177460775375366,12.144937753677368
2001-02-05,45.02381368432031,A,13.376143455505373,13.455713081359864,13.355376243591309,13.252670383453369,13.464248905181885,12.209010190963745,12.149071021080017
2001-02-06,44.978339811383684,A,13.22772979736328,13.391296768188477,13.363744926452636,13.21738338470459,13.487603721618653,12.240635995864869,12.152074298858643
2001-02-07,44.95302188100467,P,13.391929626464844,13.359089279174805,13.382612609863282,13.197213649749756,13.511099872589112,12.276439561843873,12.156092562675475
2001-02-08,44.95855797942095,P,13.338244438171388,13.350879287719726,13.368481349945068,13.184227561950683,13.52213020324707,12.31287670135498,12.160812230110169
2001-02-09,44.97038867205524,P,13.524550437927246,13.371719551086425,13.404558372497558,13.215094327926636,13.529030094146728,12.350006475448609,12.167336225509644
2001-02-12,44.91888640230662,P,13.17088222503662,13.330667304992676,13.39319019317627,13.228277683258057,13.513143100738525,12.381844110488892,12.170734171867371
2001-02-13,44.9296968608914,A,13.309825897216797,13.347086524963379,13.369191646575928,13.230646276474,13.509463062286377,12.415461225509643,12.175117750167846
2001-02-14,44.898571932970874,P,13.249828338623049,13.31866626739502,13.338877773284912,13.241856145858765,13.504975891113281,12.448572664260864,12.176582856178284
2001-02-15,44.889950832328346,P,13.27825164794922,13.306667709350586,13.328773498535156,13.267315340042114,13.50694980621338,12.475683012008666,12.178578000068665
2001-02-16,44.81441141532486,P,13.215092658996582,13.244776153564453,13.30824785232544,13.294550609588622,13.510017566680908,12.503340272903442,12.1762810754776
2001-02-19,44.825398088713484,P,13.215092658996582,13.253618240356445,13.292142772674561,13.323759508132934,13.512299518585206,12.533943758010864,12.172626390457154
