Date,GRADE,GPS,CRL,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2013-08-08,62.16026414170141,A,47.45000076293945,47.19599990844726,46.19199981689453,45.23050022125244,43.40240036010742,43.41450019836426,41.87290008544922
2013-08-09,62.29940678656413,A,47.61000061035156,47.512000274658206,46.486000061035156,45.41150016784668,43.488400344848635,43.4422002029419,41.91375009536743
2013-08-12,62.17526881576226,A,47.720001220703125,47.52200088500977,46.78800010681152,45.57850017547607,43.595600357055666,43.47830020904541,41.95145009994507
2013-08-13,62.13958335309473,A,47.75,47.624000549316406,47.0870002746582,45.775000190734865,43.71060035705566,43.50740020751953,41.98520009994507
2013-08-14,62.063058066549424,A,47.68999862670898,47.64400024414063,47.30200004577637,45.977000045776364,43.83540031433105,43.54300018310547,42.02270009994507
2013-08-15,61.874388477038934,A,46.650001525878906,47.48400039672852,47.34000015258789,46.09000015258789,43.93720031738281,43.56680019378662,42.05945011138916
2013-08-16,61.680526774628476,A,46.959999084472656,47.354000091552734,47.43300018310547,46.216000175476076,44.034200286865236,43.59370018005371,42.09625011444092
2013-08-19,61.46993469940668,A,47.02999877929688,47.215999603271484,47.36900024414062,46.33600006103516,44.12500022888184,43.62920017242432,42.13235010147095
2013-08-20,61.31551861285221,A,47.45000076293945,47.155999755859376,47.39000015258789,46.49700012207031,44.22860023498535,43.66210018157959,42.171650104522705
2013-08-21,61.15161133064313,A,47.15999984741211,47.05,47.34700012207031,46.626000022888185,44.32900024414062,43.71180019378662,42.21175010681152
2013-08-22,61.32589504847105,A,47.869998931884766,47.29399948120117,47.388999938964844,46.79049987792969,44.436000213623046,43.77190017700195,42.260250110626224
2013-08-23,61.41714259708143,A,47.70000076293945,47.44199981689453,47.397999954223636,46.942000007629396,44.53600021362305,43.835100173950195,42.30320011138916
2013-08-26,61.5514776233727,A,47.75,47.58600006103516,47.40099983215332,47.09449996948242,44.62680023193359,43.89690017700195,42.34235012054443
2013-08-27,61.4507223497585,A,46.7400016784668,47.444000244140625,47.3,47.1935001373291,44.71040023803711,43.945500183105466,42.37840013504028
2013-08-28,61.381780479886025,A,46.79999923706055,47.37200012207031,47.21100006103516,47.25650005340576,44.80360023498535,43.985800170898436,42.41435012817383
2013-08-29,61.149368967202086,P,46.790000915527344,47.15600051879883,47.225,47.28250007629394,44.907600250244144,44.017500190734864,42.450250129699704
2013-08-30,60.86153820991455,P,46.04999923706055,46.82600021362305,47.13400001525879,47.28350009918213,44.99600021362305,44.042400169372556,42.48085012435913
2013-09-02,60.575985703301505,P,46.04999923706055,46.486000061035156,47.03600006103515,47.20250015258789,45.099800186157225,44.08440017700195,42.51235012054443
2013-09-03,60.44269100169634,P,45.869998931884766,46.31199951171875,46.87799987792969,47.13400001525879,45.19280014038086,44.117900161743165,42.54445011138916
2013-09-04,60.391365831452426,P,46.36000061035156,46.22399978637695,46.797999954223634,47.07250003814697,45.2984001159668,44.16000015258789,42.582650108337404
2013-09-05,60.32586255634029,P,46.34999847412109,46.135999298095705,46.645999908447266,47.017499923706055,45.398400115966794,44.20680015563965,42.619400100708006
2013-09-06,60.4033945027405,P,46.36000061035156,46.19799957275391,46.511999893188474,46.954999923706055,45.50500015258789,44.24830017089844,42.659350109100345
2013-09-09,60.64502033081103,P,47.58000183105469,46.50400009155273,46.49500007629395,46.94799995422363,45.62040016174316,44.30110019683838,42.7024001121521
2013-09-10,60.95737282944088,P,47.81999969482422,46.89400024414063,46.60299987792969,46.951499938964844,45.7376001739502,44.353800201416014,42.745150108337405
2013-09-11,61.22311391520068,P,48.150001525878906,47.252000427246095,46.738000106811526,46.97450008392334,45.86380020141601,44.41070022583008,42.79260011672974
2013-09-12,61.43462470991032,A,47.400001525878906,47.46200103759766,46.79900016784668,47.01200008392334,45.97500022888184,44.45670024871826,42.83725011825562
2013-09-13,61.59632473639837,A,47.2599983215332,47.64200057983398,46.920000076293945,47.02700004577637,46.06720016479492,44.5048002243042,42.88045011520386
2013-09-16,61.56274333609121,A,47.369998931884766,47.6,47.05200004577637,47.04400005340576,46.15460014343262,44.55170021057129,42.92305011749268
2013-09-17,61.42648412991063,A,47.369998931884766,47.50999984741211,47.202000045776366,47.03999996185303,46.236200103759764,44.59050018310547,42.9634001159668
2013-09-18,61.21882789618593,A,47.08000183105469,47.295999908447264,47.27400016784668,47.03600006103515,46.30680015563965,44.63090019226074,43.020550117492675
2013-09-19,61.03724775603866,P,46.63999938964844,47.14399948120117,47.30300025939941,46.97450008392334,46.35980010986328,44.679200172424316,43.06925010681152
2013-09-20,60.7950201254562,P,46.09000015258789,46.90999984741211,47.27600021362305,46.89400005340576,46.401800079345705,44.716000175476076,43.11650011062622
2013-09-23,60.44798793438978,P,45.459999084472656,46.52799987792969,47.06399993896484,46.779500007629395,46.42340003967285,44.74680015563965,43.157800102233885
2013-09-24,60.22601531124378,P,46.0,46.25400009155273,46.88199996948242,46.742499923706056,46.467000045776366,44.778600158691404,43.19755010604858
2013-09-25,60.06648193748509,P,46.18000030517578,46.07399978637695,46.68499984741211,46.711499977111814,46.517600021362306,44.80650016784668,43.24145009994507
2013-09-26,60.03823963020972,P,46.540000915527344,46.05400009155274,46.59899978637695,46.69899997711182,46.56060005187988,44.834700164794924,43.28510009765625
2013-09-27,60.081956622234,P,46.25,46.08600006103516,46.49799995422363,46.70900001525879,46.596800079345705,44.85410015106201,43.3273000907898
2013-09-30,60.29804546953207,P,46.2599983215332,46.24599990844727,46.386999893188474,46.71949996948242,46.62940002441406,44.87110012054443,43.37235008239746
2013-10-01,60.45266884834632,A,46.619998931884766,46.369999694824216,46.31199989318848,46.75699996948242,46.67720001220703,44.88380012512207,43.419200077056885
2013-10-02,60.598326810597676,A,46.83000183105469,46.5,46.28699989318848,46.78050003051758,46.72220001220703,44.89700016021729,43.46950008392334
2013-10-03,60.652333482531766,A,46.70000076293945,46.53199996948242,46.293000030517575,46.79800014495849,46.76459999084473,44.912700157165524,43.51795009613037
2013-10-04,60.80081869505301,A,47.130001068115234,46.70800018310547,46.39700012207031,46.83650016784668,46.81380004882813,44.93390018463135,43.56920009613037
2013-10-07,60.80448017865692,A,46.34999847412109,46.726000213623045,46.486000061035156,46.775,46.846800003051754,44.948300170898435,43.61360008239746
2013-10-08,60.557538089057836,A,45.11000061035156,46.4240005493164,46.39700012207031,46.639500045776366,46.85380004882813,44.94950016021728,43.651800079345705
2013-10-09,60.20163329802256,P,44.66999816894531,45.991999816894534,46.24599990844727,46.46549987792969,46.836399993896485,44.9560001373291,43.684950065612796
2013-10-10,59.992344275822155,P,45.65999984741211,45.783999633789065,46.15799980163574,46.378499794006345,46.82419998168945,44.96910015106201,43.721050071716306
2013-10-11,59.70266058689632,P,45.77999877929688,45.51399917602539,46.11099967956543,46.304499816894534,46.81919998168945,44.983000144958496,43.75475006103515
2013-10-14,59.61003296723069,P,46.290000915527344,45.50199966430664,46.113999938964845,46.25049991607666,46.79160003662109,45.002000160217285,43.7917000579834
2013-10-15,59.72597751710717,P,45.91999816894531,45.66399917602539,46.0439998626709,46.177999877929686,46.765199966430664,45.01460014343262,43.82715003967285
2013-10-16,60.06853839152088,P,46.790000915527344,46.087999725341795,46.03999977111816,46.16349983215332,46.74919998168945,45.04150016784668,43.86155004501343
2013-10-17,60.3868278219342,P,47.72999954223633,46.50199966430664,46.14299964904785,46.21799983978271,46.75479995727539,45.07860015869141,43.897900047302244
2013-10-18,60.67348954625083,A,47.59999847412109,46.86599960327148,46.189999389648435,46.29349975585937,46.75459991455078,45.121500129699704,43.93440004348755
2013-10-21,60.94333071927499,A,47.810001373291016,47.16999969482422,46.33599967956543,46.410999870300294,46.756399917602536,45.176000137329105,43.96680004119873
2013-10-22,61.275382606882566,A,47.81999969482422,47.55,46.6069995880127,46.501999855041504,46.75779991149902,45.234200134277344,43.99920003890991
2013-10-23,61.53166817030546,A,48.34999847412109,47.86199951171875,46.97499961853027,46.61049976348877,46.770999908447266,45.30320011138916,44.03375003814697
2013-10-24,61.72829191861007,A,49.220001220703125,48.15999984741211,47.330999755859374,46.74449977874756,46.82239990234375,45.37980010986328,44.06890005111694
2013-10-25,61.96850160892734,A,49.43000030517578,48.52600021362305,47.69599990844726,46.90349979400635,46.87179992675781,45.45300010681152,44.10410005569458
2013-10-28,62.07492582717464,A,49.119998931884766,48.7879997253418,47.978999710083,47.04649982452393,46.91359992980957,45.519300079345705,44.13775005340576
2013-10-29,62.10517792178598,A,48.9900016784668,49.02200012207031,48.28600006103515,47.16499996185303,46.944399948120115,45.586500091552736,44.16750005722046
2013-10-30,61.965680391819035,A,48.54999923706055,49.0620002746582,48.46199989318847,47.25099983215332,46.97219993591309,45.650600090026856,44.19750005722046
2013-10-31,61.78432878786922,A,49.209999084472656,49.05999984741211,48.609999847412105,47.37649974822998,46.99899993896484,45.717500076293945,44.2292000579834
2013-11-01,61.61770206665411,A,49.61000061035156,49.09599990844727,48.81100006103516,47.5004997253418,47.03719993591309,45.78660007476807,44.26150005340576
2013-11-04,61.58380811858334,A,49.81999969482422,49.236000061035156,49.011999893188474,47.67399978637695,47.07859992980957,45.852700080871585,44.2992000579834
2013-11-05,61.80153724237349,A,50.959999084472656,49.62999954223633,49.32599983215332,47.966499710083006,47.162999877929686,45.9367000579834,44.34460004806519
2013-11-06,62.03255303315273,A,50.13999938964844,49.94799957275391,49.50499992370605,48.239999771118164,47.229799880981446,46.0167000579834,44.3882000541687
2013-11-07,62.06251170770696,A,49.33000183105469,49.97200012207031,49.515999984741214,48.42349987030029,47.28059989929199,46.094100074768065,44.428250064849856
2013-11-08,62.11015994321218,A,49.869998931884766,50.023999786376955,49.55999984741211,48.62799987792969,47.35699989318848,46.17650005340576,44.46865005493164
2013-11-11,62.117076650178745,A,49.97999954223633,50.055999755859375,49.645999908447266,48.812499809265134,47.435599899291994,46.26770004272461,44.5104500579834
2013-11-12,62.00537379521049,A,50.97999954223633,50.05999984741211,49.84499969482422,49.06549987792969,47.53779991149902,46.365300025939945,44.557250061035155
2013-11-13,62.01904697363495,A,51.02999877929688,50.237999725341794,50.092999649047854,49.277499771118165,47.63119987487793,46.46479999542236,44.60415004730225
2013-11-14,62.295904784607245,A,51.650001525878906,50.70199966430664,50.33699989318848,49.473499870300294,47.73719993591308,46.56780002593994,44.6552000617981
2013-11-15,62.49500231822932,A,51.72999954223633,51.07399978637695,50.54899978637695,49.679999923706056,47.844599914550784,46.67480003356933,44.70590005874634
2013-11-18,62.542046590262224,A,51.09999847412109,51.29799957275391,50.67699966430664,49.84449977874756,47.91499984741211,46.767700004577634,44.7532000541687
2013-11-19,62.415775209999005,A,51.2400016784668,51.35,50.704999923706055,50.015499877929685,47.983399887084964,46.86050003051758,44.80500005722046
2013-11-20,62.30868853379834,A,51.5099983215332,51.44599990844726,50.84199981689453,50.17349987030029,48.050599822998045,46.95720001220703,44.85635004043579
2013-11-21,62.134102280080555,A,51.560001373291016,51.427999877929686,51.06499977111817,50.29049987792969,48.13379981994629,47.054400024414065,44.90800004959107
2013-11-22,62.02698355541191,A,52.11000061035156,51.50400009155273,51.28899993896484,50.424499893188475,48.23079986572266,47.14900001525879,44.966250057220456
2013-11-25,62.129527785210804,A,52.45000076293945,51.774000549316405,51.53600006103515,50.59099998474121,48.33239990234375,47.243500022888185,45.02620006561279
2013-11-26,62.22049157726875,A,52.27999877929688,51.98199996948242,51.66599998474121,50.755499839782715,48.43059989929199,47.33340000152588,45.07915006637573
2013-11-27,62.236538666276005,A,52.040000915527344,52.08800048828125,51.76700019836426,50.929999923706056,48.52979988098144,47.418300018310546,45.133300075531004
