Date,GRADE,GPS,WY,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2008-02-20,53.0364156975584,C,13.283405303955078,13.23246898651123,13.221197032928467,13.467204523086547,14.002646980285645,14.40802900314331,14.843895168304444
2008-02-21,53.260437688505625,C,13.041247367858888,13.213263130187988,13.174434852600097,13.460050249099732,13.955182361602784,14.38826457977295,14.827798943519593
2008-02-22,53.44291793566348,B,13.23121452331543,13.193221855163575,13.19614543914795,13.465497350692749,13.919874935150146,14.365126428604126,14.812428774833679
2008-02-25,54.29268871897194,C,13.648737907409668,13.256685256958008,13.227459335327149,13.476718521118164,13.902310256958009,14.348235931396484,14.79881049156189
2008-02-26,55.05162847973103,C,13.648737907409668,13.370668601989745,13.289669799804688,13.470769023895263,13.882428512573242,14.33031949043274,14.785314249992371
2008-02-27,55.360398308450264,C,13.496343612670898,13.41325626373291,13.32286262512207,13.456677675247192,13.85954029083252,14.314100522994995,14.771768164634704
2008-02-28,55.65450146186666,C,13.21242618560791,13.447492027282715,13.330377578735352,13.411272192001343,13.828036060333252,14.29555534362793,14.757392530441285
2008-02-29,54.76360804684779,C,12.776117324829102,13.356472587585449,13.274847221374511,13.324532461166381,13.77700668334961,14.272708625793458,14.73994010925293
2008-03-03,53.59986570277337,B,13.012020111083984,13.229129028320312,13.24290714263916,13.265036010742188,13.730529804229736,14.253472652435303,14.72366720199585
2008-03-04,52.42309903149489,B,12.872153282165527,13.073812103271484,13.222240352630616,13.22871208190918,13.681255588531494,14.237249507904053,14.706450800895691
2008-03-05,51.93378276209171,B,13.176944732666016,13.009932327270509,13.211594295501708,13.216395664215089,13.640518321990967,14.224525756835938,14.689975028038026
2008-03-06,51.34178884720844,B,12.748976707458496,12.917242431640625,13.18236722946167,13.178401041030884,13.593455982208251,14.205101079940796,14.67034215927124
2008-03-07,51.60679763411941,B,12.544395446777344,12.870898056030274,13.11368532180786,13.154915380477906,13.53990219116211,14.18754963874817,14.649289598464966
2008-03-10,51.13644821926322,B,12.314764022827148,12.731446838378906,12.98028793334961,13.10387363433838,13.481093769073487,14.171682510375977,14.62700756072998
2008-03-11,51.47261335313379,B,12.901375770568848,12.73729133605957,12.905551719665528,13.097610759735108,13.434017581939697,14.16127119064331,14.607821316719056
2008-03-12,51.5311812985647,B,13.039156913757324,12.709733772277833,12.85983304977417,13.09134783744812,13.398882465362549,14.151232233047486,14.590209035873412
2008-03-13,52.496344050132954,B,13.18737506866455,12.797413444519043,12.857327938079834,13.093852758407593,13.363898067474365,14.143968105316162,14.574701027870178
2008-03-14,53.38763837869019,B,12.936861991882324,12.87590675354004,12.873402404785157,13.074124813079834,13.338715915679932,14.13311137199402,14.55636360168457
2008-03-17,54.98274564697848,B,13.16441535949707,13.045837020874023,12.888641929626464,13.065774536132812,13.320112419128417,14.113224296569824,14.540120229721069
2008-03-18,55.97459390034977,C,13.439980506896973,13.153557968139648,12.945424652099609,13.083832502365112,13.31293685913086,14.095149002075196,14.525661597251892
2008-03-19,55.99779893310296,C,13.016195297241213,13.148965644836426,12.92934970855713,13.070472002029419,13.298485374450683,14.069552946090699,14.507324061393739
2008-03-20,55.984561473923236,C,13.22495937347412,13.15648250579834,12.97694797515869,13.079657602310181,13.284816417694092,14.051256227493287,14.49023386001587
2008-03-21,56.221524960875264,C,13.22495937347412,13.214101982116699,13.04500436782837,13.079344844818115,13.276236610412598,14.033164739608765,14.472889313697815
2008-03-24,56.542378651230855,C,13.55270767211914,13.291760444641113,13.168798732757569,13.074543333053589,13.267343330383301,14.018822641372681,14.457712512016297
2008-03-25,56.796072871759065,C,13.840795516967772,13.371923446655273,13.26274070739746,13.084146213531493,13.275010890960694,14.006540718078613,14.444301676750182
2008-03-26,57.848114270789836,C,13.636212348937988,13.495926856994629,13.322446250915528,13.091139650344848,13.279455680847168,13.997674503326415,14.430407114028931
2008-03-27,58.23239900844484,C,13.46920394897461,13.544775772094727,13.350629138946534,13.103978538513184,13.287759780883789,13.987262344360351,14.414741592407227
2008-03-28,58.43336250465552,C,13.29802131652832,13.559388160705566,13.386745071411132,13.130073738098144,13.291274757385255,13.976627912521362,14.399267978668213
2008-03-31,58.43041633593111,C,13.57776165008545,13.564398956298827,13.42807970046997,13.158360815048217,13.300384540557861,13.963929195404052,14.385793271064758
2008-04-01,58.56159472389668,C,13.955618858337402,13.587363624572754,13.479643535614013,13.212534093856812,13.320113334655762,13.95041633605957,14.375886406898498
2008-04-02,58.65526482945202,C,13.872111320495604,13.634543418884277,13.565235137939453,13.247292423248291,13.328117637634277,13.938013095855712,14.365195722579957
2008-04-03,59.139297986174164,C,13.88045597076416,13.716793823242188,13.630784797668458,13.303866386413574,13.342040100097655,13.926396703720092,14.354078831672668
2008-04-04,59.56997745260694,C,13.698838233947754,13.796957206726074,13.67817268371582,13.361588525772095,13.35357141494751,13.914888076782226,14.342277698516845
2008-04-07,59.63586286739693,C,13.569411277770996,13.795287132263184,13.679843044281006,13.424320888519286,13.356473350524903,13.909139699935913,14.328720564842223
2008-04-08,58.97471668105235,C,13.584025382995604,13.720968437194824,13.65416603088379,13.458453369140624,13.352799301147462,13.903702955245972,14.31456506729126
2008-04-09,57.93683796672176,C,13.201990127563477,13.586944198608398,13.610743808746339,13.466595029830932,13.341275691986084,13.895480251312256,14.298499393463135
2008-04-10,56.44520776276692,B,13.009929656982422,13.41283893585205,13.56481637954712,13.457722759246826,13.319063568115235,13.88533694267273,14.28121907234192
2008-04-11,54.76291403319271,B,12.738542556762695,13.22077980041504,13.508868503570557,13.447806787490844,13.283616180419921,13.87057653427124,14.262866678237915
