Date,GRADE,GPS,TRMB,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1997-01-01,54.184117556699924,B,1.9166669845581052,1.937500190734863,1.9666667938232423,2.1011718988418577,2.147135419845581,2.466171870231628,3.0164192652702333
1997-01-02,54.14555939006002,B,1.8958330154418943,1.9208333969116211,1.9625000953674316,2.075130200386047,2.139635419845581,2.452213530540466,3.0067317652702332
1997-01-03,54.1783518426734,B,1.9583330154418943,1.9208333969116207,1.9541666984558101,2.057421851158142,2.1346354198455813,2.4384635305404663,2.9974609303474424
1997-01-06,54.27698734461894,B,1.9791669845581052,1.9333333969116206,1.9520833969116207,2.0397135496139525,2.134218759536743,2.425338530540466,2.987356765270233
1997-01-07,54.37624604641551,B,2.0208330154418945,1.9541666030883786,1.9541666984558101,2.028255200386047,2.133385419845581,2.4134635305404664,2.976940095424652
1997-01-08,54.51410153883524,C,2.1875,2.008333206176758,1.9729166984558102,2.0272135496139523,2.129635419845581,2.4036718606948853,2.966627595424652
1997-01-09,54.63423233717975,C,2.0833330154418945,2.045833206176758,1.9833333015441892,2.0178385496139524,2.124010419845581,2.392838521003723,2.956523425579071
1997-01-10,54.68414619349502,C,2.041666984558105,2.0625,1.9916666984558102,2.006380248069763,2.117760419845581,2.381588521003723,2.946210925579071
1997-01-13,54.743164978701536,C,2.0625,2.079166603088379,2.0062499999999996,1.9990885972976682,2.115260419845581,2.372005190849304,2.9360025906562806
1997-01-14,54.78428859922753,C,2.0625,2.0875,2.0208333015441893,1.99791669845581,2.113177080154419,2.362630190849304,2.92610675573349
1997-01-15,54.701950303940954,C,2.0208330154418945,2.0541666030883787,2.031249904632568,1.9989583492279048,2.110677080154419,2.351380190849304,2.91610675573349
1997-01-16,54.72023171281425,B,2.0208330154418945,2.041666603088379,2.0437499046325684,2.003125,2.109427080154419,2.340963521003723,2.9074609208106996
1997-01-17,54.75672157553942,B,2.0,2.0333332061767577,2.047916603088379,2.0010416507720943,2.108177080154419,2.330963521003723,2.89923175573349
1997-01-20,54.788484982068475,C,2.041666984558105,2.0291666030883784,2.0541666030883787,2.003125,2.109010419845581,2.3213801908493044,2.892460925579071
1997-01-21,54.9033205807204,C,2.229166984558105,2.0625,2.075,2.014583349227905,2.114010419845581,2.3136718606948854,2.885377595424652
1997-01-22,55.02516229426109,C,2.1875,2.095833396911621,2.075,2.0239583492279047,2.117968759536743,2.3049218606948854,2.8779817605018616
1997-01-23,55.132359122355076,C,2.229166984558105,2.137500190734863,2.089583396911621,2.036458349227905,2.1213020992279055,2.296796860694885,2.870585930347443
1997-01-24,55.263699512346015,C,2.1875,2.1750001907348633,2.1041666984558107,2.0479166984558104,2.122968759536743,2.292421860694885,2.8630338454246522
1997-01-27,55.408450256592,C,2.2708330154418945,2.220833396911621,2.125,2.065625,2.125885419845581,2.2899218606948852,2.8562630105018614
1997-01-28,55.40560130868305,C,2.229166984558105,2.220833396911621,2.1416666984558104,2.08125,2.1279687595367434,2.287213530540466,2.8492838454246523
1997-01-29,55.43328716378096,C,2.1875,2.220833396911621,2.158333396911621,2.0947916507720947,2.129635419845581,2.283671860694885,2.8420442605018614
