Date,GRADE,GPS,COP,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1991-01-31,49.804211529962934,C,3.227065086364746,3.2587020874023436,3.2302274465560914,3.1954256296157837,3.256802840232849,3.290551166534424,3.344314640760422
1991-02-01,49.77749342452447,C,3.2903389930725098,3.252374839782715,3.2444644451141356,3.202544128894806,3.256486473083496,3.287464714050293,3.3454915368556977
1991-02-04,49.77464541808558,C,3.2781848907470703,3.256271314620972,3.2622318029403687,3.2090549230575562,3.2549778699874876,3.283630826473236,3.346452580690384
1991-02-05,49.77810375103133,C,3.3101675510406494,3.2665643215179445,3.2752879858016968,3.2140010833740233,3.254108920097351,3.279960267543793,3.347340922355652
1991-02-06,49.872415242576466,C,3.486071348190308,3.3183655738830566,3.2948612213134765,3.230115282535553,3.257074403762817,3.278205244541168,3.349031252861023
1991-02-07,49.94706208223216,A,3.438098669052124,3.3605722904205324,3.309637188911438,3.243830847740173,3.2593968725204467,3.276439917087555,3.3504817199707033
1991-02-08,50.00936309035464,A,3.502062559127808,3.402917003631592,3.3276459217071532,3.2639084100723266,3.260151171684265,3.2753142285346986,3.352096925973892
1991-02-11,50.102093560002096,A,3.566025733947754,3.4604851722717287,3.3583782434463503,3.2824384450912474,3.2640830183029177,3.2748281717300416,3.3538768780231476
1991-02-12,50.22156414828799,A,3.6299924850463863,3.524450159072876,3.39550724029541,3.3041668176651,3.2696105670928954,3.276077115535736,3.355821586847305
1991-02-13,50.268078693765254,A,3.6459827423095694,3.5564324378967287,3.4373990058898927,3.3290675044059754,3.2751415538787843,3.278424847126007,3.357846246957779
1991-02-14,50.333500922551686,A,3.6139979362487793,3.5916122913360597,3.476092290878296,3.3531598687171935,3.2816147327423097,3.2820174980163572,3.3594008350372313
1991-02-15,50.35110925354625,A,3.550037145614624,3.601207208633423,3.5020621061325072,3.3732632756233216,3.28775785446167,3.285283479690552,3.360325471162796
1991-02-18,50.33585166321188,A,3.550037145614624,3.598009490966797,3.5292473316192625,3.395739567279816,3.2945337104797363,3.288393003940582,3.3611725723743437
1991-02-19,50.25163252977592,A,3.486071348190308,3.5692252635955812,3.5468377113342284,3.411062848567963,3.300663022994995,3.2903934025764467,3.361467232704163
1991-02-20,50.15669931881854,A,3.502062559127808,3.5404412269592287,3.5484368324279787,3.4216490268707274,3.308061261177063,3.2919278264045717,3.3620744609832762
1991-02-21,50.0261955128346,A,3.422104835510254,3.5020626068115233,3.5468374490737915,3.4282373189926147,3.3113293075561523,3.292193238735199,3.3623594355583193
1991-02-22,49.90186623488003,A,3.3261587619781494,3.4572869300842286,3.5292470693588256,3.4284464955329894,3.3139439821243286,3.292281584739685,3.3621646797657014
1991-02-25,49.75983017082228,P,3.2781848907470703,3.4029164791107176,3.5004629850387574,3.4294206142425536,3.315282793045044,3.29189019203186,3.3618075919151305
1991-02-26,49.699524473450545,P,3.390124559402466,3.3837271213531492,3.4764761924743652,3.435991716384888,3.31696213722229,3.292305235862732,3.3619326651096344
1991-02-27,49.70263668591938,P,3.502062559127808,3.3837271213531492,3.462084174156189,3.4497415900230406,3.320880241394043,3.294622039794922,3.36277250289917
1991-02-28,49.75768107679713,P,3.502062559127808,3.39971866607666,3.450890636444092,3.4634914636611938,3.324798345565796,3.2981906914711,3.3638449513912203
1991-03-01,49.88865629610921,P,3.582015991210937,3.4508901119232176,3.4540885210037233,3.478075313568115,3.329682722091675,3.303028287887573,3.365394707918167
1991-03-04,50.02534637118534,A,3.534043788909912,3.502061891555786,3.4524891853332518,3.490868258476257,3.33392409324646,3.3067602467536927,3.366704603433609
1991-03-05,50.15549179047769,A,3.6459827423095694,3.553233528137207,3.4684803247451783,3.5076590180397034,3.3404042434692385,3.311768100261688,3.368186504840851
1991-03-06,50.22800956148333,A,3.6939544677734375,3.591611909866333,3.487669515609741,3.51805317401886,3.346261887550354,3.3167862200737,3.3702959537506105
1991-03-07,50.2692438416782,A,3.6299924850463863,3.6171978950500483,3.5084582805633544,3.527647864818573,3.351789436340332,3.3219471168518067,3.371775441169739
1991-03-08,50.251845868750515,A,3.6139979362487793,3.6235942840576163,3.5372421979904174,3.5332446336746215,3.3579462480545046,3.325539767742157,3.3734075665473937
1991-03-11,50.211895517120944,A,3.502062559127808,3.617198038101196,3.559629964828491,3.5300464749336244,3.3618643522262572,3.3286389684677125,3.374324940443039
1991-03-12,50.118264781487504,A,3.5180540084838867,3.5916122913360597,3.572422909736633,3.524449551105499,3.3661022853851317,3.331585118770599,3.3753222715854645
1991-03-13,50.04271767411995,A,3.566025733947754,3.566026544570923,3.578819227218628,3.5204517006874085,3.3725651788711546,3.334854528903961,3.3768696010112764
1991-03-14,49.99604794965574,P,3.582015991210937,3.556431245803833,3.5868145704269407,3.5188526034355165,3.380929751396179,3.338127360343933,3.378186742067337
1991-03-15,49.97329334017389,P,3.5980091094970703,3.5532334804534913,3.588413882255554,3.5212512016296387,3.389930553436279,3.341716604232788,3.379971534013748
1991-03-18,49.98931870419657,P,3.566025733947754,3.5660261154174804,3.5916120767593385,3.5220506310462953,3.398291687965393,3.3449480509757996,3.3812862610816956
1991-03-19,50.04970705026224,A,3.6459827423095694,3.591611862182617,3.5916120767593385,3.5300462007522584,3.4069864559173584,3.3492954349517823,3.3830783104896547
1991-03-20,50.112797395837674,A,3.6939544677734375,3.617197608947754,3.5916120767593385,3.53964079618454,3.417589797973633,3.3541225361824036,3.385110218524933
1991-03-21,50.14049179079158,A,3.6299924850463863,3.6267929077148438,3.5916120767593385,3.5500351786613464,3.426913900375366,3.3578354358673095,3.386899857521057
1991-03-22,50.18401504659135,A,3.677963972091675,3.6427838802337646,3.5980086803436278,3.567625439167023,3.438462953567505,3.3610789251327513,3.389239500761032
1991-03-25,50.24994600262639,A,3.709946393966675,3.671568012237549,3.6187970638275146,3.589213514328003,3.4487533807754516,3.3644840550422668,3.3918941259384154
1991-03-26,50.26660223910435,A,3.677963972091675,3.6779642581939695,3.6347880601882934,3.6036054849624635,3.4584041595458985,3.3683603048324584,3.3944663786888123
1991-03-27,50.233901949184855,A,3.6139979362487793,3.6619729518890383,3.639585280418396,3.609202253818512,3.4677247381210328,3.372229633331299,3.3964861917495726
1991-03-28,50.21969539147393,A,3.5980091094970703,3.6555762767791746,3.641184592247009,3.613999581336975,3.4770419073104857,3.3753063344955443,3.3987362110614776
1991-03-29,50.165685087019035,A,3.5980091094970703,3.6395853042602537,3.641184592247009,3.614799237251282,3.486042709350586,3.3777502751350403,3.4012188386917113
1991-04-01,50.07622410680185,A,3.550037145614624,3.6076034545898437,3.6395857334136963,3.615598905086517,3.4950332260131836,3.380189073085785,3.4035391438007356
