Date,GRADE,GPS,TGT,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1997-03-28,63.6258982280292,A,6.528916358947754,6.566763877868652,6.566763305664063,6.469302082061768,6.0841647911071775,5.9345845174789424,5.464259366989136
1997-03-31,63.57855738399066,A,6.320743560791016,6.536484336853027,6.527021789550782,6.467409539222717,6.0978760910034175,5.941125993728638,5.469589674472809
1997-04-01,63.53296554120012,P,6.339669704437256,6.4948502540588375,6.506204748153687,6.474032998085022,6.111212072372436,5.947293839454651,5.476010756492615
1997-04-02,63.44595087053932,P,6.320743560791016,6.407797908782959,6.474033164978027,6.47781765460968,6.124546489715576,5.955148758888245,5.482274935245514
1997-04-03,63.42145391751236,P,6.396442890167236,6.381303215026856,6.466463327407837,6.481602621078491,6.1409026145935055,5.965824661254882,5.488699700832367
1997-04-04,63.44434283815112,P,6.547840118408203,6.385087966918945,6.475925922393799,6.495796012878418,6.161794404983521,5.976888737678528,5.495756933689117
1997-04-07,63.52165341731115,P,6.585684776306152,6.438076210021973,6.4872802734375,6.5137742280960085,6.185327758789063,5.987901549339295,5.503626000881195
1997-04-08,63.554618483121715,P,6.491064071655273,6.4683550834655765,6.481602668762207,6.515666723251343,6.206968698501587,5.996083483695984,5.510461626052856
1997-04-09,63.58392416238669,A,6.491064071655273,6.502419185638428,6.455108547210694,6.511881875991821,6.226348066329956,6.002757706642151,5.517452900409698
1997-04-10,63.57573583692246,A,6.415369987487793,6.506204605102539,6.443753910064697,6.5090433120727536,6.243082733154297,6.008863434791565,5.524065704345703
1997-04-11,63.4972840222915,P,6.245050430297852,6.445646667480469,6.415367317199707,6.491065311431885,6.2545263290405275,6.011758213043213,5.530169327259063
1997-04-14,63.39610304560031,P,6.207200527191162,6.369949817657471,6.404013013839721,6.4655174016952515,6.264459047317505,6.013897533416748,5.5365817880630495
1997-04-15,63.37093396899366,P,6.415369987487793,6.354811000823974,6.411583042144775,6.458893895149231,6.2778013324737545,6.018683958053589,5.543941702842712
1997-04-16,63.371082105644966,P,6.472141265869141,6.351026439666748,6.426722812652588,6.450377988815307,6.292655954360962,6.024980425834656,5.551523203849793
1997-04-17,63.37886913306977,P,6.434291362762451,6.35481071472168,6.430507659912109,6.448485493659973,6.307130489349365,6.030898394584656,5.559569194316864
1997-04-18,63.41177898525262,P,6.320743560791016,6.3699493408203125,6.407798004150391,6.441861963272094,6.317826309204102,6.035492486953736,5.567327601909637
1997-04-21,63.42834460495255,P,6.207200527191162,6.3699493408203125,6.369949579238892,6.428614926338196,6.324366636276245,6.037820296287537,5.575701224803924
1997-04-22,63.413898651887045,P,6.320743560791016,6.351024055480957,6.3529175281524655,6.417260098457336,6.332423906326294,6.041095046997071,5.585265150070191
1997-04-23,63.36915301262428,P,6.263972282409668,6.309390258789063,6.330208349227905,6.392658448219299,6.339345750808715,6.0445559692382815,5.593362302780151
1997-04-24,63.34280215140646,P,6.339669704437256,6.290465927124023,6.322638320922851,6.383196115493774,6.3470276927948,6.047831497192383,5.601620028018951
1997-04-25,63.32031724437976,P,6.169349193572998,6.26018705368042,6.315068197250366,6.365217757225037,6.35281099319458,6.0499692630767825,5.609212930202484
1997-04-28,63.348710898312895,P,6.263972282409668,6.271541404724121,6.320745372772217,6.362379193305969,6.3604867553710935,6.053241710662842,5.617839276790619
1997-04-29,63.37965129162843,P,6.434291362762451,6.294250965118408,6.322637510299683,6.367110276222229,6.370327405929565,6.057840428352356,5.627690784931183
1997-04-30,63.497747355976905,A,6.812779903411865,6.4040124893188475,6.356701374053955,6.391712093353272,6.3877378273010255,6.066977882385254,5.639434735774994
1997-05-01,63.58268879159195,A,6.75600528717041,6.487279605865479,6.388872766494751,6.40969021320343,6.403634243011474,6.075170660018921,5.651455137729645
1997-05-02,63.70696965253409,A,6.869551181793213,6.627320003509522,6.4437535285949705,6.425775766372681,6.4214231300354,6.084310445785523,5.66404326915741
1997-05-05,63.8581526638361,A,7.248036861419678,6.824132919311523,6.547837162017823,6.458893370628357,6.441861457824707,6.0974235391616824,5.678430435657501
1997-05-06,63.945715796244464,A,7.020943641662598,6.941463375091553,6.617857170104981,6.4853873491287235,6.4566224098205565,6.109773449897766,5.690561490058899
1997-05-07,63.97324311816889,A,7.134493827819824,7.005806159973145,6.704909324645996,6.517558836936951,6.474789876937866,6.122505044937133,5.703633842468261
1997-05-08,64.02300266140156,A,7.172343730926514,7.089073848724365,6.788176727294922,6.555407524108887,6.495228185653686,6.1358035373687745,5.716521897315979
1997-05-09,64.04547421224301,A,7.172343730926514,7.149632358551026,6.888476181030273,6.60177218914032,6.5115031719207765,6.149290556907654,5.728102486133576
1997-05-12,63.998746884821806,A,7.21019172668457,7.142063331604004,6.983098125457763,6.65192174911499,6.528535118103028,6.1625906324386595,5.740152485370636
1997-05-13,64.00062794155848,A,7.21019172668457,7.179912948608399,7.060688161849976,6.691662836074829,6.548594942092896,6.176267604827881,5.75182893037796
1997-05-14,63.97448893376037,A,7.21019172668457,7.195052528381348,7.100429344177246,6.728565359115601,6.56789776802063,6.189944577217102,5.763318598270416
1997-05-15,63.934531281035994,A,7.21019172668457,7.202622127532959,7.145847988128662,6.767360377311706,6.585686731338501,6.203056149482727,5.773874382972718
