Date,GRADE,GPS,TER,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2020-08-20,66.14895793355409,A,87.24789428710938,88.93718566894532,87.78967590332032,87.47895278930665,84.6439129638672,73.69446933746337,68.30446363449097
2020-08-21,65.82944894602673,A,86.53006744384766,88.53206634521484,87.83195648193359,87.6987190246582,84.96348373413086,74.04082794189453,68.41030889511109
2020-08-24,64.93143592762954,A,87.60185241699219,87.96371917724609,88.02763290405274,87.73657493591308,85.24903289794922,74.3356628036499,68.52963802337646
2020-08-25,64.4673642120334,A,88.80146789550781,87.7827880859375,88.42488403320313,87.89930877685546,85.51019577026368,74.64259197235107,68.6596149635315
2020-08-26,64.10627874523857,A,88.36883544921875,87.71002349853515,88.44651565551757,87.95339088439941,85.73537078857422,74.9099507522583,68.78894605636597
2020-08-27,62.83468939694563,A,83.3638687133789,86.93321838378907,87.9352020263672,87.76509017944336,85.83704360961914,75.14326206207275,68.90338394165039
2020-08-28,61.6690966633272,P,84.29798889160156,86.48680267333984,87.50943450927734,87.60628776550293,85.89564788818359,75.38591457366944,69.02161136627197
2020-08-31,60.3167505558853,P,83.55068969726562,85.67657012939453,86.82014465332031,87.34620666503906,85.91767364501953,75.62295936584472,69.12812433242797
2020-09-01,58.60945495879306,P,83.92432403564453,84.70114135742188,86.2419647216797,87.14069786071778,85.94933532714843,75.84066982269287,69.23567224502564
2020-09-02,58.16673568605719,P,86.99581909179688,84.4265380859375,86.06828079223632,87.03369903564453,86.0892318725586,76.1107914352417,69.3571071434021
2020-09-03,57.49955308297254,P,80.65597534179688,83.8849594116211,85.40908889770508,86.5993824005127,86.03409103393555,76.2904188156128,69.44684282302856
2020-09-04,56.13622530881414,P,77.37773895263672,82.50090942382812,84.49385604858398,86.16290626525878,85.97198989868164,76.43755847930908,69.52695129394532
2020-09-07,55.243315974863854,P,77.37773895263672,81.26631927490234,83.47144470214843,85.74953880310059,85.89061599731446,76.59804969787598,69.60730485916137
2020-09-08,53.59762430269833,P,74.3554916381836,79.35255279541016,82.02684707641602,85.22586555480957,85.71575881958007,76.74343696594238,69.67695846557618
2020-09-09,51.049681669413644,P,75.67465209960938,77.08831939697265,80.75742874145507,84.60197219848632,85.59874969482422,76.88385391235352,69.74801237106323
