Date,GRADE,GPS,INTU,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2020-12-24,70.27773620853158,A,371.8296508789063,369.54498291015625,364.2527740478516,358.80937042236326,343.4060852050781,329.9226333618164,299.914416809082
2020-12-25,70.26340537180744,A,371.8296508789063,369.7498352050781,365.8955535888672,360.12242126464844,344.18669677734374,330.6276922607422,300.7945958709717
2020-12-28,70.8017239203388,A,371.7905883789063,370.7624145507813,367.41833801269536,361.5418014526367,345.08124938964846,331.3834860229492,301.70911323547364
2020-12-29,70.44963309111222,A,369.0689086914063,370.44245605468757,369.16452331542973,362.59097442626955,345.93619567871093,332.16055786132813,302.42037857055664
2020-12-30,70.07258575170427,A,366.3570251464844,370.1751647949219,369.77812805175785,363.56942596435545,346.77046264648436,332.85646453857424,303.124098739624
2020-12-31,69.33794216574155,A,370.55169677734375,369.9195739746094,369.73227844238284,364.3571578979492,347.7075469970703,333.57523162841795,303.7721101379395
2021-01-01,68.6020808710001,A,370.55169677734375,369.6639831542969,369.70690917968756,364.9058868408203,348.5939056396484,334.3053918457031,304.5108206176758
2021-01-04,66.93288230859194,A,362.6012268066406,367.82611083984375,369.29426269531257,364.8819869995117,349.444755859375,334.93199432373046,305.16923110961915
2021-01-05,65.55410037057085,P,359.8404846191406,365.9804260253906,368.2114410400391,364.70054016113284,350.19785766601564,335.5223229980469,305.852882232666
2021-01-06,64.26344442774773,P,352.1631774902344,363.14165649414065,366.6584106445313,364.5454330444336,351.0268566894531,336.01981048583986,306.55576736450195
2021-01-07,63.453609800556706,P,359.6063842773437,360.9525939941406,365.43608398437505,364.8444290161133,351.8661962890625,336.49912200927736,307.2614318847656
2021-01-08,63.27248803529415,P,365.8792419433594,360.0181030273437,364.84104309082034,365.36829833984376,353.0442419433594,337.0200305175781,308.0315877532959
2021-01-11,63.56120649568762,P,363.8078002929688,360.25941772460936,364.0427642822266,365.7305511474609,354.14691040039065,337.41417694091797,308.68599128723145
2021-01-12,63.612260260387046,P,357.29071044921875,359.749462890625,362.8649444580078,366.0147338867188,354.95710510253906,337.7110171508789,309.3095553588867
2021-01-13,63.70680197902942,P,356.596923828125,360.63621215820314,361.88893432617186,365.83353118896486,355.39696838378904,337.94327056884765,309.89972457885744
2021-01-14,62.95674955430217,P,357.1343688964844,360.1418090820313,360.5472015380859,365.1397399902344,355.69227783203127,338.1549951171875,310.4600142669678
2021-01-15,61.82612270506342,P,362.5083312988281,359.467626953125,359.74286499023435,364.7248870849609,356.06970275878905,338.4096502685547,311.0471737670898
2021-01-18,61.114540828548684,P,362.5083312988281,359.2077331542969,359.73357543945315,364.5139190673828,356.29338623046874,338.6713162231445,311.6441032409668
2021-01-19,62.330820958678714,P,376.12884521484375,362.97536010742186,361.36241149902344,364.78692626953125,357.1383251953125,339.0517565917969,312.2545497131348
