Date,GRADE,GPS,SJM,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1995-03-03,,,11.349760055541992,11.37430248260498,11.319087505340576,11.337492513656617,11.494549007415772,,
1995-03-06,,,11.411115646362305,11.37430248260498,11.319087505340576,11.340560293197631,11.477371044158936,,
1995-03-07,,,11.165712356567385,11.300682067871096,11.306817722320556,11.334425401687621,11.457738914489745,,
1995-03-08,,,11.165712356567385,11.288412094116211,11.300682735443115,11.346695375442504,11.438106784820556,,
1995-03-09,,,11.349760055541992,11.288412094116211,11.319087505340576,11.355897760391235,11.431971817016601,,
1995-03-10,,,11.349760055541992,11.288412094116211,11.331357288360596,11.3497624874115,11.423382740020752,,
1995-03-13,,,11.411115646362305,11.288412094116211,11.331357288360596,11.343627548217773,11.416020774841309,,
1995-03-14,,,11.227062225341797,11.300682067871094,11.300682067871094,11.322155237197876,11.40743185043335,,
1995-03-15,,,11.165712356567385,11.300682067871094,11.294547080993652,11.30681757926941,11.392707748413086,,
1995-03-16,,,10.85895824432373,11.202521705627442,11.245466899871825,11.285344982147217,11.373075675964355,,
1995-03-17,,,10.67491340637207,11.067552375793458,11.177982234954834,11.248534870147704,11.348535594940186,11.457738542556763,
1995-03-20,,,10.490857124328612,10.883500671386718,11.085956382751466,11.20252194404602,11.321541500091552,11.446082029342652,
1995-03-21,,,10.30681324005127,10.699450874328614,11.000066471099853,11.153442096710204,11.297001476287841,11.434425506591797,
1995-03-22,,,10.184114456176758,10.503131294250489,10.90190668106079,11.101294708251952,11.27000747680664,11.419701566696167,
1995-03-23,,,10.184114456176758,10.368162536621094,10.785342121124268,11.052214813232421,11.244240455627441,11.405591087341309,
1995-03-24,,,10.368159294128418,10.306811714172364,10.68718204498291,11.009269666671752,11.220927352905273,11.395775079727173,
1995-03-27,,,10.4295072555542,10.29454174041748,10.5890212059021,10.960189247131348,11.19884120941162,11.385958995819092,
1995-03-28,,,10.30681324005127,10.29454174041748,10.496996307373047,10.89883918762207,11.171847305297852,11.37614302635193,
1995-03-29,,,10.613561630249023,10.380431175231934,10.44178123474121,10.868164157867431,11.150988368988036,11.368781042098998,
1995-03-30,,,10.981664657592772,10.539941215515137,10.454051876068116,10.849759387969971,11.139945373535156,11.365100088119506,
1995-03-31,,,10.85895824432373,10.6381010055542,10.472456359863282,10.825219297409058,11.133810291290283,11.360192070007324,
1995-04-03,,,11.288410186767578,10.809881591796875,10.552211666107178,10.819084024429321,11.131356182098388,11.359578571319581,
1995-04-04,,,10.85895824432373,10.920310592651367,10.607426166534424,10.803746318817138,11.120313034057617,11.355284051895142,
1995-04-05,,,10.797611236572266,10.957120513916015,10.668775844573975,10.785341262817383,11.10436201095581,11.349762563705445,
1995-04-06,,,10.67491340637207,10.895770263671874,10.717855739593507,10.751598930358886,11.088410968780517,11.339333095550536,
1995-04-07,,,10.736255645751951,10.87122974395752,10.75466537475586,10.720923709869385,11.07859483718872,11.33074402809143,
1995-04-10,,,10.920312881469728,10.79761028289795,10.803745937347411,10.696383571624756,11.07245985031128,11.32338207244873,
1995-04-11,,,10.552207946777344,10.736260223388673,10.828285408020019,10.662640857696534,11.056508808135986,11.313566007614135,
1995-04-12,,,10.67491340637207,10.711720657348632,10.834420585632325,10.638100910186768,11.045465831756593,11.30436351776123,
1995-04-13,,,10.552207946777344,10.687179565429688,10.791474914550781,10.622763395309448,11.030741786956787,11.293933973312377,
1995-04-14,,,10.552207946777344,10.650370025634766,10.760799884796143,10.616628122329711,11.017244701385499,11.284117908477784,
1995-04-17,,,10.613561630249023,10.589019775390625,10.693315029144287,10.622763347625732,11.002520732879638,11.274915380477905,
1995-04-18,,,10.613561630249023,10.601290512084962,10.668775367736817,10.63810076713562,10.989023761749268,11.266326341629028,
1995-04-19,,,10.4295072555542,10.552209281921387,10.63196496963501,10.650370407104493,10.979207649230958,11.255896759033202,
1995-04-20,,,10.30681324005127,10.503130340576172,10.595154953002929,10.656505346298218,10.962029666900635,11.247307767868042,
1995-04-21,,,10.490857124328612,10.490860176086425,10.570615100860596,10.662640237808228,10.942397499084473,11.240559215545654,
1995-04-24,,,10.67491340637207,10.503130531311035,10.54607515335083,10.674910545349121,10.925219478607177,11.236264753341676,
1995-04-25,,,10.552207946777344,10.4908597946167,10.54607515335083,10.687180280685425,10.90313346862793,11.23319725036621,
1995-04-26,,,10.490857124328612,10.503129768371581,10.527669525146484,10.681045055389404,10.883501300811767,11.22951623916626,
1995-04-27,,,10.552207946777344,10.552208709716796,10.527669525146484,10.659572219848632,10.868777256011963,11.225835189819335,
1995-04-28,,,10.552207946777344,10.564478874206543,10.527669525146484,10.644234704971314,10.851599102020264,11.223381156921386,
1995-05-01,,,10.552207946777344,10.539937782287598,10.521534156799316,10.607424592971801,10.834420948028564,11.220313653945922,
1995-05-02,,,10.552207946777344,10.539937782287598,10.51539878845215,10.592087078094483,10.81969690322876,11.214792137145997,
1995-05-03,,,10.490857124328612,10.539937782287598,10.52153377532959,10.5767493724823,10.804972801208496,11.202522106170655,
1995-05-04,,,10.552207946777344,10.539937782287598,10.546073246002198,10.570614099502563,10.792702713012694,11.186570997238158,
1995-05-05,,,10.736255645751951,10.57674732208252,10.57061309814453,10.570614099502563,10.782886581420899,11.174300918579101,
1995-05-08,,,10.613561630249023,10.589018058776855,10.564477920532225,10.555276536941529,10.766935501098633,11.162644395828247,
1995-05-09,,,10.613561630249023,10.601288795471191,10.570613288879393,10.558344221115112,10.748530445098877,11.14914737701416,
1995-05-10,,,10.490857124328612,10.601288795471191,10.570613288879393,10.54914140701294,10.733806343078614,11.13196928024292,
1995-05-11,,,10.4295072555542,10.576748657226563,10.558343219757079,10.543006372451782,10.715401287078857,11.114177684783936,
1995-05-12,,,10.552207946777344,10.53993911743164,10.558343219757079,10.543006372451782,10.699450244903565,11.096999626159668,
1995-05-15,,,10.552207946777344,10.527668380737305,10.558343219757079,10.539938688278198,10.682272090911866,11.0798215675354,
1995-05-16,,,10.613561630249023,10.527668380737305,10.564478588104247,10.539938688278198,10.671229076385497,11.064483995437621,
1995-05-17,,,10.67491340637207,10.564479637145997,10.582884216308594,10.552208995819091,10.661413097381592,11.049759941101074,
1995-05-18,,,10.920312881469728,10.6626407623291,10.619694709777832,10.582883977890015,10.652824153900147,11.042397985458374,
1995-05-19,,,10.797611236572266,10.711721420288086,10.625830268859863,10.598221683502198,10.641781177520752,11.032581958770752,
1995-05-22,,,10.613561630249023,10.723992156982423,10.625830268859863,10.595154094696046,10.625830097198486,11.020925436019898,
1995-05-23,,,10.981664657592772,10.797612762451172,10.662640571594238,10.616626930236816,10.620922145843506,11.014176998138428,
1995-05-24,,,10.85895824432373,10.834421730041504,10.69945068359375,10.635031986236573,10.614787063598634,11.003747406005859,
1995-05-25,,,10.85895824432373,10.822150802612304,10.742395782470703,10.650369501113891,10.614787063598634,10.993931369781494,
1995-05-26,,,10.797611236572266,10.822150802612304,10.766936111450196,10.662639665603638,10.617241020202636,10.982888307571411,
1995-05-29,,,10.797611236572266,10.858960723876953,10.791476440429687,10.674909830093384,10.62337610244751,10.972458801269532,
1995-05-30,,,11.043012619018556,10.871230316162109,10.834421539306641,10.699450063705445,10.638100090026855,10.967550783157348,
1995-05-31,,,11.043012619018556,10.908041191101074,10.87123146057129,10.727057838439942,10.655278053283691,10.962642765045166,
1995-06-01,,,11.10435962677002,10.957121467590332,10.889636135101318,10.754665422439576,10.673682956695556,10.9589617061615,
1995-06-02,,,11.533814430236816,11.104362106323242,10.963256454467773,10.794543361663818,10.696996059417724,10.9589617061615,
1995-06-05,,,11.595162391662598,11.263872337341308,11.061416530609131,10.843623399734497,10.720309162139893,10.959575185775757,
1995-06-06,,,11.595162391662598,11.374302291870118,11.122766304016114,10.892703437805176,10.746076145172118,10.958961725234985,
1995-06-07,,,11.533814430236816,11.47246265411377,11.190251922607422,10.944851303100586,10.764481201171876,10.957734785079957,
1995-06-08,,,11.411115646362305,11.533813858032227,11.24546766281128,10.99393172264099,10.773070220947266,10.95650779724121,
1995-06-09,,,11.533814430236816,11.533813858032227,11.319087982177734,11.043012046813965,10.786567344665528,10.960188817977905,
1995-06-12,,,11.043012619018556,11.423383903503417,11.343628120422364,11.067552280426025,10.781659393310546,10.956507787704467,
1995-06-13,,,10.797611236572266,11.263873672485351,11.319087982177736,11.076754760742187,10.780432453155518,10.950372743606568,
