Date,GRADE,GPS,LNT,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1988-09-08,56.831595001055724,A,1.89959728717804,1.9047875642776488,1.904268479347229,1.8824696242809296,1.8743239426612854,1.8511497795581817,1.842650021314621
1988-09-09,56.832594601127624,A,1.89959728717804,1.9027114152908329,1.903749489784241,1.887400305271149,1.8743923425674438,1.8522034299373626,1.8434112191200256
1988-09-12,56.830829721399084,A,1.89959728717804,1.9006352663040165,1.903749489784241,1.8907738864421848,1.8744607424736024,1.8536138927936554,1.844247515797615
1988-09-13,56.810784236290125,P,1.8892168998718264,1.8975212097167973,1.9016733765602116,1.8923309803009036,1.8741176438331604,1.854818605184555,1.844931772351265
1988-09-14,56.75933464487351,P,1.8632655143737795,1.8902548551559453,1.8980401992797855,1.893109488487244,1.8732555174827576,1.8555089378356933,1.8454362082481384
1988-09-15,56.71586144715522,P,1.8632655143737795,1.882988500595093,1.8938880324363712,1.893109488487244,1.8725972819328307,1.8563521897792816,1.8460908460617065
1988-09-16,56.637296699834735,P,1.837315917015076,1.8705322265625004,1.8866218209266665,1.8915524899959568,1.8713181138038635,1.8565791404247285,1.846640772819519
1988-09-19,56.58974960175653,P,1.8684558868408203,1.8643039464950562,1.8824696063995365,1.8910334646701816,1.8705597949028014,1.8573213768005372,1.8473213624954223
1988-09-20,56.59011348640686,P,1.8892168998718264,1.8643039464950562,1.8809125781059268,1.8915524899959568,1.8702166962623596,1.8582712233066558,1.8480556935071946
1988-09-21,56.62103497429973,P,1.8840266466140747,1.8684561729431153,1.8793555140495304,1.8912929773330691,1.8697697925567627,1.859169167280197,1.8487891048192977
1988-09-22,56.633912023886495,P,1.8684558868408203,1.8694942474365235,1.8762413740158084,1.890254926681519,1.8690114736557006,1.8600133454799652,1.849519765973091
1988-09-23,56.69218505497904,P,1.873647093772888,1.876760482788086,1.873646354675293,1.8886979222297673,1.8682550573349,1.8609094357490539,1.8502513486146928
1988-09-26,56.694283633067066,P,1.8580750226974487,1.8746843099594117,1.869494128227234,1.8866218090057376,1.8676969337463378,1.8617517638206482,1.8508550018072127
1988-09-27,56.72231097547482,P,1.9099780321121216,1.8788365364074706,1.8715702414512634,1.8866218090057376,1.8682788014411926,1.8630111634731292,1.8517432022094726
1988-09-28,56.73159382187918,P,1.8892168998718264,1.879874587059021,1.874165380001068,1.886102789640427,1.868343515396118,1.8641649103164672,1.8524274587631226
1988-09-29,56.79168313679523,A,1.9203568696975708,1.8902547836303711,1.8798745155334473,1.8868812739849095,1.8691329598426818,1.8655790758132935,1.853217351436615
1988-09-30,56.86213059253175,A,1.9307382106781008,1.9016730070114136,1.8892167448997497,1.8879192829132083,1.8708436274528504,1.8670970547199248,1.8540591508150102
1988-10-03,56.97107106991799,A,1.9411184787750244,1.9182816982269286,1.8964830040931702,1.8894763052463535,1.8729196786880493,1.8687698173522949,1.8551280903816223
1988-10-04,56.997388342403646,A,1.9307382106781008,1.9224337339401245,1.9006351351737976,1.8907738566398624,1.8747881245613098,1.8703387773036957,1.85614512860775
1988-10-05,57.043912551781595,A,1.9307382106781008,1.9307379961013793,1.9053062915802002,1.8923309028148654,1.8763451719284057,1.8718567562103272,1.8571120977401734
1988-10-06,57.03353735739978,A,1.9203568696975708,1.9307379961013793,1.9104963898658753,1.893368881940842,1.8776945924758912,1.8731689870357513,1.8580021286010742
1988-10-07,57.0210882516586,A,1.9411184787750244,1.9328140497207642,1.917243528366089,1.8954449415206909,1.8793554615974426,1.87468883395195,1.8589959675073624
1988-10-10,57.01325129437,A,1.961879014968872,1.9369661569595338,1.9276239275932312,1.8985590279102325,1.881535325050354,1.8765182209014892,1.8599434030056
1988-10-11,57.006599638797674,A,1.9411184787750244,1.9390422105789185,1.9307379722595215,1.9011541068553925,1.8835075902938843,1.87798708319664,1.8607870358228684
1988-10-12,56.982256064717234,A,1.9203568696975708,1.9369659423828125,1.933851969242096,1.904008674621582,1.8848570108413696,1.8792993140220642,1.8615769284963608
1988-10-13,56.950359146522516,A,1.89959728717804,1.9328140258789062,1.9317760109901427,1.9058252632617951,1.885479838848114,1.880505883693695,1.8622630232572555
1988-10-14,56.89719695990819,A,1.89959728717804,1.9245097875595092,1.9286619186401368,1.9089393317699432,1.8865178775787355,1.8814575946331025,1.8629991817474365
1988-10-17,56.798707503996496,P,1.8892168998718264,1.9099773645401001,1.9234717607498169,1.9099773824214936,1.8874521112442018,1.8823055016994477,1.8636834383010865
1988-10-18,56.7476249407327,P,1.89959728717804,1.9016731262207034,1.9203576683998111,1.9104964017868042,1.8890091800689701,1.8832062375545502,1.8643695330619812
1988-10-19,56.66739915013358,P,1.8580750226974487,1.889216756820679,1.9130913496017459,1.909198820590973,1.8905662083625796,1.8832329976558686,1.8646978169679642
1988-10-20,56.6432551018767,P,1.8788363933563232,1.8850645780563358,1.9089393019676213,1.909717845916748,1.8921232628822329,1.8834164035320282,1.8650798428058624
1988-10-21,56.615808783376714,P,1.8788363933563232,1.8809123992919923,1.9027110934257512,1.9099773108959197,1.8936803174018864,1.8835998094081878,1.8654117953777314
1988-10-24,56.632093657683804,P,1.89959728717804,1.8829884767532348,1.8964829206466678,1.9120534241199494,1.8950297498703006,1.8841437339782714,1.8657724529504776
1988-10-25,56.63052920525433,P,1.9127004146575928,1.8856091022491455,1.8936411142349248,1.912189543247223,1.8961222577095034,1.884614804983139,1.866173592209816
1988-10-26,56.74152630051028,A,1.9549702405929563,1.9049881458282472,1.8971024513244632,1.9154772102832793,1.898267755508423,1.8855085742473603,1.8668111145496369
1988-10-27,56.82760961787448,A,1.9655377864837649,1.9223284244537353,1.9036965012550358,1.917736256122589,1.900313200950623,1.8865080189704895,1.8675515431165695
1988-10-28,56.85505672712529,A,1.9127004146575928,1.9291012287139893,1.905006814002991,1.9168343663215637,1.9011980915069584,1.88677521109581,1.8679777163267135
1988-10-31,56.86479841722966,A,1.9232683181762693,1.9338354349136353,1.9084119558334351,1.9159418582916259,1.9020867300033573,1.8872500133514405,1.868317062854767
1988-11-01,56.8825491612269,A,1.933834195137024,1.9380621910095215,1.9118356466293336,1.9160966575145721,1.9031866860389712,1.8878304743766785,1.8687347292900085
1988-11-02,56.79071815167765,A,1.9021321535110476,1.9274945735931397,1.9162413597106933,1.9146663546562195,1.9034449911117557,1.888042949438095,1.8690448504686357
1988-11-03,56.72429199853994,P,1.933834195137024,1.9211538553237915,1.9217411398887634,1.9153402209281922,1.9043373370170595,1.8885724449157715,1.8695134818553925
1988-11-04,56.74090895128044,P,1.944404125213623,1.9274945974349975,1.9282979130744935,1.9155045032501221,1.9051296758651737,1.8891566741466521,1.8699075359106063
1988-11-07,56.695890667633286,P,1.9021321535110476,1.9232673645019531,1.928551399707794,1.9125171601772308,1.9051803731918338,1.8892162227630616,1.8700392562150956
1988-11-08,56.65998891985466,P,1.9232683181762693,1.9211541891098023,1.9296081900596618,1.911624652147293,1.9054461789131167,1.8895380985736847,1.8701747113466263
1988-11-09,56.739425364294824,A,1.986671805381775,1.9380621194839478,1.9327783465385437,1.9149403989315033,1.9071876692771914,1.8902391624450683,1.8707291299104691
1988-11-10,56.74375476619139,A,1.9549702405929563,1.9422893285751344,1.9317215919494628,1.917709046602249,1.9081913304328921,1.8906741857528686,1.871048577427864
1988-11-11,56.725697366354886,A,1.944404125213623,1.9422893285751344,1.9348919630050658,1.9199493885040284,1.9088798522949222,1.8910545086860657,1.8712897115945817
1988-11-14,56.796458948434626,A,1.9549702405929563,1.9528569459915162,1.9380621552467345,1.9232370555400848,1.9097796964645388,1.8915914678573609,1.8717365962266923
1988-11-15,56.80765734951556,A,1.9232683181762693,1.9528569459915162,1.9370055675506592,1.9244206070899963,1.910149319171906,1.8920662701129913,1.8719739973545075
1988-11-16,56.74732116826245,A,1.933834195137024,1.9422894239425659,1.9401757717132568,1.9282085657119752,1.9108340573310856,1.892544800043106,1.8722132623195649
1988-11-17,56.6959875058458,A,1.9021321535110476,1.931721806526184,1.9370055675506592,1.9293733537197113,1.9108847546577457,1.8926043486595154,1.8722940170764923
1988-11-18,56.648803392129004,P,1.9021321535110476,1.923267412185669,1.9327783703804016,1.9305381417274474,1.9109354519844057,1.8926638972759247,1.872323791384697
1988-11-21,56.586687154650285,P,1.9127004146575928,1.9148134469985962,1.9338351964950562,1.9311932981014253,1.9111975145339968,1.8928291285037995,1.8724064069986344
1988-11-22,56.55937944359374,P,1.9021321535110476,1.9105862140655518,1.931721580028534,1.930664885044098,1.9114558196067812,1.8927867317199707,1.8724616640806198
1988-11-23,56.53314615855669,P,1.9232683181762693,1.9084730386734008,1.9253812313079834,1.9290797889232636,1.9126558756828311,1.8929556965827943,1.8726480996608734
