Date,GRADE,GPS,AMT,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2019-03-19,67.75792531954062,A,165.12550354003906,163.98123779296876,161.6292465209961,157.59523010253906,151.1358508300781,145.11405258178712,135.44439781188964
2019-03-20,67.73874485775474,A,166.542724609375,164.7307342529297,162.48917541503906,158.24082717895507,151.68989166259766,145.4321322631836,135.6935997772217
2019-03-21,68.28790675669985,A,169.299072265625,165.90281372070314,163.6160430908203,159.03206634521484,152.26114929199218,145.80190139770508,135.94850162506103
2019-03-22,68.49370155334108,A,168.37738037109375,166.71665649414064,164.66291351318358,159.7720054626465,152.8219723510742,146.17075531005858,136.19789695739746
2019-03-25,69.29986154526178,A,170.15115356445312,167.8991668701172,165.5784896850586,160.70497360229493,153.41827087402345,146.52587020874023,136.45426937103272
2019-03-26,69.98333151795566,A,169.59463500976562,168.7929931640625,166.38711547851562,161.61924667358397,153.97474609375,146.87144226074219,136.70420413970947
2019-03-27,69.88735319158079,A,168.75994873046875,169.23643798828124,166.98358612060548,162.52743072509764,154.5018325805664,147.2018359375,136.9436876296997
2019-03-28,69.07921851714944,A,169.49029541015625,169.2746826171875,167.5887481689453,163.34388427734376,155.03309173583983,147.5186929321289,137.18192096710206
2019-03-29,68.80088768690197,A,171.34234619140625,169.86767578125,168.29216613769532,164.1759880065918,155.59634948730468,147.84732559204102,137.42451225280763
2019-04-01,67.33203310112131,A,167.3861846923828,169.31468200683594,168.60692443847657,164.73333358764648,156.08048400878906,148.12870056152343,137.65020393371583
2019-04-02,66.51026110855173,A,169.65554809570312,169.32686462402344,169.05992889404297,165.34458770751954,156.60983215332033,148.43034759521484,137.88285640716552
2019-04-03,65.80401045753034,A,168.93382263183594,169.36163940429688,169.29903869628907,165.89410705566405,157.1054428100586,148.7066178894043,138.11112613677977
2019-04-04,64.9378882812084,A,167.85568237304688,169.034716796875,169.15469970703126,166.38537139892577,157.58192443847656,148.98317535400392,138.33009258270263
2019-04-05,64.09270292799512,A,170.21197509765625,168.808642578125,169.3381591796875,167.00053634643555,158.0749267578125,149.26729843139648,138.56122734069825
2019-04-08,64.32004211810268,A,170.61196899414062,169.45379943847655,169.38424072265624,167.48136520385742,158.56479858398438,149.5359649658203,138.79221218109132
2019-04-09,64.21033532008931,A,171.04673767089844,169.73203735351564,169.52945098876953,167.9582832336426,159.0391943359375,149.8573178100586,139.03242256164552
2019-04-10,64.50768099885171,A,171.74551391601562,170.29437561035155,169.82800750732423,168.40579681396486,159.50965423583983,150.1885122680664,139.2761268234253
2019-04-11,65.10531018290847,A,171.7716827392578,171.07757568359375,170.05614624023437,168.82244720458985,159.93942291259765,150.51996841430665,139.5086100769043
2019-04-12,65.3938647984016,A,172.91598510742188,171.61837768554688,170.21351013183593,169.25283813476562,160.43398803710937,150.86217529296874,139.74621284484863
2019-04-15,65.42163661187455,A,171.28253173828125,171.752490234375,170.60314483642577,169.60503463745118,160.88701416015624,151.17767135620116,139.99125713348388
2019-04-16,64.47582734181906,A,167.88467407226562,171.12007751464844,170.42605743408203,169.7429931640625,161.24617340087892,151.45495147705077,140.21346420288086
2019-04-17,63.16626323238642,A,166.98500061035156,170.16797485351563,170.2311752319336,169.76510696411134,161.6249008178711,151.72392669677734,140.43173198699952
2019-04-18,62.14416102520719,A,168.50485229492188,169.51460876464844,170.29609222412108,169.72539596557618,162.00376647949219,152.00187362670897,140.65609409332276
2019-04-19,60.91987220625307,P,168.50485229492188,168.63238220214845,170.12537994384766,169.73176956176758,162.37532928466797,152.26451477050782,140.8827351760864
2019-04-22,59.82839459090818,P,167.98951721191406,167.973779296875,169.863134765625,169.62368774414062,162.72684661865233,152.53419540405272,141.1131203842163
2019-04-23,60.04790011496763,P,168.93287658691406,168.18341979980468,169.65174865722656,169.59059982299806,163.10418670654298,152.80985076904298,141.34645957946776
2019-04-24,60.47584471084843,P,168.78439331054688,168.54329833984374,169.3556365966797,169.59182205200196,163.45925567626952,153.08402130126953,141.58245319366455
2019-04-25,60.26994287945558,P,167.9633331298828,168.43499450683595,168.97480163574218,169.51547393798828,163.7615579223633,153.31409454345703,141.81309463500978
2019-04-26,60.30954903539549,P,168.76693725585938,168.48741149902344,168.55989685058594,169.38670349121094,164.0446307373047,153.56258102416993,142.05330101013183
2019-04-29,60.45396223518599,P,168.0943603515625,168.5083801269531,168.24107971191407,169.42211227416993,164.31425201416016,153.80641662597657,142.28816646575928
2019-04-30,60.701365186429534,P,170.59254455566406,168.84031372070314,168.5118667602539,169.46896209716797,164.6376626586914,154.07134338378907,142.53238384246825
2019-05-01,60.60822496315375,P,168.50485229492188,168.78440551757814,168.66385192871093,169.44751358032227,164.93514404296874,154.33260116577148,142.76027187347412
2019-05-02,60.86796464093057,P,168.40875244140625,168.8734893798828,168.65424194335938,169.47516708374025,165.23383331298828,154.5743064880371,142.98092849731447
2019-05-03,60.96863479164023,A,168.53981018066406,168.82806396484375,168.6577377319336,169.3915588378906,165.53305755615236,154.81905166625975,143.2027993774414
2019-05-06,61.0989239819021,A,167.8671875,168.78262939453126,168.6455047607422,169.2543197631836,165.86056549072265,155.10601470947265,143.42844486236572
2019-05-07,59.96925881798378,P,165.83197021484375,167.83051452636718,168.33541412353514,168.99358139038085,166.15102142333984,155.3607792663574,143.62017856597902
2019-05-08,59.57944089186228,P,167.39553833007812,167.60865173339843,168.19652862548827,168.77608261108398,166.4870068359375,155.62919036865233,143.81143146514893
2019-05-09,59.449049859706605,P,168.16421508789062,167.55974426269532,168.21661682128905,168.59570922851563,166.7870666503906,155.9139353942871,144.01495532989503
2019-05-10,59.87677667476044,P,170.90696716308594,168.03317565917968,168.4306198120117,168.49525833129883,167.11120056152345,156.25671936035155,144.22023914337157
2019-05-13,60.58766453901897,A,171.97265625,168.8542694091797,168.81844940185547,168.52976455688477,167.42586822509764,156.64838165283203,144.43119548797608
2019-05-14,62.38283430553312,A,173.01206970214844,170.29028930664063,169.0604019165039,168.7861343383789,167.7375003051758,157.05043807983398,144.65113292694093
2019-05-15,64.11011490526191,A,175.1084747314453,171.83287658691407,169.72076416015625,169.1923080444336,168.0808010864258,157.43181015014648,144.88460529327392
2019-05-16,65.78310577440435,A,176.4623565673828,173.4925048828125,170.5261245727539,169.59018325805664,168.44944030761718,157.8174171447754,145.11947216033934
2019-05-17,66.90534374012186,A,176.8205108642578,174.6752136230469,171.35419464111328,170.00596618652344,168.82767700195313,158.20460586547853,145.36210674285888
2019-05-20,66.80872525322607,A,173.16928100585938,174.91453857421874,171.88440399169923,170.26495437622071,169.07115478515624,158.56084716796875,145.58721614837646
2019-05-21,66.34424625415627,A,173.09942626953125,174.9320098876953,172.61114959716798,170.47328186035156,169.30297576904297,158.9163899230957,145.81154613494874
2019-05-22,65.77437391603013,A,175.28311157226562,174.96693725585936,173.39990692138673,170.7982177734375,169.55273315429687,159.3063771057129,146.0449457168579
2019-05-23,65.33559307150945,A,177.2484893798828,175.12416381835936,174.30833435058594,171.2624755859375,169.82892944335939,159.7078450012207,146.2873982620239
2019-05-24,64.77368276516371,A,177.318359375,175.2237335205078,174.94947357177733,171.69004669189454,170.08913330078124,160.10453353881837,146.52396511077882
2019-05-27,65.23849871025958,A,177.318359375,176.05354919433594,175.48404388427736,172.1512466430664,170.35072845458984,160.49270111083985,146.76216594696044
2019-05-28,65.51892306888043,A,176.92530822753906,176.8187255859375,175.8753677368164,172.46788482666017,170.58672454833984,160.86128768920898,147.00489459991456
2019-05-29,65.15636478351044,A,175.6849822998047,176.89909973144532,175.93301849365236,172.8268913269043,170.76956970214843,161.22973068237306,147.24645236968993
2019-05-30,64.88457541589919,A,178.7946014404297,177.20832214355468,176.16624298095704,173.34618377685547,170.95948028564453,161.61031478881836,147.5066975402832
2019-05-31,65.54299209958019,A,182.3584442138672,178.21633911132812,176.72003631591798,174.03711547851563,171.2391015625,162.0305369567871,147.78183757781983
2019-06-03,66.2196773202849,A,182.8126373291016,179.31519470214843,177.6843719482422,174.7843879699707,171.49233123779297,162.4553010559082,148.05791568756104
2019-06-04,66.92768134596004,A,181.69454956054688,180.26904296875,178.54388427734375,175.57751693725587,171.7343295288086,162.8545378112793,148.32096439361572
2019-06-05,68.82664128441142,A,185.85235595703125,182.30251770019532,179.6008087158203,176.5003578186035,172.07617767333986,163.28900512695313,148.6032973098755
