Date,GRADE,GPS,WMT,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1987-02-02,43.64841475599476,A,0.6335167288780212,0.6244436144828797,0.6228794515132904,0.6116951435804368,0.5998026800155639,0.5750331383943558,0.5775889003276825
1987-02-03,43.64102112766725,A,0.6350806951522827,0.6253822445869446,0.6249129831790924,0.6129465460777282,0.6005637848377228,0.5763045400381088,0.5781433424353599
1987-02-04,43.63586473954191,A,0.6350806951522827,0.6260080456733703,0.6275721907615661,0.6145108163356781,0.6014811873435975,0.5776228266954422,0.5787913897633552
1987-02-05,43.65382877116145,A,0.6475945115089417,0.6316393852233887,0.6294492840766907,0.6169353812932968,0.6026488661766052,0.5789099663496018,0.5795254057645798
1987-02-06,43.68888113596898,A,0.6507223844528198,0.6403990030288697,0.6311698496341706,0.6191252857446671,0.6037540638446808,0.5801189774274826,0.5802828639745712
1987-02-09,43.69889739026797,A,0.6491582989692688,0.6435273170471192,0.6339854657649994,0.6214716255664825,0.6048592412471772,0.5814842689037323,0.5810637022554874
1987-02-10,43.69528846369443,A,0.6350806951522827,0.6435273170471192,0.6344547808170319,0.6235833525657654,0.6054328048229217,0.5824430912733078,0.5817741525173187
1987-02-11,43.68468107801149,A,0.6350806951522827,0.6435273170471192,0.6347676813602448,0.6256950795650482,0.6059125971794128,0.5833706569671631,0.58244559943676
1987-02-12,43.6760645442341,A,0.6460305452346802,0.6432145237922668,0.6374269545078277,0.628588929772377,0.6066113865375519,0.58464215695858,0.5831093949079513
1987-02-13,43.67716360956927,A,0.6569795608520508,0.644465959072113,0.6424324810504913,0.6315609693527222,0.6077063477039337,0.5859918862581253,0.5838513368368149
1987-02-16,43.67351542115378,A,0.6569795608520508,0.6460302114486695,0.6447787642478943,0.6338291078805923,0.608770033121109,0.5874041330814361,0.5845776754617691
1987-02-17,43.70050880324637,A,0.6694937348365784,0.6529128193855286,0.6482200682163238,0.6365665256977081,0.6102716994285583,0.5888477474451065,0.5852495780587197
1987-02-18,43.72142706751305,A,0.6616729497909546,0.6582312703132629,0.650879293680191,0.6392257422208786,0.6117733716964722,0.5900881254673004,0.5858043733239174
1987-02-19,43.72438514126526,A,0.6632370948791504,0.661672580242157,0.6524435520172119,0.6409464180469513,0.6134001851081848,0.591234735250473,0.5864449927210807
