Date,GRADE,GPS,RJF,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2013-10-18,46.017589284953026,C,25.04572486877441,24.51652717590332,23.971361351013186,23.876094627380372,24.140021514892577,24.406205673217773,24.76101987838745
2013-10-21,46.32750730903762,C,24.94878578186035,24.669357299804688,24.154984474182132,23.9111927986145,24.142352256774902,24.41153085708618,24.76823342323303
2013-10-22,46.79933387171365,A,24.965892791748047,24.864384841918945,24.368261146545414,23.954534816741944,24.14070568084717,24.420369472503662,24.775137128829957
2013-10-23,46.91864339184159,A,24.78340530395508,24.919130325317383,24.525652122497558,23.988184452056885,24.13938793182373,24.4318585395813,24.781806116104125
2013-10-24,47.16119294867724,A,25.50764274597168,25.050290298461913,24.68703556060791,24.059466648101807,24.16369495391846,24.44532157897949,24.79068434715271
2013-10-25,47.57933825043089,A,26.14632225036621,25.270409774780273,24.8934684753418,24.17038164138794,24.20145755767822,24.462338905334473,24.802050018310545
2013-10-28,48.14107398561706,A,26.471378326416016,25.574928283691406,25.122142791748047,24.305818271636962,24.251405067443848,24.48475950241089,24.81504096984863
2013-10-29,48.78328416415382,A,26.77361297607422,25.93647232055664,25.400428581237794,24.449808502197264,24.302168235778808,24.51433790206909,24.829514808654785
2013-10-30,49.365955872763294,A,26.18624687194824,26.217040634155275,25.56808547973633,24.59722023010254,24.347663536071778,24.54138505935669,24.84215313911438
2013-10-31,49.483845677309034,A,26.032270431518555,26.32196617126465,25.686128234863283,24.746627807617188,24.391898155212402,24.560660877227782,24.84885389328003
2013-11-01,49.23996101247496,A,26.032270431518555,26.29915580749512,25.784782791137694,24.87807207107544,24.437383117675783,24.580333213806153,24.853945016860962
2013-11-04,48.682698186545814,A,25.844087600708008,26.173697662353515,25.874312973022462,25.014648723602296,24.477513046264647,24.593761615753174,24.857361001968385
2013-11-05,47.996231722200015,A,25.95244026184082,26.009463119506837,25.97296772003174,25.170614433288574,24.524925346374513,24.606800708770752,24.859455003738404
2013-11-06,47.65194735256062,A,26.13492202758789,25.999198150634765,26.108119392395018,25.31688575744629,24.575418968200683,24.622684364318847,24.862941484451294
2013-11-07,47.246359414700585,A,25.58747673034668,25.91023941040039,26.11610279083252,25.401569175720216,24.60996192932129,24.63785213470459,24.86484851837158
2013-11-08,47.23049737370267,A,26.380128860473636,25.979811096191405,26.13948345184326,25.51647596359253,24.66206314086914,24.66043655395508,24.868826808929445
2013-11-11,47.353562294188315,A,26.34591293334961,26.080176162719727,26.12693691253662,25.624539852142334,24.71348003387451,24.687664070129394,24.8740177154541
2013-11-12,47.331478738300255,A,26.19194984436035,26.128078079223634,26.068770599365234,25.734599590301514,24.763181610107424,24.708649921417237,24.877393932342528
2013-11-13,47.35988210530689,A,26.688072204589844,26.238708114624025,26.118953132629393,25.843519306182863,24.81746299743652,24.734596996307374,24.883053131103516
