Date,GRADE,GPS,SCHW,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1988-03-02,,,0.1328738033771515,0.12950537949800486,0.11921235173940654,0.1113522488623857,0.10128377333283418,0.10772163912653918,
1988-03-03,,,0.1310027092695236,0.13175114691257475,0.12183242440223689,0.1127558402717113,0.10199492752552027,0.10699176639318461,
1988-03-04,,,0.1310027092695236,0.13249973654747008,0.12445249706506727,0.11425301954150195,0.10270608171820635,0.10637418136000627,
1988-03-07,,,0.1328738033771515,0.13212536573410033,0.12688538432121274,0.11575016565620895,0.10345465779304501,0.10586888447403903,
1988-03-08,,,0.1347456574440002,0.1324997365474701,0.129131156951189,0.11734090447425835,0.10427810758352277,0.1054384477436542,
1988-03-09,,,0.1422315686941146,0.1343712896108627,0.13193833455443377,0.1192123837769031,0.10536355733871457,0.10517644077539438,
1988-03-10,,,0.1422315686941146,0.1366170614957809,0.1341841042041778,0.12108386307954784,0.10641158446669575,0.10513901114463801,
1988-03-11,,,0.1384886354207992,0.13811424672603603,0.13530699163675303,0.12286175079643721,0.10738475292921061,0.10517644092440602,
1988-03-14,,,0.1328738033771515,0.13811424672603603,0.1351198062300682,0.12435889691114421,0.10817076563835139,0.10532615132629868,
1988-03-15,,,0.127259761095047,0.13661706745624538,0.13455840200185773,0.12548178583383557,0.10880706086754793,0.1054010102152824,
1988-03-16,,,0.1291309297084808,0.1339969396591186,0.13418411463499066,0.12669823318719858,0.10940592005848879,0.10556944020092483,
1988-03-17,,,0.1291309297084808,0.13137681186199185,0.13399693667888637,0.12791468054056165,0.1099673561751842,0.10588758811354633,
1988-03-18,,,0.127259761095047,0.12913103699684142,0.1336226418614387,0.129037569463253,0.11060365140438075,0.10598115809261795,
1988-03-21,,,0.127259761095047,0.12800822854042054,0.13306123763322825,0.1299733109772205,0.1112399466335773,0.10590629912912843,
1988-03-22,,,0.127259761095047,0.12800822854042054,0.13231264799833292,0.13072190247476098,0.11191367849707598,0.10590629912912843,
1988-03-23,,,0.1291309297084808,0.12800822854042054,0.13100258409976956,0.1314704593271017,0.11262483373284335,0.10596244029700752,
1988-03-24,,,0.1235168129205703,0.12688540518283842,0.12913110852241513,0.1316576063632965,0.11329856574535364,0.10603729903697964,
1988-03-25,,,0.1197738721966743,0.12538822740316388,0.12725963220000264,0.13128331191837783,0.11389743894338603,0.1060747283697128,
1988-03-28,,,0.1179027631878852,0.12351682782173153,0.125762528181076,0.13044116720557208,0.11445888996124262,0.10613087669014927,
1988-03-29,,,0.1179027631878852,0.12164542824029916,0.12482682839035983,0.12969261519610878,0.11502034097909924,0.10622445501387116,
1988-03-30,,,0.1160309389233589,0.11902543008327478,0.12351682931184764,0.12885047197341915,0.11554435551166531,0.10628059640526769,
1988-03-31,,,0.1104167997837066,0.11640542745590206,0.12164541631937023,0.1278211764991283,0.11591865092515942,0.10624316647648806,
1988-04-01,,,0.1104167997837066,0.1145340129733085,0.11996112018823617,0.12679188102483746,0.11621808692812916,0.10620573654770846,
1988-04-04,,,0.1066738441586494,0.11228822916746135,0.11790252849459644,0.12548188306391234,0.1164801004528999,0.10611216560006137,
1988-04-05,,,0.1085449308156967,0.11041666269302364,0.1160310454666614,0.12417184673249719,0.11674209907650944,0.10611216560006137,
