Date,GRADE,GPS,HSY,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2008-05-23,58.487840075281184,B,24.72907257080078,24.922869873046874,24.992378997802735,25.149753761291503,25.06061664581299,24.70561653137207,26.464675130844117
2008-05-26,58.31879491364939,B,24.72907257080078,24.809272003173827,24.965816688537597,25.165028858184815,25.072907829284667,24.695236988067627,26.438249912261963
2008-05-27,58.96157255800796,C,27.045520782470703,25.216748428344726,25.168211364746092,25.262194919586182,25.124674682617187,24.713353939056397,26.42396553993225
2008-05-28,59.48042505128384,C,26.3072452545166,25.551346588134766,25.2954345703125,25.321775054931642,25.15482276916504,24.724221534729004,26.401564130783083
2008-05-29,60.01942525529563,A,27.24872398376465,26.0119270324707,25.51210308074951,25.396849727630617,25.189421577453615,24.743970584869384,26.38367172241211
2008-05-30,60.440954807925145,A,26.54429626464844,26.374971771240233,25.648920822143555,25.441742515563966,25.209931831359864,24.759741287231446,26.361860237121583
2008-06-02,60.844409175337034,A,26.361425399780277,26.701442337036134,25.75535717010498,25.475812435150146,25.22114074707031,24.774283199310304,26.339564418792726
2008-06-03,60.251350163521145,A,25.975351333618164,26.487408447265626,25.852078437805176,25.487554454803465,25.221403160095214,24.79209592819214,26.318976602554322
2008-06-04,60.02873729196969,A,26.144689559936523,26.454897308349608,26.00312194824219,25.517842292785645,25.232039947509765,24.80626998901367,26.296688585281373
2008-06-05,59.52010628946903,A,26.137908935546875,26.232734298706056,26.12233066558838,25.563580989837646,25.24227233886719,24.819309883117675,26.274763555526732
2008-06-06,59.08014968043968,A,25.372539520263672,25.9983829498291,26.186677360534667,25.589528179168703,25.24190071105957,24.8281618309021,26.247820930480955
2008-06-09,58.69532970891756,A,25.270938873291016,25.78028564453125,26.24086399078369,25.603340339660644,25.241109771728517,24.835997772216796,26.22037030220032
2008-06-10,58.533996372788955,A,25.48090171813965,25.681395721435546,26.084402084350586,25.62630672454834,25.223420333862304,24.851731929779053,26.194035634994506
2008-06-11,58.13910803770478,B,25.06773376464844,25.46600456237793,25.96045093536377,25.627942752838134,25.200289688110352,24.859868583679198,26.16788438796997
2008-06-12,57.824001350209045,B,25.162569046020508,25.270936584472658,25.751835441589357,25.631969261169434,25.180130577087404,24.873685874938964,26.142008829116822
2008-06-13,58.02558164873818,B,25.96180534362793,25.38878974914551,25.693586349487305,25.67125358581543,25.174881362915038,24.906426162719725,26.12234559059143
2008-06-16,57.71374869677999,B,24.29559326171875,25.193720626831055,25.487003135681157,25.621180152893068,25.13482955932617,24.91077377319336,26.09448362350464
2008-06-17,57.32492737784768,B,23.80792617797852,24.859125518798827,25.270260620117188,25.56116952896118,25.0878462600708,24.90437952041626,26.06289330482483
2008-06-18,56.954129874054466,B,23.347332000732425,24.51504516601563,24.99052486419678,25.496823406219484,25.03742965698242,24.896778507232668,26.028570041656494
2008-06-19,56.56666078944246,B,23.2999267578125,24.142516708374025,24.70672664642334,25.41452865600586,24.98808059692383,24.888703441619874,25.99450580596924
2008-06-20,55.703816234411306,B,22.859657287597656,23.522087097167972,24.45543842315674,25.321057891845705,24.962983474731445,24.87735876083374,25.9588356590271
2008-06-23,55.47460201068162,B,22.64969062805176,23.192906570434573,24.193313598632812,25.217088794708253,24.929790267944338,24.866580505371093,25.922281122207643
2008-06-24,55.27617642778071,B,22.561641693115234,22.943649673461913,23.90138759613037,24.992894840240478,24.89685161590576,24.85765432357788,25.883103170394897
