Date,GRADE,GPS,CBRE,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2009-02-26,42.48583970360829,B,3.049999952316284,3.2539999961853034,3.405999994277954,3.666500008106232,3.9676000261306763,4.593600020408631,10.530299985408783
2009-02-27,42.506948693633376,B,2.890000104904175,3.166000032424927,3.319000005722046,3.631000018119812,3.9462000274658204,4.530000021457672,10.437349988222122
2009-03-02,42.42283521772274,B,2.5299999713897705,3.0360000133514404,3.196000003814697,3.5820000171661377,3.9176000261306765,4.465300021171569,10.342599990367889
2009-03-03,42.18199330389061,B,2.6600000858306885,2.8740000247955324,3.1190000057220457,3.538000023365021,3.8916000270843507,4.41220002412796,10.247549990415573
2009-03-04,42.22184411752841,B,2.7799999713897705,2.782000017166138,3.0390000104904176,3.4795000195503234,3.8680000257492066,4.374000024795532,10.149299988746643
2009-03-05,42.105282927353265,B,2.569999933242798,2.686000013351441,2.9700000047683717,3.4125000119209288,3.840200023651123,4.333300025463104,10.049149986505508
2009-03-06,42.084250877922166,B,2.5199999809265137,2.6119999885559086,2.8890000104904177,3.3205000042915342,3.809800024032593,4.295300023555756,9.949449990987778
2009-03-09,42.32552687493257,B,2.7100000381469727,2.648000001907349,2.8420000076293945,3.237500011920929,3.787200026512146,4.252500026226044,9.852999991178512
2009-03-10,42.80245610865816,B,3.390000104904175,2.7940000057220464,2.834000015258789,3.218500018119812,3.7790000295639037,4.223200025558472,9.759999992847442
2009-03-11,43.027959170061344,B,2.990000009536743,2.8360000133514407,2.809000015258789,3.1575000166893004,3.752400026321411,4.199200026988983,9.666199992895127
2009-03-12,43.49613887060261,B,3.2799999713897705,2.9780000209808355,2.8320000171661377,3.1190000057220457,3.731600022315979,4.18660002708435,9.571499996185302
2009-03-13,43.95942169527269,B,3.059999942779541,3.0860000133514407,2.8490000009536742,3.0840000033378603,3.7032000207901,4.17290002822876,9.480249998569489
2009-03-16,44.11785976976413,C,2.609999895095825,3.0659999847412114,2.85699999332428,3.0264999985694887,3.6684000205993654,4.152600028514862,9.390349997282028
2009-03-17,43.83709177285209,C,2.7799999713897705,2.9439999580383303,2.868999981880188,2.993999993801117,3.6240000200271605,4.121800026893616,9.298949999809265
2009-03-18,43.89336323597829,C,3.049999952316284,2.955999946594239,2.8959999799728395,2.9674999952316283,3.586200017929077,4.090900027751923,9.21149999499321
2009-03-19,43.54890828616206,B,2.700000047683716,2.8399999618530276,2.9089999914169313,2.9394999980926513,3.5372000169754028,4.052800025939941,9.119649996757508
2009-03-20,43.103173772973555,B,2.359999895095825,2.6999999523162845,2.8929999828338624,2.89099999666214,3.4890000152587892,4.0063000226020815,9.024749995470048
2009-03-23,43.133828758816996,B,2.950000047683716,2.767999982833863,2.9169999837875364,2.8794999957084655,3.463800015449524,3.9607000207901,8.932299993038178
2009-03-24,43.2156639315593,B,3.0,2.8119999885559084,2.8779999732971193,2.855999994277954,3.4334000158309936,3.919000020027161,8.842649991512298
2009-03-25,44.07532054562577,C,4.920000076293945,3.186000013351441,3.0709999799728394,2.939999997615814,3.450400013923645,3.90530002117157,8.766099994182587
2009-03-26,45.20420220948673,C,5.010000228881836,3.6480000495910643,3.2440000057220457,3.0380000114440917,3.470400013923645,3.8987000226974486,8.685749995708466
2009-03-27,46.146931986202105,C,4.25,4.026000070571899,3.363000011444092,3.106000006198883,3.470200009346008,3.870200023651123,8.603899991512298
2009-03-30,46.61023852068731,C,3.7699999809265137,4.190000057220459,3.4790000200271605,3.16800000667572,3.460400004386902,3.8470000219345093,8.521399989128113
2009-03-31,47.314483652456225,C,4.03000020980835,4.396000099182129,3.6040000438690187,3.236500012874603,3.471000008583069,3.8405000257492063,8.438099987506867
2009-04-01,46.77296351404411,C,3.990000009536743,4.210000085830688,3.6980000495910645,3.297000014781952,3.4752000093460085,3.842700026035309,8.351599982976914
2009-04-02,46.45765482214177,C,4.659999847412109,4.1400000095367435,3.894000029563904,3.4015000104904174,3.494200005531311,3.835400025844574,8.273799985647202
2009-04-03,46.782386842476484,C,5.019999980926514,4.2940000057220455,4.160000038146973,3.5265000104904174,3.518200006484985,3.8372000241279602,8.199949980974198
2009-04-06,47.214027852569416,C,4.820000171661377,4.504000043869018,4.347000050544739,3.6320000171661375,3.5372000122070313,3.839900023937225,8.128049978017806
2009-04-07,47.200358264760354,C,4.380000114440918,4.574000024795533,4.48500006198883,3.681500017642975,3.5462000131607057,3.8394000267982484,8.053899983167648
2009-04-08,47.445448603515445,A,4.570000171661377,4.690000057220459,4.450000071525574,3.7605000257492067,3.5480000162124634,3.8448000264167788,7.985099984407425
2009-04-09,47.65615497934169,A,5.309999942779541,4.820000076293946,4.480000042915345,3.862000024318695,3.5778000164031982,3.8633000254631042,7.91929998755455
2009-04-10,47.58837158312087,A,5.309999942779541,4.878000068664551,4.5860000371932985,3.974500024318695,3.6120000171661375,3.8815000247955322,7.853499990701676
2009-04-13,47.82522678260466,A,5.800000190734863,5.074000072479248,4.789000058174134,4.134000039100647,3.6578000211715698,3.8889000272750853,7.789949990510941
