Date,GRADE,GPS,SNPS,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1992-11-27,,,7.875,7.99375,8.21875,8.115625,7.604375,6.9684375,
1992-11-30,,,7.8125,7.91875,8.178125,8.128125,7.6175,6.9846875,
1992-12-01,,,7.625,7.8375,8.121875,8.121875,7.628125,6.9971875,7.19203125
1992-12-02,,,7.6875,7.7875,8.046875,8.115625,7.64125,7.0109375,7.19109375
1992-12-03,,,7.625,7.725,7.934375,8.096875,7.653125,7.0240625,7.1903125
1992-12-04,,,7.90625,7.73125,7.8625,8.0859375,7.6775,7.039375,7.19140625
1992-12-07,,,8.1875,7.80625,7.8625,8.0796875,7.70375,7.05875,7.19265625
1992-12-08,47.42817716524405,P,8.3125,7.94375,7.890625,8.0921875,7.73125,7.0796875,7.19421875
1992-12-09,47.51876798125783,P,8.375,8.08125,7.934375,8.0984375,7.75125,7.1009375,7.19734375
1992-12-10,47.62164625228158,A,8.25,8.20625,7.965625,8.1046875,7.77,7.1240625,7.20015625
1992-12-11,47.68857667341795,A,8.3125,8.2875,8.009375,8.1140625,7.7975,7.1490625,7.20296875
1992-12-14,47.71121084251641,A,8.3125,8.3125,8.059375,8.11875,7.83125,7.175625,7.20453125
1992-12-15,47.69970268775316,A,8.3125,8.3125,8.128125,8.125,7.86375,7.2,7.20515625
1992-12-16,47.680711047939646,A,8.3125,8.3,8.190625,8.11875,7.898125,7.2228125,7.20640625
1992-12-17,47.68426057888104,A,8.5625,8.3625,8.284375,8.109375,7.9325,7.2440625,7.20828125
1992-12-18,47.676472122416236,A,8.625,8.425,8.35625,8.109375,7.96375,7.2653125,7.20921875
1992-12-21,47.6792671454895,A,8.625,8.4875,8.4,8.13125,7.99125,7.2878125,7.21171875
1992-12-22,47.692998100486676,A,8.65625,8.55625,8.434375,8.1625,8.019375,7.311875,7.2140625
1992-12-23,47.722151308508415,A,8.75,8.64375,8.471875,8.203125,8.05,7.335625,7.21625
1992-12-24,47.720108077573094,A,8.75,8.68125,8.521875,8.24375,8.076875,7.3590625,7.2171875
1992-12-25,47.712141773534874,A,8.75,8.70625,8.565625,8.2875,8.095625,7.3815625,7.2171875
1992-12-28,47.68298148436085,A,8.625,8.70625,8.596875,8.328125,8.105625,7.4034375,7.2165625
1992-12-29,47.63727195887086,A,8.4375,8.6625,8.609375,8.36875,8.118125,7.4246875,7.215625
1992-12-30,47.584043742306115,A,8.53125,8.61875,8.63125,8.4109375,8.12625,7.44625,7.215
1992-12-31,47.56225069119429,A,8.65625,8.6,8.640625,8.4625,8.141875,7.4696875,7.21671875
1993-01-01,47.55560709485954,A,8.65625,8.58125,8.64375,8.5,8.1625,7.493125,7.220625
1993-01-04,47.55530876024461,A,8.5625,8.56875,8.6375,8.51875,8.18375,7.515625,7.2234375
1993-01-05,47.583326441127156,A,8.625,8.60625,8.634375,8.534375,8.21125,7.5396875,7.2265625
1993-01-06,47.67393465953978,A,9.1875,8.7375,8.678125,8.575,8.24875,7.569375,7.23453125
1993-01-07,47.75269273585763,A,9.25,8.85625,8.728125,8.625,8.283125,7.6025,7.24328125
