Date,GRADE,GPS,MKTX,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2022-05-30,38.513280186670265,C,280.5566711425781,275.4910461425781,268.38965911865233,262.3875442504883,278.63384521484375,315.13914581298826,355.40914154052734
2022-05-31,38.06886175589691,C,274.5048217773437,276.0094970703125,270.47222290039065,263.19640197753904,277.2728918457031,314.19264831542966,354.4536000061035
2022-06-01,37.15352897903711,C,269.8562927246094,276.08160400390625,273.07713317871094,263.00977935791013,275.93248779296874,313.2886212158203,353.51559036254883
2022-06-02,36.98714429086179,C,280.06939697265625,277.1087707519531,274.97259216308595,263.5662353515625,274.6604718017578,312.5589965820312,352.6083074951172
2022-06-03,35.486254210177,C,271.38629150390625,275.2746948242187,274.89170227050784,264.2211166381836,273.24803344726564,311.66862060546873,351.61770645141604
2022-06-06,34.2027479927337,C,274.2611999511719,274.0156005859375,274.7533233642578,265.41101531982423,271.7405029296875,310.8069937133789,350.6765884399414
2022-06-07,34.26253690191872,C,277.2431945800781,274.5632751464844,275.28638610839846,266.822615814209,270.3398468017578,310.0395034790039,349.7581282043457
2022-06-08,34.43342666199762,C,273.85186767578125,275.3623901367188,275.7219970703125,268.1889022827148,269.0735223388672,309.15554595947265,348.80518142700197
2022-06-09,33.07236736598049,B,267.0302124023437,272.7545532226562,274.93166198730466,269.005069732666,267.8011962890625,308.2434368896484,347.8184652709961
2022-06-10,33.015141846226186,B,266.9132080078125,271.8599365234375,273.56731567382815,269.5171806335449,266.5413037109375,307.3758477783203,346.8517449951172
2022-06-13,32.014978885177634,B,260.9588928222656,269.19947509765626,271.6075378417969,269.9985984802246,265.04433349609377,306.44250732421875,345.85525314331056
2022-06-14,31.101354583829274,B,261.64111328125,266.0790588378906,270.3211669921875,270.3966949462891,264.2979162597656,305.6441360473633,344.97800674438474
2022-06-15,31.187711135078974,B,263.16131591796875,263.9409484863281,269.65166931152345,271.36440124511716,263.96619995117186,305.04877502441406,344.1056980895996
2022-06-16,32.01119875384661,B,262.2647705078125,262.98786010742185,267.87120666503904,271.4218994140625,263.6280212402344,304.46899169921875,343.26871215820313
2022-06-17,32.331945806726786,B,257.4798278808594,261.10118408203124,266.4805603027344,270.6861312866211,263.3142724609375,303.79101104736327,342.43269287109376
2022-06-20,33.3144375462847,B,257.4798278808594,260.40537109375,264.80242309570315,269.77787322998046,263.0048004150391,303.0240747070313,341.62771408081056
