Date,GRADE,GPS,ALGN,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2001-07-27,,,7.599999904632568,7.3199999809265135,7.449000024795533,7.645499992370605,8.725599985122681,8.379262509346008,
2001-07-30,,,7.340000152587891,7.307999992370606,7.423000049591065,7.6125,8.633399991989135,8.367662510871888,
2001-07-31,,,7.460000038146973,7.322000026702881,7.402000045776367,7.58600001335144,8.541199998855591,8.347262511253357,
2001-08-01,,,7.5,7.418000030517578,7.387000036239624,7.561500024795532,8.450999994277954,8.319762511253357,
2001-08-02,,,7.449999809265137,7.469999980926514,7.373000001907348,7.536500024795532,8.368799982070923,8.299887509346009,
2001-08-03,,,7.5,7.45,7.384999990463257,7.517000031471253,8.315799989700317,8.292387509346009,
2001-08-06,,,7.690000057220459,7.519999980926514,7.41399998664856,7.5125000238418576,8.26659999847412,8.280537509918213,
2001-08-07,,,7.800000190734863,7.588000011444092,7.455000019073486,7.507500028610229,8.223600006103515,8.276662511825561,
2001-08-08,,,7.449999809265137,7.5779999732971195,7.498000001907348,7.490000009536743,8.187600002288818,8.269287509918213,
2001-08-09,,,7.559999942779541,7.6,7.534999990463257,7.4870000123977665,8.138800001144409,8.267387509346008,
2001-08-10,,,7.550000190734863,7.610000038146973,7.530000019073486,7.489500021934509,8.08880000114441,8.264762511253357,
2001-08-13,,,7.650000095367432,7.602000045776367,7.561000013351441,7.492000031471252,8.038800010681152,8.266262512207032,
2001-08-14,,,7.889999866485596,7.619999980926513,7.603999996185303,7.503000020980835,7.991600008010864,8.271100010871887,
2001-08-15,,,7.699999809265137,7.669999980926514,7.623999977111817,7.50550000667572,7.947600011825561,8.27247500896454,
2001-08-16,,,7.5,7.6579999923706055,7.628999996185303,7.500999999046326,7.906600008010864,8.274975008964539,
2001-08-17,,,7.369999885559082,7.621999931335449,7.615999984741211,7.500499987602234,7.868000001907348,8.276175007820129,
2001-08-20,,,7.050000190734863,7.501999950408935,7.5519999980926515,7.482999992370606,7.823800001144409,8.274175009727479,
2001-08-21,,,6.949999809265137,7.313999938964844,7.466999959945679,7.460999989509583,7.785199995040894,8.27680000782013,
2001-08-22,,,7.099999904632568,7.19399995803833,7.431999969482422,7.464999985694885,7.747199993133545,8.282175006866455,
2001-08-23,,,6.909999847412109,7.075999927520752,7.366999959945678,7.450999975204468,7.705599994659424,8.285650005340576,
2001-08-24,,,6.960000038146973,6.99399995803833,7.307999944686889,7.418999981880188,7.666800003051758,8.289000005722047,
2001-08-27,,,7.0,6.983999919891358,7.242999935150147,7.401999974250794,7.626399993896484,8.293500003814698,
2001-08-28,,,6.809999942779541,6.955999946594238,7.134999942779541,7.369499969482422,7.591999998092652,8.290100002288819,
2001-08-29,,,6.679999828338623,6.871999931335449,7.03299994468689,7.328499960899353,7.5569999885559085,8.290900001525879,
2001-08-30,,,6.599999904632568,6.809999942779541,6.942999935150146,7.285999965667725,7.523799982070923,8.296900000572204,
2001-08-31,,,6.599999904632568,6.73799991607666,6.865999937057495,7.240999960899353,7.499399976730347,8.30289999961853,
2001-09-03,,,6.599999904632568,6.657999897003174,6.8209999084472654,7.1864999532699585,7.4773999786376955,8.314400000572205,
2001-09-04,,,6.869999885559082,6.669999885559082,6.81299991607666,7.13999993801117,7.4449999809265135,8.325099997520446,
2001-09-05,,,7.0,6.733999919891358,6.8029999256134035,7.117499947547913,7.425799980163574,8.322299995422362,
2001-09-06,,,6.630000114440918,6.7399999618530275,6.774999952316284,7.070999956130981,7.398399982452393,8.317099995613098,
2001-09-07,,,6.650000095367432,6.75,6.74399995803833,7.02599995136261,7.374599981307983,8.322099995613097,
2001-09-10,,,6.5,6.730000019073486,6.69399995803833,6.968499946594238,7.344599981307983,8.320599994659425,
2001-09-11,,,6.5,6.65600004196167,6.662999963760376,6.898999953269959,7.31479998588562,8.302299995422363,
2001-09-12,,,6.5,6.55600004196167,6.644999980926514,6.838999962806701,7.284999990463257,8.287299995422364,
2001-09-13,,,6.5,6.530000019073486,6.634999990463257,6.7889999628067015,7.255999994277954,8.264299993515015,
2001-09-14,,,6.5,6.5,6.625,6.745499968528748,7.228199996948242,8.241799993515015,
2001-09-17,,,5.550000190734863,6.310000038146972,6.520000028610229,6.670499968528747,7.183599996566772,8.209799995422363,
2001-09-18,,,5.050000190734863,6.020000076293945,6.338000059127808,6.5754999876022335,7.126599998474121,8.175299997329711,
2001-09-19,,,4.480000019073486,5.616000080108643,6.086000061035156,6.44449999332428,7.060199995040893,8.132599997520447,
2001-09-20,,,3.849999904632568,5.086000061035156,5.8080000400543215,6.291499996185302,6.984799995422363,8.084099998474121,
2001-09-21,,,3.700000047683716,4.526000070571899,5.51300003528595,6.12849999666214,6.908799996376038,8.03509999513626,
2001-09-24,,,3.400000095367432,4.096000051498413,5.2030000448226925,5.948500001430512,6.824800000190735,7.981099994182586,
2001-09-25,,,3.069999933242798,3.7,4.860000038146973,5.761500000953674,6.732799997329712,7.916799993515014,
2001-09-26,,,2.700000047683716,3.344000005722046,4.480000042915345,5.562500011920929,6.6337999963760375,7.852299997806549,
2001-09-27,,,2.5299999713897705,3.0800000190734864,4.083000040054321,5.359000015258789,6.5325999927520755,7.788699994087219,
2001-09-28,,,2.180000066757202,2.7760000228881836,3.6510000467300414,5.138000023365021,6.428599991798401,7.7224999928474425,
2001-10-01,,,2.869999885559082,2.6699999809265136,3.3830000162124634,4.951500022411347,6.337999987602234,7.6591999936103825,
2001-10-02,,,3.3499999046325684,2.7259999752044677,3.2129999876022337,4.775500023365021,6.257199988365174,7.594699990749359,
2001-10-03,,,3.390000104904175,2.8639999866485595,3.1039999961853026,4.5950000286102295,6.184599990844727,7.527299990653992,
2001-10-04,,,3.200000047683716,2.9980000019073487,3.0390000104904176,4.42350002527237,6.104799990653992,7.449699990749359,
