Date,GRADE,GPS,UNP,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2012-03-21,55.28231251127411,A,42.80650329589844,42.94675521850586,42.17569923400879,42.14985084533692,42.435892791748046,40.62944324493408,38.03981855392456
2012-03-22,54.859946935989086,A,41.9412956237793,42.715020751953126,42.2050479888916,42.12481784820557,42.432703552246096,40.6665181350708,38.06442878723144
2012-03-23,54.282344594405494,A,41.50297546386719,42.39028625488281,42.25269050598145,42.06516838073731,42.43075668334961,40.70015167236328,38.084561557769774
2012-03-26,53.91910211150878,P,42.43297958374024,42.26222229003906,42.3738956451416,42.03829765319825,42.44740989685059,40.74142753601074,38.10599056243896
2012-03-27,53.58998833524108,P,42.12043380737305,42.16083755493164,42.37846984863281,42.00571002960206,42.45955619812012,40.77712917327881,38.123908290863035
2012-03-28,53.03026027179527,P,41.12945175170898,41.82542724609375,42.386091232299805,41.9611156463623,42.4494563293457,40.81787708282471,38.138688468933104
2012-03-29,52.74304562844105,P,40.93507385253906,41.624182891845706,42.16960182189941,41.88240909576416,42.417574615478514,40.84907131195068,38.15294649124146
2012-03-30,52.56632140523909,P,40.9655647277832,41.516700744628906,41.95349349975586,41.81742401123047,42.381298522949216,40.87115245819092,38.17033605575561
2012-04-02,52.35944401385941,P,41.77359008789063,41.384822845458984,41.82352256774902,41.818376541137695,42.37346603393555,40.90097484588623,38.191821899414066
2012-04-03,52.138409416806724,P,41.0684814453125,41.174432373046876,41.66763496398926,41.836480712890626,42.35160736083984,40.92220146179199,38.206559600830076
2012-04-04,52.15260559714785,P,41.30859375,41.21026077270508,41.51784400939941,41.8467716217041,42.31620193481445,40.950990219116214,38.220118312835694
2012-04-05,52.412452338410674,P,41.411502838134766,41.305546569824216,41.46486473083496,41.834956359863284,42.28247543334961,40.98491443634033,38.23156847000122
2012-04-06,52.640620569762426,P,41.411502838134766,41.39473419189453,41.45571746826172,41.85420398712158,42.2394987487793,41.01461929321289,38.2385968208313
2012-04-09,52.35592986205433,P,40.47007751464844,41.13403167724609,41.25942726135254,41.81666145324707,42.179664611816406,41.048584938049316,38.24091804504395
2012-04-10,52.128982035951616,P,40.01269912719727,40.922875213623044,41.048653793334964,41.713561820983884,42.11318519592285,41.07857967376709,38.24290096282959
2012-04-11,51.97763664123517,P,40.32523727416992,40.72620391845703,40.96823234558106,41.67716178894043,42.0489380645752,41.120176010131836,38.244816608428955
2012-04-12,51.98996319027032,P,41.46866989135742,40.73763732910156,41.02159194946289,41.595596885681154,42.00839347839356,41.17320667266846,38.25308639526367
2012-04-13,51.93655794338138,P,41.17900085449219,40.69113693237305,41.04293556213379,41.49821453094482,41.95159202575684,41.22650512695313,38.26356149673462
2012-04-16,52.23697889563786,P,41.19804382324219,40.8367301940918,40.98538093566894,41.40445175170898,41.903208618164065,41.26494327545166,38.277916526794435
2012-04-17,52.81146327829563,P,41.62112808227539,41.158415985107425,41.040645599365234,41.354140281677246,41.8660920715332,41.30495849609375,38.29624185562134
2012-04-18,53.15975819639104,A,41.79266357421875,41.451901245117185,41.08905258178711,41.30344829559326,41.834908447265626,41.3308419418335,38.31381345748901
2012-04-19,52.83639318026761,P,40.28712463378906,41.21559219360351,40.976614761352536,41.22073974609375,41.78536659240723,41.34348976135254,38.32655548095703
2012-04-20,52.79842871820449,P,40.8817138671875,41.15613479614258,40.92363586425781,41.189676666259764,41.75658805847168,41.36299346923828,38.342214336395266
2012-04-23,52.89727383423067,A,41.5449104309082,41.22550811767578,41.031119155883786,41.145273208618164,41.72932060241699,41.38192581176758,38.36163871765137
2012-04-24,52.961184715595245,A,42.124244689941406,41.326131439208986,41.2422737121582,41.14546375274658,41.7137158203125,41.41328609466553,38.38386619567871
2012-04-25,53.4421561282365,A,43.256256103515625,41.61884994506836,41.53537559509277,41.251803970336915,41.74926094055176,41.457179641723634,38.41310264587403
2012-04-26,54.399369334674766,A,43.21051406860352,42.20352783203125,41.709560012817384,41.36557598114014,41.78790946960449,41.508766708374026,38.4335478591919
2012-04-27,55.122980810748004,A,43.40869522094727,42.70892410278321,41.9325294494629,41.48773250579834,41.814523468017576,41.557103843688964,38.456108245849606
2012-04-30,55.46109514330556,A,42.85604095458984,42.97115020751953,42.09832916259766,41.541855049133304,41.83008438110352,41.60427433013916,38.47391929626465
2012-05-01,55.819174168863945,A,43.75935745239258,43.29817276000976,42.31215209960938,41.676398849487306,41.85772163391113,41.662032203674315,38.498382835388185
2012-05-02,55.7546345042463,A,43.84702301025391,43.41632614135743,42.517588043212896,41.8033203125,41.884837265014646,41.72661888122558,38.52613265991211
2012-05-03,55.627306073114504,A,43.47349166870117,43.46892166137695,42.836224746704104,41.90641975402832,41.90546798706055,41.786825828552246,38.55019733428955
