Date,GRADE,GPS,MA,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2022-06-20,27.23415800431687,B,306.0661315917969,310.8420043945313,325.83055725097654,337.6194580078125,341.15484313964845,346.2730584716797,345.1942141723633
2022-06-21,27.359467328838846,B,312.67626953125,309.90810546875,321.23793640136716,336.47228851318357,340.59529663085937,345.54292266845704,345.0610607910156
2022-06-22,26.281166758537413,B,311.4448547363281,308.08759765625,316.68865966796875,335.0630767822266,339.8271014404297,344.75433471679685,344.92690170288085
2022-06-23,28.33641534633273,B,312.0458068847656,309.6598388671875,313.5126434326172,333.43123016357424,339.01812255859375,344.037470703125,344.7880940246582
2022-06-24,32.41705887690871,B,325.5813293457031,313.56287841796876,313.09397277832034,332.0875274658203,338.47985412597654,343.5333828735352,344.7330065917969
2022-06-27,36.60104675774974,B,323.9361572265625,317.1368835449219,313.98944396972655,330.66156616210935,337.928779296875,343.07255767822267,344.6861291503906
2022-06-28,37.95302323729032,B,313.55303955078125,317.31223754882814,313.61017150878905,328.7120193481445,337.0307470703125,342.5252151489258,344.5986689758301
2022-06-29,40.23838970152235,B,317.7890319824219,318.58107299804686,313.33433532714844,327.01417083740233,336.18945678710935,341.95136962890626,344.5028048706055
2022-06-30,40.718400153978116,C,310.78485107421875,318.3288818359375,313.9943603515625,324.6695922851562,335.2248297119141,341.37614807128904,344.3196206665039
2022-07-01,38.98206779644115,C,313.5037841796875,315.9133728027344,314.7381256103516,322.7200439453125,334.5758337402344,340.8735656738281,344.1299652099609
2022-07-04,36.73937650625525,B,313.5037841796875,313.8268981933594,315.4818908691406,320.6562240600586,333.8594561767578,340.3277963256836,343.94712921142576
2022-07-05,36.899669614422685,B,314.50860595703125,314.01801147460935,315.6651245117188,318.45153045654297,333.3698541259766,339.7194741821289,343.79674255371094
2022-07-06,36.34931124725948,B,315.40509033203125,313.5412231445313,316.06114807128904,316.3749038696289,332.55417724609373,339.1064434814453,343.6409770202637
2022-07-07,37.598307060173326,B,319.7363586425781,315.33152465820314,316.8302032470703,315.1714233398437,331.4850646972656,338.62752502441407,343.53390045166014
2022-07-08,38.443928828929046,C,318.7398681640625,316.3787414550781,316.14605712890625,314.6200149536133,330.70042297363284,338.17553253173827,343.36051513671873
2022-07-11,40.2690893799199,C,319.854736328125,317.6489318847656,315.7379150390625,314.86367950439455,330.02358581542967,337.7346887207031,343.2711036682129
2022-07-12,41.75108160514391,C,318.54254150390625,318.4557189941406,316.236865234375,314.923518371582,329.3451336669922,337.29705291748047,343.1799884033203
2022-07-13,43.265493048306645,C,319.04571533203125,319.1838439941406,316.36253356933594,314.8484344482422,328.4653381347656,336.9339016723633,343.0645034790039
2022-07-14,44.37441641717515,C,320.6835021972656,319.37327270507814,317.35239868164064,315.6733795166016,327.9167889404297,336.5069528198242,342.9294036865234
2022-07-15,46.83497584830613,C,328.1226806640625,321.2498352050781,318.8142883300781,316.77620697021484,327.64016296386717,336.15724884033204,342.826342010498
2022-07-18,48.80579675220918,C,326.58355712890625,322.59559936523436,320.122265625,317.8020782470703,327.7096594238281,335.8735101318359,342.7539500427246
2022-07-19,52.291114755397565,C,335.8282775878906,326.05274658203126,322.2542327880859,318.95967864990234,328.0164605712891,335.8429638671875,342.7366728210449
2022-07-20,56.269157296870425,C,336.7063903808594,329.5848815917969,324.3843627929688,320.2227554321289,328.33018310546873,335.82503479003907,342.738473815918
2022-07-21,60.282025138627695,C,342.28076171875,333.9043334960937,326.63880310058596,321.7345031738281,328.8466162109375,335.89334594726563,342.75719223022463
2022-07-22,61.93433401501354,C,339.2814636230469,336.13609008789064,328.6929626464844,322.4195098876953,329.07530395507814,336.03230255126954,342.7048155212402
2022-07-25,63.648710596094595,A,339.6069641113281,338.740771484375,330.6681854248047,323.2030502319336,329.3709875488281,336.3500152587891,342.6420805358887
2022-07-26,62.923415522386364,A,336.7161560058594,338.91834716796876,332.485546875,324.3612060546875,329.42897216796877,336.62494873046876,342.54691223144533
2022-07-27,62.09808263427377,A,338.6795349121094,339.31297607421874,334.4489288330078,325.4057312011719,329.58454467773436,336.7837582397461,342.48774337768555
2022-07-28,61.90512211842841,A,347.73687744140625,340.40419921875,337.1542663574219,327.2533325195312,329.9937677001953,337.06796600341795,342.47661224365237
2022-07-29,62.84988037570573,A,349.0589599609375,342.3596984863281,339.2478942871094,329.0310913085938,330.3514111328125,337.36342681884764,342.46000701904296
2022-08-01,62.55935694208768,A,345.85235595703125,343.60877685546876,341.1747741699219,330.6485198974609,330.4035693359375,337.5894387817383,342.4166111755371
2022-08-02,62.766536913922785,A,344.34283447265625,345.1341125488281,342.02622985839844,332.1402313232422,330.5780328369141,337.73729736328124,342.3830570983887
2022-08-03,63.649596629908096,A,349.3943786621094,347.27708129882814,343.29502868652344,333.8396957397461,330.77333862304687,337.8404443359375,342.48086685180664
2022-08-04,62.74419291871161,A,351.3084411621094,347.99139404296875,344.1977966308594,335.41829986572264,330.9058526611328,337.94541748046873,342.60146087646484
2022-08-05,61.94058337620098,A,352.7291564941406,348.7254333496094,345.5425659179688,337.1177642822266,330.911328125,338.02869110107423,342.71692672729495
2022-08-08,61.34579378767532,A,347.45074462890625,349.04511108398435,346.3269439697266,338.4975646972656,330.8112353515625,338.10354766845705,342.8132218933105
2022-08-09,60.447295154842664,A,341.9059143066406,348.55772705078124,346.8459197998047,339.66573333740234,330.5984741210938,338.08409790039065,342.90915420532224
2022-08-10,59.67198903458493,A,348.65435791015625,348.40972290039065,347.84340209960936,341.1461654663086,330.53664123535157,338.2044384765625,343.0341621398926
2022-08-11,58.18253274338014,A,345.89178466796875,347.3263916015625,347.6588928222656,342.4065795898438,330.30094848632814,338.22661865234375,343.1158830261231
2022-08-12,56.858215335193,A,349.5324401855469,346.6870483398437,347.70624084472655,343.477067565918,330.2417022705078,338.2884518432617,343.1501788330078
2022-08-15,57.199143538420024,A,355.13653564453125,348.2242065429688,348.63465881347656,344.9047164916992,330.24882934570314,338.39186431884764,343.20817245483397
2022-08-16,57.84087395825434,A,354.4458923339844,350.7322021484375,349.64496459960935,345.8355972290039,330.16569763183594,338.32054260253904,343.28737274169924
2022-08-17,56.51540168359579,A,350.5782775878906,351.1169860839844,349.7633544921875,346.5291915893555,330.0385107421875,338.2627816772461,343.2819500732422
2022-08-18,56.98510192559797,A,352.5811767578125,352.4548645019531,349.8906280517578,347.0442123413086,330.2140148925781,338.2728601074219,343.30422622680663
2022-08-19,56.71654043523722,A,349.5423889160156,352.45685424804685,349.5719512939453,347.55725860595703,330.609501953125,338.1877212524414,343.2663116455078
2022-08-22,54.295030846958944,C,340.8895874023437,349.6074645996094,348.91583557128905,347.6213897705078,331.1276647949219,337.9871322631836,343.1956455993652
2022-08-23,51.65882834499738,B,336.3314208984375,345.9845703125,348.35838623046874,347.6021530151367,331.5073779296875,337.7762780761719,343.0619076538086
2022-08-24,50.15465521316653,B,335.1672058105469,342.90235595703126,347.0096710205078,347.4265365600586,331.7997741699219,337.6498941040039,342.97338760375976
2022-08-25,49.12259291378794,B,340.0608825683594,340.39829711914064,346.42658081054685,347.04273681640626,332.5172998046875,337.6070245361328,342.96312576293946
2022-08-26,46.841493591559065,B,327.52081298828125,335.9939819335938,344.2254180908203,345.96582946777346,332.9463934326172,337.4119592285156,342.93191848754884
2022-08-29,45.88399816296632,B,324.9457397460937,332.8052124023437,341.2063385009766,344.9204986572266,333.3239855957031,337.2394143676758,342.9783207702637
2022-08-30,45.238966151521424,B,323.42633056640625,330.2241943359375,338.10438232421876,343.8746734619141,333.53898681640624,337.0671417236328,342.97930068969725
2022-08-31,43.812423943195256,B,320.03228759765625,327.19721069335935,335.04978332519534,342.4065689086914,333.71073547363284,336.76891845703125,342.90927505493164
2022-09-01,41.036790793451445,B,320.9005432128906,323.3651428222656,331.8817199707031,340.8861740112305,333.8878302001953,336.45297637939456,342.84359069824217
2022-09-02,40.24949049512848,B,318.2464904785156,321.5102783203125,328.75213012695315,339.1620407104492,333.7411334228516,336.11049377441407,342.8423979187012
2022-09-05,39.75903567941131,B,318.2464904785156,320.17042846679686,326.4878204345703,337.7018280029297,333.6273400878906,335.77805969238284,342.8469035339356
2022-09-06,40.248954903722826,B,319.7462158203125,319.4344055175781,324.8292999267578,336.5938430786133,333.75120361328123,335.3909753417969,342.8986485290527
2022-09-07,42.23314783155452,P,324.2254638671875,320.2730407714844,323.73512573242186,335.37239837646484,333.87993225097654,335.03469451904294,343.01523223876956
2022-09-08,44.45384667902391,P,325.6561279296875,321.2241577148437,322.2946502685547,334.3606155395508,334.17735778808594,334.70109375,343.0705895996094
2022-09-09,47.917498128065375,P,331.3587951660156,323.84661865234375,322.67844848632814,333.4519332885742,334.5344580078125,334.5551458740234,343.1450779724121
2022-09-12,50.91682063999895,P,333.8944702148437,326.9762145996093,323.57332153320306,332.3898300170898,334.9422717285156,334.4008639526367,343.17712860107423
2022-09-13,51.32900791657553,P,321.0879821777344,327.24456787109375,323.33948669433596,330.72193450927733,335.0738592529297,334.22185668945315,343.1147885131836
2022-09-14,50.69833668679005,P,321.4925231933594,326.69797973632814,323.4855102539062,329.2676467895508,335.19560791015624,333.874892578125,343.04056945800784
2022-09-15,48.20832890491945,C,312.721435546875,324.1110412597656,322.6675994873047,327.27465972900393,335.0553094482422,333.2701870727539,342.9117863464355
2022-09-16,44.155738185156586,B,310.9159240722656,320.0224670410156,321.9345428466797,325.3433364868164,334.8988305664063,332.79962677001953,342.74744873046876
2022-09-19,40.06127506985457,B,309.83062744140625,315.20969848632814,321.09295654296875,323.7903884887695,334.6983483886719,332.3609671020508,342.6003303527832
2022-09-20,38.37922241695549,B,309.080810546875,312.8082641601562,320.026416015625,322.42785797119143,334.50911376953127,331.9271237182617,342.4728457641602
2022-09-21,35.30059655325895,B,300.427978515625,308.59535522460936,317.64666748046875,320.69089660644534,334.13675903320313,331.30104858398437,342.2736054992676
2022-09-22,33.518637371563905,B,294.3701477050781,304.92509765625,314.5180694580078,318.40635986328124,333.61049194335936,330.76364044189455,342.0118019104004
2022-09-23,31.363163986827544,B,289.6540832519531,300.6727294921875,310.34759826660155,316.51302337646484,332.8411199951172,330.2406414794922,341.7441519165039
2022-09-26,29.250169794862035,B,286.2304992675781,295.95270385742185,305.581201171875,314.57726135253904,332.0340588378906,329.8718591308594,341.51975616455076
2022-09-27,26.116058953091283,B,282.6490173339844,290.6663452148438,301.7373046875,312.538395690918,330.9704736328125,329.4934671020508,341.2100556945801
2022-09-28,25.49920095158316,B,286.2995300292969,287.8406555175781,298.21800537109374,310.8517578125,329.96233642578125,329.146259765625,340.8854989624023
2022-09-29,25.36275383866821,B,282.93511962890625,285.55364990234375,295.2393737792969,308.95348663330077,328.7754235839844,328.81101989746094,340.52889221191407
2022-09-30,25.54862470460634,B,280.5376281738281,283.73035888671876,292.2015441894531,307.0680435180664,327.600546875,328.3379254150391,340.1602980041504
2022-10-03,26.76443437487548,B,286.5955505371094,283.803369140625,289.87803649902344,305.4854965209961,326.54031860351563,327.95565307617187,339.8233198547363
2022-10-04,30.015248436329916,B,297.2412414550781,286.72181396484376,288.69407958984374,304.36024780273436,325.7508203125,327.5898962402344,339.53726119995116
2022-10-05,32.919513584907875,B,300.1320495605469,289.4883178710937,288.66448669433595,303.1555770874023,324.97987060546876,327.2822076416016,339.2631510925293
2022-10-06,35.430907833760735,B,295.704833984375,292.0422607421875,288.79795532226564,301.6580123901367,323.9392297363281,326.96649871826173,338.96837890625
2022-10-07,37.57463583311169,B,291.4949951171875,294.2337341308594,288.98204650878904,299.6648223876953,322.78795043945314,326.56968078613284,338.6607608032227
2022-10-10,37.59191062234717,B,288.34259033203125,294.58314208984376,289.19325561523436,297.38722839355466,321.63775512695315,326.0206622314453,338.2802503967285
2022-10-11,35.214045354911676,C,282.6801147460937,291.67091674804686,289.1963653564453,295.46683502197266,320.40450073242187,325.49126678466797,337.8496168518066
2022-10-12,31.59603007591916,B,280.0415344238281,287.65281372070314,288.57056579589846,293.39428558349607,319.01744384765624,324.89539123535155,337.4131100463867
2022-10-13,30.3868146874441,B,290.49688720703125,286.61122436523436,289.3267425537109,292.2830581665039,317.8012127685547,324.35353271484377,337.045652923584
2022-10-14,29.092476307701258,B,285.2890319824219,285.3700317382812,289.8018829345703,291.00171356201173,316.4524102783203,323.68186920166016,336.6538786315918
2022-10-17,29.895392996225855,B,291.564208984375,286.01435546875,290.2987487792969,290.08839263916013,315.33467956542967,323.0729574584961,336.3217137145996
2022-10-18,32.258523007674015,B,296.8412475585937,288.84658203125,290.2587493896484,289.4764144897461,314.4333862304687,322.51593017578125,336.0042269897461
2022-10-19,35.07518104632498,C,294.2521667480469,291.68870849609374,289.67076110839844,289.16762390136716,313.34534240722655,321.94099182128906,335.6687777709961
2022-10-20,35.48869634156607,C,292.7895812988281,292.1472473144531,289.3792358398438,289.0885955810547,312.2832983398437,321.29212341308596,335.315145111084
2022-10-21,37.85875169979956,C,298.8078918457031,294.85101928710935,290.1105255126953,289.54628601074216,311.26880737304685,320.7552548217773,334.9787170410156
