Date,GRADE,GPS,COST,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2003-04-08,48.08065236841847,C,22.05419158935547,21.44709243774414,20.964236640930174,20.696618843078614,20.031835823059083,19.971663856506346,21.41287491798401
2003-04-09,48.12077752843407,C,21.772119522094727,21.554541015625,21.044822883605956,20.825894355773926,20.073472633361817,19.974484272003174,21.39480978012085
2003-04-10,48.26164971746092,A,22.69216537475586,21.864800643920898,21.27248306274414,20.953491115570067,20.138076858520506,19.986773872375487,21.381344871520994
2003-04-11,48.35966678599934,A,22.26236724853516,22.07701568603516,21.45514831542969,21.07302951812744,20.19556270599365,19.9973846244812,21.360694246292113
2003-04-14,48.3913565383583,A,22.66531181335449,22.28923110961914,21.704970932006837,21.168727588653564,20.25667526245117,20.009338550567627,21.34457674026489
2003-04-15,48.44846202138377,A,23.289857864379883,22.536364364624024,21.991728401184083,21.292630767822267,20.33887466430664,20.033380489349366,21.335913467407227
2003-04-16,48.52121830780582,A,22.87349319458008,22.756639099121095,22.155590057373047,21.392693996429443,20.410866317749022,20.047080364227295,21.328694162368773
2003-04-17,48.50429036504594,A,23.236143112182617,22.865434646606445,22.365117645263673,21.521298694610596,20.486753158569336,20.06440673828125,21.319426555633544
2003-04-18,48.54305326712643,A,23.236143112182617,23.06018981933594,22.568602752685546,21.634457206726076,20.56841552734375,20.079852752685547,21.311670026779176
2003-04-21,48.51427599615666,A,22.87349319458008,23.101826095581053,22.6955286026001,21.767427158355712,20.640675926208495,20.089657535552977,21.30226812362671
2003-04-22,48.38492744689663,A,22.71232032775879,22.986318588256836,22.76134147644043,21.8627890586853,20.710518646240235,20.09583595275879,21.300085554122926
2003-04-23,48.32897553814728,A,22.725744247436523,22.956768798828126,22.85670394897461,21.950763416290282,20.778749542236326,20.10651371002197,21.29729853630066
2003-04-24,48.24084653887817,A,22.53099632263184,22.81573944091797,22.84058704376221,22.056535053253178,20.8492639541626,20.12296703338623,21.29619041442871
2003-04-25,48.12209072736682,A,22.195215225219727,22.60755386352539,22.833871841430668,22.14451007843018,20.90473518371582,20.140494861602782,21.296089725494383
2003-04-28,48.16157257683174,A,23.148834228515625,22.6626220703125,22.88222408294678,22.29359750747681,20.97927879333496,20.173938789367675,21.30371196746826
2003-04-29,48.25049248292955,A,23.39731979370117,22.799621963500975,22.892970275878906,22.442349338531493,21.046435279846193,20.211009197235107,21.313449668884278
2003-04-30,48.29430076360584,A,23.242855072021484,22.903044128417967,22.92990646362305,22.542748260498048,21.116815185546876,20.252176113128662,21.31193859100342
2003-05-01,48.346268600691246,A,23.05481719970703,23.00780830383301,22.911773872375488,22.63844575881958,21.186120681762695,20.28420976638794,21.31277805328369
2003-05-02,48.45715982797967,A,23.383888244628903,23.245542907714842,22.926548385620116,22.747575569152833,21.250859642028807,20.32651840209961,21.31368469238281
2003-05-05,48.389040528934515,A,23.0078125,23.21733856201172,22.93998031616211,22.817754459381103,21.314792709350584,20.36399179458618,21.306969108581544
2003-05-06,48.351782420248064,A,23.417463302612305,23.221367263793944,23.01049461364746,22.885918045043944,21.379665985107422,20.41207582473755,21.306062507629395
2003-05-07,48.31615588508092,A,23.06153678894043,23.185103607177734,23.044073867797852,22.95038890838623,21.437957916259766,20.457876625061036,21.304282875061034
2003-05-08,48.34207649821597,A,23.471195220947266,23.26837921142578,23.13809375762939,22.989340400695802,21.49907054901123,20.50737096786499,21.310192708969115
2003-05-09,48.356547899059315,A,23.70623588562012,23.332848739624023,23.289195823669434,23.061533832550047,21.56327236175537,20.557201118469237,21.319997568130493
2003-05-12,48.48913052104573,A,24.31065559387207,23.593417358398437,23.40537796020508,23.14380102157593,21.63942810058594,20.61636610031128,21.33460412979126
2003-05-13,48.56045416839056,A,24.31065559387207,23.77205581665039,23.49671154022217,23.194840908050537,21.732104263305665,20.676538429260255,21.344610481262208
2003-05-14,48.654013181145054,A,24.11588859558105,23.982926177978516,23.58401489257812,23.256960678100587,21.82827247619629,20.73476308822632,21.349244298934938
2003-05-15,48.66263430124898,A,23.76667213439941,24.042021560668946,23.655200386047362,23.283487129211426,21.91745635986328,20.786742172241212,21.356799392700196
2003-05-16,48.634212075612574,A,23.853988647460938,24.07157211303711,23.702210426330566,23.31437940597534,22.003013877868653,20.841340484619142,21.363884439468382
2003-05-19,48.47222311497754,A,22.967506408691406,23.802942276000977,23.69817981719971,23.319080066680907,22.08145236968994,20.882843055725097,21.369122648239134
2003-05-20,48.3252726351997,A,22.92721939086914,23.52625503540039,23.64915542602539,23.329825019836427,22.1628458404541,20.92367406845093,21.374226541519164
2003-05-21,48.20949132741313,A,23.24956703186035,23.35299072265625,23.667958450317382,23.356016159057617,22.24410499572754,20.96772855758667,21.37365565299988
