Date,GRADE,GPS,CF,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2022-11-18,51.68144151394474,P,97.3542022705078,100.07673797607421,100.65336456298829,100.931148147583,98.43850616455079,95.67567100524903,92.73344940185547
2022-11-21,49.1931334384706,P,98.72795867919922,99.1179916381836,100.54440383911133,100.88528099060059,98.50915390014649,95.85006782531738,92.88789466857911
2022-11-22,50.367773384763986,P,105.36618041992188,99.65020294189452,100.68395690917968,101.00051231384278,98.69974319458008,96.10733711242676,93.07192363739014
2022-11-23,51.757922177751595,P,102.12873077392578,100.34380798339843,100.8815818786621,101.0672676086426,98.76931610107422,96.33185081481933,93.22932273864745
2022-11-24,54.02836844010732,P,102.12873077392578,101.14116058349609,100.71270217895508,101.0565113067627,98.87659194946289,96.54645118713378,93.37832023620605
2022-11-25,58.165367411175396,A,104.3478775024414,102.5398956298828,101.30831680297851,101.21747779846191,99.07667144775391,96.77018424987793,93.5522737121582
2022-11-28,58.78359749498639,A,100.29385375976562,102.85307464599609,100.98553314208985,101.14799194335937,99.1022738647461,96.95013618469238,93.70595706939697
2022-11-29,56.6762749139167,A,102.21517944335938,102.22287445068359,100.93653869628906,101.10088844299317,99.1502261352539,97.15816612243653,93.86658889770507
2022-11-30,57.281277797227915,A,103.93478393554688,102.5840850830078,101.46394653320313,101.36129531860351,99.28252258300782,97.38215293884278,94.03273345947265
2022-12-01,56.25218080223717,A,99.56373596191406,102.07108612060547,101.60612335205079,101.30410728454589,99.33065185546874,97.60904037475586,94.15765651702881
2022-12-02,53.54166872989566,A,100.28424072265624,101.25835876464843,101.89912719726563,101.27624588012695,99.54132385253907,97.80595832824707,94.28172027587891
2022-12-05,54.121631140008596,A,99.41004943847656,101.08159790039062,101.96733627319335,101.25587005615235,99.8001577758789,98.00290374755859,94.3933911895752
2022-12-06,52.22995725399858,P,97.5079116821289,100.14014434814453,101.18150939941407,100.93273315429687,99.91549499511719,98.14956314086913,94.49004543304443
2022-12-07,47.8265205778196,P,96.5664520263672,98.66647796630859,100.6252815246582,100.75343170166016,99.92894134521484,98.29939010620117,94.57088520050048
2022-12-08,45.81410515135597,P,96.20140075683594,97.99401092529297,100.03254852294921,100.37262535095215,99.99537338256836,98.4482354736328,94.63846038818359
2022-12-09,42.849961038476884,P,94.81803894042967,96.90077056884766,99.07956466674804,100.19394073486328,100.0496403503418,98.58801315307618,94.67942016601563
2022-12-12,39.165385308895964,P,94.82764434814452,95.98428955078126,98.53294372558594,99.75923843383788,100.02658798217773,98.67574722290038,94.69935291290284
2022-12-13,37.69349711725648,P,93.96304321289062,95.27531585693359,97.70773010253906,99.32213439941405,99.89514389038087,98.75369155883789,94.72640201568603
2022-12-14,34.66857065975063,P,89.34222412109375,93.83047027587891,96.24847412109375,98.85621032714843,99.7193212890625,98.74510757446289,94.73480892181396
2022-12-15,32.24216969555405,P,90.83126068115234,92.75644226074219,95.37522659301757,98.49067497253417,99.51241821289062,98.75789573669434,94.72735496520995
2022-12-16,30.91916990263603,P,91.33081817626952,92.05899810791016,94.47988433837891,98.18950576782225,99.3333055114746,98.76100028991699,94.72809474945069
2022-12-19,28.906838473312167,P,89.0732421875,90.90811767578126,93.44620361328126,97.70676994323729,99.07593154907227,98.75153755187988,94.72286293029785
2022-12-20,27.608923007712207,B,89.87059020996094,90.08962707519531,92.68247146606446,96.93199043273924,98.90531723022461,98.71449417114258,94.72195011138916
2022-12-21,29.517083178808367,B,89.85137176513672,90.1914566040039,92.0109634399414,96.3181224822998,98.7396775817871,98.68917358398437,94.75274356842041
2022-12-22,28.20312696958976,B,86.36415100097656,89.29803466796875,91.02723846435546,95.52989349365234,98.41855255126953,98.60867767333984,94.74687713623047
2022-12-23,27.078542295314218,B,87.17110443115234,88.46609191894531,90.26254501342774,94.67105484008788,98.28562271118165,98.52671936035156,94.73061576843261
2022-12-26,27.478040947603926,B,87.17110443115234,88.08566436767578,89.49689102172852,94.01491737365721,98.13661651611328,98.45057556152344,94.68558967590332
2022-12-27,25.86368599149814,B,84.15460968017578,86.94246826171874,88.51604766845703,93.11188888549803,97.9012518310547,98.31414604187012,94.63169921875
2022-12-28,22.616195695380892,B,82.94416046142578,85.56102600097657,87.87624130249023,92.06235771179198,97.63364013671875,98.16837623596192,94.55471618652344
2022-12-29,21.680943282704195,B,82.14682006835938,84.71755981445312,87.00779724121094,91.19151191711424,97.27812026977539,98.01406112670898,94.46040836334228
2022-12-30,19.372857199864693,B,81.84900665283203,83.65314025878907,86.05961608886719,90.26975021362304,96.86018478393555,97.83236602783204,94.34980194091797
2023-01-02,17.30923456733869,B,81.84900665283203,82.588720703125,85.33719253540039,89.39169807434082,96.50425888061524,97.66875709533691,94.26008068084717
2023-01-03,15.99850600009063,B,78.7268295288086,81.50316467285157,84.22281646728516,88.4526439666748,96.01756439208984,97.46818466186524,94.18009559631348
2023-01-04,15.552106220616645,B,79.16873931884766,80.74808044433594,83.15455322265625,87.58275833129882,95.5850666809082,97.26849075317382,94.09648166656494
2023-01-05,16.092626875103026,B,80.48484802246094,80.41568603515626,82.56662292480469,86.79693069458007,95.14788650512695,97.09372802734374,94.00971778869629
2023-01-06,17.829164699298495,B,81.0900650024414,80.26389770507812,81.9585189819336,86.11053199768067,94.74711685180664,96.91420433044433,93.94150138854981
2023-01-09,19.409285052833216,B,82.61753845214844,80.4176040649414,81.5031623840332,85.50002670288086,94.36579620361329,96.72947700500488,93.87166641235352
2023-01-10,21.246772285882376,B,79.73552703857422,80.61934356689453,81.06125411987304,84.78865089416504,93.8973617553711,96.48329803466797,93.78253238677979
2023-01-11,23.53258404186998,B,80.7442398071289,80.93444366455078,80.84126205444336,84.3587516784668,93.53771362304687,96.21419219970703,93.7002456665039
2023-01-12,25.171064533635192,B,82.91533660888672,81.42054138183593,80.9181137084961,83.96295547485352,93.18187042236327,95.91990768432618,93.61542896270753
2023-01-13,26.375391280012362,B,83.49175262451172,81.90087890625,81.08238830566407,83.57100219726563,92.83487609863282,95.62229652404785,93.51925437927247
2023-01-16,27.275195499450145,B,83.49175262451172,82.07572174072266,81.24666290283203,83.29192771911622,92.50835983276367,95.37262763977051,93.42858585357666
2023-01-17,29.19567263043453,C,82.61753845214844,82.6521240234375,81.63573379516602,82.92927513122558,92.08129760742187,95.18445526123047,93.32039806365967
2023-01-18,29.658770999578497,C,81.30142211914062,82.76356048583985,81.84900207519532,82.50177764892578,91.70427642822266,95.00742774963379,93.20947444915771
2023-01-19,29.711192503575962,C,82.03152465820312,82.58679809570313,82.00366973876953,82.2851463317871,91.2685563659668,94.84765350341797,93.10504943847656
2023-01-20,30.136728069486395,C,83.07865905761719,82.50417938232422,82.20252914428711,82.08052406311035,90.962294921875,94.6558627319336,93.00586009979249
2023-01-23,29.401760766023358,C,82.15640258789062,82.237109375,82.15641555786132,81.82978897094726,90.53498916625976,94.45484939575195,92.89436992645264
2023-01-24,29.077549973857426,B,81.59923553466797,82.0334487915039,82.3427864074707,81.70202026367187,90.11287139892578,94.28596755981445,92.79447624206543
2023-01-25,29.161846006895445,B,80.46564483642578,81.86629333496094,82.31492691040039,81.57809448242188,89.74897018432617,94.1113956451416,92.69299663543701
