Date,GRADE,GPS,INCY,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1994-05-30,,,2.65625,2.6375,2.628125,2.5265625,2.294375,2.4015625,
1994-05-31,,,2.625,2.64375,2.634375,2.5453125,2.296875,2.40625,
1994-06-01,,,2.59375,2.6375,2.634375,2.5609375,2.299375,2.4103125,
1994-06-02,,,2.59375,2.625,2.628125,2.578125,2.30125,2.415,
1994-06-03,,,2.5625,2.60625,2.615625,2.59375,2.30375,2.42,
1994-06-06,,,2.65625,2.60625,2.621875,2.6171875,2.309375,2.425625,
1994-06-07,,,2.65625,2.6125,2.628125,2.6203125,2.315,2.4309375,
1994-06-08,,,2.59375,2.6125,2.625,2.6234375,2.320625,2.434375,
1994-06-09,,,2.6875,2.63125,2.628125,2.6234375,2.330625,2.4384375,
1994-06-10,,,2.6875,2.65625,2.63125,2.6265625,2.340625,2.4425,
1994-06-13,,,2.65625,2.65625,2.63125,2.6296875,2.349375,2.445625,
1994-06-14,,,2.65625,2.65625,2.634375,2.634375,2.35875,2.4490625,
1994-06-15,,,2.59375,2.65625,2.634375,2.634375,2.366875,2.44875,
1994-06-16,,,2.53125,2.625,2.628125,2.628125,2.374375,2.4471875,
1994-06-17,,,2.71875,2.63125,2.64375,2.6296875,2.385625,2.4471875,
1994-06-20,,,2.71875,2.64375,2.65,2.6359375,2.398125,2.4465625,
1994-06-21,,,2.6875,2.65,2.653125,2.640625,2.4125,2.44625,
1994-06-22,,,2.71875,2.675,2.665625,2.6453125,2.429375,2.446875,
1994-06-23,,,2.78125,2.725,2.675,2.6515625,2.44375,2.448125,
1994-06-24,,,2.78125,2.7375,2.684375,2.6578125,2.46,2.450625,
1994-06-27,,,2.71875,2.7375,2.690625,2.6609375,2.475625,2.4521875,
1994-06-28,,,2.6875,2.7375,2.69375,2.6640625,2.491875,2.4540625,
1994-06-29,,,2.65625,2.725,2.7,2.6671875,2.510625,2.4528125,
1994-06-30,,,2.65625,2.7,2.7125,2.6703125,2.529375,2.45125,
1994-07-01,,,2.65625,2.675,2.70625,2.675,2.5475,2.4503125,
1994-07-04,,,2.65625,2.6625,2.7,2.675,2.56,2.44875,
1994-07-05,,,2.625,2.65,2.69375,2.6734375,2.57,2.4475,
1994-07-06,,,2.53125,2.625,2.675,2.6703125,2.578125,2.4453125,
1994-07-07,,,2.40625,2.575,2.6375,2.65625,2.583125,2.4421875,
1994-07-08,,,2.46875,2.5375,2.60625,2.6453125,2.588125,2.4403125,
1994-07-11,,,2.4375,2.49375,2.578125,2.634375,2.590625,2.438125,
1994-07-12,,,2.4375,2.45625,2.553125,2.6234375,2.594375,2.436875,
1994-07-13,,,2.4375,2.4375,2.53125,2.615625,2.5975,2.4359375,
1994-07-14,,,2.375,2.43125,2.503125,2.6078125,2.6,2.4346875,
