Date,GRADE,GPS,HAS,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2008-12-04,56.92452103519786,C,16.440969467163086,16.189812850952148,16.099593353271484,15.849959802627563,17.215607719421385,20.116256999969483,20.060374159812927
2008-12-05,57.13224315253486,C,16.9713191986084,16.316609954833986,16.306857681274415,15.853312540054322,17.12328193664551,20.057153549194336,20.068063383102416
2008-12-08,57.81998791300217,C,17.44072151184082,16.695782470703126,16.458648777008058,15.907262754440307,17.060442543029787,20.006598987579345,20.07759059906006
2008-12-09,58.194015199463884,C,17.111541748046875,16.898173141479493,16.574473762512206,15.958469915390015,16.982302093505858,19.944440879821776,20.08484308719635
2008-12-10,58.2769207679664,C,17.111541748046875,17.01521873474121,16.622023391723634,16.050215768814088,16.908399353027345,19.875717487335205,20.090658178329466
2008-12-11,58.23463297952958,C,16.6848087310791,17.063986587524415,16.62689971923828,16.04930109977722,16.844365463256835,19.80254606246948,20.096375861167907
2008-12-12,57.93614195981152,C,16.483646392822266,16.966452026367186,16.641530990600586,16.05234932899475,16.77642925262451,19.723990116119385,20.101297397613525
2008-12-15,57.626836511482445,C,16.648237228393555,16.807955169677733,16.75186882019043,16.120929956436157,16.725345306396484,19.660692272186278,20.108808579444887
2008-12-16,57.83236351186813,C,17.599214553833008,16.90548973083496,16.901831436157227,16.24315538406372,16.707930908203124,19.598833255767822,20.117271666526793
2008-12-17,58.116940849654334,C,17.65407943725586,17.013997268676757,17.014608001708986,16.421768951416016,16.67599510192871,19.53546459197998,20.126578040122986
2008-12-18,58.650386142998805,C,17.45290756225586,17.16761703491211,17.11580181121826,16.607697582244874,16.677084693908693,19.475593185424806,20.13293218135834
2008-12-19,59.28971400011533,C,17.782093048095703,17.427306365966796,17.196879196166993,16.751868438720702,16.669502639770506,19.418771476745604,20.142728915214537
2008-12-22,59.50627395934163,C,17.56264305114746,17.610187530517578,17.209071350097656,16.833860063552855,16.64542407989502,19.364053382873536,20.152176990509034
2008-12-23,59.35175110046429,C,17.6723690032959,17.624818420410158,17.265154075622558,16.919813919067384,16.635889625549318,19.297538089752198,20.159748191833497
2008-12-24,59.23511580764813,C,17.757709503173828,17.64554443359375,17.329770851135255,16.975897121429444,16.64598098754883,19.233329219818117,20.16756643295288
2008-12-25,59.04917856951882,C,17.757709503173828,17.706504821777344,17.437060928344728,17.031980323791505,16.63682159423828,19.17662685394287,20.173348426818848
2008-12-26,58.77523202937095,C,17.702842712402344,17.690654754638672,17.558980560302736,17.10025577545166,16.6262015914917,19.106662940979003,20.178856086730956
2008-12-29,58.600619013828236,C,17.251737594604492,17.628473663330077,17.619330596923827,17.185599708557127,16.621693954467773,19.033338298797606,20.1798623752594
2008-12-30,58.53242927628404,C,17.690654754638672,17.632130813598632,17.628474617004393,17.265153026580812,16.62196922302246,18.965734558105467,20.18201521873474
2008-12-31,58.53270608891961,A,17.782093048095703,17.63700752258301,17.64127597808838,17.327941989898683,16.65107276916504,18.904917430877685,20.18690103530884
2009-01-01,58.51599647051112,A,17.782093048095703,17.64188423156738,17.674194526672363,17.394998168945314,16.677754707336426,18.843252696990966,20.191367597579955
2009-01-02,58.650015483339594,A,18.044219970703125,17.710159683227538,17.700407218933105,17.44864320755005,16.72251319885254,18.783422298431397,20.197234649658203
2009-01-05,58.907266954900216,A,17.93450164794922,17.846712493896483,17.73759307861328,17.47333221435547,16.767014713287352,18.729759254455566,20.20336157798767
2009-01-06,59.00012022490473,A,17.849149703979492,17.878411483764648,17.75527114868164,17.5102126121521,16.779177227020263,18.682507038116455,20.204959354400636
2009-01-07,59.03376025462675,A,18.05032157897949,17.932057189941407,17.784532356262208,17.55715160369873,16.791125507354735,18.639022121429445,20.206724548339842
2009-01-08,58.94853152373019,A,17.617507934570312,17.89914016723633,17.770512199401857,17.603786563873292,16.798928623199462,18.59532564163208,20.204588871002198
2009-01-09,58.54844504330115,A,17.056673049926758,17.701630783081054,17.705895233154298,17.632437896728515,16.78539556503296,18.544204692840577,20.199050121307373
2009-01-12,58.05702681088956,B,16.58118438720703,17.430967330932617,17.63883991241455,17.62908525466919,16.786370944976806,18.492687511444093,20.191313600540163
2009-01-13,57.564229189296945,B,16.453163146972656,17.15177001953125,17.51509075164795,17.571782684326173,16.77113103866577,18.4412219619751,20.18449411392212
2009-01-14,56.884533145037125,B,16.136171340942383,16.768939971923828,17.350498580932616,17.495887279510498,16.751258068084717,18.38362024307251,20.177227544784547
2009-01-15,56.41696640962052,B,16.367816925048828,16.519001770019532,17.20907096862793,17.441632747650146,16.739797382354737,18.324460563659667,20.16806487083435
2009-01-16,56.21657135266673,B,16.392202377319336,16.386107635498046,17.04386920928955,17.372138214111327,16.729556140899657,18.26197296142578,20.161120262145996
2009-01-19,56.141424579718795,B,16.392202377319336,16.34831123352051,16.88963928222656,17.31361618041992,16.730165843963622,18.199485359191893,20.152019605636596
2009-01-20,55.98976881023125,B,15.752120971679688,16.208102798461915,16.679936408996582,17.217603778839113,16.723460292816164,18.126843681335448,20.14037733078003
2009-01-21,56.245135758332744,B,16.428783416748047,16.266625213623048,16.517782592773436,17.151157474517824,16.746503467559815,18.058970947265625,20.13098048210144
2009-01-22,56.21302298405613,B,15.965481758117676,16.186158180236816,16.352579975128172,17.061546087265015,16.73175106048584,17.993911180496216,20.11890775203705
