Date,GRADE,GPS,TPR,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2017-06-01,66.45837267423916,A,37.03828048706055,37.08643341064453,36.93799095153808,36.49587516784668,33.93689483642578,31.96799757003784,30.392005825042723
2017-06-02,65.76839472124597,A,36.90991973876953,37.033477020263675,36.99255485534668,36.629874801635744,34.04778511047363,32.05813423156738,30.424571952819825
2017-06-05,64.99986860143524,A,37.3592529296875,37.070387268066405,37.05835151672363,36.70409603118897,34.15257766723633,32.1527642250061,30.45907223701477
2017-06-06,64.74593787199929,A,37.31110000610352,37.1393928527832,37.09766807556152,36.75625095367432,34.24228477478027,32.2417437171936,30.494894170761107
2017-06-07,64.24778404712268,A,37.46305084228516,37.21632080078125,37.144156265258786,36.7863151550293,34.32732810974121,32.335264625549314,30.533077335357667
2017-06-08,63.90422693871189,A,37.576210021972656,37.32390670776367,37.2051700592041,36.83046264648438,34.4098201751709,32.431905059814454,30.571006059646606
2017-06-09,64.08258492150104,A,37.76211929321289,37.494346618652344,37.26391181945801,36.902360343933104,34.5018074798584,32.52873468399048,30.610801773071287
2017-06-12,63.918045933918684,A,37.479225158691406,37.518341064453125,37.29436416625977,36.95449657440186,34.59953109741211,32.62170154571533,30.649183015823365
2017-06-13,63.926011163768315,A,37.2933235168457,37.51478576660156,37.32708930969238,37.014187812805176,34.710547065734865,32.70239204406738,30.687845602035523
2017-06-14,64.02162180107906,A,37.4145622253418,37.50508804321289,37.36070442199707,37.089569854736325,34.82751834869385,32.78819150924683,30.724419231414796
2017-06-15,63.81232882370049,A,37.23675537109375,37.43719711303711,37.38055191040039,37.15927143096924,34.929700050354,32.87507568359375,30.763145952224733
2017-06-16,63.47825554203197,A,37.36606979370117,37.35798721313476,37.42616691589355,37.209360885620114,35.04104759216309,32.9657977104187,30.80578995704651
2017-06-19,63.594791822027794,A,37.62471008300781,37.38708419799805,37.45271263122559,37.25553207397461,35.157728385925296,33.05592529296875,30.847126388549803
2017-06-20,63.054075355380924,A,36.937686920166016,37.31595687866211,37.415371322631835,37.25651969909668,35.25360782623291,33.12828804016113,30.888810653686523
2017-06-21,62.979962738250755,A,37.62471008300781,37.35798645019531,37.4315372467041,37.28784675598145,35.361943855285645,33.20386308670044,30.93716131210327
2017-06-22,63.14196684834503,A,37.568138122558594,37.42426300048828,37.4307300567627,37.317950057983396,35.47572811126709,33.285393257141116,30.983652896881104
2017-06-23,63.30134968780797,A,37.7540283203125,37.501854705810544,37.42992095947265,37.346916389465335,35.593230171203615,33.37053182601929,31.034344577789305
2017-06-26,63.67391256540737,A,38.19857406616211,37.6166275024414,37.50185585021973,37.39811000823975,35.7197834777832,33.457014408111576,31.083712491989136
2017-06-27,64.93548393647136,A,38.08541488647461,37.84617309570312,37.581064987182614,37.4540771484375,35.84728332519531,33.54459203720093,31.132908687591552
2017-06-28,65.52126586543214,A,38.25514602661133,37.972260284423825,37.66512336730957,37.51291389465332,35.97994323730469,33.6291752243042,31.182204837799073
2017-06-29,65.69212041184872,A,37.875267028808594,38.03368606567383,37.72897453308106,37.55476322174072,36.09906761169434,33.709482498168946,31.22727660179138
2017-06-30,66.09726885292763,A,38.26324462890625,38.135529327392575,37.81869201660156,37.62242946624756,36.23670356750488,33.78937532424927,31.276573781967162
2017-07-03,65.92678412840593,A,38.25514602661133,38.14684371948242,37.88173561096191,37.66722412109375,36.37112850189209,33.868710079193114,31.32768256187439
2017-07-04,65.71002389396075,A,38.25514602661133,38.180789947509766,38.013481521606444,37.71442642211914,36.5012202835083,33.94828338623047,31.378476123809815
2017-07-05,65.22114617527814,A,38.06925582885742,38.143611907958984,38.057936096191405,37.744736671447754,36.63000175476074,34.02560012817383,31.427355060577394
2017-07-06,64.84058105829338,A,37.729774475097656,38.1145133972168,38.074099731445315,37.75241489410401,36.74557453155518,34.101032943725585,31.473315000534058
2017-07-07,64.67756801713271,A,38.538047790527344,38.169474029541014,38.1525016784668,37.79121131896973,36.88421314239502,34.18256053924561,31.521937112808228
2017-07-10,64.69840870996691,A,38.44913101196289,38.20827102661133,38.177557373046874,37.839706611633304,37.031504440307614,34.26319896697998,31.570193433761595
2017-07-11,63.70991374918813,A,37.99650573730469,38.15654296875,38.168666458129884,37.87486572265625,37.098972702026366,34.33573261260986,31.61528034210205
2017-07-12,63.197396861966126,A,38.028846740722656,38.148461151123044,38.146036529541014,37.90557994842529,37.17495109558106,34.40882820129394,31.661001806259154
2017-07-13,63.49100255289756,A,38.34405899047852,38.27131805419922,38.192915725708005,37.96094512939453,37.258838500976566,34.4904833984375,31.708614587783813
2017-07-14,63.27751273449471,A,38.78861999511719,38.321432495117186,38.2454532623291,38.03207263946533,37.35001235961914,34.5760276222229,31.75872597694397
2017-07-17,62.82205066164243,A,38.74819946289063,38.38124618530274,38.29475860595703,38.08824710845947,37.407479782104495,34.655680599212644,31.807965364456177
2017-07-18,63.31836832099367,A,38.59462738037109,38.50087051391601,38.32870674133301,38.17109413146973,37.45401229858398,34.73872821807861,31.85809196472168
2017-07-19,63.84816530894003,A,38.91793823242188,38.678688812255864,38.41357498168945,38.23575553894043,37.49513572692871,34.822623291015624,31.90873176574707
2017-07-20,63.79719015713524,A,38.861366271972656,38.78215026855469,38.52673416137695,38.30041694641113,37.538497848510744,34.90563455581665,31.96003442764282
2017-07-21,63.93572227725388,A,39.39480972290039,38.90338821411133,38.612410354614255,38.38245601654053,37.599910736083984,34.996843032836914,32.01569877624512
2017-07-24,64.25028858006637,A,39.24123764038086,39.00199584960937,38.69162101745606,38.43458919525146,37.656005477905275,35.086913433074955,32.074457015991214
2017-07-25,64.63750395372732,A,39.21699142456055,39.126468658447266,38.81366958618164,38.49116802215576,37.718355331420895,35.178331756591795,32.13175423622131
2017-07-26,64.22469215747996,A,38.70777893066406,39.0844367980957,38.88156280517578,38.5137996673584,37.7743724822998,35.25488483428955,32.1841016292572
2017-07-27,63.92091421117166,A,38.7724494934082,39.066653442382815,38.92440185546875,38.55865879058838,37.83296699523926,35.33384990692139,32.23645715713501
2017-07-28,63.492860645949314,A,39.35439300537109,39.058570098876956,38.98097915649414,38.61321620941162,37.892769241333006,35.41229557037354,32.29314100265503
2017-07-31,62.058261954011336,A,38.10157775878906,38.8306381225586,38.916316986083984,38.605537796020506,37.92077507019043,35.481101722717284,32.34178748130798
2017-08-01,60.961102679573514,A,38.62695693969727,38.71263122558594,38.9195499420166,38.624128341674805,37.95495552062988,35.55468011856079,32.39444009780884
2017-08-02,59.40514060532977,P,37.35797882080078,38.44267120361328,38.76355400085449,38.588564491271974,37.96215171813965,35.60842758178711,32.4404719543457
2017-08-03,57.78679499922894,P,37.30140686035156,38.14846267700195,38.60755805969238,38.567146110534665,37.96885841369629,35.66313390731811,32.487009086608886
2017-08-04,56.236981027077285,P,37.99650573730469,37.87688522338867,38.46772766113281,38.540069007873534,37.9852944946289,35.72422945022583,32.53623357772827
2017-08-07,56.672787489844076,P,38.44913101196289,37.94639587402344,38.38851699829102,38.540069007873534,38.01078308105469,35.79458532333374,32.58705130577087
2017-08-08,56.7305738190046,P,38.6592903137207,37.95286254882812,38.33274688720703,38.573208236694335,38.04464744567871,35.870814113616944,32.635806713104245
2017-08-09,58.39788082760015,P,38.60271835327149,38.20181045532227,38.32224082946777,38.601901817321775,38.07513359069824,35.94760040283203,32.68904741287231
2017-08-10,59.49629038466565,A,38.06117630004883,38.353764343261716,38.25111351013184,38.587757682800294,38.09559150695801,36.0162431716919,32.74025032043457
2017-08-11,60.34931846863797,A,38.43297958374024,38.44105911254883,38.15897216796875,38.56997566223144,38.126052703857425,36.086918907165526,32.79315465927124
2017-08-14,60.611377254847156,A,38.732032775878906,38.49763946533203,38.22201766967773,38.56916732788086,38.15350830078125,36.15304298400879,32.843889455795285
2017-08-15,55.14195626658333,P,32.847869873046875,37.33535537719727,37.6441089630127,38.28182945251465,38.064243698120116,36.1532642364502,32.86610976219177
2017-08-16,49.43657608848224,P,32.91252517700195,36.19731674194336,37.199563598632814,37.98155879974365,37.973233184814454,36.15028064727783,32.88739241600037
2017-08-17,44.60867502009626,P,33.13883209228516,35.21284790039063,36.78330612182617,37.695432090759276,37.8844856262207,36.1471529006958,32.90838794708252
2017-08-18,39.01894971209224,P,32.637718200683594,34.053795623779294,36.24742736816406,37.35757751464844,37.78199760437012,36.14190254211426,32.9258139705658
2017-08-21,33.425055348417224,B,33.049930572509766,32.91737518310547,35.70750732421875,37.04801216125488,37.69341171264649,36.146471405029295,32.941399841308595
2017-08-22,35.23497916675499,P,33.12267303466797,32.97233581542969,35.153845596313474,36.743296241760255,37.60999870300293,36.160272884368894,32.95947736740112
2017-08-23,36.846545887135385,P,33.09843063354492,33.009516906738284,34.60341682434082,36.4628288269043,37.52367607116699,36.17559720993042,32.97672434806824
2017-08-24,38.40609128828796,P,33.397483825683594,33.06124725341797,34.137047576904294,36.19408054351807,37.446890640258786,36.18829534530639,32.9940874004364
2017-08-25,41.1738095880242,P,33.850120544433594,33.30372772216797,33.678761672973636,35.91886692047119,37.37657165527344,36.20880962371826,33.0135954284668
2017-08-28,43.667220309921646,P,33.86627960205078,33.46699752807617,33.19218635559082,35.70710201263428,37.3014030456543,36.229565715789796,33.03259313583374
2017-08-29,45.427268483900974,P,33.712703704833984,33.58500366210937,33.27866973876953,35.46138935089111,37.23690338134766,36.245255603790284,33.04952259063721
2017-08-30,46.863095014302964,P,33.30049514770508,33.6254165649414,33.317466735839844,35.258515167236325,37.150419082641605,36.256181468963625,33.06478505134582
2017-08-31,48.30514364173894,P,33.704627990722656,33.68684539794922,33.374046325683594,35.07867622375488,37.07314888000488,36.274438495635984,33.08206817626953
2017-09-01,49.40372094117988,P,33.9228515625,33.7013916015625,33.502559661865234,34.87499351501465,36.996525344848635,36.294877758026125,33.100560655593874
2017-09-04,50.33975970358781,A,33.9228515625,33.71270599365234,33.589851760864256,34.6486795425415,36.91101089477539,36.3153971862793,33.12110222816467
2017-09-05,49.8066513296329,A,33.43789291381836,33.65774383544922,33.6213737487793,34.38760967254639,36.81806045532227,36.33267189025879,33.140913438797
2017-09-06,49.842791447895344,A,33.559139251708984,33.70947265625,33.6674446105957,34.13543071746826,36.724140319824215,36.352041778564455,33.16531092643738
2017-09-07,49.13533870796457,P,33.13376998901367,33.5953010559082,33.64107322692871,33.8890604019165,36.62931037902832,36.36418899536133,33.18801500320435
2017-09-08,47.982913821827765,P,32.94633483886719,33.39999771118164,33.55069465637207,33.614728164672854,36.52297218322754,36.37983787536621,33.20997895240784
2017-09-11,47.16932588215008,P,33.24785232543945,33.26499786376953,33.488851928710936,33.34051914215088,36.422826309204105,36.39697740554809,33.22852474212647
2017-09-12,48.096420282145935,P,33.638999938964844,33.30521926879883,33.48148155212402,33.38007564544678,36.330503387451174,36.41586183547974,33.247528877258304
2017-09-13,49.39870080929999,P,34.30721664428711,33.45483474731445,33.582153701782225,33.44981021881104,36.25526260375977,36.44263217926025,33.26709873199463
2017-09-14,50.80409776075308,P,33.924224853515625,33.61292572021485,33.60411338806152,33.48907985687256,36.17915161132812,36.46236307144165,33.28308371543884
2017-09-15,52.432140613575484,A,33.736793518066406,33.771017456054686,33.58550758361817,33.5440336227417,36.0831265258789,36.48366983413696,33.298370103836056
2017-09-18,53.148736083891045,A,32.97894287109375,33.71723556518555,33.49111671447754,33.540484237670896,35.973722763061524,36.50261360168457,33.311855239868166
2017-09-19,52.175638110205,A,32.88114547729492,33.56566467285156,33.435441970825195,33.52840785980224,35.871415557861326,36.48519412994385,33.324811639785764
2017-09-20,49.717301617584525,P,32.15589141845703,33.135399627685544,33.2951171875,33.48128089904785,35.753956451416016,36.46445377349853,33.335533390045164
2017-09-21,47.92764168932066,B,32.27812576293945,32.80617980957031,33.20955276489258,33.425312995910645,35.63263778686523,36.4457381439209,33.35235337257385
2017-09-22,46.57675198616505,B,32.5551872253418,32.56985855102539,33.17043800354004,33.36056632995606,35.50796913146973,36.42899074554443,33.37469378471374
2017-09-25,45.40069313522309,B,31.903270721435547,32.35472412109375,33.03597984313965,33.26241588592529,35.371070556640625,36.38927516937256,33.393933610916136
2017-09-26,44.891357273299754,B,32.335166931152344,32.24552841186524,32.905596542358396,33.19353904724121,35.24588134765625,36.34994682312012,33.413185844421385
2017-09-27,45.66853676547668,B,32.79151153564453,32.37265243530273,32.75402603149414,33.168089866638184,35.1233528137207,36.309244270324704,33.43535598754883
2017-09-28,46.13325243162401,B,32.69371032714844,32.45576934814453,32.63097457885742,33.11754398345947,34.99999969482422,36.26924877166748,33.46268316268921
