Date,GRADE,GPS,SYF,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2022-12-08,58.854026863567334,P,33.29587173461914,33.15857467651367,34.14925193786621,34.56783466339111,32.755637664794925,31.922294330596923,32.085708627700804
2022-12-09,58.7325270160506,P,33.47704315185547,33.12234268188477,33.96427459716797,34.32374095916748,32.89102291107178,31.94962818145752,32.078751707077025
2022-12-12,60.353479172682135,P,33.915645599365234,33.34736557006836,33.88322792053223,34.21981029510498,33.00353637695312,31.980030994415284,32.08577273368835
2022-12-13,61.65037170966915,P,33.744022369384766,33.49039001464844,33.70301856994629,34.194543266296385,33.078131217956546,32.01878358840943,32.09053263664246
2022-12-14,62.10517022657424,P,32.75238800048828,33.43699417114258,33.395040893554686,34.15449676513672,33.131567039489745,32.03981161117554,32.08500309944153
2022-12-15,61.79710112806308,P,32.02773666381836,33.18336715698242,33.17097091674805,34.06582202911377,33.175436401367186,32.0528405380249,32.07945126533508
2022-12-16,60.87519170786578,P,31.6654109954834,32.82104072570801,32.97169170379639,33.938054370880124,33.22437572479248,32.052298316955564,32.07391166687012
2022-12-19,58.09298458639345,P,30.87401390075684,32.21271438598633,32.78003997802735,33.75117015838623,33.25426582336426,32.041378803253174,32.06235739707947
2022-12-20,55.81934295895625,P,31.131460189819336,31.69020195007324,32.59029598236084,33.566669940948486,33.29101020812988,32.041750030517576,32.04900382995606
2022-12-21,55.07536243201307,B,31.732154846191406,31.486155319213868,32.461574745178225,33.39694871902466,33.332757568359376,32.036948623657224,32.0314986038208
2022-12-22,54.01816088672084,B,30.835872650146484,31.247782516479493,32.21557483673096,33.18241338729858,33.335925521850584,32.02545822143555,32.01054080963135
2022-12-23,53.75562660573885,B,31.226806640625,31.160061645507813,31.99055118560791,32.97741289138794,33.36510269165039,32.01655075073242,31.990882911682128
2022-12-26,54.48601657492362,B,31.226806640625,31.230620193481446,31.721667289733887,32.802447605133054,33.38006858825683,32.00262191772461,31.976883659362795
2022-12-27,54.56222743368492,B,31.045642852783203,31.21345672607422,31.45182933807373,32.57742395401001,33.383452911376956,31.991902809143067,31.956273212432862
2022-12-28,53.72172998833941,B,30.60703659057617,30.98843307495117,31.23729419708252,32.316167545318606,33.39701347351074,31.96012310028076,31.939362201690674
2022-12-29,54.7849206203529,B,31.312620162963867,31.083782577514647,31.16578254699707,32.168376731872556,33.425254096984865,31.931135768890382,31.92569851875305
2022-12-30,55.31124468748405,B,31.331689834594727,31.104759216308594,31.1324104309082,32.052051067352295,33.43776996612549,31.90205493927002,31.910867519378662
2023-01-02,55.929514708697866,B,31.331689834594727,31.12573585510254,31.17817802429199,31.979109001159667,33.4377799987793,31.87666898727417,31.899871320724486
2023-01-03,56.23091677553748,B,30.8835506439209,31.093317413330077,31.15338706970215,31.871841526031496,33.393204078674316,31.84414894104004,31.882378730773926
2023-01-04,57.683890134514904,B,31.560523986816406,31.284014892578124,31.136223983764648,31.798899364471435,33.36027294158936,31.826262168884277,31.873087882995605
2023-01-05,56.96474917199048,B,30.492618560791016,31.120014572143553,31.1018985748291,31.65873670578003,33.30560474395752,31.796085777282716,31.862759914398193
2023-01-06,56.862508111224095,B,31.27448081970215,31.10857276916504,31.106665992736815,31.548608589172364,33.246488342285154,31.783770656585695,31.854704484939575
2023-01-09,56.07801775521628,B,30.788198471069336,30.99987449645996,31.06280517578125,31.39223623275757,33.184129905700686,31.775403671264648,31.842300243377686
2023-01-10,56.59143839121915,B,31.312620162963867,31.085688400268555,31.089502906799318,31.270666122436523,33.125776290893555,31.76640691757202,31.833921041488647
2023-01-11,57.17646957347313,B,32.1898307800293,31.211549758911133,31.24778232574463,31.242538261413575,33.103274002075196,31.763055744171144,31.827589597702026
2023-01-12,58.909732296606855,C,32.0181999206543,31.51666603088379,31.318340301513672,31.242061424255372,33.09488311767578,31.75040895462036,31.82096121788025
2023-01-13,59.76950198516457,C,31.91332054138184,31.644433975219727,31.37650337219238,31.25445690155029,33.06532497406006,31.750735187530516,31.80917865753174
2023-01-16,61.24246649008271,C,31.91332054138184,31.869458389282226,31.434666442871094,31.306422233581543,33.01326454162598,31.75977771759033,31.79795729637146
2023-01-17,62.16300834547433,C,32.1040153503418,32.02773742675781,31.556712913513184,31.355049991607665,32.96711563110352,31.768548126220704,31.786052598953248
2023-01-18,61.493985713199066,C,31.6654109954834,31.922853469848633,31.567201614379883,31.351712799072267,32.93279010772705,31.774922065734863,31.769148921966554
2023-01-19,60.13482736388889,C,31.064716339111328,31.73215675354004,31.624411392211915,31.36315498352051,32.81551082611084,31.78192102432251,31.74816619873047
