Date,GRADE,GPS,GWW,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2000-11-20,34.41147941737713,A,24.07357788085937,24.174226379394533,23.503187942504884,21.86314115524292,19.356697959899904,20.10255178451538,24.430067110061646
2000-11-21,34.21660081674465,A,23.486417770385746,23.96452865600586,23.704500007629395,22.157138538360595,19.439250946044922,20.12448112487793,24.37879362106323
2000-11-22,34.110853449481674,A,23.360599517822266,23.847098541259765,23.78418674468994,22.45736207962036,19.52512870788574,20.15303876876831,24.32833827972412
2000-11-23,34.06205532290152,A,23.360599517822266,23.76322021484375,23.725471687316894,22.715863704681396,19.623522682189943,20.194048671722413,24.279950313568115
2000-11-24,33.935108912751254,A,23.821924209594727,23.620623779296874,23.834514236450197,22.905644607543945,19.733646507263185,20.23967182159424,24.241518592834474
2000-11-27,33.91504794042367,A,24.409093856811523,23.687726974487305,23.93097667694092,23.09766502380371,19.848838386535643,20.28203508377075,24.206022720336914
2000-11-28,33.92067094428833,A,24.157455444335938,23.821934509277344,23.8932315826416,23.239553928375244,19.964838523864746,20.320221614837646,24.17216314315796
2000-11-29,33.99911035324374,A,24.828489303588867,24.115512466430665,23.981305503845213,23.392047691345216,20.107610321044923,20.36968427658081,24.140418252944947
2000-11-30,34.06324543613045,A,24.5349063873291,24.350373840332033,24.05679702758789,23.5073823928833,20.2436759185791,20.40998498916626,24.111753911972045
2000-12-01,34.14721025560579,A,25.08012580871582,24.60201416015625,24.11131896972656,23.68562717437744,20.396486854553224,20.452832336425782,24.093878784179687
2000-12-04,34.237602072551105,A,25.6253604888916,24.845267486572265,24.266497230529787,23.884842586517333,20.56020248413086,20.495320930480958,24.07810956954956
2000-12-05,34.46204546593784,A,26.506092071533203,25.31499481201172,24.56846466064453,24.136482334136964,20.749876976013184,20.544541435241698,24.069018249511718
2000-12-06,34.52606608401694,A,25.83505630493164,25.516308212280272,24.81591033935547,24.300048542022704,20.917786521911623,20.587051582336425,24.059259490966795
2000-12-07,34.54280473600409,A,25.08012580871582,25.625352096557616,24.987862968444823,24.35666732788086,21.064756507873536,20.617446517944337,24.05337561607361
2000-12-08,34.50224801434193,A,24.996248245239254,25.608576583862305,25.105295372009277,24.469904804229735,21.21338653564453,20.647417812347413,24.044178018569948
2000-12-11,34.36821697390354,A,24.66073226928711,25.415650939941408,25.130459213256835,24.53071794509888,21.351133995056152,20.6790149307251,24.03371633529663
2000-12-12,34.12951386625344,A,24.828489303588867,25.08013038635254,25.197562599182127,24.545397090911866,21.497243309020995,20.71644033432007,24.029262018203735
2000-12-13,33.9692009680793,A,24.5349063873291,24.820100402832033,25.168204307556152,24.574754905700683,21.625798950195314,20.754250564575194,24.02706132888794
2000-12-14,33.82038448769985,A,23.65416717529297,24.53490867614746,25.08013038635254,24.568463706970213,21.740077514648437,20.780762958526612,24.011566820144655
2000-12-15,33.595605383107674,P,22.773441314697266,24.090347290039062,24.849461936950682,24.48039045333862,21.84007915496826,20.80178867340088,23.99435640335083
2000-12-18,33.37779667465053,P,22.102394104003903,23.578679656982423,24.497165298461915,24.38183126449585,21.922487907409668,20.811953125,23.976478462219237
2000-12-19,33.16080130133372,P,22.5637321472168,23.12572822570801,24.102929306030273,24.335696983337403,22.022467613220215,20.823825435638426,23.938785238265993
2000-12-20,32.92224231107118,P,21.97657012939453,22.614060974121095,23.717080688476564,24.266495513916016,22.117379722595214,20.831486473083498,23.893401041030884
2000-12-21,32.75367571922765,P,21.808813095092773,22.244990158081055,23.38994941711426,24.18890619277954,22.219784202575685,20.83954532623291,23.833739528656007
2000-12-22,32.73979541442065,P,22.521800994873047,22.19466209411621,23.142504692077637,24.12390003204346,22.329772872924806,20.84892292022705,23.779503536224365
2000-12-25,32.78349055822136,P,22.521800994873047,22.27854347229004,22.92861156463623,24.029535388946535,22.425576362609863,20.857470417022704,23.725887928009033
2000-12-26,32.81782589725982,P,22.437915802001957,22.25338020324707,22.68955421447754,23.943558406829833,22.545569381713868,20.86268850326538,23.666477451324464
2000-12-27,33.03247243888663,P,24.199403762817383,22.69794692993164,22.656003952026367,23.91210412979126,22.697454566955567,20.884276218414307,23.612566385269165
