Date,GRADE,GPS,LLY,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2004-11-18,28.199898351220607,C,30.97891998291016,31.029455947875977,30.983073043823243,30.395486259460448,32.23037208557129,33.68725044250488,36.31424283981323
2004-11-19,28.19076706813137,C,30.330772399902344,30.920697021484376,30.87221508026123,30.496980571746825,32.11813949584961,33.61412242889404,36.267431831359865
2004-11-22,28.18447603157941,B,30.83060646057129,30.805347061157228,30.84681816101074,30.661947345733644,32.020270347595215,33.54599275588989,36.22311999320984
2004-11-23,28.118985790083624,B,30.00670051574707,30.565862274169923,30.761955070495606,30.730863571166992,31.894897384643556,33.47553901672363,36.176146831512455
2004-11-24,28.08368037981,B,30.094593048095703,30.448318481445312,30.71636543273926,30.701832675933836,31.763749923706055,33.41003414154053,36.1309631729126
2004-11-25,28.004426253491868,B,30.094593048095703,30.27145309448242,30.6504545211792,30.677168083190917,31.63686004638672,33.34263011932373,36.085266494750975
2004-11-26,27.9997057338277,B,30.072622299194336,30.21982307434082,30.570260047912598,30.682244491577148,31.51356960296631,33.279781589508055,36.03994601249695
2004-11-29,27.917806450677777,B,29.83643913269043,30.020989608764648,30.413168334960936,30.668961334228516,31.39516212463379,33.208493576049804,35.994659671783445
2004-11-30,27.875408283210707,B,29.29265594482422,29.878180694580077,30.222021484375,30.629308795928956,31.269699630737303,33.13008544921875,35.945709400177
2004-12-01,27.884168700475595,B,29.9188289642334,29.843027877807618,30.145673179626463,30.579754257202147,31.170296897888182,33.06032667160034,35.898755865097044
2004-12-02,27.91214221310138,B,30.094593048095703,29.843027877807618,30.05724048614502,30.52015676498413,31.078994483947753,32.998620433807375,35.85049399375916
2004-12-03,27.911380876165115,B,29.93529319763184,29.815562057495118,30.01769256591797,30.444953823089598,30.982759475708008,32.93819721221924,35.800517616271975
2004-12-06,27.96326631243136,B,29.99022483825684,29.8463191986084,29.933654403686525,30.39023628234863,30.895919609069825,32.88250165939331,35.75216586112976
2004-12-07,28.038080140867866,B,29.473907470703125,29.88256950378418,29.880375099182128,30.321165084838867,30.808032188415527,32.82630960464478,35.703419828414916
2004-12-08,28.076805887348055,B,29.847412109375,29.8682861328125,29.855657005310057,30.286011219024658,30.72979839324951,32.77054246902466,35.655326204299925
2004-12-09,28.126561345196468,B,30.0341796875,29.856203460693358,29.84961566925049,30.250035095214844,30.674949378967284,32.7195733833313,35.60805836677551
2004-12-10,28.200334627227026,B,30.23189926147461,29.915524673461913,29.865543365478516,30.217901706695557,30.609317588806153,32.68159730911255,35.56086096763611
2004-12-13,28.297949093806622,C,30.78668594360352,30.07481689453125,29.960568046569826,30.18686819076538,30.553034706115724,32.652262172698975,35.51821972846985
2004-12-14,28.448247937742266,C,31.3084774017334,30.441730880737303,30.162150192260743,30.192085838317873,30.502275390625,32.62309818267822,35.48075263977051
2004-12-15,28.570287042379707,C,31.154685974121094,30.703185653686525,30.285735893249512,30.21570453643799,30.45433532714844,32.589032096862795,35.44618881225586
2004-12-16,28.705975568181717,C,31.528188705444336,31.00198745727539,30.429095458984374,30.2431679725647,30.434715690612794,32.55897218704224,35.41705677986145
2004-12-17,28.76676828594883,C,30.77016830444336,31.10964126586914,30.512582969665527,30.26513776779175,30.405175590515135,32.520897998809815,35.379382390975955
2004-12-20,28.74707905223232,C,30.37471580505371,31.02724723815918,30.551032066345215,30.24234323501587,30.368599395751954,32.47979187011719,35.343105983734134
2004-12-21,28.71189923360851,C,30.65484619140625,30.89652099609375,30.669125938415526,30.27475051879883,30.35782138824463,32.4432776260376,35.30555700302124
2004-12-22,28.727053577900673,C,31.099767684936523,30.885537338256835,30.79436149597168,30.325009250640868,30.36522113800049,32.40887933731079,35.27250081062317
2004-12-23,28.7392350776048,C,31.4512882232666,30.87015724182129,30.93607234954834,30.392844009399415,30.3825984954834,32.390151519775394,35.24122911453247
2004-12-24,28.817669705824514,C,31.4512882232666,31.006381225585937,31.05801124572754,30.46177730560303,30.385566024780275,32.37364858627319,35.2131706905365
2004-12-27,28.940469462029963,C,31.40735626220703,31.212909317016603,31.12007827758789,30.540323162078856,30.387109184265135,32.35958238601685,35.18670176506043
2004-12-28,29.03846995171008,C,31.54466819763184,31.39087371826172,31.143697357177736,30.652923774719245,30.40668155670166,32.34368762969971,35.162026462554934
2004-12-29,29.077471330366134,C,31.44578742980957,31.460077667236327,31.172807502746583,30.72927169799805,30.43410118103027,32.31646089553833,35.139719018936155
2004-12-30,29.103360147167816,C,31.583112716674805,31.48644256591797,31.17829990386963,30.803697681427007,30.491121673583983,32.29355476379394,35.12077136993408
2004-12-31,29.10917557093784,C,31.171165466308597,31.430418014526367,31.218399620056154,30.865491294860846,30.54852725982666,32.26920375823975,35.10111404418945
2005-01-03,29.08974608090874,C,30.89653968811035,31.32825469970703,31.270582008361817,30.91080703735352,30.61583263397217,32.23380994796753,35.07846354484558
2005-01-04,29.0171748997453,C,30.484569549560547,31.116234970092773,31.253554344177246,30.961340141296393,30.652956504821777,32.195715503692625,35.053213109970095
2005-01-05,28.943640255443082,C,30.80315589904785,30.98770866394043,31.22389316558838,31.009127330780036,30.655515403747557,32.15136432647705,35.02658536911011
2005-01-06,28.858393014122417,C,31.050317764282227,30.881149673461913,31.18379611968994,31.059934234619146,30.66476406097412,32.11063097000122,34.999303369522096
2005-01-07,28.777350527933958,B,30.90201568603516,30.827319717407228,31.128868865966798,31.093440055847175,30.68338249206543,32.06759569168091,34.96830962181091
2005-01-10,28.739235563049835,B,31.2755184173584,30.903115463256835,31.115685081481935,31.11788167953491,30.706850814819337,32.02884132385254,34.93796829223633
2005-01-11,28.745902687946046,B,31.32495880126953,31.071193313598634,31.0937141418457,31.11870574951172,30.73163585662842,31.98894397735596,34.90887331008911
2005-01-12,28.793571886030154,C,31.73691177368164,31.25794448852539,31.12282657623291,31.147817039489745,30.74817569732666,31.95436695098877,34.88016386032105
2005-01-13,28.771796695407406,C,30.989904403686523,31.24586181640625,31.063505744934083,31.120902824401856,30.74224292755127,31.917505168914794,34.84912348747253
2005-01-14,28.797554465378994,C,31.44578742980957,31.354616165161133,31.09096794128418,31.154683780670165,30.74237163543701,31.880890159606935,34.82036252975464
2005-01-17,28.810886934455734,C,31.44578742980957,31.388669967651367,31.145892715454103,31.20823736190796,30.749595870971678,31.85038827896118,34.79071053504944
2005-01-18,28.834033971775117,C,31.605100631713867,31.444698333740234,31.257945823669434,31.25575008392334,30.764591255187987,31.820115203857423,34.76150400161743
2005-01-19,28.796390860359427,C,31.3084774017334,31.359011459350587,31.30847797393799,31.266185569763184,30.779751014709472,31.7832732963562,34.72792511940003
2005-01-20,28.78524076185521,C,30.995399475097656,31.360110473632812,31.30298614501953,31.243391132354738,30.7845849609375,31.739534435272216,34.68605738639832
2005-01-21,28.679438041596274,C,30.385711669921875,31.148095321655273,31.251355743408205,31.1901123046875,30.774807853698732,31.688716335296633,34.642356386184694
2005-01-24,28.528821591699497,B,30.122058868408203,30.883349609375,31.136009788513185,31.12584743499756,30.749101905822755,31.635261707305908,34.59477179527283
2005-01-25,28.36112890921247,B,30.12754249572754,30.587837982177735,31.016268157958983,31.054991149902342,30.72757026672363,31.576294326782225,34.550319805145264
2005-01-26,28.271973007302666,B,30.484569549560547,30.423056411743165,30.891033935546876,31.00693025588989,30.72361541748047,31.52597354888916,34.504520874023434
2005-01-27,28.222776780759926,B,30.52302360534668,30.328581237792967,30.84434585571289,30.953925800323486,30.7144974899292,31.472434787750245,34.4572670841217
2005-01-28,28.165599378817888,B,29.42998504638672,30.137435913085938,30.642765617370607,30.866866779327392,30.696481742858886,31.40731061935425,34.406897192001345
2005-01-31,28.172658079315397,B,29.792490005493164,30.07152214050293,30.477435874938966,30.811664295196532,30.675719413757324,31.347994880676268,34.35779989242554
2005-02-01,28.208232510423958,B,30.0781192779541,30.061637496948244,30.324737739562988,30.79134178161621,30.677147789001467,31.28602258682251,34.308969583511356
2005-02-02,28.212915032472228,B,30.286827087402344,30.0220890045166,30.22257270812988,30.765525341033936,30.680992469787597,31.222371196746828,34.26153378486633
2005-02-03,28.205122167314553,B,30.13851547241211,29.945187377929688,30.13688430786133,30.71993522644043,30.681870918273926,31.159365482330323,34.21403147697449
2005-02-04,28.293225109593227,B,30.22640991210937,30.104472351074218,30.12095413208008,30.686154937744142,30.684946670532227,31.099258136749267,34.165861749649046
2005-02-07,28.37655342837256,B,30.616403579711918,30.269255065917967,30.170388603210448,30.653199195861816,30.700545959472656,31.047854042053224,34.11740068435669
2005-02-08,28.421489586910244,B,30.42964744567871,30.33956069946289,30.200599098205565,30.608433628082274,30.723285789489747,30.996492710113525,34.06614272117615
2005-02-09,28.420731438287092,B,30.0177059173584,30.2857364654541,30.15391273498535,30.522473335266113,30.725263328552245,30.947780113220215,34.012825050354
2005-02-10,28.44054600999067,B,30.10008811950684,30.27805099487305,30.111619186401366,30.47798252105713,30.72537322998047,30.90218385696411,33.957408075332644
2005-02-11,28.478310591931105,C,30.69744300842285,30.37225761413574,30.23836498260498,30.440565299987792,30.740616226196288,30.861687850952148,33.906895027160644
2005-02-14,28.48424710736687,C,30.64212989807129,30.37740287780762,30.323328971862793,30.400382423400877,30.753654327392578,30.8247869682312,33.85926465034485
2005-02-15,28.53106985113222,C,30.84678649902344,30.460830688476562,30.400195693969728,30.362466716766356,30.781111907958984,30.794572048187256,33.81408860206604
2005-02-16,28.61046684963753,C,30.658716201782227,30.58903274536133,30.437384605407715,30.329978656768798,30.79733798980713,30.76356819152832,33.767388877868655
2005-02-17,28.6798729256637,C,30.492786407470703,30.6675724029541,30.472811698913574,30.304848003387452,30.806510124206543,30.740729751586915,33.72108055114746
2005-02-18,28.655043799768478,C,30.19964408874512,30.568012619018553,30.470135116577147,30.295544624328613,30.805865020751952,30.707591304779054,33.671705617904664
2005-02-21,28.63214267948293,C,30.19964408874512,30.47951545715332,30.42845916748047,30.29942388534546,30.794124183654784,30.673579444885252,33.62482688903808
2005-02-22,28.571970808777163,B,30.17752456665039,30.34566307067871,30.403246879577637,30.3019229888916,30.771505126953127,30.636890258789062,33.578814353942875
2005-02-23,28.544728886965824,B,30.326873779296875,30.279294586181642,30.434163665771486,30.294038200378417,30.75494888305664,30.60464210510254,33.535420722961426
2005-02-24,28.53377224429032,B,30.48725891113281,30.27818908691406,30.47288074493408,30.292249965667725,30.73413028717041,30.584422988891603,33.49166229248047
2005-02-25,28.615588759710665,C,30.879961013793945,30.414252471923827,30.491132545471192,30.364748764038087,30.736326141357424,30.57075086593628,33.45076272010803
2005-02-28,28.715095280686583,C,30.9739990234375,30.569123458862304,30.524319458007813,30.4238242149353,30.7483118057251,30.558455600738526,33.41361636161804
