Date,GRADE,GPS,ROK,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1988-01-26,55.05515270842187,B,1.909747838973999,1.8676211833953857,1.89991854429245,1.9701296269893647,1.9754657673835754,2.2195584535598756,2.632115452289581
1988-01-27,55.07003012523972,B,1.895705819129944,1.8760465621948246,1.8999185442924502,1.9617042422294617,1.9706914186477662,2.2092795288562774,2.6264385372400283
1988-01-28,55.09822709778939,B,1.979958415031433,1.9013224601745606,1.9055353641510013,1.9539810001850129,1.9681637787818909,2.2002607679367063,2.620352442264557
1988-01-29,55.12889298531428,C,2.008044481277466,1.9350240707397461,1.9069395422935487,1.9476620614528657,1.9667595601081849,2.191662096977234,2.6147527968883515
1988-02-01,55.15568964285259,C,2.022085666656494,1.963108444213867,1.913960611820221,1.9420451819896698,1.9670403838157653,2.18236850976944,2.609223357439041
1988-02-02,55.178073341853974,C,2.050169944763184,1.9911928653717041,1.9294070243835453,1.9371304094791413,1.9676020693778993,2.1732165575027467,2.6038343393802643
1988-02-03,55.20016779655035,C,2.022085666656494,2.0164688348770143,1.9462576985359195,1.9357261955738068,1.9690062832832336,2.1642014312744142,2.5980972921848298
1988-02-04,55.21294403331726,C,2.050169944763184,2.0305111408233643,1.9659168004989627,1.9350240170955657,1.9709721827507019,2.156302454471588,2.5920854461193086
1988-02-05,55.22604206405554,C,2.064213514328003,2.0417449474334717,1.9883845090866092,1.9455557465553284,1.9720955634117125,2.1475693678855894,2.586143817901611
1988-02-08,55.22367615231497,C,1.979958415031433,2.0333194971084594,1.9982139706611632,1.948364156484604,1.9749040031433105,2.138829048871994,2.5796425133943557
1988-02-09,55.219955128060015,C,2.022085666656494,2.0277026414871218,2.009447753429413,1.9546831488609313,1.9782741379737854,2.1292570602893828,2.5732826441526413
1988-02-10,55.217830504732426,C,2.022085666656494,2.0277026414871218,2.022085738182068,1.961002141237259,1.9810825753211976,2.120659571886063,2.5671995812654496
1988-02-11,55.20492850553978,C,1.979958415031433,2.0136603355407714,2.022085738182068,1.9638105511665345,1.9833293271064758,2.112058479785919,2.5610442900657655
1988-02-12,55.19251237809673,C,2.036128044128418,2.0080432415008547,2.024894094467163,1.965916818380356,1.9869803094863892,2.1038798570632933,2.5551006412506103
1988-02-15,55.197457803392666,C,2.036128044128418,2.0192771673202516,2.0262983322143553,1.9701294720172882,1.9897887539863586,2.095701234340668,2.549156992435455
1988-02-16,55.20247646405617,C,2.050169944763184,2.0248940229415897,2.0262983322143553,1.9778526782989503,1.9940014243125916,2.0883591175079346,2.5432835531234743
1988-02-17,55.20602214633647,C,2.050169944763184,2.0305108785629273,2.0291067600250243,1.987682229280472,1.997652406692505,2.0810170006752013,2.5375485157966615
1988-02-18,55.212687808264405,C,1.9940026998519895,2.0333197355270385,2.023490035533905,1.9947034180164338,2.0004608821868897,2.0739485323429108,2.5311866396665574
1988-02-19,55.22651419006249,C,2.064213514328003,2.0389368295669557,2.023490035533905,2.005937272310257,2.0043927359580995,2.068556705713272,2.5261446529626848
1988-02-22,55.24245204321269,C,2.1203818321228027,2.0557875871658324,2.037532377243042,2.0178731739521027,2.006077811717987,2.0630304729938507,2.521245109438896
1988-02-23,55.25106236000139,C,2.0922977924346924,2.0642131567001343,2.044553589820862,2.0270006716251374,2.0072012066841127,2.057919489145279,2.5169663685560226
1988-02-24,55.248968755227146,C,2.036128044128418,2.0614047765731813,2.045957827568054,2.034021782875061,2.0072012066841127,2.0519683921337126,2.5125451892614366
1988-02-25,55.256818450465325,C,2.036128044128418,2.0698298454284667,2.0515747904777526,2.03683026432991,2.0077628779411314,2.04643493771553,2.5079164046049116
1988-02-26,55.25209986027999,C,2.064213514328003,2.0698298454284667,2.054383337497711,2.039638715982437,2.008043749332428,2.0415999805927276,2.504050868153572
1988-02-29,55.2426042032202,C,2.0922977924346924,2.0642130374908447,2.060000312328339,2.043149322271347,2.009447991847992,2.036488996744156,2.5003257530927656
1988-03-01,55.232912836855064,C,2.064213514328003,2.0585961818695067,2.0614046692848205,2.043851500749588,2.0108522081375124,2.03095795750618,2.4963218158483507
1988-03-02,55.23130417920262,C,2.036128044128418,2.0585961818695067,2.060000479221344,2.0445536196231844,2.0111330556869507,2.025842145681381,2.492177451252937
1988-03-03,55.22575969440991,C,2.022085666656494,2.055787706375122,2.0628087759017943,2.0431494057178496,2.0102904987335206,2.0208643567562103,2.4879628747701643
1988-03-04,55.22406740416548,C,2.050169944763184,2.052978992462158,2.0614044189453127,2.042447227239609,2.010009627342224,2.0186733543872832,2.4838195174932483
1988-03-07,55.24079530168617,C,2.1203818321228027,2.05859580039978,2.0614044189453127,2.0494683980941777,2.010852155685425,2.023310110569,2.4802348226308824
1988-03-08,55.25889726767547,C,2.1203818321228027,2.0698294639587402,2.0642128229141234,2.054383206367493,2.0116946840286256,2.0241879558563234,2.477065345644951
1988-03-09,55.275950495222354,C,2.1063404083251958,2.083871936798096,2.0712340593338014,2.058595943450928,2.0125372219085693,2.023393974304199,2.4735488516092303
1988-03-10,55.29585212909507,A,2.1203818321228027,2.1035311698913572,2.07965943813324,2.0656171143054967,2.012256393432617,2.023297278881073,2.4693413358926777
1988-03-11,55.30911454641676,A,2.13442325592041,2.1203818321228027,2.0866804122924805,2.0705318748950963,2.012256393432617,2.0225056791305542,2.465204027295113
1988-03-14,55.305816107134696,A,2.176551103591919,2.131615686416626,2.095105743408203,2.0775530278682712,2.0130989503860475,2.0233883333206175,2.460862131714821
1988-03-15,55.31418112496842,A,2.2186782360076904,2.1512749671936033,2.110552215576172,2.0859784424304966,2.014503207206726,2.0252491426467896,2.4569384819269184
1988-03-16,55.33424990150251,A,2.2467617988586426,2.179359245300293,2.1316155910491945,2.0958080351352693,2.018435044288635,2.027669222354889,2.453639674782753
1988-03-17,55.355997239956984,A,2.260804414749145,2.2074437618255613,2.1554874658584593,2.1091481208801275,2.022366862297058,2.0299512934684754,2.4504110807180406
1988-03-18,55.37684712827285,A,2.2467617988586426,2.229911470413208,2.1751466512680055,2.118275535106659,2.030230519771576,2.0313968420028687,2.4466970545053486
1988-03-21,55.388717369123974,A,2.260804414749145,2.2467621326446534,2.18918890953064,2.1252966642379763,2.03697080373764,2.0325651597976684,2.4430532413721084
1988-03-22,55.41496810447574,A,2.415267944335937,2.286080074310303,2.218677520751953,2.141445171833038,2.0473620462417603,2.034442799091339,2.4401125401258468
1988-03-23,55.421972853482224,A,2.3450584411621094,2.305739402770996,2.2425493240356444,2.1568916916847227,2.0563490986824036,2.036175215244293,2.437028407454491
1988-03-24,55.41020384982101,A,2.260804414749145,2.305739402770996,2.2565915822982787,2.1681255102157593,2.063089382648468,2.0369258737564087,2.4334537953138353
1988-03-25,55.38988837495962,A,2.2046351432800293,2.2973140716552733,2.2636127710342406,2.1751465916633608,2.0673020315170287,2.0375324988365175,2.428975518345833
1988-03-28,55.38222338888796,A,2.260804414749145,2.297314071655273,2.2720381021499634,2.183571922779083,2.0734806203842164,2.039217565059662,2.4244320648908615
1988-03-29,55.344806361455376,A,2.2467617988586426,2.263612842559814,2.2748464584350585,2.192699337005615,2.08050173997879,2.041043047904968,2.4205104297399522
1988-03-30,55.31795444032171,A,2.2327206134796143,2.241145277023315,2.273442339897156,2.2025289654731752,2.0880845737457276,2.0424472761154173,2.4165185886621474
1988-03-31,55.30753903903675,A,2.2186782360076904,2.2327200412750243,2.2692297220230104,2.212358593940735,2.0953865599632264,2.0430089735984804,2.4124565356969834
1988-04-01,55.31236417460855,A,2.2186782360076904,2.235528659820557,2.266421365737915,2.2207840085029598,2.102969396114349,2.043851523399353,2.4083252757787705
1988-04-04,55.29450054734577,P,2.162508487701416,2.2158694744110106,2.256591773033142,2.2228903412818903,2.10858628988266,2.04399195432663,2.4037055641412737
1988-04-05,55.2914323881186,P,2.2327206134796143,2.213061237335205,2.2383370399475098,2.228507280349731,2.1150457453727722,2.045255756378174,2.399921332001686
1988-04-06,55.28798372736727,P,2.2186782360076904,2.2102527618408203,2.225699019432068,2.234124171733856,2.1215051937103273,2.0460983061790468,2.395997682213783
1988-04-07,55.287893391683674,P,2.2327206134796143,2.213061237335205,2.2228906393051147,2.2397411108016962,2.1265604376792906,2.047362108230591,2.3920750457048414
1988-04-08,55.293139281171584,P,2.2748477458953857,2.224295139312744,2.2299118995666505,2.246762335300445,2.131896502971649,2.049328031539917,2.3883630448579787
1988-04-11,55.31022967582056,A,2.2467617988586426,2.2411458015441896,2.2285076379776,2.2502728700637813,2.1363900256156922,2.0517152047157285,2.384579812884331
1988-04-12,55.31124404616418,A,2.2327206134796143,2.2411458015441896,2.227103519439697,2.2509749889373776,2.1400410389900206,2.05382155418396,2.3803803616762162
1988-04-13,55.31552636308393,A,2.2467617988586426,2.24676251411438,2.2285076379776,2.2509749889373776,2.144534561634064,2.0567704224586487,2.3762511163949966
1988-04-14,55.28058248954698,P,2.036128044128418,2.2074440002441404,2.210252618789673,2.239741170406341,2.1442537236213686,2.057612953186035,2.3710687023401262
1988-04-15,55.23860621866471,P,2.064213514328003,2.165317153930664,2.194806146621704,2.2306137561798094,2.1442537236213686,2.0581746435165407,2.3658191102743147
1988-04-18,55.20433674515561,P,2.036128044128418,2.123190402984619,2.1821681022644044,2.2193799376487733,2.145377116203308,2.060140559673309,2.360775099396706
1988-04-19,55.17070556511262,P,2.036128044128418,2.0838718891143797,2.1625088453292847,2.200422942638397,2.1456579637527464,2.061966050863266,2.3556618851423266
1988-04-20,55.14143912790741,P,2.078255414962769,2.0501706123352053,2.1484665632247926,2.18708279132843,2.146781358718872,2.063931967020035,2.3508977180719377
1988-04-21,55.15287397097608,P,2.036128044128418,2.0501706123352053,2.128807306289673,2.175848972797394,2.147904751300812,2.065617039203644,2.3456461042165757
1988-04-22,55.178653944221224,P,2.148465394973755,2.0670209884643556,2.11616907119751,2.17304048538208,2.1501514983177183,2.0685659039020536,2.340817771553993
1988-04-25,55.199695691319846,P,2.13442325592041,2.086680030822754,2.1049352169036863,2.166721427440643,2.1521174025535585,2.0709530782699583,2.336265236735344
1988-04-26,55.22837135194455,P,2.1203818321228027,2.1035307884216308,2.0937013387680055,2.1604024291038515,2.1535216403007507,2.073761532306671,2.3319885116815566
1988-04-27,55.24688726954162,P,2.1203818321228027,2.111956071853638,2.0810633420944216,2.154785490036011,2.154925878047943,2.076289142370224,2.3280578047037124
1988-04-28,55.26952802641895,P,2.1063404083251958,2.1259985446929934,2.088084578514099,2.149168598651886,2.1571726322174074,2.0788167572021483,2.3242645019292834
1988-04-29,55.25987245261772,P,2.050169944763184,2.106339454650879,2.086680221557617,2.1407431840896605,2.156891760826111,2.080642248392105,2.3203287476301195
1988-05-02,55.249611505798015,P,2.050169944763184,2.0894887924194334,2.088084411621094,2.1351262569427494,2.1554875230789183,2.0807826673984526,2.315908568501473
1988-05-03,55.23934237163373,P,2.064213514328003,2.078255128860474,2.090892958641052,2.126700901985169,2.154925837516785,2.0810635221004485,2.31107419192791
1988-05-04,55.23008014115908,P,2.064213514328003,2.0670214653015138,2.0894887685775756,2.1189776659011845,2.155487546920776,2.0813443768024444,2.3060322052240374
1988-05-05,55.209245648163346,B,2.036128044128418,2.052978992462158,2.0894887685775756,2.1091480374336244,2.155487546920776,2.081625212430954,2.300988194346428
1988-05-06,55.2115411986152,B,2.0922977924346924,2.06140456199646,2.0838720083236693,2.1000205397605898,2.15604923248291,2.0820464909076692,2.2965710490942004
1988-05-09,55.21778067767039,P,2.1063404083251958,2.072638654708862,2.081063723564148,2.0929994702339174,2.1563300848007203,2.082889038324356,2.2918088966608052
1988-05-10,55.22570245449609,P,2.112578868865967,2.082311725616455,2.0802834272384643,2.0869923830032353,2.1572973918914795,2.0840748000144957,2.2869395369291308
1988-05-11,55.23144134575936,P,2.098400115966797,2.0891490459442137,2.078085255622864,2.0795742988586428,2.158542833328247,2.084837944507599,2.2819300848245625
1988-05-12,55.23956750560125,P,2.055863857269287,2.093096208572388,2.073037600517273,2.0805610895156863,2.159218397140503,2.0847544479370117,2.2766387444734577
1988-05-13,55.24211565948472,P,2.070042371749878,2.0886451244354247,2.0750248432159424,2.08085253238678,2.159615845680237,2.0848127365112306,2.2716259020566945
1988-05-16,55.247007980299834,A,2.112578868865967,2.0898928165435793,2.0812657356262205,2.0846750736236577,2.1594597864151,2.0851559710502623,2.2665489286184313
1988-05-17,55.245919666132146,A,2.098400115966797,2.0870570659637453,2.0846843957901,2.0877886772155767,2.15902015209198,2.085357418060303,2.2610307329893113
1988-05-18,55.243345627639705,C,2.070042371749878,2.0813855171203612,2.0852672815322877,2.087378025054932,2.158294191360474,2.0854157066345214,2.255509979128838
1988-05-19,55.24825425594194,C,2.098400115966797,2.089892768859863,2.0914944887161253,2.090491628646851,2.1578545570373535,2.0850554752349852,2.250270232558251
1988-05-20,55.24659310941214,C,2.098400115966797,2.0955643177032472,2.0921047210693358,2.087988364696503,2.1571340942382813,2.084695243835449,2.2451697021722796
1988-05-23,55.2279963374062,B,2.0416855812072754,2.0813856601715086,2.085639238357544,2.083351480960846,2.1544367837905884,2.083767867088318,2.239715992808342
1988-05-24,55.22330780080434,B,2.098400115966797,2.0813856601715086,2.084221363067627,2.082252395153046,2.1520312213897705,2.0832672142982482,2.234824286103249
1988-05-25,55.230328855865515,C,2.1267573833465576,2.0927286624908445,2.087057089805603,2.0825711727142338,2.149631133079529,2.084033088684082,2.230143976807595
1988-05-26,55.22849226839751,C,2.1267573833465576,2.098400115966797,2.0941464424133303,2.083592021465302,2.146950192451477,2.0846585273742675,2.2251156264543535
1988-05-27,55.235774334217304,C,2.112578868865967,2.101235866546631,2.098400092124939,2.0867124676704405,2.1442665338516234,2.0872485268116,2.220434035658837
1988-05-30,55.256143021535536,C,2.112578868865967,2.115414524078369,2.098400092124939,2.08983291387558,2.14130202293396,2.0891364133358,2.216030885577202
1988-05-31,55.271815829996775,C,2.183469533920288,2.1324284076690674,2.106907033920288,2.095795714855194,2.136666054725647,2.0920140504837037,2.2116341370344164
