Date,GRADE,GPS,TDY,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2000-09-05,56.19174510709272,A,21.9375,21.4,20.53125,20.10625,18.98375,17.30625,14.015
2000-09-06,56.232289386838886,A,21.3125,21.65,20.7125,20.209375,19.035,17.348125,14.0734375
2000-09-07,56.48532206810745,A,23.125,22.25,21.00625,20.403125,19.115,17.40875,14.1421875
2000-09-08,56.63744206281655,A,25.9375,22.95,21.6375,20.725,19.25625,17.4975,14.2246875
2000-09-11,56.981629365768214,A,27.75,24.0125,22.5125,21.134375,19.4375,17.596875,14.3171875
2000-09-12,57.64871196937833,A,30.125,25.65,23.525,21.678125,19.66625,17.70625,14.423125
2000-09-13,58.298660325332634,A,28.5,27.0875,24.36875,22.115625,19.88625,17.795,14.520625
2000-09-14,58.80269863090815,A,28.875,28.2375,25.24375,22.5375,20.1275,17.9025,14.623125
2000-09-15,58.97812700210773,A,28.875,28.825,25.8875,22.975,20.36375,18.01625,14.7271875
2000-09-18,58.63719437024964,A,26.0625,28.4875,26.25,23.28125,20.5425,18.09625,14.8178125
2000-09-19,57.86387844845527,A,24.4375,27.35,26.5,23.515625,20.68625,18.159375,14.9003125
2000-09-20,57.43458915881127,A,25.875,26.825,26.95625,23.834375,20.85375,18.238125,14.989375
2000-09-21,57.057649256618504,A,27.1875,26.4875,27.3625,24.184375,21.04625,18.32875,15.08375
2000-09-22,56.56816096135915,A,25.5625,25.825,27.325,24.48125,21.21,18.3975,15.1696875
2000-09-25,56.5283624231354,A,26.1875,25.85,27.16875,24.840625,21.3875,18.47625,15.2584375
2000-09-26,56.81551218177187,A,27.625,26.4875,26.91875,25.221875,21.58125,18.56375,15.3546875
2000-09-27,56.92765482987443,A,27.75,26.8625,26.84375,25.60625,21.78375,18.665,15.4496875
2000-09-28,56.98128921283422,A,28.5,27.125,26.80625,26.025,21.975,18.773125,15.5478125
2000-09-29,57.32251975116615,A,29.125,27.8375,26.83125,26.359375,22.17875,18.889375,15.6490625
2000-10-02,57.21801697314513,A,25.3125,27.6625,26.75625,26.503125,22.30625,18.97875,15.730625
2000-10-03,56.92259571009833,A,24.5,27.0375,26.7625,26.63125,22.4175,19.06375,15.8071875
2000-10-04,56.60553217465415,P,24.9375,26.475,26.66875,26.8125,22.485,19.16125,15.885
2000-10-05,56.18751251745599,P,24.375,25.65,26.3875,26.875,22.575,19.2625,15.960625
2000-10-06,55.57686241190305,P,23.4375,24.5125,26.175,26.75,22.64375,19.358125,16.030625
2000-10-09,55.373253229587135,P,23.4375,24.1375,25.9,26.534375,22.7175,19.46125,16.1009375
2000-10-10,55.201087418837794,P,23.1875,23.875,25.45625,26.1875,22.805,19.5625,16.17125
2000-10-11,54.85867394542646,P,21.25,23.1375,24.80625,25.825,22.845,19.66,16.23
2000-10-12,54.58680744278133,P,21.1875,22.5,24.075,25.440625,22.90375,19.743125,16.2896875
2000-10-13,54.72412840784157,P,23.625,22.5375,23.525,25.178125,23.07125,19.8525,16.36
2000-10-16,54.832844281815376,P,23.25,22.5,23.31875,25.0375,23.20125,19.958125,16.4275
2000-10-17,54.88675729766138,P,22.25,22.3125,23.09375,24.928125,23.31375,20.020625,16.491875
2000-10-18,55.14653391619731,P,22.6875,22.6,22.86875,24.76875,23.3825,20.089375,16.5584375
2000-10-19,55.66308677164858,P,25.0,23.3625,22.93125,24.659375,23.4975,20.190625,16.6371875
2000-10-20,56.11162682840944,P,27.5,24.1375,23.3375,24.75625,23.6575,20.320625,16.726875
