Date,GRADE,GPS,CPB,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1999-02-04,38.4749706378779,B,20.808074951171875,21.606769943237303,21.714861488342287,21.815449237823486,24.747039642333984,25.54730890274048,25.448595657348633
1999-02-05,36.11592406704043,B,20.83810806274414,21.26447296142578,21.669823265075685,21.602264404296875,24.606389427185057,25.51258674621582,25.429339399337767
1999-02-08,34.57389590209767,B,20.3576774597168,20.89815406799317,21.5166898727417,21.53020133972168,24.466896362304688,25.475741539001465,25.40649401664734
1999-02-09,33.580895626992266,B,19.757164001464844,20.57987747192383,21.372565078735352,21.44012269973755,24.31419692993164,25.427230796813966,25.380646066665648
1999-02-10,33.026113310725414,B,20.11748313903809,20.37570152282715,21.168389129638673,21.35154628753662,24.172890625,25.375173091888428,25.353187084197998
1999-02-11,32.96329212697625,B,19.907289505004883,20.19554443359375,20.901157188415528,21.24345178604126,24.03037052154541,25.334121894836425,25.325270614624024
1999-02-12,32.017310210350125,B,19.33679962158203,19.895282745361328,20.579877853393555,21.12635040283203,23.86447929382324,25.288855381011963,25.292721214294435
1999-02-15,31.040172260358034,B,19.33679962158203,19.691107177734374,20.29463062286377,21.009249019622803,23.70397071838379,25.231374282836914,25.261803913116456
1999-02-16,31.193426855141677,B,19.546979904174805,19.64907035827637,20.1144739151001,20.923674869537354,23.549460029602052,25.174207363128662,25.23297616004944
1999-02-17,31.839897472607163,B,19.81721305847168,19.589016342163085,19.982358932495117,20.866625595092774,23.40154998779297,25.133149242401124,25.20446092605591
1999-02-18,33.057173454465804,B,20.057416915893555,19.61904182434082,19.907293128967286,20.811077308654784,23.269807624816895,25.094493160247804,25.174476003646852
1999-02-19,35.00865532749865,B,19.997364044189453,19.751154708862305,19.823218727111815,20.74652099609375,23.136266288757323,25.043915519714357,25.14730664253235
1999-02-22,37.27013316088465,B,20.41774177551269,19.967343139648438,19.829225158691408,20.672957515716554,23.02189785003662,24.987114391326905,25.122387619018554
