Date,GRADE,GPS,PCG,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2006-12-11,81.23539008021238,A,30.464157104492188,30.497060775756836,30.411523628234864,30.09503698348999,28.982405738830565,28.03491128921509,26.833380603790282
2006-12-12,81.06511305631786,A,30.872095108032227,30.528640365600587,30.507587432861328,30.171361637115478,29.04596580505371,28.07550338745117,26.865244398117067
2006-12-13,81.03628059535096,A,30.931316375732425,30.60364646911621,30.580621337890626,30.23518466949463,29.106499099731444,28.11427221298218,26.895574531555177
2006-12-14,81.07015411535001,A,31.069490432739254,30.70497360229492,30.66549949645996,30.2776237487793,29.17479663848877,28.155663089752196,26.925696706771852
2006-12-15,81.401118175983,A,31.122129440307617,30.891837692260744,30.726032257080078,30.339144229888916,29.246515731811524,28.194381332397462,26.955119056701662
2006-12-18,81.5699681142612,A,31.16161727905273,31.031329727172853,30.764195251464844,30.4111927986145,29.31849796295166,28.233886222839356,26.984289503097536
2006-12-19,81.68600291954759,A,31.569549560546875,31.17082061767578,30.849730491638184,30.500018882751466,29.398902320861815,28.275577087402343,27.013766136169433
2006-12-20,81.72703546255124,A,31.3524227142334,31.255041885375977,30.929344177246094,30.578646755218507,29.468252487182617,28.315162105560304,27.04129044532776
2006-12-21,81.69652454433115,A,31.23400115966797,31.287944030761718,30.99645881652832,30.651353549957275,29.53733989715576,28.359242649078368,27.067708959579466
2006-12-22,81.58209882373933,A,31.102392196655277,31.28399658203125,31.087917137145997,30.710242080688477,29.606821670532227,28.402398815155028,27.093983116149904
2006-12-25,81.5199620564029,A,31.102392196655277,31.27215156555176,31.151740646362306,30.781632137298583,29.67222412109375,28.44940689086914,27.12189437866211
2006-12-26,81.32808129468083,A,31.36558532714844,31.23135871887207,31.201089668273926,30.854338550567626,29.741574363708494,28.49604368209839,27.15128204345703
2006-12-27,81.3618363380773,A,31.64385414123535,31.28964500427246,31.27234344482422,30.92648239135742,29.808594360351563,28.543439350128175,27.181226482391356
2006-12-28,81.36080196801025,A,31.551097869873047,31.353064346313477,31.320504188537598,30.993001842498778,29.874417190551757,28.58729597091675,27.20951939582825
2006-12-29,81.27748542200762,A,31.35895729064941,31.404377365112303,31.344186973571777,31.03510961532593,29.93416015625,28.631059303283692,27.23681953430176
2007-01-01,81.12617339269823,A,31.35895729064941,31.455690383911133,31.363920974731446,31.064058113098145,29.991402893066407,28.673451480865477,27.26411967277527
2007-01-02,80.91080980842165,A,31.35895729064941,31.454364776611328,31.3428617477417,31.096296119689942,30.051803855895997,28.713689365386962,27.29199761390686
2007-01-03,80.60037009450564,A,31.319211959838867,31.389436340332033,31.339540672302245,31.13444242477417,30.10680416107178,28.756728744506837,27.320356550216676
2007-01-04,80.18720977656868,P,30.888532638549805,31.256923294067384,31.30499382019043,31.150726318359375,30.15476997375488,28.796310043334962,27.347306499481203
2007-01-05,79.57332402852605,P,30.13983726501465,31.01309928894043,31.208738327026367,31.14832773208618,30.188419799804688,28.825205364227294,27.372098922729492
2007-01-08,79.10301767404569,P,30.43136215209961,30.82758026123047,31.1416353225708,31.146687984466553,30.22763698577881,28.85551435470581,27.39689248085022
