Date,GRADE,GPS,APH,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1995-02-01,41.673089343683685,P,0.3170370161533355,0.29818629622459414,0.2935593247413635,0.3076117694377899,0.3152549028396606,0.31518637537956234,0.2839624878019094
1995-02-02,41.730628396134136,P,0.318750649690628,0.306412136554718,0.29527302086353296,0.30752608329057696,0.31528917551040647,0.3152720555663108,0.2843823473155498
1995-02-03,41.775392308851885,P,0.3238923251628876,0.31326708793640134,0.29784360527992243,0.3076117679476738,0.31522063314914706,0.31540915250778195,0.28479363828897475
1995-02-06,41.80546763454155,A,0.3170370161533355,0.3177226305007934,0.301270979642868,0.3072690024971962,0.31501498460769656,0.31552911251783367,0.2851449491083622
1995-02-07,41.80951466995173,A,0.3153233230113983,0.318408066034317,0.3043556243181228,0.3069262370467186,0.31484360456466676,0.31559765517711635,0.28550482809543604
1995-02-08,41.797148363568255,A,0.3118961453437805,0.317379891872406,0.30778309404850007,0.3065835118293762,0.31453513860702514,0.31559765517711635,0.28586470708250994
1995-02-09,41.79812114949109,A,0.3290330767631531,0.319436377286911,0.3129242569208145,0.3071833148598671,0.3145008635520935,0.31571761578321456,0.28632741086184976
1995-02-10,41.80210850727406,A,0.3358884155750274,0.321835595369339,0.3175513416528702,0.3079545170068741,0.3148093444108963,0.3158033055067062,0.2868415270745754
1995-02-13,41.81096622831374,A,0.3358884155750274,0.32560587525367735,0.32166425287723543,0.30838296562433243,0.3149807238578796,0.31588899523019787,0.28737277992069715
1995-02-14,41.81901024469541,A,0.3324603736400604,0.3290332853794098,0.3237206757068634,0.3084686428308487,0.3149807238578796,0.315991812646389,0.2878868925571441
1995-02-15,41.838913957581624,A,0.3341739177703857,0.33348883986473077,0.32543436586856844,0.3094968453049659,0.3151863557100296,0.3163002783060074,0.2884010050445795
1995-02-16,41.83621954049382,A,0.3324603736400604,0.33417429924011227,0.32680533826351166,0.3110391795635223,0.3154948228597641,0.31660874515771864,0.28889798104763026
1995-02-17,41.83198073208346,A,0.3341739177703857,0.3338313996791839,0.3278334975242615,0.31283855140209194,0.31618029952049254,0.316917210817337,0.28941209353506564
1995-02-20,41.831539193452116,A,0.3341739177703857,0.3334885001182556,0.32954718768596647,0.3154090836644172,0.31666012525558473,0.3172428131103515,0.28992620602250097
1995-02-21,41.838485224586535,A,0.3324603736400604,0.3334885001182556,0.33126089274883264,0.3178082585334777,0.3170371353626251,0.3175512799620628,0.290457454174757
1995-02-22,41.84154096765379,A,0.3324603736400604,0.3331457912921906,0.33331731557846067,0.32055020481348034,0.31765406906604765,0.3179797080159187,0.2909629989415407
1995-02-23,41.84451504855374,A,0.3324603736400604,0.3331457912921906,0.3336600452661514,0.3232921510934829,0.3181681853532791,0.31833958476781843,0.2914771115779876
1995-02-24,41.838548673743595,A,0.3307468295097351,0.3324603736400604,0.33314588665962214,0.32534861415624616,0.31864803075790404,0.31859664291143414,0.2919655198603868
1995-02-27,41.83018547411005,A,0.3324603736400604,0.33211766481399535,0.33280308246612544,0.3272336676716804,0.3192649644613266,0.3187508764863014,0.29247106462717054
