Date,GRADE,GPS,MTD,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1998-05-28,,,18.625,19.35,19.39375,19.528125,20.62375,20.0775,
1998-05-29,,,19.0,19.15,19.34375,19.496875,20.57375,20.09875,
1998-06-01,,,19.0,18.95,19.33125,19.459375,20.52625,20.11875,
1998-06-02,,,19.375,18.9,19.35625,19.428125,20.49375,20.125,
1998-06-03,,,19.75,19.15,19.4125,19.428125,20.4725,20.14,
1998-06-04,,,20.0,19.425,19.3875,19.453125,20.455,20.16,
1998-06-05,,,19.4375,19.5125,19.33125,19.45,20.42125,20.176875,
1998-06-08,,,19.375,19.5875,19.26875,19.44375,20.375,20.193125,
1998-06-09,,,19.5,19.6125,19.25625,19.425,20.32125,20.208125,
1998-06-10,,,19.5,19.5625,19.35625,19.41875,20.26875,20.221875,
1998-06-11,,,19.3125,19.425,19.425,19.409375,20.215,20.2375,
1998-06-12,,,18.875,19.3125,19.4125,19.378125,20.1625,20.245,
1998-06-15,,,19.25,19.2875,19.4375,19.384375,20.1175,20.25875,
1998-06-16,,,19.1875,19.225,19.41875,19.3875,20.06625,20.274375,
1998-06-17,,,19.25,19.175,19.36875,19.390625,20.02125,20.289375,
1998-06-18,,,20.0,19.3125,19.36875,19.378125,19.99375,20.313125,
1998-06-19,,,21.0625,19.75,19.53125,19.43125,19.9875,20.345,
1998-06-22,,,21.4375,20.1875,19.7375,19.503125,19.98625,20.369375,
1998-06-23,,,21.125,20.575,19.9,19.578125,19.97625,20.3925,
1998-06-24,,,21.8125,21.0875,20.13125,19.74375,19.98,20.420625,
1998-06-25,,,21.125,21.3125,20.3125,19.86875,19.97375,20.441875,
1998-06-26,,,21.3125,21.3625,20.55625,19.984375,19.9625,20.46125,
1998-06-29,,,20.375,21.15,20.66875,20.053125,19.9375,20.4725,
1998-06-30,,,20.0625,20.9375,20.75625,20.0875,19.9,20.471875,
1998-07-01,,,20.0,20.575,20.83125,20.1,19.86875,20.471875,
1998-07-02,,,20.5,20.45,20.88125,20.125,19.84875,20.4775,
1998-07-03,,,20.5,20.2875,20.825,20.178125,19.83625,20.481875,
1998-07-06,,,21.875,20.5875,20.86875,20.303125,19.8625,20.5,
1998-07-07,,,22.0,20.975,20.95625,20.428125,19.89875,20.514375,
1998-07-08,,,22.125,21.4,20.9875,20.559375,19.93625,20.53375,
1998-07-09,,,22.3125,21.7625,21.10625,20.709375,19.98,20.555625,
1998-07-10,,,22.25,22.1125,21.2,20.878125,20.0325,20.579375,
1998-07-13,,,21.625,22.0625,21.325,20.996875,20.07,20.595625,
1998-07-14,,,21.75,22.0125,21.49375,21.125,20.105,20.618125,
1998-07-15,,,21.5625,21.9,21.65,21.240625,20.14125,20.63875,
1998-07-16,,,21.375,21.7125,21.7375,21.309375,20.17875,20.65875,
1998-07-17,,,21.75,21.6125,21.8625,21.34375,20.22375,20.68125,
1998-07-20,,,22.3125,21.75,21.90625,21.3875,20.28,20.703125,
1998-07-21,,,22.4375,21.8875,21.95,21.453125,20.33125,20.72625,
1998-07-22,,,22.25,22.025,21.9625,21.475,20.38375,20.74625,
1998-07-23,,,21.5,22.05,21.88125,21.49375,20.42375,20.756875,
1998-07-24,,,21.875,22.075,21.84375,21.521875,20.47125,20.771875,
1998-07-27,,,20.625,21.7375,21.74375,21.534375,20.50125,20.764375,
1998-07-28,,,20.75,21.4,21.64375,21.56875,20.53375,20.754375,
1998-07-29,,,21.5,21.25,21.6375,21.64375,20.58,20.745625,
1998-07-30,,,21.5,21.25,21.65,21.69375,20.605,20.738125,
1998-07-31,,,21.125,21.1,21.5875,21.725,20.6275,20.728125,
1998-08-03,,,21.0,21.175,21.45625,21.68125,20.6475,20.720625,
1998-08-04,,,21.0625,21.2375,21.31875,21.634375,20.67625,20.71625,
1998-08-05,,,21.125,21.1625,21.20625,21.584375,20.72875,20.70875,
1998-08-06,,,20.9375,21.05,21.15,21.515625,20.775,20.699375,
1998-08-07,,,20.5,20.925,21.0125,21.428125,20.805,20.689375,
1998-08-10,,,20.0,20.725,20.95,21.346875,20.825,20.675625,
1998-08-11,,,18.75,20.2625,20.75,21.196875,20.8125,20.653125,
1998-08-12,,,19.0,19.8375,20.5,21.06875,20.7975,20.635,
1998-08-13,,,20.25,19.7,20.375,21.0125,20.8025,20.62875,
1998-08-14,,,19.75,19.55,20.2375,20.9125,20.80875,20.615,
1998-08-17,,,19.8125,19.5125,20.11875,20.7875,20.8175,20.59625,
1998-08-18,,,19.6875,19.7,19.98125,20.65,20.82125,20.57125,
1998-08-19,,,19.5,19.8,19.81875,20.5125,20.82125,20.545,
1998-08-20,,,19.375,19.625,19.6625,20.40625,20.8225,20.51875,19.69375
1998-08-21,,,19.25,19.525,19.5375,20.275,20.83,20.49625,19.715625
1998-08-24,,,19.6875,19.5,19.50625,20.228125,20.83875,20.478125,19.7378125
1998-08-25,,,19.5,19.4625,19.58125,20.165625,20.845,20.455625,19.7603125
1998-08-26,,,19.25,19.4125,19.60625,20.053125,20.845,20.433125,19.7784375
1998-08-27,46.07332418856581,B,18.1875,19.175,19.4,19.8875,20.80875,20.40125,19.7875
1998-08-28,45.97942646886963,B,16.4375,18.6125,19.06875,19.653125,20.71625,20.351875,19.7840625
1998-08-31,45.87298804468137,B,16.875,18.05,18.775,19.446875,20.625,20.305625,19.7834375
1998-09-01,45.788750887632425,B,17.625,17.675,18.56875,19.275,20.555,20.265625,19.7828125
1998-09-02,45.72982585600695,B,18.0,17.425,18.41875,19.11875,20.47875,20.229375,19.783125
1998-09-03,45.74343037267545,B,18.3125,17.45,18.3125,18.9875,20.4225,20.198125,19.785
1998-09-04,45.83458776991756,B,18.4375,17.85,18.23125,18.884375,20.365,20.16375,19.7878125
1998-09-07,45.91827239841279,B,18.4375,18.1625,18.10625,18.80625,20.32625,20.131875,19.7909375
1998-09-08,46.03986119163391,B,20.3125,18.7,18.1875,18.884375,20.33125,20.115625,19.8034375
1998-09-09,46.14640213998092,B,20.25,19.15,18.2875,18.946875,20.33625,20.1025,19.8153125
1998-09-10,46.17106335134982,C,18.625,19.2125,18.33125,18.865625,20.29875,20.07375,19.82
1998-09-11,46.20581752838479,C,19.125,19.35,18.6,18.834375,20.27125,20.05375,19.825
1998-09-14,46.22740256016666,C,19.0,19.4625,18.8125,18.79375,20.21375,20.038125,19.829375
1998-09-15,46.197301423081704,C,20.0,19.4,19.05,18.809375,20.17375,20.03625,19.836875
1998-09-16,46.1762267783048,C,20.1875,19.3875,19.26875,18.84375,20.135,20.035625,19.8475
1998-09-17,46.21389147466646,C,19.875,19.6375,19.425,18.86875,20.08625,20.033125,19.8565625
1998-09-18,46.23606015389259,C,20.375,19.8875,19.61875,18.925,20.04875,20.040625,19.8696875
1998-09-21,46.2536117411386,A,19.875,20.0625,19.7625,18.934375,20.01375,20.041875,19.8784375
1998-09-22,46.23158489340779,A,19.6875,20.0,19.7,18.94375,19.9725,20.03875,19.8865625
1998-09-23,46.209526646313236,A,19.8125,19.925,19.65625,18.971875,19.9375,20.039375,19.894375
1998-09-24,46.204753203623426,A,19.75,19.9,19.76875,19.05,19.905,20.041875,19.9009375
1998-09-25,46.216596382445196,A,20.6875,19.9625,19.925,19.2625,19.88375,20.05375,19.913125
